Customer Name	Category	Sales Rep	Bought
Victory Sports Bar	Core	Nick Melissari	1
The Little Falls Tavern	Core	Allison Scott	1
The Little Falls Tavern	Core+	Allison Scott	1
Simulcast	Core	Nick Melissari	1
Parkway Lanes	Core	Nick Melissari	1
Galleria	Core	Pablo Lopez	1
Skyview Golf Course (A)	Core	Brian Sengebush	1
Midland Brewhouse (A)	Core	Paul Mclaughlin	1
Mckenna's Pub (P)	Core	Brian Sengebush	1
Mckenna's Pub (P)	Core+	Brian Sengebush	1
House of Que (East Rutherford)	Core	Nick Melissari	1
House of Que (East Rutherford)	Core+	Nick Melissari	1
Buffalo Wild Wings (Rockaway)	Core+	Brian Sengebush	1
Buffalo Wild Wings (Rockaway)	Core	Brian Sengebush	1
The Village Inn	Core	Robin Feldman	1
Brady's At(A)The Station	Core	Nick Melissari	1
Houlihan's Ramsey	Core	Nick Melissari	1
Houlihan's Ramsey	Core+	Nick Melissari	1
D'Carbon Restaurant Hawthorne	Core	Allison Scott	1
Downtown Cafe (P)	Core	Derrick Laws	1
690 Park	Core	Dan Lagala	1
Bogey's Sport Bar	Core	Allison Scott	1
Hilton Garden Inn wayne	Core	Robin Feldman	1
Maggies Town Tavern Ii	Core	Allison Scott	1
Tease (P)	Core	Pablo Lopez	1
Roxxie's (P)	Core	Pablo Lopez	1
Fair Lawn Lanes (P)	Core+	Paul Mclaughlin	1
Fair Lawn Lanes (P)	Core	Paul Mclaughlin	1
Wallington Lane (Bowlero)	Core	Paul Mclaughlin	1
Wallington Lane (Bowlero)	Core+	Paul Mclaughlin	1
Applebee's (A)Butler	Core+	Allison Scott	1
Feathers (A)	Core	Allison Scott	1
Feathers (A)	Core+	Allison Scott	1
Grand Rodeo Night Club(Z)	Core	Pablo Lopez	1
The Barnyard and Carriage House	Core	Allison Scott	1
Mojito Bar	Core	Javier Melo	1
Jiggle's	Core	Allison Scott	1
Redd's Rest (Z)	Core	Nick Melissari	1
The Exchange	Core	Brian Sengebush	1
White Meadow Lake Cc	Core	Robin Feldman	1
THE TIES	Core	Allison Scott	1
La Casona Cafe Restaurant Bar	Core	Javier Melo	1
La Casona Cafe Restaurant Bar	Core+	Javier Melo	1
Integrity Masonic	Core	Derrick Laws	1
Holiday Inn (Hasbrook Height)	Core	Robin Feldman	1
Knotty Pine Pub (P)	Core	Brian Sengebush	1
Crystal Sprs/Wild Turkey	Core	Anthony Palmisano	1
Crystal Sprs/Wild Turkey	Core+	Anthony Palmisano	1
Renaissance Meadowlands	Core	Robin Feldman	1
Blue 42 Restaurant & Bar	Core	Nick Melissari	1
Los Arcos (P) Rest.	Core	Javier Melo	1
Los Arcos (P) Rest.	Core+	Javier Melo	1
The Orange Lantern	Core	Nick Melissari	1
cherry's	Core	Allison Scott	1
Stillwater Area Vol Fire	Core+	Robin Feldman	1
Stillwater Area Vol Fire	Core	Robin Feldman	1
Noches De Colombia (Hackensack)	Core	Pablo Lopez	1
Woodstone Pizza B & G	Core	Nick Melissari	1
QB's Bar and Grill	Core	Paul Mclaughlin	1
QB's Bar and Grill	Core+	Paul Mclaughlin	1
River & Henley	Core	Paul Mclaughlin	1
Made in Miami Bar Bistro	Core	Javier Melo	1
Shakey Jake's (P)	Core	Brian Sengebush	1
Biagio's	Core	Nick Melissari	1
Jefferson Diner & Tav(P)	Core+	Brian Sengebush	1
Jefferson Diner & Tav(P)	Core	Brian Sengebush	1
The Lamp Post Inn	Core	Anthony Palmisano	1
Brazilian Spices Steakhouse & Pizza	Core+	Nick Melissari	1
Uno Chicago Grl (A)Clifto	Core	Allison Scott	1
Houlihans (Para)(A)	Core+	Nick Melissari	1
Houlihans (Para)(A)	Core	Nick Melissari	1
Homewood Suites Edgewater	Core	Dan Lagala	1
Morton's The Stkhse Hacke	Core	Nick Melissari	1
J. Alexander's Restaurant	Core	Allison Scott	1
J. Alexander's Restaurant	Core+	Allison Scott	1
The Venetian	Core	Matt Powierski	1
The Venetian	Core+	Matt Powierski	1
Park Wayne Diner	Core	Robin Feldman	1
Maggie's Town Tav.(P)	Core	Allison Scott	1
The Shannon Rose/Ramsey	Core	Nick Melissari	1
The Shannon Rose (A)	Core	Allison Scott	1
Tavern On The Rocks	Core	Brian Sengebush	1
El Tango	Core	Paul Mclaughlin	1
Lefkes Restaurant	Core	Dan Lagala	1
Ridgewood Country Club	Core	Chris Payton	1
Homewood Suites By Hilton	Core+	Robin Feldman	1
Homewood Suites By Hilton	Core	Robin Feldman	1
Portobello Feasts	Core	Nick Melissari	1
T Bowl Tavern (Z)	Core	Allison Scott	1
International Bar/Rest	Core	Paul Mclaughlin	1
Meadows Golf Club(P)	Core	Allison Scott	1
Meadows Golf Club(P)	Core+	Allison Scott	1
In The Drink@Passaic Gc	Core	Allison Scott	1
Grasshopper Too (A)	Core	Allison Scott	1
Grasshopper Irish Pub (A)	Core	Allison Scott	1
Berkshire Valley Gc	Core	Robin Feldman	1
Berkshire Valley Gc	Core+	Robin Feldman	1
82 OAK BAR & BISTRO	Core	Robin Feldman	1
Brick & Brew	Core	Anthony Palmisano	1
Old Tappan Golf Course	Core	Paul Mclaughlin	1
Old Tappan Golf Course	Core+	Paul Mclaughlin	1
Palenque Bar & Grill(A)	Core	Pablo Lopez	1
Riverside Grill(D'carbon)	Core	Allison Scott	1
Dream Bar	Core	Nick Melissari	1
Layton Tavern	Core	Brian Sengebush	1
Blvd Bar & Grill (Z)	Core	Matt Powierski	1
Picatinney Golf(NAFIB4-22-A-0036)	Core	Brian Sengebush	1
Brownstone House	Core	Allison Scott	1
Doc's Place (P)	Core	Anthony Palmisano	1
Packanack Golf (P)	Core	Allison Scott	1
Los Cantaritos Cantina	Core	Nick Melissari	1
Black Bear Golf(A)	Core	Anthony Palmisano	1
Shawn's Crazy Saloon	Core	Nick Melissari	1
Shawn's Crazy Saloon	Core+	Nick Melissari	1
Aruba Lounge (P)	Core	Pablo Lopez	1
Moose Lodge 961 (Z)	Core+	Robin Feldman	1
Holiday Bowl	Core	Nick Melissari	1
Emerald Corner (Z)	Core	Allison Scott	1
Eastern Asian Bistro/Bar	Core	Robin Feldman	1
Chapala Grill - Lake Hopatcong	Core	Brian Sengebush	1
El Mexicano Rest (P)	Core	Pablo Lopez	1
Bally Owen Golf Club	Core	Anthony Palmisano	1
Patricks Pub (P)	Core	Brian Sengebush	1
Chapala Mexican Grill 4	Core	Brian Sengebush	1
Evolution Restaurant & Bar	Core	Robin Feldman	1
Harrigan's Rest. (P)	Core	Brian Sengebush	1
New Bridge Inn(A)	Core+	Paul Mclaughlin	1
Colombia Kaliente	Core	Pablo Lopez	1
N Arlington Bowl O Drome	Core	Nick Melissari	1
In The Crease (P)	Core+	Robin Feldman	1
In The Crease (P)	Core	Robin Feldman	1
Dona Maria Rest	Core	Pablo Lopez	1
Sharky's Wings(P)	Core+	Allison Scott	1
Peppercorn's	Core	Paul Mclaughlin	1
Bowler City Bowling	Core	Paul Mclaughlin	1
Fogo de Chao (Wayne)	Core	Allison Scott	1
Whiskey Wolf Tavern (P)	Core	Anthony Palmisano	1
Elks Post 2111 (A)	Core	Robin Feldman	1
