product_num,customer_num,buyer,cases
5,3002,1,0
5,3007,1,0
5,11001,1,0
5,12001,1,0
5,12013,1,0
5,14001,1,0
5,17013,1,0
5,20028,1,0
5,20037,1,0
5,20126,1,0
5,21014,1,0
5,21022,1,0
5,22024,1,0
5,22067,1,0
5,24006,1,0
5,24015,1,0
5,25040,1,0
5,25049,1,0
5,25056,1,0
5,26013,1,0
5,27076,1,0
5,27102,1,0
5,27146,1,0
5,30005,1,0
5,34002,1,0
5,35005,1,0
5,38019,1,0
5,39008,1,0
5,40007,1,0
5,42009,1,0
5,43029,1,0
5,43031,1,0
5,44006,1,0
5,46008,1,0
5,46009,1,0
5,46033,1,0
5,49022,1,0
5,49051,1,0
5,49063,1,0
5,50015,1,0
5,52040,1,0
5,56011,1,0
5,57001,1,0
5,57009,1,0
5,79007,1,0
5,80029,1,0
5,150054,1,0
5,150082,1,0
5,150302,1,0
5,170045,1,0
5,170049,1,0
5,170300,1,0
5,171327,1,0
5,178020,1,0
5,190501,1,0
5,190902,1,0
5,190914,1,0
5,191511,1,0
5,192157,1,0
5,230110,1,0
5,230907,1,0
5,231607,1,0
5,250036,1,0
37,3005,1,0
37,8015,1,0
37,38019,1,0
37,83005,1,0
37,150084,1,0
40,76009,1,0
101,11007,1,0
101,14003,1,1
101,14007,1,1
101,24019,1,4
101,50029,1,1
101,80018,1,1
101,92005,1,5
101,191210,1,2
101,230427,1,2
101,231719,1,3
111,1024,1,1
111,3011,1,1
111,5008,1,3
111,7003,1,4
111,8004,1,7
111,11011,1,1
111,12026,1,5
111,12036,1,3
111,15004,1,2
111,15016,1,2
111,20106,1,2
111,21043,1,13
111,23004,1,-1
111,23013,1,1
111,28012,1,5
111,32005,1,1
111,52015,1,2
111,60012,1,3
111,70008,1,5
111,80018,1,3
111,80041,1,3
111,83008,1,2
111,86002,1,3
111,190220,1,1
111,190704,1,4
111,190723,1,1
111,190804,1,2
111,191207,1,10
111,191213,1,2
111,191710,1,4
111,230119,1,4
111,230122,1,5
111,230427,1,5
111,230930,1,1
111,231302,1,10
111,231305,1,1
111,231314,1,4
111,231316,1,2
112,408,1,5
112,1012,1,8
112,1015,1,4
112,1023,1,3
112,1031,1,1
112,1035,1,3
112,1214,1,3
112,2003,1,5
112,3001,1,4
112,3005,1,6
112,3006,1,3
112,3011,1,1
112,4002,1,1
112,4005,1,6
112,4009,1,8
