product_num,customer_num,buyer,cases
5,3002,1,0
5,3007,1,0
5,8007,1,0
5,10007,1,0
5,12001,1,0
5,14001,1,0
5,17013,1,0
5,18002,1,0
5,20126,1,0
5,21022,1,0
5,21038,1,0
5,22006,1,0
5,22021,1,0
5,22022,1,0
5,22024,1,0
5,24048,1,0
5,24051,1,0
5,25046,1,0
5,25049,1,0
5,26013,1,0
5,27076,1,0
5,27102,1,0
5,27146,1,0
5,28019,1,0
5,28031,1,0
5,30005,1,0
5,31040,1,0
5,33006,1,0
5,34002,1,0
5,40007,1,0
5,41006,1,0
5,42004,1,0
5,42009,1,0
5,43029,1,0
5,43031,1,0
5,44006,1,0
5,48002,1,0
5,49022,1,0
5,49051,1,0
5,49063,1,0
5,52040,1,0
5,56011,1,0
5,57001,1,0
5,57009,1,0
5,76008,1,0
5,80029,1,0
5,150082,1,0
5,150302,1,0
5,152035,1,0
5,170045,1,0
5,170049,1,0
5,170300,1,0
5,171327,1,0
5,190501,1,0
5,190902,1,0
5,190914,1,0
5,191704,1,0
5,192157,1,0
5,231607,1,0
5,250036,1,0
37,21022,1,0
37,25086,1,0
37,28019,1,0
37,29011,1,0
37,44006,1,0
37,47009,1,0
37,190216,1,0
101,1012,1,1
101,14003,1,0
101,24019,1,3
101,80018,1,1
101,92005,1,2
101,92011,1,1
101,191210,1,2
101,191505,1,1
101,230905,1,2
101,231215,1,2
101,231719,1,0
111,2004,1,10
111,5008,1,5
111,7003,1,3
111,12026,1,4
111,12065,1,1
111,15004,1,1
111,20062,1,3
111,20106,1,0
111,21035,1,1
111,21043,1,5
111,23013,1,2
111,28012,1,7
111,32005,1,4
111,41010,1,2
111,60012,1,3
111,61004,1,1
111,70008,1,5
111,80018,1,2
111,80041,1,3
111,86002,1,2
111,190704,1,3
111,190710,1,1
111,190910,1,1
111,191207,1,2
111,191213,1,2
111,191710,1,8
111,230119,1,2
111,230427,1,10
111,230930,1,2
111,231206,1,3
111,231302,1,5
111,231305,1,2
111,231314,1,3
111,231316,1,5
112,408,1,5
112,1003,1,1
112,1009,1,3
112,1012,1,11
112,1015,1,2
112,1021,1,5
112,1024,1,1
112,1031,1,1
112,1035,1,6
112,2002,1,2
112,2003,1,9
112,3001,1,3
112,3011,1,2
112,4002,1,2
112,4005,1,3
112,4007,1,1
112,4009,1,8
112,5001,1,8
112,5006,1,3
112,8005,1,3
