product_num,customer_num,buyer,cases
113,3001,1,3
113,7001,1,3
113,7003,1,4
113,8008,1,1
113,10003,1,-1
113,11001,1,1
113,11003,1,3
113,12005,1,3
113,12007,1,3
113,12011,1,8
113,12026,1,1
113,13001,1,2
113,14007,1,23
113,17010,1,5
113,19006,1,5
113,21043,1,2
113,21044,1,2
113,23004,1,3
113,27031,1,15
113,27046,1,5
113,29010,1,2
113,30005,1,2
113,31004,1,2
113,31008,1,0
113,32017,1,3
113,40001,1,2
113,40010,1,5
113,40022,1,3
113,40032,1,2
113,47005,1,5
113,49033,1,5
113,49039,1,2
113,49045,1,3
113,50020,1,1
113,52015,1,3
113,58001,1,13
113,60001,1,5
113,62009,1,3
113,67004,1,4
113,70001,1,10
113,70003,1,6
113,73008,1,12
113,74005,1,4
113,74009,1,6
113,75002,1,5
113,75004,1,2
113,76010,1,4
113,76021,1,1
113,77007,1,1
113,77009,1,1
113,78008,1,2
113,80041,1,3
113,81006,1,2
113,83008,1,2
113,83010,1,24
113,86003,1,3
113,87001,1,2
113,88004,1,4
113,88005,1,5
113,89007,1,2
113,92011,1,7
113,94001,1,8
113,94008,1,6
113,96002,1,4
113,190917,1,15
113,191010,1,5
113,191210,1,12
113,191302,1,4
113,191408,1,2
113,191526,1,1
113,191710,1,3
113,191814,1,2
113,230114,1,4
113,230412,1,5
113,230427,1,3
113,230441,1,2
113,231203,1,3
113,231215,1,11
113,231305,1,2
113,231315,1,2
113,231805,1,2
118,1003,1,2
118,1012,1,8
118,1015,1,8
118,1021,1,3
118,2003,1,15
118,3001,1,5
118,3005,1,10
118,3006,1,-1
118,4002,1,2
118,4005,1,3
118,4009,1,5
118,5001,1,-2
118,5006,1,5
118,6002,1,10
118,8002,1,5
118,8009,1,12
118,9003,1,2
118,10003,1,2
118,11001,1,2
118,11003,1,5
118,11005,1,2
118,11014,1,5
118,12005,1,8
118,12007,1,5
118,12011,1,5
118,13001,1,9
118,13008,1,15
118,17011,1,11
