product_num,customer_num,buyer,cases
5,1214,1,0
5,2004,1,0
5,6001,1,0
5,10007,1,0
5,14001,1,0
5,15004,1,0
5,20126,1,0
5,21038,1,0
5,22006,1,0
5,22021,1,0
5,24048,1,0
5,25046,1,0
5,27076,1,0
5,27102,1,0
5,27106,1,0
5,28009,1,0
5,28031,1,0
5,33006,1,0
5,35001,1,0
5,38019,1,0
5,43029,1,0
5,46008,1,0
5,46009,1,0
5,46033,1,0
5,47011,1,0
5,48002,1,0
5,49022,1,0
5,49051,1,0
5,49063,1,0
5,52040,1,0
5,81020,1,0
5,150060,1,0
5,152035,1,0
5,170036,1,0
5,170045,1,0
5,170154,1,0
5,170258,1,0
5,170300,1,0
5,171327,1,0
5,173062,1,0
5,190216,1,0
5,190902,1,0
5,192157,1,0
5,230110,1,0
5,250036,1,0
5,250081,1,0
37,35001,1,0
37,38019,1,0
37,46008,1,0
37,46009,1,0
37,52040,1,0
37,250081,1,0
101,12011,1,1
101,14003,1,3
101,24011,1,1
101,24016,1,1
101,24019,1,2
101,52015,1,1
101,68002,1,1
101,75004,1,2
101,80018,1,2
101,83010,1,3
101,92005,1,6
101,92008,1,1
101,92011,1,1
101,191010,1,1
101,191210,1,2
101,230105,1,1
101,230905,1,4
101,231215,1,2
111,3001,1,4
111,3011,1,1
111,7003,1,3
111,8005,1,4
111,12026,1,3
111,15004,1,3
111,15016,1,2
111,20062,1,1
111,20106,1,3
111,21043,1,10
111,23013,1,3
111,24048,1,1
111,28012,1,20
111,32005,1,5
111,37034,1,1
111,43013,1,-2
111,57012,1,1
111,70008,1,10
111,80018,1,2
111,83008,1,1
111,86002,1,3
111,190220,1,2
111,190704,1,1
111,190709,1,2
111,190804,1,-1
111,191009,1,2
111,191213,1,3
111,191406,1,0
111,191710,1,23
111,230119,1,3
111,230427,1,5
111,230930,1,2
111,231302,1,10
111,231314,1,5
111,231316,1,2
111,231706,1,3
112,408,1,5
112,1012,1,5
112,1015,1,7
112,1021,1,6
112,1031,1,2
112,1035,1,9
112,2002,1,3
112,2003,1,13
112,3001,1,2
112,3005,1,3
112,4005,1,6
112,4009,1,9
112,5001,1,6
112,5006,1,3
112,6004,1,2
112,8007,1,2
112,8008,1,2
112,8009,1,3
112,10003,1,5
112,11014,1,10
112,12005,1,3
