Product,Inventory,Purchases,Invoices,Pending Invoices,Loaded,Picked,Delivered,Unsellable,In Production,On-Floor,Pre-Sales,Allocated,Available
9606 Athletic Lite Lime & Salt Non-Alcoholic 4/6/12 oz Can,218,0,0,5,0,0,0, (1),0,214,0,0,214
9607 Athletic Fruited Fields Radler Non-Alcoholic 2/12/12 oz Can,83,0,0,0,0,0,0,2,0,82,0,0,82
9608 Athletic Costco IPA Pack Non-Alcoholic 1/24/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9609 Athletic Dark & Gourdy Pumpkin & Spice NA 4/6/12 oz Can,4,0,0,0,0,0,0,4,0,0,0,0,0
9610 Athletic Costco Mixed Run Wild & Upside Dawn NA 1/24/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9611 Athletic Upside Dawn NA 1/15/19.2 oz Can,36,0,0,30,0,0,0,0,0,6,0,0,6
Total,"3,943",0,0,91,4,0,0,93,0,"3,756",23,3,"3,730"
Bardstown Bourbon Co,,,,,,,,,,,,,
39 Bardstown Test 1/6/750 mL Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
201051 Green River Bourbon 1/750 mL Btl,109,0,0,0,0,0,0, (1),0,109,1,0,108
201052 Green River Full Proof 1/750 mL,72,0,0,0,0,0,0,3,0,69,0,0,69
201053 Green River Rye 1/750 mL,59,0,0,0,0,0,0,0,0,58,0,0,58
201054 Green River Wheated 1/750 mL,112,0,0,0,0,0,0, (1),0,113,2,0,111
201055 Bardstown Origin Series Bottle-In-Bond 1/750 mL Btl,125,0,0,2,0,0,0,0,0,123,0,0,123
201056 Bardstown Origin Series Bourbon 1/750 mL Btl,31,0,0,2,0,0,0,0,0,29,1,0,28
201057 Bardstown Origin Series Double Barrel Rye 1/750 mL Btl,77,0,0,0,0,0,0,1,0,76,0,0,76
201058 Bardstown Origin Series High Wheat 1/750 mL Btl,69,0,0,0,0,0,0, (1),0,70,0,0,70
201059 Bardstown Discovery Series #10 1/750 mL Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
201060 Bardstown Discovery Series #11 1/750 mL Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
201061 Bardstown Discovery Series #12 1/750 mL Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
201062 Bardstown Collaboration Series Amrut 1/750 mL Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
201063 Bardstown Collaboration Series Goose Island 1/750 mL Btl, (0),0,0,0,0,0,0, (0),0,0,0,0,0
201064 Bardstown Collaboration Series Silver Oak 1/750 mL Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
201065 Green River 1/1 L Btl,25,0,0,0,0,0,0,0,0,25,0,0,25
201066 Green River Single Barrel GSPD #1 1/750 mL,1,0,0,0,0,0,0,0,0,1,0,0,1
201067 Green River Single Barrel GSPD#2 1/750 mL,1,0,0,0,0,0,0,0,0,1,0,0,1
201068 Green River Single Barrel GSPD#3 1/750 mL,2,0,0,0,0,0,0,0,0,2,0,0,2
201069 Bardstown Single Barrel GSPD #1 1/750 mL Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
201070 Bardstown Single Barrel GSPD #2 1/750 mL Btl,2,0,0,0,0,0,0,0,0,2,0,0,2
201071 Bardstown Single Barrel GSPD #3 1/750 mL Btl,3,0,0,0,0,0,0,1,0,2,0,0,2
201072 Green River Bourbon 250th Army Anniversary 1/750 mL,6,0,0,0,0,0,0,1,0,5,0,0,5
201073 Bardstown Collaboration Series Pierre Ferrand 1/750 mL Btl,2,0,0,0,0,0,0,0,0,2,0,0,2
201074 Bardstown Discovery #13 1/750 mL Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
201075 Green River Single Barrel Wheated 1/1/750mL Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
201076 Green River Wheated Full Proof 1/750 ml Btl,37,0,0,0,0,0,0, (2),0,39,0,0,39
201077 Green River Honey 1/750 mL Btl,94,0,0,0,0,0,0,2,0,92,1,0,91
201078 Green River Honey 1/10/50 mL Btl,173,0,0,0,1,0,0, (0),0,172,1,0,171
201079 Bardstown Wheated Single Barrel 1/750 mL Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
201080 Bardstown Discovery 2026 1/750 mL Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
201081 Bardstown Collaboration Series Lochs Of Jura 1/750 mL Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,996,0,0,3,1,0,0,4,0,988,7,0,982
Barn Brew Co,,,,,,,,,,,,,
5653 Barn Brew Farmers Lager 4/6/12 oz Can,28,0,0,0,0,0,0,1,0,27,0,0,27
5654 Barn Brew Farmers Lager 5.2 Gal Keg,12,0,0,0,0,0,0,2,0,10,0,0,10
5656 Barn Brew Haze For Horses IPA 6/4/16 oz Can,37,0,0,0,0,0,0, (1),0,38,1,0,37
5657 Barn Brew Haze For Horses IPA 5.2 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
5658 Barn Brew Oktoberfest Lager 6/4/16 oz Can,30,0,0,0,0,0,0,0,0,30,0,0,30
5659 Barn Brew Pa's Pilsner 6/4/16 oz Can,2,0,0,0,0,0,0,2,0,0,0,0,0
5661 Barn Brew Pa's Pilsner 5.2 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
9436 Farmers Secret THC Blueberry Seltzer 3 MG 4/6/12 oz Can,10,0,0,0,0,0,0,2,0,8,0,0,8
94023 Farmers Secret THC Blueberry Seltzer 10 MG D9 6/4/12 oz Can,4,0,0,0,0,0,0,0,0,4,0,0,4
94024 Farmers Secret THC Half & Half 10 MG D9 6/4/12 oz Can,23,0,0,0,0,0,0, (2),0,25,0,0,25
94025 Farmers Secret THC Blood Orange Seltzer 10 MG D9 6/4/12 oz Can,31,0,0,0,0,0,0,26,0,5,0,0,5
94026 Farmers Secret THC Strawberry Lemonade Seltzer 10 MG D9 6/4/12 oz Can,5,0,0,0,0,0,0,0,0,5,0,0,5
94027 Farmers Secret THC It's Our Little Seltzer Variety 10 MG D9 3/8/12 oz Can,52,0,0,0,0,0,0,0,0,52,10,0,42
Total,234,0,0,0,0,0,0,30,0,204,11,0,193
Beak & Skiff,,,,,,,,,,,,,
9127 1911 Black Cherry 6/4/16 oz Can,255,0,0,1, (1),0,0,6,0,249,3,0,246
9130 1911 Blueberry 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9125 1911 Cider Donut 6/4/16 oz Can,223,0,0,9,0,0,0,2,0,212,11,0,201
9126 1911 Cranberry 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9118 1911 Honey Crisp 6/4/16 oz Can,302,0,0,6,0,0,0,20,0,276,7,0,269
9101 1911 Cider Donut 5.2 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
9102 1911 Original Cider 5.2 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
9131 1911 Original Cider 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
9129 1911 Maple Bourbon 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9120 1911 Original 6/4/16 oz Can,185,0,0,1,0,0,0, (9),0,193,1,0,192
9121 1911 Raspberry 6/4/16 oz Can,186,0,0,0,0,0,0,1,0,185,0,0,185
9122 1911 Rose 6/4/16 oz Can,113,0,0,2,0,0,0,3,0,108,3,0,105
9124 1911 Tropical Pineapple Mango 6/4/16 oz Can,127,0,0,2,0,0,0,3,0,122,0,0,122
200280 1911 Van Chai Vodka 1/750 mL,0,0,0,0,0,0,0,0,0,0,0,0,0
9128 1911 Watermelon Mint 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9133 1911 Master Series Sour Hopped 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9134 1911 Unfiltered McIntosh 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9135 1911 Pink Grapefruit 6/4/16 oz Can,70,0,0,0,0,0,0,0,0,70,0,0,70
9136 1911 Jam Berry 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9137 1911 Sangria 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9138 1911 Strawberry 6/4/16 oz Can, (1),0,0,0,0,0,0, (1),0,0,0,0,0
9139 1911 Freedom 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9140 1911 Hopped Cider 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9141 1911 Orange Creamsicle 6/4/16 oz Can,40,0,0,0,0,0,0,1,0,39,0,0,39
9142 1911 Candy Corn 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9143 1911 Est Lafayette Lemonade 6/4/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9144 1911 Cider Cotton Candy 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9145 1911 Variety 3/8/12 oz Can,74,0,0,2,0,0,0,4,0,68,0,0,68
9146 1911 Black Cherry 1/12/19.2oz Can,118,0,0,0,0,0,0, (4),0,122,0,0,122
9147 1911 Orange Creamside 1/12/19.2 Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9148 1911 Sugar Plum 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9149 1911 Cherry Pie 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9159 1911 Honey Pear 6/4/16 oz Can, (1),0,0,0,0,0,0, (1),0,0,0,0,0
9160 1911 Half & Half 6/4/16 oz Can,113,0,0,0,0,0,0,0,0,113,0,0,113
9161 1911 Haunted Hayride 6/4/16 oz Can,140,0,0,6,0,0,0,4,0,130,3,0,127
9162 1911 Honey Crisp 5.2 Gal Keg,8,0,0,0,0,0,0,0,0,8,0,0,8
9163 1911 Established Sour Cherry 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
20103 1911 Clear View Original Non-Alcoholic 6/4/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
20104 1911 Clear View Rose Non-Alcoholic 6/4/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
91001 1911 Spiked Nitro Cold Brew 6/4/12 oz Can,77,0,0,0,0,0,0, (2),0,79,0,0,79
91002 1911 Honeycrisp Mule 6/4/12 oz Can,19,0,0,0,0,0,0,5,0,14,0,0,14
91003 1911 Honeycrisp Vodka 1/6/750 mL Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
91004 1911 Cider Donut Bourbon 1/6/750 mL Btl,10,0,0,0,0,0,0,0,0,10,0,0,10
91007 1911 Whiskey Cola 6/4/12 oz Can,59,0,0,0,0,0,0,46,0,13,0,0,13
91008 1911 Spirits Variety (Canned Cocktails) 3/8/12 oz Can,44,0,0,0,0,0,0, (5),0,49,0,0,49
Total,"2,161",0,0,29, (1),0,0,73,0,"2,060",28,0,"2,032"
Bell's,,,,,,,,,,,,,
10701 Bell's Two Hearted 4/6/12 oz Btl,128,0,0,5,0,0,0, (4),0,127,0,0,127
10702 Bell's Two Hearted 2/12/12 oz Can,336,0,0,5,0,0,0,19,0,312,5,0,307
10703 Bell's Two Hearted 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
10704 Bell's Two Hearted 1/15/19.2 oz Can,31,0,0,0,0,0,0,3,0,28,0,0,28
10705 Bell's Two Hearted Keg 15.5BBL,21,0,0,0,0,0,0, (1),0,22,0,0,22
10706 Bell's Two Hearted 7.75 Gal Keg,2,0,0,0,0,0,0,0,0,2,1,0,1
10710 Bell's Christmas Ale 4/6/12 oz Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
10711 Bell's Oberon 4/6/12 oz Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
10712 Bell's Oberon 2/12/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
10713 Bell's Oberon Keg 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10714 Bell's Oberon 7.75 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10720 Bell's Oberon Variety 12oz 2/12PK Can,0,0,0,0,0,0,0,0,0,0,0,0,0
10721 Bell's Official 4/6/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
10722 Bell's Official 2/12/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
10723 Bell's Official Keg 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10724 Bell's Official 7.75 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10730 Bell's Hazy Hearted IPA 4/6/12 oz Can,7,0,0,0,0,0,0, (5),0,12,0,0,12
10731 Bell's Light Hearted Ale 4/6/12 oz Can,33,0,0,1,0,0,0,2,0,30,0,0,30
10732 Bell's Light Hearted Ale 2/12/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
10733 Bell's Light Hearted Ale Keg 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10734 Bell's Light Hearted Ale 7.75 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10741 Bell's Lager Of The Lakes 4/6/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
10742 Bell's Lager Of The Lakes 2/12/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
10743 Bell's Lager Of The Lakes Keg 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10751 Bell's Amber Ale 4/6/12 oz Btl,75,0,0,0,0,0,0,3,0,72,0,0,72
10752 Bell's Amber Ale 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10753 Bell's Amber Ale 7.75 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10754 Bell's Double Two Hearted 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
10755 Bell's Variety 2/12/12 oz Can,43,0,0,0,0,0,0, (1),0,44,1,0,43
10756 Bell's Kalamazoo Stout 4/6/12 oz Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
10757 Bell's Kalamazoo Stout 7.75 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10758 Bell's Expedition Stout 7.75 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10760 Bell's Quite Brite 4/6/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
10761 Bell's Porter 4/6/12 oz Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
10762 Bell's Third Coast Old Ale Keg 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10763 Bell's Third Coast Old Ale Keg 7.75 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10766 Bell's Tropical Oberon 6/4/12 oz Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
10767 Bell's Oktoberfest 4/6/12 oz Can,5,0,0,0,0,0,0,3,0,2,0,0,2
10768 Bell's Oktoberfest Keg 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10769 Bell's Oktoberfest 7.75 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10779 Bell's Hopslam 4/6/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
10799 Bell's Hopslam Keg 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10800 Bell's Hopslam 7.75 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
107001 Bell's Oberon Eclipse Citrus Wheat 4/6/12 oz Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
107002 Bell's Oberon Eclipse Citrus Wheat Keg 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
107003 Bell's Oberon Eclipse Citrus Wheat 7.75 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
107004 Bell's Oberon Eclipse Citrus Wheat 2/12/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
107005 Bell's Hazy Hearted IPA 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
107006 Bell's Big Hearted 4/6/12 oz Can,43,0,0,0,0,0,0,2,0,41,0,0,41
107007 Bell's Big Hearted 1/15/19.2 oz Can,13,0,0,0,0,0,0,3,0,10,0,0,10
107008 Bell's Oberon Eclipse Raspberry Wheat 4/6/12 oz Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
107009 Bell's Oberon Light 2/12/12 oz Can,39,0,0,0,0,0,0,4,0,35,0,0,35
107010 Bell's Summer Variety 1/24/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,776,0,0,11,0,0,0,28,0,737,7,0,730
Bella Ray Beverage,,,,,,,,,,,,,
94040 Bella Ray THC Jingle Juice 20 MG 6/4/12 oz Can,1,0,0,0,0,0,0,1,0,0,0,0,0
94044 Bella Ray THC Pink Lemonade 10 MG 6/4/12 oz Can,10,0,0,0,0,0,0, (25),0,35,0,0,35
94045 Bella Ray THC Iced Tea 10 MG 6/4/12 oz Can,6,0,0,0,0,0,0,6,0,0,0,0,0
94046 Bella Ray THC Lemonade 10 MG 6/4/12 oz Can,42,0,0,0,0,0,0, (1),0,43,0,0,43
94047 Bella Ray THC Tropical 10 MG 6/4/12 oz Can,6,0,0,0,0,0,0,0,0,6,0,0,6
Total,65,0,0,0,0,0,0, (19),0,84,0,0,84
BJ'S Private Label Brew,,,,,,,,,,,,,
13440 BJ'S Clearhead IPA Non-Alcoholic 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
14101 BJ'S Black Cherry Soda Keg 15.5 Gal Keg,2,0,0,0,0,0,0,0,0,2,0,0,2
14102 BJ'S Brewhouse Blonde 4/6/12 oz Can,1,0,0,0,0,0,0,0,0,1,0,0,1
14103 BJ'S Brewhouse Blonde Keg 15.5 Gal Keg,8,0,0,0,0,0,0,0,0,8,0,0,8
14104 BJ'S Committed DIPA 4/6/12 oz Can,2,0,0,0,0,0,0,0,0,2,0,0,2
14105 BJ'S Committed DIPA Keg 15.5 Gal Keg,2,0,0,0,0,0,0,0,0,2,0,0,2
14106 BJ'S Enchantress Pilsner Keg 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
14107 BJ'S Ginger Beer 6/4/12 oz Can,5,0,0,0,0,0,0,0,0,5,0,0,5
14108 BJ'S Ginger Beer Keg 15.5 Gal Keg,1,0,0,0,0,0,0,0,0,1,0,0,1
14109 BJ'S Grand Cru Keg 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
14110 BJ'S Harvest Hefeweizen Keg 15.5 Gal Keg,6,0,0,0,0,0,0,0,0,6,0,0,6
