Customer Num,Customer Name,Brand Family,Load Sheet Date,Case Equiv   2025,Case Equiv   2026,Case Equiv Unit Difference,Case Equiv Percentage Difference,$vol   2025,$vol   2026,$vol Unit Difference,$vol Percentage Difference,Gross Profit   2025,Gross Profit   2026,Gross Profit Unit Difference,Gross Profit Percentage Difference
13017,On The Rocks,Corona Extra,3/20/2026,,1.00,1.00,0.0%,,$31.30,$31.30,0.0%,,$8.62,$8.62,0.0%
13017,On The Rocks,Four Loko,4/27/2026,,4.90,4.90,0.0%,,$125.00,$125.00,0.0%,,$27.47,$27.47,0.0%
13017,On The Rocks,Modelo Chelada,6/29/2026,,6.00,6.00,0.0%,,$181.30,$181.30,0.0%,,$37.42,$37.42,0.0%
13017,On The Rocks,Lite,6/15/2026,,1.00,1.00,0.0%,,$21.75,$21.75,0.0%,,$6.57,$6.57,0.0%
13017,On The Rocks,Modelo Especial,3/13/2025,17.00,,-17.00,-100.0%,$538.95,,($538.95),-100.0%,$146.47,,($146.47),-100.0%
13017,On The Rocks,Corona Extra,5/27/2026,,14.83,14.83,0.0%,,$511.75,$511.75,0.0%,,$142.86,$142.86,0.0%
13017,On The Rocks,Sierra Nevada,3/13/2025,4.00,,-4.00,-100.0%,$154.00,,($154.00),-100.0%,$47.62,,($47.62),-100.0%
13017,On The Rocks,Modelo Especial,6/15/2026,,27.17,27.17,0.0%,,$857.45,$857.45,0.0%,,$242.25,$242.25,0.0%
13017,On The Rocks,Sierra Nevada,6/30/2025,2.00,,-2.00,-100.0%,$71.00,,($71.00),-100.0%,$21.26,,($21.26),-100.0%
13017,On The Rocks,Victoria,5/21/2026,,3.33,3.33,0.0%,,$99.35,$99.35,0.0%,,$28.13,$28.13,0.0%
13017,On The Rocks,Blue Moon,5/6/2025,1.00,,-1.00,-100.0%,$37.00,,($37.00),-100.0%,$10.98,,($10.98),-100.0%
13017,On The Rocks,Heineken USA,5/13/2025,15.00,,-15.00,-100.0%,$468.75,,($468.75),-100.0%,$117.60,,($117.60),-100.0%
13017,On The Rocks,Coors,4/22/2025,7.00,,-7.00,-100.0%,$168.90,,($168.90),-100.0%,$51.04,,($51.04),-100.0%
13017,On The Rocks,Cayman Jack,4/27/2026,,11.34,11.34,0.0%,,$372.00,$372.00,0.0%,,$90.54,$90.54,0.0%
13017,On The Rocks,Heineken USA,2/17/2026,,33.54,33.54,0.0%,,"$1,084.55","$1,084.55",0.0%,,$301.93,$301.93,0.0%
13017,On The Rocks,Corona Light,1/5/2026,,1.00,1.00,0.0%,,$31.50,$31.50,0.0%,,$8.87,$8.87,0.0%
13017,On The Rocks,Heineken USA,4/10/2026,,30.00,30.00,0.0%,,"$1,020.00","$1,020.00",0.0%,,$307.50,$307.50,0.0%
13017,On The Rocks,Victoria,4/3/2025,2.67,,-2.67,-100.0%,$75.00,,($75.00),-100.0%,$22.41,,($22.41),-100.0%
13017,On The Rocks,Modelo Chelada,4/10/2025,5.00,,-5.00,-100.0%,$156.50,,($156.50),-100.0%,$43.10,,($43.10),-100.0%
13017,On The Rocks,Modelo Chelada,5/27/2025,3.00,,-3.00,-100.0%,$99.00,,($99.00),-100.0%,$28.86,,($28.86),-100.0%
13017,On The Rocks,New Belgium Brewing Company,5/18/2026,,1.00,1.00,0.0%,,$38.10,$38.10,0.0%,,$11.10,$11.10,0.0%
13017,On The Rocks,Victoria,5/27/2025,1.00,,-1.00,-100.0%,$31.35,,($31.35),-100.0%,$8.80,,($8.80),-100.0%
13017,On The Rocks,Famosa,1/29/2026,,10.00,10.00,0.0%,,$260.00,$260.00,0.0%,,$71.90,$71.90,0.0%
13017,On The Rocks,Peroni,6/23/2026,,18.68,18.68,0.0%,,$613.00,$613.00,0.0%,,$156.61,$156.61,0.0%
13017,On The Rocks,Hard Mountain Dew,5/15/2026,,-2.00,-2.00,0.0%,,($60.00),($60.00),0.0%,,($14.74),($14.74),0.0%
13017,On The Rocks,White Claw,3/30/2026,,10.00,10.00,0.0%,,$346.50,$346.50,0.0%,,$97.60,$97.60,0.0%
13017,On The Rocks,Yuengling Flight,5/5/2026,,1.00,1.00,0.0%,,$29.00,$29.00,0.0%,,$9.35,$9.35,0.0%
13017,On The Rocks,Blue Moon,3/13/2025,6.60,,-6.60,-100.0%,$214.85,,($214.85),-100.0%,$60.50,,($60.50),-100.0%
13017,On The Rocks,Victoria,3/25/2025,1.33,,-1.33,-100.0%,$37.00,,($37.00),-100.0%,$10.71,,($10.71),-100.0%
13017,On The Rocks,Coors,2/10/2026,,5.00,5.00,0.0%,,$85.00,$85.00,0.0%,,$25.78,$25.78,0.0%
13017,On The Rocks,Coors Light,4/27/2026,,1.67,1.67,0.0%,,$40.10,$40.10,0.0%,,$9.64,$9.64,0.0%
13017,On The Rocks,Modelo Chelada,3/2/2026,,1.00,1.00,0.0%,,$31.30,$31.30,0.0%,,$8.62,$8.62,0.0%
13017,On The Rocks,Mike's Hard Lemonade,6/29/2026,,7.47,7.47,0.0%,,$264.00,$264.00,0.0%,,$80.46,$80.46,0.0%
13017,On The Rocks,Corona Extra,4/2/2026,,44.50,44.50,0.0%,,"$1,407.90","$1,407.90",0.0%,,$397.30,$397.30,0.0%
13017,On The Rocks,Modelo Especial,6/4/2026,,76.50,76.50,0.0%,,"$2,234.10","$2,234.10",0.0%,,$571.37,$571.37,0.0%
13017,On The Rocks,Coors,3/13/2025,3.00,,-3.00,-100.0%,$70.40,,($70.40),-100.0%,$21.78,,($21.78),-100.0%
