Customer Num,Customer Name,Brand Family,Load Sheet Date,Case Equiv   2025,Case Equiv   2026,Case Equiv Unit Difference,Case Equiv Percentage Difference,$vol   2025,$vol   2026,$vol Unit Difference,$vol Percentage Difference,Gross Profit   2025,Gross Profit   2026,Gross Profit Unit Difference,Gross Profit Percentage Difference
67005,Shoprite Liq (A)Northvle,Coors,6/26/2026,,12.50,12.50,0.0%,,$315.00,$315.00,0.0%,,$100.10,$100.10,0.0%
67005,Shoprite Liq (A)Northvle,Coors Light,6/3/2025,134.39,,-134.39,-100.0%,"$2,903.00",,"($2,903.00)",-100.0%,$817.44,,($817.44),-100.0%
67005,Shoprite Liq (A)Northvle,Arnold Palmer,4/22/2025,10.00,,-10.00,-100.0%,$293.00,,($293.00),-100.0%,$72.32,,($72.32),-100.0%
67005,Shoprite Liq (A)Northvle,Heineken Light,6/28/2025,20.00,,-20.00,-100.0%,$622.50,,($622.50),-100.0%,$157.30,,($157.30),-100.0%
67005,Shoprite Liq (A)Northvle,Sun Cruiser,3/25/2025,50.00,,-50.00,-100.0%,"$2,210.00",,"($2,210.00)",-100.0%,"$1,151.60",,"($1,151.60)",-100.0%
67005,Shoprite Liq (A)Northvle,Angry Orchard,1/9/2026,,5.00,5.00,0.0%,,$180.00,$180.00,0.0%,,$55.81,$55.81,0.0%
67005,Shoprite Liq (A)Northvle,Dab,5/28/2025,14.10,,-14.10,-100.0%,$242.00,,($242.00),-100.0%,$79.69,,($79.69),-100.0%
67005,Shoprite Liq (A)Northvle,Modelo Especial,4/17/2026,,4.00,4.00,0.0%,,$127.50,$127.50,0.0%,,$36.23,$36.23,0.0%
67005,Shoprite Liq (A)Northvle,Sapporo,4/16/2025,24.58,,-24.58,-100.0%,$678.75,,($678.75),-100.0%,$180.31,,($180.31),-100.0%
67005,Shoprite Liq (A)Northvle,Miller High Life,6/6/2025,13.33,,-13.33,-100.0%,$160.50,,($160.50),-100.0%,$36.66,,($36.66),-100.0%
67005,Shoprite Liq (A)Northvle,New Belgium Brewing Company,5/22/2026,,2.00,2.00,0.0%,,$76.20,$76.20,0.0%,,$22.20,$22.20,0.0%
67005,Shoprite Liq (A)Northvle,Yuengling Black & Tan,6/28/2025,2.00,,-2.00,-100.0%,$54.00,,($54.00),-100.0%,$15.70,,($15.70),-100.0%
67005,Shoprite Liq (A)Northvle,Sapporo,5/23/2025,24.58,,-24.58,-100.0%,$608.75,,($608.75),-100.0%,$175.41,,($175.41),-100.0%
67005,Shoprite Liq (A)Northvle,Sierra Nevada,4/28/2026,,15.00,15.00,0.0%,,$530.00,$530.00,0.0%,,$153.15,$153.15,0.0%
67005,Shoprite Liq (A)Northvle,Miller High Life,3/28/2025,10.00,,-10.00,-100.0%,$188.50,,($188.50),-100.0%,$48.16,,($48.16),-100.0%
67005,Shoprite Liq (A)Northvle,Corona Extra,6/2/2026,,34.58,34.58,0.0%,,"$1,132.50","$1,132.50",0.0%,,$309.81,$309.81,0.0%
67005,Shoprite Liq (A)Northvle,Lagunitas,2/27/2026,,13.00,13.00,0.0%,,$462.65,$462.65,0.0%,,$151.84,$151.84,0.0%
67005,Shoprite Liq (A)Northvle,Modelo Especial,5/19/2026,,65.00,65.00,0.0%,,"$1,948.75","$1,948.75",0.0%,,$557.30,$557.30,0.0%
67005,Shoprite Liq (A)Northvle,Truly,5/23/2025,46.00,,-46.00,-100.0%,"$1,168.40",,"($1,168.40)",-100.0%,$191.36,,($191.36),-100.0%
67005,Shoprite Liq (A)Northvle,Samuel Adams,1/10/2025,5.00,,-5.00,-100.0%,$154.00,,($154.00),-100.0%,$35.25,,($35.25),-100.0%
67005,Shoprite Liq (A)Northvle,Coors Light,4/29/2025,5.00,,-5.00,-100.0%,$127.00,,($127.00),-100.0%,$33.98,,($33.98),-100.0%
67005,Shoprite Liq (A)Northvle,Dogfish Head Beer,3/17/2026,,10.00,10.00,0.0%,,$359.00,$359.00,0.0%,,$102.90,$102.90,0.0%
67005,Shoprite Liq (A)Northvle,Heineken 0.0 Ultimate,5/5/2026,,1.87,1.87,0.0%,,$62.60,$62.60,0.0%,,$16.86,$16.86,0.0%
67005,Shoprite Liq (A)Northvle,Pilsner Urquell,6/17/2025,5.00,,-5.00,-100.0%,$163.00,,($163.00),-100.0%,$45.59,,($45.59),-100.0%
67005,Shoprite Liq (A)Northvle,Angry Orchard,6/10/2025,23.00,,-23.00,-100.0%,$712.50,,($712.50),-100.0%,$173.48,,($173.48),-100.0%
67005,Shoprite Liq (A)Northvle,Blue Moon,6/12/2026,,14.00,14.00,0.0%,,$439.00,$439.00,0.0%,,$117.25,$117.25,0.0%
67005,Shoprite Liq (A)Northvle,Hacker-Pschorr,2/13/2026,,1.87,1.87,0.0%,,$71.00,$71.00,0.0%,,$27.22,$27.22,0.0%
67005,Shoprite Liq (A)Northvle,River Horse Brewing Co,4/4/2025,5.00,,-5.00,-100.0%,$180.00,,($180.00),-100.0%,$53.65,,($53.65),-100.0%
67005,Shoprite Liq (A)Northvle,Coors Light,5/15/2026,,31.67,31.67,0.0%,,$657.00,$657.00,0.0%,,$191.14,$191.14,0.0%
67005,Shoprite Liq (A)Northvle,Coors Light,5/13/2025,43.00,,-43.00,-100.0%,$995.30,,($995.30),-100.0%,$290.55,,($290.55),-100.0%
67005,Shoprite Liq (A)Northvle,White Claw,5/19/2026,,25.00,25.00,0.0%,,$785.00,$785.00,0.0%,,$211.25,$211.25,0.0%
67005,Shoprite Liq (A)Northvle,Coors Light,6/16/2026,,42.92,42.92,0.0%,,$977.50,$977.50,0.0%,,$287.16,$287.16,0.0%
67005,Shoprite Liq (A)Northvle,Coors Light,6/12/2026,,25.00,25.00,0.0%,,$635.50,$635.50,0.0%,,$182.12,$182.12,0.0%
67005,Shoprite Liq (A)Northvle,Lagunitas,1/6/2026,,5.00,5.00,0.0%,,$184.00,$184.00,0.0%,,$58.95,$58.95,0.0%
67005,Shoprite Liq (A)Northvle,Miller Extra Light,5/12/2026,,12.50,12.50,0.0%,,$270.00,$270.00,0.0%,,$66.06,$66.06,0.0%
67005,Shoprite Liq (A)Northvle,Modelo Especial,5/22/2026,,4.00,4.00,0.0%,,$112.50,$112.50,0.0%,,$33.62,$33.62,0.0%
67005,Shoprite Liq (A)Northvle,Sierra Nevada,2/21/2025,20.00,,-20.00,-100.0%,$660.00,,($660.00),-100.0%,$199.40,,($199.40),-100.0%
67005,Shoprite Liq (A)Northvle,Amstel,1/6/2026,,10.00,10.00,0.0%,,$302.50,$302.50,0.0%,,$78.00,$78.00,0.0%
67005,Shoprite Liq (A)Northvle,Viva Tequila Seltzer,6/2/2026,,5.00,5.00,0.0%,,$278.15,$278.15,0.0%,,$113.15,$113.15,0.0%
67005,Shoprite Liq (A)Northvle,Delta,6/12/2026,,4.00,4.00,0.0%,,$296.00,$296.00,0.0%,,$159.40,$159.40,0.0%
67005,Shoprite Liq (A)Northvle,Dos Equis,2/7/2025,5.00,,-5.00,-100.0%,$145.00,,($145.00),-100.0%,$44.55,,($44.55),-100.0%
67005,Shoprite Liq (A)Northvle,Magners,3/28/2025,5.00,,-5.00,-100.0%,$190.00,,($190.00),-100.0%,$55.31,,($55.31),-100.0%
67005,Shoprite Liq (A)Northvle,Modelo Especial,5/9/2025,3.00,,-3.00,-100.0%,$95.25,,($95.25),-100.0%,$27.21,,($27.21),-100.0%
67005,Shoprite Liq (A)Northvle,Sierra Nevada,2/3/2026,,28.00,28.00,0.0%,,$952.00,$952.00,0.0%,,$282.04,$282.04,0.0%
67005,Shoprite Liq (A)Northvle,Fresca Hard Sparkling,6/9/2026,,2.00,2.00,0.0%,,$52.20,$52.20,0.0%,,$13.04,$13.04,0.0%
67005,Shoprite Liq (A)Northvle,Heineken 0.0,1/10/2025,14.01,,-14.01,-100.0%,$456.75,,($456.75),-100.0%,$121.05,,($121.05),-100.0%
67005,Shoprite Liq (A)Northvle,Lagunitas,3/17/2026,,11.00,11.00,0.0%,,$366.80,$366.80,0.0%,,$120.89,$120.89,0.0%
67005,Shoprite Liq (A)Northvle,Amstel,2/18/2025,10.00,,-10.00,-100.0%,$302.50,,($302.50),-100.0%,$77.60,,($77.60),-100.0%
67005,Shoprite Liq (A)Northvle,Cayman Jack,5/15/2026,,10.54,10.54,0.0%,,$341.00,$341.00,0.0%,,$82.95,$82.95,0.0%
67005,Shoprite Liq (A)Northvle,Miller Genuine Draft,5/13/2025,12.50,,-12.50,-100.0%,$260.00,,($260.00),-100.0%,$63.06,,($63.06),-100.0%
67005,Shoprite Liq (A)Northvle,Narragansett,5/22/2026,,15.67,15.67,0.0%,,$349.00,$349.00,0.0%,,$94.10,$94.10,0.0%
67005,Shoprite Liq (A)Northvle,Weihenstephaner,2/7/2025,6.54,,-6.54,-100.0%,$294.00,,($294.00),-100.0%,$91.78,,($91.78),-100.0%
67005,Shoprite Liq (A)Northvle,Pilsner Urquell,4/22/2025,5.00,,-5.00,-100.0%,$163.00,,($163.00),-100.0%,$45.59,,($45.59),-100.0%
67005,Shoprite Liq (A)Northvle,Crescent 9,3/31/2026,,4.00,4.00,0.0%,,$216.00,$216.00,0.0%,,$68.92,$68.92,0.0%
67005,Shoprite Liq (A)Northvle,Voodoo Family,3/24/2026,,3.00,3.00,0.0%,,$106.50,$106.50,0.0%,,$29.94,$29.94,0.0%
