Customer Num,Customer Name,Brand Family,Load Sheet Date,Case Equiv   2025,Case Equiv   2026,Case Equiv Unit Difference,Case Equiv Percentage Difference,$vol   2025,$vol   2026,$vol Unit Difference,$vol Percentage Difference,Gross Profit   2025,Gross Profit   2026,Gross Profit Unit Difference,Gross Profit Percentage Difference
5001,River Place Food Store,Coors Light,7/17/2025,29.00,,-29.00,-100.0%,$681.30,,($681.30),-100.0%,$202.69,,($202.69),-100.0%
5001,River Place Food Store,Corona NA,4/7/2026,,3.00,3.00,0.0%,,$93.00,$93.00,0.0%,,$26.67,$26.67,0.0%
5001,River Place Food Store,Modelo Chelada,7/25/2025,9.00,,-9.00,-100.0%,$281.70,,($281.70),-100.0%,$76.84,,($76.84),-100.0%
5001,River Place Food Store,Garage Beer,4/7/2025,3.00,,-3.00,-100.0%,$74.25,,($74.25),-100.0%,$20.64,,($20.64),-100.0%
5001,River Place Food Store,Heineken Light,7/30/2026,,4.00,4.00,0.0%,,$125.10,$125.10,0.0%,,$31.62,$31.62,0.0%
5001,River Place Food Store,Coors,3/31/2026,,3.00,3.00,0.0%,,$83.40,$83.40,0.0%,,$25.82,$25.82,0.0%
5001,River Place Food Store,Miller Extra Light,6/16/2026,,-3.75,-3.75,0.0%,,($88.00),($88.00),0.0%,,($23.43),($23.43),0.0%
5001,River Place Food Store,Modelo Chelada,7/17/2025,3.00,,-3.00,-100.0%,$93.90,,($93.90),-100.0%,$25.86,,($25.86),-100.0%
5001,River Place Food Store,Corona Familiar,6/5/2026,,4.67,4.67,0.0%,,$137.00,$137.00,0.0%,,$39.15,$39.15,0.0%
5001,River Place Food Store,Miller High Life,5/14/2025,5.00,,-5.00,-100.0%,$103.50,,($103.50),-100.0%,$25.70,,($25.70),-100.0%
5001,River Place Food Store,Twisted Tea,6/16/2026,,1.00,1.00,0.0%,,$30.00,$30.00,0.0%,,$8.35,$8.35,0.0%
5001,River Place Food Store,Lite,6/5/2026,,41.58,41.58,0.0%,,$889.90,$889.90,0.0%,,$237.04,$237.04,0.0%
5001,River Place Food Store,Yuengling Lager,5/9/2025,10.00,,-10.00,-100.0%,$258.00,,($258.00),-100.0%,$81.63,,($81.63),-100.0%
5001,River Place Food Store,Angry Orchard,5/20/2026,,6.00,6.00,0.0%,,$211.50,$211.50,0.0%,,$63.06,$63.06,0.0%
5001,River Place Food Store,Corona Familiar,5/21/2025,2.00,,-2.00,-100.0%,$63.00,,($63.00),-100.0%,$17.74,,($17.74),-100.0%
5001,River Place Food Store,Corona Extra,5/21/2025,53.92,,-53.92,-100.0%,"$1,707.25",,"($1,707.25)",-100.0%,$489.75,,($489.75),-100.0%
5001,River Place Food Store,Corona Premier,6/26/2026,,2.00,2.00,0.0%,,$53.90,$53.90,0.0%,,$15.30,$15.30,0.0%
5001,River Place Food Store,Modelo Chelada,5/9/2025,9.00,,-9.00,-100.0%,$281.70,,($281.70),-100.0%,$77.59,,($77.59),-100.0%
5001,River Place Food Store,Samuel Adams,4/10/2026,,4.00,4.00,0.0%,,$147.20,$147.20,0.0%,,$45.48,$45.48,0.0%
5001,River Place Food Store,Modelo Especial,2/14/2025,29.00,,-29.00,-100.0%,$907.75,,($907.75),-100.0%,$255.48,,($255.48),-100.0%
5001,River Place Food Store,Victoria,5/23/2025,20.00,,-20.00,-100.0%,$598.00,,($598.00),-100.0%,$166.92,,($166.92),-100.0%
5001,River Place Food Store,Coors Light,4/1/2025,41.33,,-41.33,-100.0%,$798.05,,($798.05),-100.0%,$212.49,,($212.49),-100.0%
5001,River Place Food Store,Modelo Especial,7/10/2025,58.00,,-58.00,-100.0%,"$1,773.70",,"($1,773.70)",-100.0%,$455.91,,($455.91),-100.0%
5001,River Place Food Store,Modelo Chelada,6/25/2025,6.00,,-6.00,-100.0%,$184.50,,($184.50),-100.0%,$44.22,,($44.22),-100.0%
5001,River Place Food Store,Victoria,2/27/2026,,8.33,8.33,0.0%,,$250.20,$250.20,0.0%,,$69.85,$69.85,0.0%
5001,River Place Food Store,Sun Cruiser,6/24/2026,,4.00,4.00,0.0%,,$162.00,$162.00,0.0%,,$88.52,$88.52,0.0%
5001,River Place Food Store,Steel Reserve,4/15/2025,8.33,,-8.33,-100.0%,$118.25,,($118.25),-100.0%,$27.15,,($27.15),-100.0%
5001,River Place Food Store,Victoria,2/21/2025,17.00,,-17.00,-100.0%,$501.50,,($501.50),-100.0%,$137.70,,($137.70),-100.0%
5001,River Place Food Store,Garage Beer,6/9/2026,,5.00,5.00,0.0%,,$123.75,$123.75,0.0%,,$35.65,$35.65,0.0%
5001,River Place Food Store,White Claw,7/15/2025,1.00,,-1.00,-100.0%,$34.60,,($34.60),-100.0%,$10.01,,($10.01),-100.0%
5001,River Place Food Store,Coors,2/24/2026,,2.00,2.00,0.0%,,$51.60,$51.60,0.0%,,$15.76,$15.76,0.0%
5001,River Place Food Store,Coors Light,6/18/2025,38.33,,-38.33,-100.0%,$697.00,,($697.00),-100.0%,$195.69,,($195.69),-100.0%
5001,River Place Food Store,Corona Extra,7/16/2026,,6.50,6.50,0.0%,,$227.40,$227.40,0.0%,,$63.80,$63.80,0.0%
5001,River Place Food Store,White Claw,5/29/2025,4.00,,-4.00,-100.0%,$135.00,,($135.00),-100.0%,$36.97,,($36.97),-100.0%
5001,River Place Food Store,Blue Moon,5/22/2026,,1.60,1.60,0.0%,,$46.60,$46.60,0.0%,,$11.55,$11.55,0.0%
5001,River Place Food Store,Modelo Especial,4/16/2026,,28.33,28.33,0.0%,,$863.50,$863.50,0.0%,,$218.35,$218.35,0.0%
5001,River Place Food Store,Corona Familiar,5/23/2025,5.33,,-5.33,-100.0%,$148.00,,($148.00),-100.0%,$42.83,,($42.83),-100.0%
5001,River Place Food Store,Corona Light,3/28/2025,2.00,,-2.00,-100.0%,$62.00,,($62.00),-100.0%,$17.24,,($17.24),-100.0%
5001,River Place Food Store,Mike's Hard Lemonade,6/24/2026,,4.80,4.80,0.0%,,$165.00,$165.00,0.0%,,$50.29,$50.29,0.0%
5001,River Place Food Store,Corona Sunbrew,7/17/2025,1.00,,-1.00,-100.0%,$30.00,,($30.00),-100.0%,$7.32,,($7.32),-100.0%
5001,River Place Food Store,Corona Light,5/5/2026,,5.00,5.00,0.0%,,$157.00,$157.00,0.0%,,$44.10,$44.10,0.0%
5001,River Place Food Store,Corona Light,5/28/2026,,6.00,6.00,0.0%,,$187.50,$187.50,0.0%,,$52.47,$52.47,0.0%
5001,River Place Food Store,Sierra Nevada,5/22/2026,,4.00,4.00,0.0%,,$141.00,$141.00,0.0%,,$40.60,$40.60,0.0%
5001,River Place Food Store,Sun Cruiser,6/26/2026,,44.00,44.00,0.0%,,"$1,756.00","$1,756.00",0.0%,,$957.75,$957.75,0.0%
5001,River Place Food Store,Victoria,3/6/2026,,7.00,7.00,0.0%,,$211.00,$211.00,0.0%,,$58.26,$58.26,0.0%
5001,River Place Food Store,Peroni,4/24/2026,,1.00,1.00,0.0%,,$32.50,$32.50,0.0%,,$11.08,$11.08,0.0%
5001,River Place Food Store,Bell's Hearted Family,6/10/2025,1.00,,-1.00,-100.0%,$38.50,,($38.50),-100.0%,$14.68,,($14.68),-100.0%
5001,River Place Food Store,Corona Extra,5/8/2026,,12.92,12.92,0.0%,,$424.15,$424.15,0.0%,,$107.51,$107.51,0.0%
5001,River Place Food Store,Miller High Life,7/10/2026,,5.00,5.00,0.0%,,$102.50,$102.50,0.0%,,$27.41,$27.41,0.0%
5001,River Place Food Store,Modelo Chelada,2/14/2025,8.00,,-8.00,-100.0%,$249.30,,($249.30),-100.0%,$66.47,,($66.47),-100.0%
5001,River Place Food Store,Victoria,6/26/2025,17.67,,-17.67,-100.0%,$540.75,,($540.75),-100.0%,$151.61,,($151.61),-100.0%
5001,River Place Food Store,Victoria,5/15/2026,,20.00,20.00,0.0%,,$605.00,$605.00,0.0%,,$167.20,$167.20,0.0%
5001,River Place Food Store,Miller High Life,3/17/2026,,5.00,5.00,0.0%,,$103.50,$103.50,0.0%,,$25.95,$25.95,0.0%
5001,River Place Food Store,Twisted Tea,6/9/2026,,5.00,5.00,0.0%,,$149.50,$149.50,0.0%,,$40.50,$40.50,0.0%
5001,River Place Food Store,Modelo Especial,7/23/2026,,24.33,24.33,0.0%,,$736.60,$736.60,0.0%,,$183.25,$183.25,0.0%
5001,River Place Food Store,Lite,3/26/2026,,6.67,6.67,0.0%,,$139.00,$139.00,0.0%,,$34.52,$34.52,0.0%
5001,River Place Food Store,Dogfish Head Beer,3/26/2026,,2.00,2.00,0.0%,,$75.60,$75.60,0.0%,,$28.30,$28.30,0.0%
5001,River Place Food Store,Modelo Especial,3/20/2025,4.00,,-4.00,-100.0%,$125.20,,($125.20),-100.0%,$34.48,,($34.48),-100.0%
5001,River Place Food Store,White Claw,5/14/2025,100.00,,-100.00,-100.0%,"$3,100.50",,"($3,100.50)",-100.0%,$824.92,,($824.92),-100.0%
5001,River Place Food Store,Bell's Hearted Family,7/17/2025,1.00,,-1.00,-100.0%,$35.50,,($35.50),-100.0%,$11.68,,($11.68),-100.0%
5001,River Place Food Store,Voodoo Family,6/3/2025,5.00,,-5.00,-100.0%,$183.70,,($183.70),-100.0%,$47.78,,($47.78),-100.0%
5001,River Place Food Store,Coors,6/5/2026,,1.00,1.00,0.0%,,$17.50,$17.50,0.0%,,$4.92,$4.92,0.0%
5001,River Place Food Store,Victoria,6/26/2026,,8.00,8.00,0.0%,,$249.05,$249.05,0.0%,,$69.50,$69.50,0.0%
5001,River Place Food Store,Yuengling Lager,4/7/2026,,9.00,9.00,0.0%,,$228.60,$228.60,0.0%,,$67.65,$67.65,0.0%
5001,River Place Food Store,Bell's,3/24/2026,,1.00,1.00,0.0%,,$32.40,$32.40,0.0%,,$9.62,$9.62,0.0%
