Product,Distributor,BBC SKU,Customer SKU,07/25/2026 F,07/25/2026 A,08/01/2026 F,08/01/2026 A,08/08/2026 F,08/08/2026 A,08/15/2026 F,08/15/2026 A,08/22/2026 F,08/22/2026 A,08/29/2026 F,08/29/2026 A,09/05/2026 F,09/05/2026 A,09/12/2026 F,09/12/2026 A,09/19/2026 F,09/19/2026 A,09/26/2026 F,09/26/2026 A,10/03/2026 F,10/03/2026 A,10/10/2026 F,10/10/2026 A
Dogfish Head Fall Variety Pack 12oz 2/12pk CN,076KOH,DB8N63,,0,0,0,0,20,,20,,20,,20,,18,,17,,18,,16,,5,,6,
Dogfish Head Summer Variety Pack 12oz 2/12pk CN,076KOH,DBAE63,12137,11,,13,,4,,2,,2,,1,,0,,0,,0,,0,,0,,0,
Dogfish Head Got A Minute IPA VP  12oz 2/12pk CN,076KOH,DBBG63,12144,29,,21,,19,,19,,19,,19,,17,,15,,16,,15,,16,,19,
Dogfish Head x Grateful Dead Juicy Pale Ale 19.2oz 12pk CN,076KOH,DBCK54,12152,7,,5,,4,,4,,4,,4,,4,,3,,4,,3,,3,,4,
Dogfish Head x Grateful Dead Juicy Pale Ale 1/6 BBL KEG,076KOH,DBCK60,12151,10,,8,,8,,8,,8,,8,,7,,7,,7,,6,,6,,7,
Dogfish Head x Grateful Dead Juicy Pale Ale 12oz 2/12pk CN,076KOH,DBCK63,12155,56,,41,,34,,34,,34,,34,,30,,28,,29,,27,,26,,31,
Dogfish Head x Grateful Dead Juicy Pale Ale 12oz 4/6pk CN,076KOH,DBCK66,12149,70,,51,,53,,53,,53,,53,,52,,48,,50,,47,,40,,47,
Dogfish Head x Grateful Dead Juicy Pale Ale 1/2 BBL KEG,076KOH,DBCK90,12151,14,,10,,10,,10,,10,,10,,9,,8,,9,,8,,8,,9,
Dogfish Head 30 Minute Light IPA 12oz 2/12pk CN,076KOH,DBCT63,12148,62,,53,,57,,49,,50,,60,,45,,44,,38,,38,,36,,36,
Dogfish Head 30 Minute Light IPA 12oz 4/6pk CN,076KOH,DBCT66,12147,20,,20,,17,,18,,18,,21,,16,,16,,13,,12,,12,,13,
