Supplier,Brand Family,Package,Product Link,Supplier Product ID,Cases This Week,Cases Last Week,Cases -1 Weeks,Cases -2 Weeks,Cases -3 Weeks,Cases -4 Weeks,Cases -5 Weeks,Cases -6 Weeks,Cases -7 Weeks,Cases -8 Weeks,Available,Last Receive Date,Last Receive Quantity
Boston Beer Company,Sun Cruiser,3/8/12oz Can,200636 Sun Cruiser Classic Iced Tea 3/8/12oz Can,AW1178,49,175,162,345,234,146,154,163,155,99,802,7/20/2026,104
Boston Beer Company,Twisted Tea,1/12/24oz Can,8384 Twisted Tea Extreme Lemon 1/12/24 oz Can,OA3Z53,47,63,55,77,37,86,57,51,63,36,124,7/9/2026,102
Boston Beer Company,Samuel Adams,2/12/12oz NR,3843 Sam Adams Summer Ale 2/12/12 oz Btl,SA3513,46,92,208,318,292,160,299,141,148,79,0,7/7/2026,60
Boston Beer Company,Dogfish Head Beer,4/6/12oz Can,12149 Dogfish Head Grateful Dead Juicy Pale Ale 4/6/12 oz Can,DBCK66,45,51,24,97,66,70,54,54,49,22,216,7/20/2026,100
Boston Beer Company,Twisted Tea,2/12/12oz Can,8349 Twisted Tea Half & Half 2/12/12 oz Can,OA9363,44,85,153,227,489,160,107,159,79,55,744,7/13/2026,200
Boston Beer Company,Sun Cruiser,3/8/12oz Can,200637 Sun Cruiser Half & Half Lemonade Iced Tea 3/8/12 oz Can,AW1278,43,113,108,184,428,102,144,86,99,109,1072,7/16/2026,208
Boston Beer Company,Sun Cruiser,3/8/12oz Can,200680 Sun Cruiser White Tea Variety 3/8/12 oz Can,AW1V78,43,104,74,179,297,,,50,88,28,233,7/10/2026,208
Boston Beer Company,Angry Orchard,2/12/12oz NR,8111 Angry Orchard Crisp Apple 2/12/12 oz Btl,OA7813,42,40,47,99,63,50,84,52,47,45,162,7/16/2026,180
Boston Beer Company,Angry Orchard,4/6/12oz NR,8134 Angry Orchard Rose 4/6/12 oz Btl,OA5512,41,76,23,38,64,56,32,39,34,16,101,7/13/2026,60
Boston Beer Company,Twisted Tea,1/12/24oz Can,8348 Twisted Tea Raspberry 1/12/24 oz Can,OA9253,39,46,30,58,45,59,39,60,25,23,199,7/13/2026,102
Boston Beer Company,Dogfish Head Beer,2/12/12oz Can,12144 Dogfish Head All IPA Variety 2/12/12 oz Can,DBBG63,37,21,12,66,33,23,10,19,17,7,65,6/16/2026,100
Boston Beer Company,Samuel Adams,15.5 Gal Keg,3807 Sam Adams Summer Ale 15.5 Gal Keg,SA3590,37,63,54,69,60,55,66,66,59,25,0,7/13/2026,24
Boston Beer Company,Angry Orchard,1/12/19.2 oz Can,8153 Angry Orchard Crisp Imperial 1/12/19.2 oz Can,28831,36,27,29,30,29,28,28,33,22,5,30,7/6/2026,100
Boston Beer Company,Samuel Adams,1/6 BBL Keg (5.2 Gal),3860 Sam Adams Summer Ale 5.2 Gal Keg,SA3560,36,53,46,63,68,55,60,48,54,25,24,7/13/2026,12
Boston Beer Company,Samuel Adams,4/6/12oz NR,3821 Sam Adams Cherry Wheat 4/6/12 oz Btl,SA2712,36,40,40,83,71,49,66,53,41,22,128,7/10/2026,120
Boston Beer Company,Sun Cruiser,6/4/12oz Can,200633 Sun Cruiser Lemonade & Iced Tea 6/4/12 oz Can,AW124S,36,23,30,65,64,32,50,112,6,,207,6/5/2026,312
Boston Beer Company,Twisted Tea,1/24/12oz Can,8375 Twisted Tea Party Pack Variety 1/24/12 oz Loose Can,OA9433,36,25,24,198,84,39,158,62,30,67,77,6/22/2026,200
Boston Beer Company,Truly,2/12/12oz Can,8666 Truly Hard Seltzer Fruit Punch Variety 2/12/12 oz Can,PD4473,35,38,66,96,50,89,55,35,58,21,249,7/10/2026,104
Boston Beer Company,Truly,2/12/12oz Can,8684 Truly Hard Seltzer Citrus Variety 2/12/12 oz Can,PD1073,35,39,55,121,88,90,40,45,61,45,336,7/10/2026,104
Boston Beer Company,Dogfish Head Spirits,3/8/12oz Can,200608 Dogfish Head Bar Cart Variety 3/8/12 oz Can,DS3178,34,85,46,62,43,-23,130,32,46,19,628,7/20/2026,156
Boston Beer Company,Truly,2/12/12oz Can,8647 Truly Hard Seltzer Unruly Variety 2/12/12 oz Can,PD2R73,33,49,76,107,126,72,48,60,72,37,480,7/13/2026,208
Boston Beer Company,Truly,2/12/12oz Can,8664 Truly Star Squad 2/12/12 oz Can,PD7473,33,16,69,146,68,113,48,47,42,29,367,6/8/2026,312
Boston Beer Company,Twisted Tea,1/12/24oz Can,8360 Twisted Tea Peach 1/12/24 oz Can,OA9553,31,29,26,39,28,24,43,18,21,7,186,7/8/2026,102
Boston Beer Company,Sun Cruiser,6/4/12oz Can,200632 Sun Cruiser Classic Iced Tea 6/4/12 oz Can,AW114S,30,40,35,65,80,50,79,162,12,,281,7/8/2026,104
Boston Beer Company,Truly,1/12/24oz Can,8677 Truly Hard Seltzer Wild Berry 1/12/24 oz Can,PD0853,30,13,34,36,34,19,26,30,11,11,180,7/13/2026,102
Boston Beer Company,Dogfish Head Beer,4/6/12oz Can,12015 Dogfish Head Seaquench Ale 4/6/12 oz Can,DB0466,29,14,32,26,26,35,15,12,14,4,70,7/20/2026,50
Boston Beer Company,Twisted Tea,2/12/12oz Can,8387 Twisted Tea Extreme Variety Pack 2/12/12 oz Can,OA7T63,29,56,46,89,141,68,53,63,75,,366,7/10/2026,100
Boston Beer Company,Dogfish Head Beer,12/19.2oz Can,12048 Dogfish Head 90 Minute IPA 1/12/19.2 oz Can,DB0154,28,25,16,46,21,29,25,32,31,13,182,7/20/2026,80
Boston Beer Company,Hard Mountain Dew,2/12/12oz Can,83003 Hard Mountain Dew Mix 2/12/12 oz Can,AJ0563A1,28,33,23,55,35,44,15,38,15,10,84,7/10/2026,100
Boston Beer Company,Samuel Adams,2/12/12oz Can,3829 Sam Adams Boston Lager 2/12/12 oz Can,SA1063,28,47,20,65,29,44,43,40,30,30,200,7/8/2026,100
Boston Beer Company,Twisted Tea,4/6/12oz NR,8343 Twisted Tea Light 4/6/12 oz Btl,OA9712,27,52,12,52,40,30,38,44,35,,27,7/13/2026,60
Boston Beer Company,Dogfish Head Beer,2/12/12oz Can,12137 Dogfish Head Groovy Summer Variety 2/12/12 oz Can,DBAE63,26,27,28,45,33,38,52,24,23,18,23,7/10/2026,50
Boston Beer Company,Sun Cruiser,3/8/12oz Can,200641 Sun Cruiser Vodka Pink Lemonade 3/8/12 oz Can,AW1878,26,91,90,171,195,91,215,-3,11,,449,7/16/2026,104
Boston Beer Company,Dogfish Head Beer,2/12/12oz Can,12155 Dogfish Head Grateful Dead Juicy Pale Ale 2/12/12 oz Can,DBCK63,24,26,20,24,38,29,21,50,24,13,224,7/20/2026,100
Boston Beer Company,Sun Cruiser,1/12/19.2 oz Can,200675 Sun Cruiser Lemonade Iced Tea 1/12/19.2 oz Can,AW1257,24,25,29,32,21,16,25,12,20,6,116,6/22/2026,100
Boston Beer Company,Angry Orchard,1/12/19.2oz,8154 Angry Orchard Crisp Apple 1/12/19.2 oz Can,OA7854,23,47,40,61,36,53,42,57,39,9,220,6/24/2026,100
Boston Beer Company,Twisted Tea,1/12/24oz Can,8383 Twisted Tea Extreme Blue Razz 1/12/24 oz Can,OA4853,23,33,19,35,43,33,29,20,16,21,53,7/8/2026,102
Boston Beer Company,Truly,2/12/12oz Can,8674 Truly Hard Seltzer Lemonade Variety 2/12/12 oz Can,PD2573,22,42,80,105,59,96,40,53,47,29,344,7/13/2026,104
Boston Beer Company,Dogfish Head Beer,4/6/12oz Can,12147 Dogfish Head 30 Minute IPA 4/6/12 oz Can,DBCT66,21,11,16,35,25,24,18,19,15,2,86,7/20/2026,50
Boston Beer Company,Truly,2/12/12oz Can,8648 Truly Party 2/12/12 oz Can,PD2F73,20,39,28,68,30,49,31,11,27,29,172,7/8/2026,104
Boston Beer Company,Twisted Tea,1/12/24oz Can,8344 Twisted Tea Light 1/12/24 oz Can,OA9753,20,17,15,31,27,25,26,23,21,16,186,6/22/2026,102
Boston Beer Company,Sun Cruiser,1/12/19.2 oz Can,200672 Sun Cruiser Classic Iced Tea 1/12/19.2 oz Can,AW1157,19,29,26,40,24,27,36,38,24,25,173,7/7/2026,100
Boston Beer Company,Truly,2/12/12oz Can,8651 Truly Hard Seltzer Unruly Lemonade Variety 2/12/12 oz Can,PD4G73,19,23,44,62,44,63,15,21,27,19,133,7/7/2026,104
Boston Beer Company,Dogfish Head Beer,12/19.2oz Can,12014 Dogfish Head 60 Minute IPA 1/12/19.2 oz Can,DB0054,18,26,9,27,20,27,18,21,20,10,138,7/20/2026,40
Boston Beer Company,Sun Cruiser,3/8/12oz Can,200676 Sun Cruiser Blueberry Lemonade 3/8/12 oz Can,AW1F78,18,36,82,14,113,44,61,103,94,50,468,7/16/2026,104
Boston Beer Company,Truly,1/12/24oz Can,8676 Truly Hard Seltzer Pineapple 1/12/24 oz Can,PD1653,18,10,14,14,23,21,21,10,10,5,95,7/7/2026,102
Boston Beer Company,Sun Cruiser,1/12/19.2 oz Can,200673 Sun Cruiser Pink Lemonade 1/12/19.2 oz Can,AW1857,17,17,29,30,18,18,20,16,7,10,37,5/27/2026,100
Boston Beer Company,Dogfish Head Beer,4/6/12oz Can,12158 Dogfish Head Citrus Day Dream 4/6/12 oz Can,DBDV66,16,15,6,27,17,24,23,21,23,5,98,6/25/2026,100
Boston Beer Company,Hard Mountain Dew,1/12/24oz Can,83001 Hard Mountain Dew Baja Blast 1/12/24 oz Can,AJ0253A1,16,1,22,11,17,31,8,15,11,4,99,6/22/2026,102
Boston Beer Company,Samuel Adams,4/6/12oz Can,4027 Sam Adams Golden Non-Alcoholic 4/6/12 oz Can,SA8Z66,16,11,1,6,7,17,7,6,6,8,22,7/10/2026,50
Boston Beer Company,Twisted Tea,2/12/12oz NR,8332 Twisted Tea 2/12/12 oz Btl,OA9113,16,36,45,58,54,14,30,74,23,,94,7/10/2026,60
Boston Beer Company,Dogfish Head Spirits,6/4/12oz Can,200610 Dogfish Head Blood Orange & Mango Vodka Crush 6/4/12 oz Can,DS264S,15,29,13,16,28,22,25,5,18,11,136,7/20/2026,52
Boston Beer Company,Sun Cruiser,1/24/12oz Can,200679 Sun Cruiser Pink Lemonade 1/24/12 oz Can,AW1877,15,30,12,13,42,31,20,10,20,18,442,7/10/2026,104
Boston Beer Company,Twisted Tea,1/12/24oz Can,8390 Twisted Tea Extreme Tropical Peach 1/12/24 oz Can,OA7R53,13,20,16,27,16,28,32,25,22,27,160,7/7/2026,102
