Supplier,Brand Family,Package,Product Link,Supplier Product ID,Cases This Week,Cases Last Week,Cases -1 Weeks,Cases -2 Weeks,Cases -3 Weeks,Cases -4 Weeks,Cases -5 Weeks,Cases -6 Weeks,Cases -7 Weeks,Cases -8 Weeks,Available,Last Receive Date,Last Receive Quantity
Boston Beer Company,Dogfish Head Beer,4/6/12oz Can,12020 Dogfish Head Liquid Truth Serum 4/6/12 oz Can,DB0566,,,,,,-3,,,,,0,,
Boston Beer Company,Dogfish Head Beer,4/6/12oz Can,12069 Dogfish Head Covered in Nuggs 4/6/12 oz Can,DBBN6641,,,,,,,,-6,,,0,,
Boston Beer Company,Dogfish Head Beer,4/6/12oz Can,12142 Dogfish Head Punkin Ale 4/6/12 oz Can,DB1566,,,,,,,-1,-1,,,0,,
Boston Beer Company,Dogfish Head Beer,4/6/12oz Can,12153 Dogfish Head Tropical Squall 4/6/12 oz Can,DBBF66,,,,,,,,-2,,,0,2/20/2026,50
Boston Beer Company,Dogfish Head Beer,4/6/12oz Can,12157 Dogfish Head Czech Spresso 4/6/12 oz Can,DBDR66,,-1,1,,3,1,2,-2,-1,-1,18,,
Boston Beer Company,Dogfish Head Beer,4/6/12oz Can,12159 Dogfish Head Aprihop IPA 4/6/12 oz Can,,,,,,,,,,,5,0,4/10/2026,100
Boston Beer Company,Dogfish Head Spirits,1/12/750 mL (BO),200600 Dogfish Head Analog Vodka 1/12/750 mL Btl,DS0319,,,,,,,,1,,,270,,
Boston Beer Company,Dogfish Head Spirits,6/4/12oz Can,200617 Dogfish Head Rum Mai Tai Pineapple Orange 6/4/12 oz Can,DS1G4S,,,1,,,2,1,-1,,,0,,
Boston Beer Company,Samuel Adams,1/24/12oz Can,4028 Sam Adams Star Spangled Summer Variety 1/24/12 oz Can,SA7X33,,200,100,180,100,100,,0,300,,200,7/1/2026,600
Boston Beer Company,Samuel Adams,15.5 Gal Keg,3808 Sam Adams Cold Snap 15.5 Gal Keg,SA4H90,,,,-1,-3,-3,-1,,1,-1,3,,
Boston Beer Company,Samuel Adams,15.5 Gal Keg,4032 Sam Adams Juicy IPA 15.5 Gal Keg,SAT990,,1,1,0,,,-1,0,1,,16,6/3/2026,4
Boston Beer Company,Samuel Adams,15.5 Gal Keg,4042 Sam Adams American Light 15.5 Gal Keg,SAX790,,,,,,,,0,-1,,0,,
Boston Beer Company,Samuel Adams,2/12/12oz Can,3952 Sam Adams Cold Snap 2/12/12 oz Can,SA4H63,,-1,,,-2,,-3,-2,,-1,39,3/2/2026,50
Boston Beer Company,Samuel Adams,2/12/12oz Can,4013 Sam Adams Winter Break Variety 2/12/12 oz Can,SA3063,,,,,-3,-7,,-3,-2,,0,,
Boston Beer Company,Samuel Adams,2/12/12oz Can,4021 Sam Adams Porch Rocker 2/12/12 oz Can,SA2K63,,15,41,103,75,67,51,47,26,18,0,6/24/2026,100
Boston Beer Company,Samuel Adams,2/12/12oz Can,4035 Sam Adams Spring Favorites Variety 2/12/12 oz Can,SA3263A1,,,-1,,,-2,-2,-2,,-2,0,3/17/2026,50
Boston Beer Company,Samuel Adams,2/12/12oz Can,4037 Sam Adams Breakaway Blonde Ale 2/12/12 oz Can,SAUA163A1,,,,,,,,,,1,9,2/24/2026,50
Boston Beer Company,Samuel Adams,2/12/12oz Can,4049 Sam Adams Winter White Ale 2/12/12 oz Can,SA2X63,,,,,,-2,-4,-1,,,0,,
Boston Beer Company,Samuel Adams,2/12/12oz NR,3827 Sam Adams Winter Lager 2/12/12 oz Btl,SA1413,,,-2,,-2,-1,,,-1,,0,,
Boston Beer Company,Samuel Adams,2/12/12oz NR,3841 Sam Adams Cold Snap 2/12/12 oz Btl,SA4H13,,,,-6,,,-3,,-6,,0,3/2/2026,60
Boston Beer Company,Samuel Adams,2/12/12oz NR,3918 Sam Adams Octoberfest 2/12/12 oz Btl,SA1313,,,,,-2,,,,,,0,,
Boston Beer Company,Samuel Adams,4/6/12oz Can,4012 Sam Adams Just the Haze NA 4/6/12 oz Can,SAWC66,,4,36,58,33,34,34,38,36,17,0,6/25/2026,100
Boston Beer Company,Samuel Adams,4/6/12oz Can,4047 Sam Adams Winter White Ale 4/6/12 oz Btl,SA2X12,,,,,-1,,,,-1,,0,,
Boston Beer Company,Samuel Adams,4/6/12oz NR,3826 Sam Adams Winter Lager 4/6/12 oz Btl,SA1412,,,,,-1,-1,-1,-2,,-1,0,,
Boston Beer Company,Samuel Adams,4/6/12oz NR,3832 Sam Adams Breakaway Blonde Ale 4/6/12 oz Btl,SAU112A1,,,1,1,1,6,-2,,1,,-1,3/19/2026,60
Boston Beer Company,Samuel Adams,4/6/12oz NR,3840 Sam Adams Cold Snap 4/6/12 oz Btl,SA4H12,,-3,,-2,-4,,-1,,,,1,2/25/2026,60
Boston Beer Company,Samuel Adams,4/6/12oz NR,3919 Sam Adams Octoberfest 4/6/12 oz Btl,SA1312,,,,,,,-2,-1,,,0,,
Boston Beer Company,Samuel Adams,4/6/12oz NR,3953 Sam Adams Jack-O Pumpkin Ale 4/6/12 oz Btl,SAVP12,,,,,-1,,,,,,0,,
Boston Beer Company,Samuel Adams,4/6/12oz NR,4034 Sam Adams Old Fezziwig 4/6/12 oz Btl,,,,-2,,,,-8,,,,1,,
Boston Beer Company,Samuel Adams,5.2 Gal Keg,4043 Sam Adams American Light 5.2 Gal Keg,SAX760,,,,6,3,2,,2,1,,20,7/13/2026,12
Boston Beer Company,Sinless Vodka Cocktail,6/4/12oz Can,200711 Sinless Vodka Cranberry 6/4/12 oz Can,AY134S,,8,3,9,5,2,2,4,6,4,78,3/2/2026,208
Boston Beer Company,Sinless Vodka Cocktail,6/4/12oz Can,200712 Sinless Vodka Pineapple 6/4/12 oz Can,AY154S,,2,1,3,6,2,6,4,5,2,111,5/19/2026,104
Boston Beer Company,Sun Cruiser,1/12/24oz Can,200638 Sun Cruiser Classic Iced Tea 1/12/24 oz Can,AW1153,,,,,,,,1,,,0,,
Boston Beer Company,Sun Cruiser,1/12/24oz Can,200642 Sun Cruiser Vodka Pink Lemonade 1/12/24 oz Can,AW187M,,1,2,3,10,1,3,1,,2,13,,
Boston Beer Company,Sun Cruiser,1/12/24oz Can,200667 Sun Cruiser Lemonade 1/12/24 oz Can,AW1777,,,,,,2,5,2,2,,0,,
Boston Beer Company,Truly,1/12/24oz Can,8657 Truly Hard Seltzer Unruly Blue Razz Lemonade 1/12/24 oz Can,PD4C53,,,,,,,,,,-1,0,,
Boston Beer Company,Truly,1/24/16.00 oz,8663 Truly Hard Seltzer Wild Berry 1/24/16 oz,PD0824,,20,-5,,,7,15,,,,131,,
Boston Beer Company,Truly,1/6 BBL Keg (5.2 Gal),8671 Truly Hard Seltzer Wild Berry 5.2 Gal Keg,PD0860,,1,12,7,,,3,17,5,2,15,7/9/2026,12
Boston Beer Company,Truly,2/12/12oz Can,8646 Truly Hard Seltzer Dream Variety 2/12/12 oz Can,PD1C73,,-1,,-2,-1,,,,-1,,0,2/17/2026,104
Boston Beer Company,Truly,2/12/12oz Can,8700 Truly Hard Seltzer Celebrations Variety 2/12/12 oz Can,PD5673,,,1,-4,,-1,,,-4,,-4,,
Boston Beer Company,Truly,4/6/12oz Can,8670 Truly Hard Seltzer Strawberry Lemonade 4/6/12 oz Can,PD2761,,,,,,,,1,,,0,,
Boston Beer Company,Truly,4/6/12oz Can,8691 Truly Hard Seltzer Wild Berry 4/6/12 oz Can,PD0861,,2,10,2,2,8,11,9,1,1,25,6/11/2026,50
Boston Beer Company,Twisted Tea,1/12/24oz Can,8351 Twisted Tea Mango 1/12/24 oz Can,OA8653,,,1,19,17,18,13,17,15,5,0,4/30/2026,102
Boston Beer Company,Twisted Tea,1/12/24oz Can,8376 Twisted Tea Blueberry 1/12/24 oz Can,OA8753,,,,,,,,11,13,3,0,3/17/2026,102
Boston Beer Company,Twisted Tea,2/12/12oz NR,8337 Twisted Tea Half & Half 2/12/12 oz Btl,OA9313,,-2,5,24,9,8,14,5,8,6,0,6/3/2026,60
Boston Beer Company,Twisted Tea,24/16OZ can,8370 Twisted Tea 1/24/16 oz Loose Can,OA9124,,20,,33,,0,,,,,402,,
Boston Beer Company,Twisted Tea,4/6/12oz NR,8334 Twisted Tea Raspberry 4/6/12 oz Btl,OA9212,,,11,9,34,18,25,13,9,11,0,5/27/2026,60
Boston Beer Company,Twisted Tea,4/6/12oz NR,8342 Twisted Tea Peach 4/6/12 oz Btl,OA9512,,-1,,,12,18,33,26,19,22,0,4/30/2026,60
Boston Beer Company,Twisted Tea,4/6/12oz NR,8386 Twisted Tea Rocket Pop 4/6/12 oz Btl,OA2S12,,,,,,,,-1,-1,,0,,
Boston Beer Company,Twisted Tea,6/4/16oz Can,8388 Twisted Tea Light 6/4/16 oz Can,OA9715,,1,,1,9,4,3,3,1,5,211,,
Boston Beer Company,Twisted Tea,6/4/16oz Can,8389 Twisted Tea Original 6/4/16 oz Can,OA9115,,3,6,2,4,8,4,3,,,371,,
