Sales Rep Assigned,On-Off Premise,Customer Num,Customer Name,Shipping Address,City,Distribution Area,Buyer Count   6/1/2026 - 8/31/2026
Allison Scott,On Premise,24038,J. Alexander's Restaurant,405 Allwood Road,Clifton,Passaic,1.00
Allison Scott,On Premise,15048,D'carbon Restaurant,491 Mcbride Ave,West Paterson,Passaic,1.00
Allison Scott,On Premise,25052,Uno Chicago Grl (A)Clifto,426 Rt 3 W.River Frontcnt,Clifton,Passaic,1.00
Allison Scott,On Premise,58005,Feathers (A),77 Kinderkamack Rd,River Edge,Bergen,1.00
Allison Scott,On Premise,8015,Thatcher Mc Ghees (A),6 Wanaque Ave,Pompton Lakes,Passaic-FF,1.00
Allison Scott,On Premise,27035,Platinum Dollz,426 Van Houten Ave.,Passaic,Sales,1.00
Allison Scott,On Premise,12026,WAYNE ALE HOUSE & PIZZA,611 Ratzer Road,Wayne,Passaic,1.00
Allison Scott,On Premise,19002,Puzo's Pizza,4 Garfield Ave,Hawthorne,Passaic,1.00
Allison Scott,On Premise,13003,Maggie's Town Tav.(P),10 Van Ness Ave,Little Falls,Passaic,1.00
Allison Scott,On Premise,12015,Izumi Hibachi Steak House,517 NJ-23,Wayne,Passaic,1.00
Allison Scott,On Premise,24048,Dante's,955 Valley Rd,Clifton,Passaic,1.00
Allison Scott,On Premise,12054,Red Lobster 225 Wayne,520 Us-46,Wayne,Passaic,1.00
Allison Scott,On Premise,14016,JINYA Ramen Bar,465 Rt 46 West,Totowa,Passaic,1.00
Allison Scott,On Premise,14008,The Barnyard and Carriage House,754 Totowa Road,Totowa,Passaic,1.00
Allison Scott,On Premise,23013,Vfw 7165 (P),491 Valley Rd,Clifton,Passaic,1.00
Allison Scott,On Premise,11011,Sunset Pub & Grill(Z),425 Beaverbrook Rd,Lincoln Park,Morris 3,1.00
Allison Scott,On Premise,22016,Johnny A's (P) Hitchn Pos,95 Barclay Street,Paterson,Passaic,1.00
Allison Scott,On Premise,19016,Jiggle's,105 Mohawk Ave,Hawthorne,Passaic,1.00
Allison Scott,On Premise,23020,Clifton City Tavern(P),709 Van Houten Avenue,Clifton,Passaic,1.00
Allison Scott,On Premise,19028,D'Carbon Restaurant Hawthorne,142 Goffle Road,Hawthorne,Sales,1.00
Allison Scott,On Premise,12013,Jalapenos Mexican Grill,142 Ryerson Ave.,Wayne,Passaic,1.00
Allison Scott,On Premise,14010,Uncorked (P),650 Union Blvd,Totowa,Passaic,1.00
Allison Scott,On Premise,17009,Jimmy Geez (P),436 Belmont Ave,Haledon,Passaic,1.00
Allison Scott,On Premise,22004,Neighbors,329 Trenton Avenue,Paterson,Passaic,1.00
Allison Scott,On Premise,12036,Brokedown Palace,95 Mountainview Blvd,Wayne,Passaic,1.00
Allison Scott,On Premise,12014,Olive Garden (A) Wayne,83 Route 23 South,Wayne,Passaic,1.00
Allison Scott,On Premise,21043,Duffy's Tavern (Z),856 River Street,Paterson,Passaic,1.00
Allison Scott,On Premise,12018,KRIOS Prime,344 French Hill Road,Wayne,Passaic,1.00
Allison Scott,On Premise,12020,Lakeside Drive Tavern,56 Lake Drive West,Wayne,Passaic,1.00
Allison Scott,On Premise,10007,Bardis (P),149 Newark Pompton Tpke,Pequannock,Morris 3,1.00
Allison Scott,On Premise,12038,Tommy's Tavern + Tap (Wayne),71 NJ-23,Wayne,Passaic,1.00
Allison Scott,On Premise,13005,Sear,1 Route 23 South,Little Falls,Passaic,1.00
Allison Scott,On Premise,24019,Sharky's Wings(P),545 Highland Ave,Clifton,Passaic,1.00
Allison Scott,On Premise,8014,Macks American Bar/Grill,300 Wanaque Ave,Pompton Lakes,Passaic,1.00
Allison Scott,On Premise,8006,pompton crafthouse,23 Wanaque Ave,Pompton Lakes,Passaic-FF,1.00
Allison Scott,On Premise,12057,YARD HOUSE 8384,320 WILLOWBROOK MALL,Wayne,Sales,1.00
Allison Scott,On Premise,25078,The Shannon Rose (A),98 Kingsland Rd,Clifton,Passaic,1.00
Allison Scott,On Premise,25082,Crab Island Cajun Seafood & Bar,1016 Main Ave,Clifton,Passaic,1.00
Allison Scott,On Premise,12043,Outback Stkhse(P)Wayne,189 Berdan Avenue,Wayne,Passaic,1.00
Allison Scott,On Premise,12061,Raeya's,37 Berdan Ave,Wayne,Passaic,1.00
Allison Scott,On Premise,25077,Chevy's Fresh Mex (A)Clif,365 Rte 3 East,Clifton,Passaic,1.00
Andrew Lundy,Off Premise,250075,Cap N Cork Liquors,1344 Stuyvesant Ave,Union,Union,1.00
Andrew Lundy,Off Premise,250069,Mega Liquors,67 Orchard St,Elizabeth,Union,1.00
Andrew Lundy,On Premise,250025,Abigails Cafe (Z),804 W.Elizabeth Ave,Linden,Union,1.00
Andrew Lundy,On Premise,150249,Millburn Standard,42 Main St,Millburn,Essex,1.00
Andrew Lundy,Off Premise,250142,Queen City Liquors,440 Watchung Ave,Plainfield,Union,1.00
Andrew Lundy,Off Premise,254003,Drinq Linq The Liquor Store,6-20 South Ave W,Cranford,Union,1.00
Andrew Lundy,Off Premise,250183,Chestnut St Spirits LLC,137 Chestnut St,Roselle Park,Union,1.00
Andrew Lundy,Off Premise,250163,Trader Joes Westfield,155 Elm St,Westfield,Union,1.00
Andrew Lundy,Off Premise,250037,Beno's Liq (A),102 North Wood Ave,Linden,Union,1.00
Andrew Lundy,Off Premise,120079,U S 1 Buy Rite (A),771-773 Edgar Rd,Elizabeth,Union,1.00
Andrew Lundy,Off Premise,251005,Home Wines & Liquors (360 Union),360 Chestnut St,Union,Union,1.00
Andrew Lundy,Off Premise,250005,Wine List Of Summit,417 Springfield Ave,Summit,Union,1.00
Andrew Lundy,Off Premise,250064,America Liquors,503 Elizabeth Ave,Elizabeth,Union,1.00
