Product,Inventory,Purchases,Invoices,Pending Invoices,Loaded,Picked,Delivered,Unsellable,In Production,On-Floor,Pre-Sales,Allocated,Available
9606 Athletic Lite Lime & Salt Non-Alcoholic 4/6/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9607 Athletic Fruited Fields Radler Non-Alcoholic 2/12/12 oz Can,126,0,0,0,0,0,0,2,0,124,0,0,124
9608 Athletic Costco IPA Pack Non-Alcoholic 1/24/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9609 Athletic Dark & Gourdy Pumpkin & Spice NA 4/6/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9610 Athletic Costco Mixed Run Wild & Upside Dawn NA 1/24/12 oz Can,600,0,0,0,0,0,0,0,0,600,400,0,200
Total,"3,019",0,0,7,115,0,0, (1),0,"2,898",410,0,"2,488"
Bardstown Bourbon Co,,,,,,,,,,,,,
39 Bardstown Test 1/6/750 mL Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
201051 Green River Bourbon 1/750 mL Btl,118,0,0,0,1,0,0, (1),0,118,0,0,118
201052 Green River Full Proof 1/750 mL,77,0,0,0,0,0,0,2,0,75,0,0,75
201053 Green River Rye 1/750 mL,62,0,0,0,0,0,0,2,0,60,0,0,60
201054 Green River Wheated 1/750 mL,133,0,0,0,1,0,0,1,0,131,1,0,130
201055 Bardstown Origin Series Bottle-In-Bond 1/750 mL Btl,147,0,0,0,0,0,0, (3),0,149,0,0,149
201056 Bardstown Origin Series Bourbon 1/750 mL Btl,57,0,0,0,1,0,0,2,0,54,0,0,54
201057 Bardstown Origin Series Double Barrel Rye 1/750 mL Btl,90,0,0,0,0,0,0,1,0,89,0,0,89
201058 Bardstown Origin Series High Wheat 1/750 mL Btl, (1),0,0,0,0,0,0, (1),0, (0),0,0, (0)
201059 Bardstown Discovery Series #10 1/750 mL Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
