Package ID,Package,Fluid Ounces Per Case,Case Equiv Description,Case Weight in Lbs,Case Equiv,Wholesale Units per Case,Retail Units per Case,Consumable Units per Case,Servings per Case,Selling Unit Of Measure,Container Type,Pick Units Per Case
363,4/6/7oz NR,168,Beer,12,0.583333,1,4,24,14,3) Case (CA),Glass Bottle,1
420,4/6/8.4oz,201,Beer,18.50,0.697917,1,4,24,24,3) Case (CA),Glass Bottle,1
404,4/6/8oz Can,288,Beer,0,1,1,4,24,24,3) Case (CA),Aluminum Can,1
406,4/6/9.6oz Can,288,Beer,0,1,1,1,1,1,3) Case (CA),Aluminum Can,1
364,4/6/9.6oz NR,230,Beer,30,0.798611,1,4,24,19,3) Case (CA),Glass Bottle,1
365,40/16.9oz Btl,676,Beer,21,2.347222,1,40,40,56,3) Case (CA),Glass Bottle,1
366,48/200ml Btl,324.614617,Wine & Liquor,20.50,1.066667,1,48,48,13,3) Case (CA),Glass Bottle,1
440,48/60 ML,96,THC Shot,8,1,1,48,48,48,3) Case (CA),PET Can,1
21,5 Gal Keg,640,Beer,25,2.222222,1,1,1,53,5) Keg (KE),Keg,1
403,5.0 Gal Keg,640,Beer,25,2.222222,1,1,1,53,5) Keg (KE),Aluminum Can,1
22,5.2 Gal Keg,660,Beer,27,2.291667,1,1,1,55,5) Keg (KE),Keg,1
367,5/1 Liter Can,169.070113,Beer,25,0.587049,1,5,5,14,3) Case (CA),Aluminum Can,1
10,50 Liter Keg (13.2 Gal),1690.701128,Beer,161,5.870490,1,1,1,140,5) Keg (KE),Keg,1
161,50ML,202,Wine & Liquor,25,0.663761,1,120,120,1,3) Case (CA),Aluminum Can,1
368,6/1 Gallon Btl,768,Beer,25,2.666667,1,6,6,64,3) Case (CA),Glass Bottle,1
369,6/1 Liter Btl,202.884135,Beer,25,0.704459,1,6,6,16,3) Case (CA),Glass Bottle,1
370,6/1.5 Liter Btl,304.326203,Beer,25,1.056688,1,6,6,25,3) Case (CA),Glass Bottle,1
371,6/1.75 Liter Btl,355.047237,Wine & Liquor,25,1.166667,1,6,6,29,3) Case (CA),Glass Bottle,1
398,6/12/100ml,244.80,Wine & Liquor,0,0.134067,6,1,1,1,3) Case (CA),Glass Bottle,1
372,6/25.4oz NR,152,Beer,25,0.527778,1,6,6,12,3) Case (CA),Aluminum Can,1
373,6/3 Liter Btl,608.652406,Beer,25,2.113376,1,6,4,34,3) Case (CA),Glass Bottle,1
458,6/4/100ml Can,81.15,Wine & Liquor,7,0.266655,1,6,24,24,3) Case (CA),Aluminum Can,1
374,6/4/11.2oz Can,269,Beer,39.25,0.934028,1,6,24,22,3) Case (CA),Aluminum Can,1
375,6/4/11.2oz NR,269,Beer,39.25,0.934028,1,6,24,22,3) Case (CA),Glass Bottle,1
376,6/4/11.5oz Can,276,Beer,21,0.958333,1,6,24,23,3) Case (CA),Aluminum Can,1
419,6/4/12.7oz NR,304.80,Beer,32.30,1.058333,1,6,24,24,3) Case (CA),Glass Bottle,1
377,6/4/12oz Can,288,Beer,25,1,1,6,24,24,3) Case (CA),Aluminum Can,1
378,6/4/12oz NR,288,Beer,25,1,1,6,24,24,3) Case (CA),Glass Bottle,1
391,6/4/13.6oz Can,326,Beer,0,1.131944,1,1,1,1,3) Case (CA),Aluminum Can,1
460,6/4/13.7oz,328.80,Beer,26.40,1.141667,1,6,24,24,3) Case (CA),Aluminum Can,1
379,6/4/14.9oz Can,358,Beer,47.25,1.243056,1,6,24,29,3) Case (CA),Aluminum Can,1
380,6/4/15.2oz NR,365,Beer,47.25,1.267361,1,6,24,30,3) Case (CA),Glass Bottle,1
