On-Off Premise,Supplier,Brand,Brand Family,Product Num,Product Name,Package,Buyer Count   2025,Buyer Count   2026,Units   2025,Units   2026
Off Premise,Local Choice Inc,Striped Pig Southern Pecan Whiskey,Striped Pig,200366,Striped Pig Southern Pecan Whiskey 1/6/750 mL Btl,1/6/750 mL,,6.00,,6.00
Off Premise,Beak & Skiff,1911 Honeycrisp Vodka,1911 Spirits,91003,1911 Honeycrisp Vodka 1/6/750 mL Btl,6/750ml Btl,1.00,,1.00,
Off Premise,Chateau Diana Winery,Chateau Diana White Zinfandel,Chateau Diana,200175,Chateau Diana White Zinfandel 12/750 mL Btl,1/12/750ml Btl,2.00,,2.00,
Off Premise,Prestige Beverage Group,Le Grand Noir Pinot Noir,Le Grand Noir,100122,Le Grand Noir Pinot Noir 1/12/750 mL Btl,1/12/750ml Btl,,10.00,,10.00
Off Premise,Bardstown Bourbon Co,Bardstown Collaboration Series Goose Island,Bardstown Bourbon,201063,Bardstown Collaboration Series Goose Island 1/750 mL Btl,1/750ML,33.00,,78.00,
Off Premise,Molly's,Molly's Irish Cream,Molly's,200292,Molly's Irish Cream 12/1 L Btl,12/1 Liter Btl,16.00,11.00,31.00,13.00
Off Premise,American Fruits,AMERICAN FRUIT,American Fruit,200150,American Fruit Bourbon Barrel Aged Apple Liqueur 12/375 mL,12/375ml Btl,3.00,1.00,4.00,1.00
Off Premise,Molly's,Molly's Irish Cream,Molly's,200293,Molly's Irish Cream 60/50 mL Btl,60/50ml Btl,16.00,12.00,20.00,16.00
Off Premise,Surface Brands,Poggio Torselli Chianti Gran Selezione,Poggio Torselli,200743,Poggio Torselli Chianti Gran Selezione 1/6/750 mL Btl,1/6/750 mL,,2.00,,5.00
Off Premise,Bardstown Bourbon Co,Green River 1885,Bardstown Bourbon,201065,Green River 1/1 L Btl,1/1LTR,1.00,3.00,39.00,33.00
Off Premise,Prestige Beverage Group,Le Grand Noir Cabernet Sauvignon,Le Grand Noir,100121,Le Grand Noir Cabernet Sauvignon 1/12/750 mL Btl,1/12/750ml Btl,,5.00,,6.00
Off Premise,Southern Tier Distilling Company,Southern Tier Pumking Whiskey,Southern Tier Distilling,200517,Southern Tier Pumking Whiskey 6/750 mL Btl,1/6/750 mL (BO),10.00,,108.00,
Off Premise,Bardstown Bourbon Co,Bardstown Green River Full Proof,Bardstown Green River,201052,Green River Full Proof 1/750 mL,1/750ML,79.00,30.00,901.00,179.00
Off Premise,Caravella Inc,2 Canos Cheerful Frizzante Peach & Apricot,2 Canos,200732,2 Canos Cheerful Frizzante Peach & Apricot 1/12/750 mL Btl,1/12/750ml Btl,7.00,5.00,300.00,4.00
Off Premise,Bardstown Bourbon Co,Bardstown Discovery #13,Bardstown Bourbon,201074,Bardstown Discovery #13 1/750 mL Btl,1/750ML,25.00,5.00,135.00,17.00
Off Premise,Little Water Distillery,48 Blocks Vodka,48 Blocks,200464,48 Blocks Vodka 1/6/750 mL,6/750ml Btl,,1.00,,2.00
Off Premise,Surface Brands,Poggio Torselli Chianti Classico,Poggio Torselli,200741,Poggio Torselli Chianti Classico 1/6/750 mL Btl,1/6/750 mL,,4.00,,19.00
Off Premise,Bardstown Bourbon Co,Bardstown Origin Series Bourbon,Bardstown Bourbon,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,1/750ML,127.00,63.00,1872.00,717.00
Off Premise,Bardstown Bourbon Co,Green River Single Barrel Wheated,Bardstown Green River,201075,Green River Single Barrel Wheated 1/1/750mL Btl,1/750ML,18.00,,131.00,
Off Premise,American Fruits,AMERICAN FRUIT,American Fruit,200153,American Fruit Sour Cherry Liqueur 12/375 mL,12/375ml Btl,5.00,4.00,8.00,7.00
Off Premise,Little Water Distillery,48 Blocks Expresso Martini,48 Blocks,200463,48 Blocks Expresso Martini 1/6/750 mL,6/750ml Btl,10.00,7.00,10.00,12.00
Off Premise,Eleven20,Eleven20 Tequila Reposado,Eleven20 Tequila,200253,Eleven20 Tequila Reposado 750 mL 6/750 mL Btl,6/750ml Btl,3.00,,3.00,
Off Premise,Eleven20,Eleven20 Tequila Sampler,Eleven20 Tequila,200255,Eleven20 Tequila Sampler Pack 3/750 mL Btl,3/750ML Btl,2.00,,2.00,
Off Premise,Molly's,Molly's Irish Cream Salted Caramel,Molly's,200298,Molly's Irish Cream Salted Caramel 1/6/750 mL Btl,6/750ml Btl,30.00,6.00,38.00,3.00
Off Premise,Travelers Club,TRAVELERS CLUB,Travelers Club,200410,Travelers Club Gin 24/375 mL Btl,24/375ml Btl,5.00,,29.00,
Off Premise,Bardstown Bourbon Co,Bardstown Single Barrel GSPD#3,Bardstown Bourbon,201071,Bardstown Single Barrel GSPD #3 1/750 mL Btl,1/750ML,12.00,1.00,36.00,181.00
Off Premise,Local Choice Inc,Striped Pig Doppio,Striped Pig,200365,Striped Pig Doppio 1/6/750 mL Btl,1/6/750 mL,,11.00,,11.00
Off Premise,Caravella Inc,Lou Lou Bubbly Semi Sweet Rose,Caravella,200737,Lou Lou Bubbly Semi Sweet Rose 1/12/12 oz Can,1/12/12oz Can,39.00,15.00,184.00,51.00
On Premise,Bardstown Bourbon Co,Bardstown Green River Bourbon,Bardstown Green River,201051,Green River Bourbon 1/750 mL Btl,1/750ML,49.00,16.00,158.00,67.00
On Premise,Prestige,Amethystos Red,Greek Wines,200351,Amethystos Red 12/750 mL,1/12/750ml Btl,4.00,4.00,51.00,29.00
On Premise,Boston Beer Company,Dogfish Head Sonic Archeology,Dogfish Head Spirits,200604,Dogfish Head Sonic Archeology 1/12/750 mL Btl,1/12/750 mL (BO),,1.00,,3.00
On Premise,US Beverage,Sammy's Kola Nut Rum,Sammy's Beach Bum,200263,Sammy's Kola Spiced Rum 1/6/750 mL Btl,1/6/750 mL (BO),,5.00,,5.00
On Premise,Licores Artesanales,Desquite Artesanal,Desquite,200771,Desquite Artesanal 6/750 mL Btl,1/6/750 mL (BO),5.00,10.00,24.00,252.00
On Premise,Chateau Diana Winery,Chateau Diana Pinot Grigio,Chateau Diana,200174,Chateau Diana Pinot Grigio 12/750 mL Btl,1/12/750ml Btl,,1.00,,3.00
On Premise,Prestige,Idoniko Tsipouro,Greek Spirits,200355,Idoniko Tsipouro 6/750mL Btl,6/750ml Btl,,1.00,,2.00
On Premise,Bardstown Bourbon Co,Bardstown Green River Wheated,Bardstown Green River,201054,Green River Wheated 1/750 mL,1/750ML,12.00,20.00,64.00,75.00
On Premise,Cruz Beverage,YaVe Tequila Reposado,YaVe Tequila,200383,YaVe Tequila Reposado 1/6/750 mL Btl,1/6/750 mL (BO),,1.00,,1.00
On Premise,SPYRT Worldwide,Ukrainian Spirit Vodka,Ukrainian Spirit,101076,Ukrainian Spirit Vodka 1/12/1 L Btl,1/12/1 LTR (BO),,1.00,,12.00
On Premise,Molly's,Molly's Irish Cream,Molly's,200294,Molly's Irish Cream 1/12/750 mL Btl,1/12/750ml Btl,1.00,1.00,1.00,1.00
On Premise,Caravella Inc,Dancing Vines Lightsecco White,Dancing Vines,200734,Dancing Vines Lightsecco White 1/12/750 mL Btl,1/12/750ml Btl,2.00,,2.00,
On Premise,Bardstown Bourbon Co,Bardstown Discovery Series #11,Bardstown Bourbon,201060,Bardstown Discovery Series #11 1/750 mL Btl,1/750ML,2.00,,2.00,
On Premise,Lo Secco LLC,Lo Secco Prosecco,Lo Secco,101091,Lo Secco Prosecco 1/12/750 mL Btl,1/12/750ml Btl,,2.00,,6.00
On Premise,Bardstown Bourbon Co,Bardstown Green River Full Proof,Bardstown Green River,201052,Green River Full Proof 1/750 mL,1/750ML,10.00,1.00,17.00,1.00
On Premise,Bardstown Bourbon Co,Bardstown Discovery #13,Bardstown Bourbon,201074,Bardstown Discovery #13 1/750 mL Btl,1/750ML,4.00,2.00,6.00,3.00
On Premise,Primos Imports LLC,Rompe Corazon,Rompe Corazon,201003,Rompe Corazon Reposado Mezcal 750 mL,750ML,1.00,,1.00,
On Premise,Pride & Clarke,Pride & Clarke Vodka,Pride & Clarke,200310,Pride & Clarke Vodka 6/1.75 L Btl,6/1.75 Liter Btl,2.00,,3.00,
On Premise,Bardstown Bourbon Co,Bardstown Green River Rye,Bardstown Green River,201053,Green River Rye 1/750 mL,1/750ML,8.00,1.00,12.00,2.00
On Premise,Southern Tier Distilling Company,Southern Tier Cinnamon Candy Apple Whiskey,Southern Tier Distilling,200518,Southern Tier Cinnamon Candy Apple Whiskey 6/750 mL Btl,1/6/750 mL (BO),1.00,,6.00,
On Premise,Molly's,Molly's Irish Cream Salted Caramel,Molly's,200298,Molly's Irish Cream Salted Caramel 1/6/750 mL Btl,6/750ml Btl,,1.00,,1.00
On Premise,Pride & Clarke,Pride & Clarke Vodka,Pride & Clarke,200313,Pride & Clarke Vodka 24/375 mL Btl,24/375ml Btl,7.00,4.00,74.00,10.00
On Premise,Prestige,Oenodea Red,Greek Wines,200359,Oenodea Red 1/12/750 mL Btl,1/12/750ml Btl,1.00,1.00,10.00,2.00
On Premise,Waterloo Gin,Waterloo NO#9 Gin,Waterloo Gin,200061,Waterloo 6/750 mL Btl,1/6/750 mL (BO),2.00,,12.00,
On Premise,Licores Artesanales,Desquite Tradicion,Desquite,200772,Desquite Tradicion 6/750 mL Btl,1/6/750 mL (BO),4.00,2.00,18.00,10.00
On Premise,Local Choice Inc,Striped Pig Select Cask Strength,Striped Pig,200364,Striped Pig Select Cask Strength 1/750 mL Btl,1/6/750 mL (BO),,1.00,,1.00
On Premise,Bardstown Bourbon Co,Bardstown Origin Series Double Barrel Rye,Bardstown Bourbon,201057,Bardstown Origin Series Double Barrel Rye 1/750 mL Btl,1/750ML,25.00,6.00,72.00,27.00
On Premise,Prestige,Chateau Julia Assyrtiko,Greek Wines,200353,Chateau Julia Assyrtiko 12/750 mL,1/12/750ml Btl,1.00,3.00,14.00,20.00
On Premise,Waterloo Gin,Waterloo Prickly Pear & Rose Gin,Waterloo Gin,200063,Waterloo Prickly Pear & Rose Gin 6/750 mL Btl,1/6/750 mL (BO),,1.00,,1.00
On Premise,Bardstown Bourbon Co,Green River 1885,Bardstown Bourbon,201065,Green River 1/1 L Btl,1/1LTR,2.00,1.00,37.00,61.00
On Premise,OVO Vodka LLC,OVO Vodka,OVO Vodka,100912,OVO Vodka 1/12/750 mL Btl,1/12/750 mL (BO),18.00,14.00,1848.00,835.00
On Premise,Paradisse Spirits LLC,Paradisse Fassionola Liqueur,Paradisse,100923,Paradisse Fassionola Liqueur 6/750 mL Btl,1/6/750 mL (BO),2.00,9.00,12.00,27.00
On Premise,Prestige,Mantinia Moschofilero,Greek Wines,200374,Mantinia Moschofilero 1/12/750 mL Btl,1/12/750ml Btl,,1.00,,1.00
On Premise,Caravella Inc,Lou Lou Bubbly Semi Sweet Rose,Caravella,200737,Lou Lou Bubbly Semi Sweet Rose 1/12/12 oz Can,1/12/12oz Can,2.00,2.00,7.00,2.00
On Premise,Bardstown Bourbon Co,Green River Honey,Bardstown Green River,201077,Green River Honey 1/750 mL Btl,1/6/750 mL (BO),,25.00,,40.00
On Premise,1925 Spirits LLC,Leyenda 1925 Anejo Tequila,Leyenda 1925,200216,Leyenda 1925 Anejo Tequila 1/750 ML Btl,1/6/750 mL (BO),,2.00,,4.00
On Premise,Prestige,Chrisohoou Xinomavro,Greek Wines,200354,Chrisohoou Xinomavro 12/750 mL,1/12/750ml Btl,1.00,,2.00,
On Premise,Surface Brands,Poggio Torselli Chianti Classico Riserva,Poggio Torselli,200742,Poggio Torselli Chianti Classico Riserva 1/6/750 mL Btl,1/6/750 mL,,1.00,,11.00
On Premise,Primos Imports LLC,Monte Xanic,Monte Xanic,105550,Monte Xanic Sauvignon Blanc 1/750 mL Btl,750ML,1.00,,4.00,
On Premise,Cruz Beverage,YaVe Tequila Coconut,YaVe Tequila,200385,YaVe Tequila Coconut 1/6/750 mL Btl,1/6/750 mL (BO),,3.00,,3.00
On Premise,US Beverage,Sammy's Beach Bar Platinum Rum,Sammy's Beach Bum,200261,Sammy's Beach Bar Platinum Rum 1/6/750 mL Btl,1/6/750 mL (BO),,7.00,,7.00
On Premise,Bardstown Bourbon Co,Green River Single Barrel GSPD#1,Bardstown Green River,201066,Green River Single Barrel GSPD #1 1/750 mL,1/750ML,,1.00,,6.00
On Premise,Prestige Beverage Group,2XO French Oak,2XO,100962,2XO French Oak 1/750 mL Btl,1/6/750 mL (BO),,5.00,,9.00
On Premise,Prestige Beverage Group,2XO American Oak,2XO,100961,2XO American Oak 1/750 mL Btl,1/6/750 mL (BO),,2.00,,3.00
On Premise,Primos Imports LLC,Monte Xanic Cabernet Sauignon,Monte Xanic,105521,Monte Xanic Cabernet Sauignon 12/750 mL,1/12/750ml Btl,1.00,,1.00,
On Premise,Cruz Beverage,YaVe Tequila Mango,YaVe Tequila,200381,YaVe Tequila Mango 1/6/750 mL Btl,1/6/750 mL (BO),,3.00,,4.00
On Premise,Molly's,Molly's Irish Cream,Molly's,200292,Molly's Irish Cream 12/1 L Btl,12/1 Liter Btl,1.00,2.00,3.00,4.00
On Premise,Pride & Clarke,Pride & Clarke Vodka,Pride & Clarke,200312,Pride & Clarke Vodka 48/200 mL Btl,48/200ml Btl,4.00,5.00,67.00,41.00
On Premise,1925 Spirits LLC,Leyenda 1925 Reposado Tequila,Leyenda 1925,200218,Leyenda 1925 Reposado Tequila 1/750 ML Btl,1/6/750 mL (BO),,2.00,,4.00
On Premise,Bardstown Bourbon Co,Bardstown Collaboration Series Pierre Ferrand,Bardstown Bourbon,201073,Bardstown Collaboration Series Pierre Ferrand 1/750 mL Btl,1/750ML,3.00,2.00,5.00,3.00
On Premise,Chateau Diana Winery,Chateau Diana Non-Alcoholic Chardonnay,Chateau Diana,200192,Chateau Diana Non-Alcoholic Chardonnay 12/750 mL Btl,1/12/750ml Btl,,1.00,,1.00
On Premise,Pride & Clarke,Pride & Clarke Vodka,Pride & Clarke,200311,Pride & Clarke Vodka 12/1 L Btl,12/1 Liter Btl,3.00,1.00,11.00,1.00
On Premise,Bardstown Bourbon Co,Bardstown Discovery Series #10,Bardstown Bourbon,201059,Bardstown Discovery Series #10 1/750 mL Btl,1/750ML,1.00,,2.00,
On Premise,Bardstown Bourbon Co,Bardstown Collaboration Series Goose Island,Bardstown Bourbon,201063,Bardstown Collaboration Series Goose Island 1/750 mL Btl,1/750ML,3.00,,5.00,
On Premise,Travelers Club,TRAVELERS CLUB,Travelers Club,200403,Travelers Club Vodka 1/12/750 mL Btl,1/12/750ml Btl,1.00,,7.00,
On Premise,Prestige,Ploes Rose,Greek Wines,200375,Ploes Rose 1/12/750 mL Btl,1/12/750ml Btl,,1.00,,2.00
On Premise,Travelers Club,TRAVELERS CLUB,Travelers Club,200402,Travelers Club Vodka 24/375 mL Btl,24/375ml Btl,2.00,,4.00,
On Premise,Little Water Distillery,48 Blocks Chocolate Martini,48 Blocks,200462,48 Blocks Chocolate Martini 1/6/750 mL,6/750ml Btl,2.00,,2.00,
On Premise,Cruz Beverage,YaVe Tequila Blanco,YaVe Tequila,200384,YaVe Tequila Blanco 1/6/750 mL Btl,1/6/750 mL (BO),,1.00,,1.00
On Premise,Prestige,Amethystos White,Greek Wines,200352,Amethystos White 12/750 mL,1/12/750ml Btl,4.00,4.00,63.00,40.00
On Premise,Surface Brands,Poggio Torselli Chianti Gran Selezione,Poggio Torselli,200743,Poggio Torselli Chianti Gran Selezione 1/6/750 mL Btl,1/6/750 mL,,1.00,,2.00
On Premise,Riviera Imports,Ecaana Pinot Grigio,Ecaana,200318,Ecaana Pinot Grigio 6/1.5 L Btl,6/1.5 Liter Btl,1.00,1.00,11.00,10.00
On Premise,BJ'S Private Label Brew,BJ'S Hard Root Beer,BJ'S Private Label Brewa,14144,BJ'S Hard Root Beer Keg 15.5 Gal Keg,15.5 Gal Keg,1.00,1.00,7.00,5.00
On Premise,Savorian INC,Calise Pinot Grigio,Calise,100954,Calise Pinot Grigio 6/1.5 L Btl,6/1.5 Liter Btl,1.00,,2.00,
On Premise,Cruz Beverage,YaVe Tequila Jalapeno,YaVe Tequila,200382,YaVe Tequila Jalapeno 1/6/750 mL Btl,1/6/750 mL (BO),,6.00,,8.00
On Premise,Little Water Distillery,48 Blocks Expresso Martini,48 Blocks,200463,48 Blocks Expresso Martini 1/6/750 mL,6/750ml Btl,3.00,,15.00,
On Premise,Savorian INC,Castellani Etichetta Gialla Pinot Noir,Castellani Etichetta Gialla,100953,Castellani Etichetta Gialla Pinot Noir 1/12/750 mL Btl,1/12/750ml Btl,,3.00,,10.00
On Premise,Southern Tier Distilling Company,Southern Tier Pumking Whiskey,Southern Tier Distilling,200517,Southern Tier Pumking Whiskey 6/750 mL Btl,1/6/750 mL (BO),1.00,,24.00,
On Premise,Caravella Inc,Poca Loca Brazilian Wine,Poca Loca,200738,Poca Loca Brazilian Wine 1/12/750 mL Btl,1/12/750ml Btl,1.00,1.00,2.00,1.00
On Premise,Molly's,Molly's Irish Cream,Molly's,200291,Molly's Irish Cream 6/1.75 L Btl,6/1.75 Liter Btl,1.00,1.00,3.00,1.00
