On-Off Premise,Supplier,Brand,Brand Family,Product Num,Product Name,Package,Buyer Count   2025,Buyer Count   2026,Units   2025,Units   2026
On Premise,1925 Spirits LLC,Leyenda 1925 Blanco Tequila,Leyenda 1925,200217,Leyenda 1925 Blanco Tequila 1/750 ML Btl,1/6/750 mL (BO),,2.00,,31.00
On Premise,OVO Vodka LLC,OVO Vodka,OVO Vodka,100914,OVO Vodka Mini Pack 3/750 mL Btl,3/750ML Btl,11.00,,12.00,
On Premise,Bardstown Bourbon Co,Bardstown Collaboration Series Amrut,Bardstown Bourbon,201062,Bardstown Collaboration Series Amrut 1/750 mL Btl,1/750ML,2.00,,2.00,
On Premise,Bardstown Bourbon Co,Green River Bourbon 250th Army Anniversary,Bardstown Green River,201072,Green River Bourbon 250th Army Anniversary 1/750 mL,1/750ML,8.00,4.00,32.00,26.00
On Premise,Travelers Club,TRAVELERS CLUB,Travelers Club,200400,Travelers Club Vodka 12/1 L Btl,12/1 Liter Btl,5.00,6.00,77.00,72.00
On Premise,Prestige Beverage Group,2XO Vinyl Blend,2XO,100964,2XO Vinyl Blend 1/750 mL Btl,1/6/750 mL (BO),,1.00,,2.00
On Premise,Boston Beer Company,Dogfish Head Let's Get Lost,Dogfish Head Spirits,200614,Dogfish Head Let's Get Lost 6/750 mL Btl,1/6/750 mL (BO),,1.00,,2.00
On Premise,Savorian INC,Les Domaniales Rose D' Anjou Loire,Les Domaniales Rose D' Anjou Loire,100955,Les Domaniales Rose D' Anjou Loire 1/12/750 mL Btl,1/12/750ml Btl,,1.00,,1.00
On Premise,Warwick Valley,Gin Pig,Gin Pig,200051,Gin Pig 6/750 mL Btl,6/750ml Btl,1.00,,0.00,
On Premise,Bardstown Bourbon Co,Green River Wheated Full Proof,Bardstown Green River,201076,Green River Wheated Full Proof 1/750 ml Btl,1/750ML,,3.00,,15.00
On Premise,Caravella Inc,Lou Lou Bubbly Brut Rose,Caravella,200736,Lou Lou Bubbly Brut Rose 1/12/12 oz Can,1/12/12oz Can,2.00,2.00,8.00,3.00
On Premise,BJ'S Private Label Brew,BJ'S Prickly Pear Hard Lemonade,BJ'S Private Label Brewa,14132,BJ'S Prickly Pear Hard Lemonade Keg 15.5 Gal Keg,15.5 Gal Keg,1.00,1.00,8.00,6.00
