Sales Rep Assigned / Supplier / Brand Family,Qualifier Brands,Case Equiv   6/1/2025 - 8/31/2025,Case Equiv   6/1/2026 - 8/31/2026,( Case Equiv   6/1/2026 - 8/31/2026) Goals,( Case Equiv   6/1/2026 - 8/31/2026) % of Goals,Case Equiv Unit Difference
Yuengling Lager,,64,,,0%,-64
Heineken USA,Amplify: Heineken Light / Heineken 0.0,6,,,0%,-6
Heineken 0.0,,3,,,0%,-3
Heineken Light,,3,,,0%,-3
Heineken USA,Qualifier: Heineken USA,116,13,,0%,-103
Heineken USA,,116,13,,0%,-103
Mark Anthony,Amplify: Cayman Jack / Mike's Harder / MXD,4,,,0%,-4
Cayman Jack,,4,,,0%,-4
Mark Anthony,Qualifier: White Claw,90,11,81,13.6%,-79
White Claw,,90,11,,0%,-79
MolsonCoors Beverage Company,Amplify: Coors / Peroni,7,,,0%,-7
Coors,,2,,,0%,-2
Peroni,,5,,,0%,-5
MolsonCoors Beverage Company,Qualifier: Coors Light/Miller Lite/Blue Moon,197,27,,0%,-170
Blue Moon,,28,5,,0%,-23
Coors Light,,131,17,,0%,-114
Lite,,38,5,,0%,-33
New Belgium Brewing Company,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,5,4,,0%,-1
Voodoo Family,,5,4,,0%,-1
Sapporo,Amplify: Sapporo,1580,254,,0%,-1326
Sapporo,,1580,254,,0%,-1326
Javier Melo,,111434,15720,,0%,-95714
Boston Beer Company,Amplify: Dogfish Head,17,,,0%,-17
Dogfish Head Beer,,17,,,0%,-17
Boston Beer Company,Qualifier: Truly / Twisted Tea,427,43,425,10.1%,-384
Truly,,-2,,,0%,2
Twisted Tea,,429,43,,0%,-386
Constellation Brands,Amplify: Chelada / Victoria / Pacifico,7293,1168,,0%,-6125
Modelo Chelada,,3102,474,,0%,-2628
Pacifico,,975,203,,0%,-772
Victoria,,3216,491,,0%,-2725
Constellation Brands,Qualifier: Modelo/Corona,71589,10116,71156,14.2%,-61473
Corona Extra,,38291,5153,,0%,-33138
Modelo Especial,,33298,4964,,0%,-28334
DG Yuengling Inc,Amplify: Yuengling Light / Yuengling Flight,3,,,0%,-3
Yuengling Flight,,3,,,0%,-3
DG Yuengling Inc,Qualifier: Yuengling Lager,148,25,145,17.2%,-123
Yuengling Lager,,148,25,,0%,-123
Heineken USA,Amplify: Heineken Light / Heineken 0.0,1208,207,,0%,-1001
Heineken 0.0,,469,72,,0%,-397
Heineken Light,,739,135,,0%,-604
Heineken USA,Qualifier: Heineken USA,10573,1460,9939,14.7%,-9114
Heineken USA,,10573,1460,,0%,-9114
Mark Anthony,Amplify: Cayman Jack / Mike's Harder / MXD,788,105,,0%,-684
Cayman Jack,,603,86,,0%,-516
Mike's Harder,,43,4,,0%,-39
Mxd Cocktails,,143,15,,0%,-128
Mark Anthony,Qualifier: White Claw,1116,245,1005,24.4%,-871
White Claw,,1116,245,,0%,-871
MolsonCoors Beverage Company,Amplify: Coors / Peroni,2152,222,,0%,-1930
Coors,,2096,222,,0%,-1874
Peroni,,56,,,0%,-56
MolsonCoors Beverage Company,Qualifier: Coors Light/Miller Lite/Blue Moon,15869,2084,15551,13.4%,-13785
Blue Moon,,325,62,,0%,-263
Coors Light,,14909,1961,,0%,-12948
Lite,,636,61,,0%,-575
New Belgium Brewing Company,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,45,,,0%,-45
Voodoo Family,,45,,,0%,-45
Sapporo,Amplify: Sapporo,205,45,,0%,-160
Sapporo,,205,45,,0%,-160
Jayson Romine,,97883,10610,,0%,-87274
Bell's,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,36,2,,0%,-34
Bell's,,36,2,,0%,-34
Boston Beer Company,Amplify: Dogfish Head,1922,171,,0%,-1750
Dogfish Head Beer,,1276,124,,0%,-1151
Dogfish Head Spirits,,646,47,,0%,-599
Boston Beer Company,Qualifier: Truly / Twisted Tea,7723,715,7200,9.9%,-7008
Truly,,1864,126,,0%,-1738
Twisted Tea,,5858,589,,0%,-5270
Cape May,Amplify: Cape May,1211,185,,0%,-1026
Cape May,,1211,185,,0%,-1026
Constellation Brands,Amplify: Chelada / Victoria / Pacifico,1426,211,,0%,-1215
Modelo Chelada,,873,138,,0%,-735
Pacifico,,290,51,,0%,-239
Victoria,,263,22,,0%,-241
Constellation Brands,Qualifier: Modelo/Corona,18774,2355,18660,12.6%,-16419
Corona Extra,,10040,1132,,0%,-8908
Modelo Especial,,8734,1223,,0%,-7511
DG Yuengling Inc,Amplify: Yuengling Light / Yuengling Flight,1479,200,,0%,-1279
Yuengling Flight,,769,113,,0%,-656
Yuengling Light Lager,,710,87,,0%,-623
DG Yuengling Inc,Qualifier: Yuengling Lager,7208,928,7063,13.1%,-6279
Yuengling Lager,,7208,928,,0%,-6279
Mark Anthony,Amplify: Cayman Jack / Mike's Harder / MXD,1473,123,,0%,-1350
Cayman Jack,,837,67,,0%,-770
Mike's Harder,,632,56,,0%,-576
Mxd Cocktails,,4,,,0%,-4
Mark Anthony,Qualifier: White Claw,11796,950,10616,8.9%,-10845
White Claw,,11796,950,,0%,-10845
MolsonCoors Beverage Company,Amplify: Coors / Peroni,4704,885,,0%,-3819
Coors,,4024,837,,0%,-3187
Peroni,,680,48,,0%,-632
MolsonCoors Beverage Company,Qualifier: Coors Light/Miller Lite/Blue Moon,38381,3605,37942,9.5%,-34776
Blue Moon,,2086,294,,0%,-1793
Coors Light,,15712,1450,,0%,-14263
Lite,,20583,1862,,0%,-18721
New Belgium Brewing Company,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,1572,236,,0%,-1336
Fat Tire Family,,265,24,,0%,-241
Kirin Ichiban,,2,,,0%,-2
Voodoo Family,,1306,212,,0%,-1094
Sapporo,Amplify: Sapporo,182,44,,0%,-138
Sapporo,,182,44,,0%,-138
Jim Heaney,,92017,11989,,0%,-80027
Bell's,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,22,,,0%,-22
Bell's,,22,,,0%,-22
Boston Beer Company,Amplify: Dogfish Head,421,55,,0%,-365
Dogfish Head Beer,,318,36,,0%,-281
Dogfish Head Spirits,,103,19,,0%,-84
Boston Beer Company,Qualifier: Truly / Twisted Tea,3049,416,2870,14.5%,-2633
Truly,,662,119,,0%,-543
Twisted Tea,,2387,297,,0%,-2090
Cape May,Amplify: Cape May,417,79,,0%,-338
Cape May,,417,79,,0%,-338
Constellation Brands,Amplify: Chelada / Victoria / Pacifico,4240,685,,0%,-3555
Modelo Chelada,,1923,291,,0%,-1632
Pacifico,,853,124,,0%,-729
Victoria,,1464,270,,0%,-1194
Constellation Brands,Qualifier: Modelo/Corona,39181,5529,38968,14.2%,-33651
Corona Extra,,20142,2558,,0%,-17584
Modelo Especial,,19039,2972,,0%,-16067
DG Yuengling Inc,Amplify: Yuengling Light / Yuengling Flight,156,15,,0%,-141
Yuengling Flight,,58,7,,0%,-51
Yuengling Light Lager,,98,8,,0%,-90
DG Yuengling Inc,Qualifier: Yuengling Lager,2077,253,2035,12.4%,-1824
Yuengling Lager,,2077,253,,0%,-1824
Heineken USA,Amplify: Heineken Light / Heineken 0.0,1204,182,,0%,-1022
Heineken 0.0,,454,95,,0%,-359
Heineken Light,,750,87,,0%,-663
Heineken USA,Qualifier: Heineken USA,8243,1038,7749,13.4%,-7205
Heineken USA,,8243,1038,,0%,-7205
Mark Anthony,Amplify: Cayman Jack / Mike's Harder / MXD,1209,171,,0%,-1038
Cayman Jack,,1074,153,,0%,-921
Mike's Harder,,130,18,,0%,-112
Mxd Cocktails,,5,,,0%,-5
Mark Anthony,Qualifier: White Claw,5194,579,4675,12.4%,-4615
White Claw,,5194,579,,0%,-4615
MolsonCoors Beverage Company,Amplify: Coors / Peroni,3114,379,,0%,-2735
Coors,,2076,264,,0%,-1811
Peroni,,1038,115,,0%,-923
MolsonCoors Beverage Company,Qualifier: Coors Light/Miller Lite/Blue Moon,22346,2426,,0%,-19920
Blue Moon,,1433,184,,0%,-1249
Coors Light,,13808,1380,,0%,-12428
Lite,,7105,862,,0%,-6243
New Belgium Brewing Company,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,736,105,,0%,-631
Fat Tire Family,,66,3,,0%,-63
Kirin Ichiban,,17,2,,0%,-15
Voodoo Family,,653,100,,0%,-553
Sapporo,Amplify: Sapporo,409,75,,0%,-333
Sapporo,,409,75,,0%,-333
John Neukum,,176009,22454,,0%,-153555
Boston Beer Company,Qualifier: Truly / Twisted Tea,1350,196,1220,16.1%,-1154
Truly,,800,96,,0%,-704
Twisted Tea,,550,100,,0%,-450
Constellation Brands,Amplify: Chelada / Victoria / Pacifico,3815,1015,,0%,-2800
Modelo Chelada,,987,298,,0%,-689
Pacifico,,567,164,,0%,-403
Victoria,,2261,553,,0%,-1708
Constellation Brands,Qualifier: Modelo/Corona,116285,15737,115716,13.6%,-100548
Corona Extra,,57715,7074,,0%,-50641
Modelo Especial,,58570,8663,,0%,-49907
DG Yuengling Inc,Qualifier: Yuengling Lager,4010,567,3930,14.4%,-3443
Yuengling Lager,,4010,567,,0%,-3443
Heineken USA,Amplify: Heineken Light / Heineken 0.0,963,191,,0%,-772
Heineken 0.0,,375,23,,0%,-352
Heineken Light,,588,168,,0%,-420
Heineken USA,Qualifier: Heineken USA,16065,1661,15101,11.0%,-14403
Heineken USA,,16065,1661,,0%,-14403
Mark Anthony,Amplify: Cayman Jack / Mike's Harder / MXD,943,10,,0%,-933
Cayman Jack,,943,10,,0%,-933
Mark Anthony,Qualifier: White Claw,5148,468,4633,10.1%,-4680
White Claw,,5148,468,,0%,-4680
MolsonCoors Beverage Company,Amplify: Coors / Peroni,2681,180,,0%,-2502
Coors,,1078,98,,0%,-980
Peroni,,1604,82,,0%,-1522
MolsonCoors Beverage Company,Qualifier: Coors Light/Miller Lite/Blue Moon,21166,1817,20735,8.8%,-19348
Blue Moon,,2415,150,,0%,-2265
Coors Light,,14278,1273,,0%,-13005
Lite,,4473,394,,0%,-4079
New Belgium Brewing Company,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,60,10,,0%,-50
Voodoo Family,,60,10,,0%,-50
Sapporo,Amplify: Sapporo,3523,600,,0%,-2923
Sapporo,,3523,600,,0%,-2923
John O'Donoghue,,1445,279,,0%,-1166
Boston Beer Company,Qualifier: Truly / Twisted Tea,5,,30,0%,-5
Twisted Tea,,5,,,0%,-5
Cape May,Amplify: Cape May,6,,,0%,-6
Cape May,,6,,,0%,-6
Constellation Brands,Amplify: Chelada / Victoria / Pacifico,11,8,,0%,-3
Modelo Chelada,,9,,,0%,-9
Pacifico,,1,5,,0%,4
Victoria,,1,3,,0%,2
Constellation Brands,Qualifier: Modelo/Corona,234,52,233,22.3%,-182
Corona Extra,,98,27,,0%,-71
Modelo Especial,,136,25,,0%,-111
DG Yuengling Inc,Qualifier: Yuengling Lager,11,,,0%,-11
Yuengling Lager,,11,,,0%,-11
Heineken USA,Amplify: Heineken Light / Heineken 0.0,6,2,,0%,-4
Heineken 0.0,,6,,,0%,-6
Heineken Light,,,2,,0%,2
Heineken USA,Qualifier: Heineken USA,26,49,,0%,23
Heineken USA,,26,49,,0%,23
Mark Anthony,Amplify: Cayman Jack / Mike's Harder / MXD,3,6,,0%,3
Cayman Jack,,,1,,0%,1
Mike's Harder,,3,5,,0%,2
Mark Anthony,Qualifier: White Claw,16,10,14,71.4%,-6
White Claw,,16,10,,0%,-6
MolsonCoors Beverage Company,Amplify: Coors / Peroni,10,1,,0%,-9
Coors,,5,,,0%,-5
Peroni,,5,1,,0%,-4
MolsonCoors Beverage Company,Qualifier: Coors Light/Miller Lite/Blue Moon,107,13,,0%,-94
Blue Moon,,1,,,0%,-1
Coors Light,,46,1,,0%,-45
Lite,,60,12,,0%,-48
New Belgium Brewing Company,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,2,,,0%,-2
Kirin Ichiban,,1,,,0%,-1
Voodoo Family,,1,,,0%,-1
Sapporo,Amplify: Sapporo,1010,138,,0%,-871
Sapporo,,1010,138,,0%,-871
Klejdi Lamo,,87368,10180,,0%,-77189
Bell's,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,67,3,,0%,-64
Bell's,,67,3,,0%,-64
Boston Beer Company,Amplify: Dogfish Head,1774,232,,0%,-1541
Dogfish Head Beer,,1333,188,,0%,-1144
Dogfish Head Spirits,,441,44,,0%,-397
Boston Beer Company,Qualifier: Truly / Twisted Tea,5181,429,4900,8.8%,-4752
Truly,,1598,121,,0%,-1477
Twisted Tea,,3583,308,,0%,-3275
Cape May,Amplify: Cape May,1198,167,,0%,-1030
Cape May,,1198,167,,0%,-1030
Constellation Brands,Amplify: Chelada / Victoria / Pacifico,2973,430,,0%,-2543
Modelo Chelada,,1919,238,,0%,-1681
Pacifico,,459,57,,0%,-402
Victoria,,595,135,,0%,-460
Constellation Brands,Qualifier: Modelo/Corona,25524,3119,25364,12.3%,-22405
Corona Extra,,13842,1643,,0%,-12199
Modelo Especial,,11681,1476,,0%,-10205
DG Yuengling Inc,Amplify: Yuengling Light / Yuengling Flight,764,122,,0%,-643
Yuengling Flight,,489,58,,0%,-432
Yuengling Light Lager,,275,64,,0%,-211
DG Yuengling Inc,Qualifier: Yuengling Lager,4145,549,4063,13.5%,-3597
Yuengling Lager,,4145,549,,0%,-3597
Heineken USA,Amplify: Heineken Light / Heineken 0.0,30,12,,0%,-18
Heineken 0.0,,15,3,,0%,-12
Heineken Light,,15,9,,0%,-6
Heineken USA,Qualifier: Heineken USA,202,16,190,8.4%,-186
Heineken USA,,202,16,,0%,-186
Mark Anthony,Amplify: Cayman Jack / Mike's Harder / MXD,1079,185,,0%,-894
Cayman Jack,,617,127,,0%,-490
Mike's Harder,,462,57,,0%,-405
Mxd Cocktails,,,1,,0%,1
Mark Anthony,Qualifier: White Claw,9390,894,8451,10.6%,-8496
White Claw,,9390,894,,0%,-8496
MolsonCoors Beverage Company,Amplify: Coors / Peroni,3325,453,,0%,-2872
Coors,,2628,395,,0%,-2233
Peroni,,697,57,,0%,-639
MolsonCoors Beverage Company,Qualifier: Coors Light/Miller Lite/Blue Moon,30218,3303,27752,11.9%,-26915
Blue Moon,,2210,252,,0%,-1957
Coors Light,,12823,1588,,0%,-11235
Lite,,15185,1462,,0%,-13723
New Belgium Brewing Company,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,1272,184,,0%,-1088
Fat Tire Family,,133,15,,0%,-118
Kirin Ichiban,,22,,,0%,-22
Voodoo Family,,1118,169,,0%,-949
Sapporo,Amplify: Sapporo,227,83,,0%,-144
Sapporo,,227,83,,0%,-144
Matt Powierski,,75088,10262,,0%,-64825
Bell's,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,3,,,0%,-3
Bell's,,3,,,0%,-3
Boston Beer Company,Amplify: Dogfish Head,259,30,,0%,-229
Dogfish Head Beer,,214,22,,0%,-192
Dogfish Head Spirits,,45,8,,0%,-37
Boston Beer Company,Qualifier: Truly / Twisted Tea,2387,278,2250,12.4%,-2109
Truly,,560,56,,0%,-504
Twisted Tea,,1827,222,,0%,-1605
Cape May,Amplify: Cape May,209,47,,0%,-162
Cape May,,209,47,,0%,-162
Constellation Brands,Amplify: Chelada / Victoria / Pacifico,3294,573,,0%,-2721
Modelo Chelada,,1608,247,,0%,-1361
Pacifico,,651,147,,0%,-504
Victoria,,1035,179,,0%,-856
Constellation Brands,Qualifier: Modelo/Corona,32775,4361,32540,13.4%,-28414
Corona Extra,,18754,2469,,0%,-16285
Modelo Especial,,14021,1892,,0%,-12129
DG Yuengling Inc,Amplify: Yuengling Light / Yuengling Flight,165,15,,0%,-151
Yuengling Flight,,134,15,,0%,-120
Yuengling Light Lager,,31,,,0%,-31
DG Yuengling Inc,Qualifier: Yuengling Lager,1296,166,1270,13.1%,-1130
Yuengling Lager,,1296,166,,0%,-1130
Heineken USA,Amplify: Heineken Light / Heineken 0.0,944,117,,0%,-827
Heineken 0.0,,570,55,,0%,-515
Heineken Light,,374,62,,0%,-312
Heineken USA,Qualifier: Heineken USA,7327,1142,6888,16.6%,-6185
Heineken USA,,7327,1142,,0%,-6185
Mark Anthony,Amplify: Cayman Jack / Mike's Harder / MXD,1051,166,,0%,-885
Cayman Jack,,833,124,,0%,-709
Mike's Harder,,196,35,,0%,-161
Mxd Cocktails,,23,8,,0%,-15
Mark Anthony,Qualifier: White Claw,4472,584,4025,14.5%,-3889
White Claw,,4472,584,,0%,-3889
MolsonCoors Beverage Company,Amplify: Coors / Peroni,2699,417,,0%,-2282
Coors,,1701,257,,0%,-1444
Peroni,,998,161,,0%,-838
MolsonCoors Beverage Company,Qualifier: Coors Light/Miller Lite/Blue Moon,17000,2172,16688,13.0%,-14828
Blue Moon,,1326,217,,0%,-1110
Coors Light,,11633,1377,,0%,-10256
Lite,,4041,579,,0%,-3463
New Belgium Brewing Company,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,562,68,,0%,-495
Fat Tire Family,,33,1,,0%,-32
Kirin Ichiban,,47,4,,0%,-43
Voodoo Family,,482,63,,0%,-420
Sapporo,Amplify: Sapporo,643,126,,0%,-517
Sapporo,,643,126,,0%,-517
Michael Harboy,,15502,1454,,0%,-14048
Bell's,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,-1,,,0%,1
Bell's,,-1,,,0%,1
Boston Beer Company,Amplify: Dogfish Head,150,9,,0%,-141
Dogfish Head Beer,,99,7,,0%,-92
Dogfish Head Spirits,,51,2,,0%,-49
Boston Beer Company,Qualifier: Truly / Twisted Tea,721,83,680,12.2%,-638
Truly,,109,2,,0%,-107
Twisted Tea,,612,81,,0%,-531
Cape May,Amplify: Cape May,115,14,,0%,-101
Cape May,,115,14,,0%,-101
Constellation Brands,Amplify: Chelada / Victoria / Pacifico,539,50,,0%,-489
Modelo Chelada,,290,34,,0%,-256
Pacifico,,89,6,,0%,-83
Victoria,,160,10,,0%,-150
Constellation Brands,Qualifier: Modelo/Corona,4443,486,4421,11.0%,-3957
Corona Extra,,2212,236,,0%,-1976
Modelo Especial,,2231,250,,0%,-1981
DG Yuengling Inc,Amplify: Yuengling Light / Yuengling Flight,70,10,,0%,-60
Yuengling Flight,,26,5,,0%,-21
Yuengling Light Lager,,44,5,,0%,-39
DG Yuengling Inc,Qualifier: Yuengling Lager,486,78,476,16.4%,-408
Yuengling Lager,,486,78,,0%,-408
Heineken USA,Amplify: Heineken Light / Heineken 0.0,214,11,,0%,-202
Heineken 0.0,,77,11,,0%,-65
Heineken Light,,137,,,0%,-137
Heineken USA,Qualifier: Heineken USA,910,18,856,2.1%,-892
Heineken USA,,910,18,,0%,-892
Mark Anthony,Amplify: Cayman Jack / Mike's Harder / MXD,163,37,,0%,-126
Cayman Jack,,125,24,,0%,-100
Mike's Harder,,38,13,,0%,-25
Mark Anthony,Qualifier: White Claw,1505,60,1355,4.4%,-1446
White Claw,,1505,60,,0%,-1446
MolsonCoors Beverage Company,Amplify: Coors / Peroni,530,90,,0%,-439
Coors,,314,65,,0%,-249
Peroni,,216,25,,0%,-190
MolsonCoors Beverage Company,Qualifier: Coors Light/Miller Lite/Blue Moon,4970,406,4903,8.3%,-4564
Blue Moon,,303,26,,0%,-277
Coors Light,,2426,269,,0%,-2157
Lite,,2241,111,,0%,-2130
New Belgium Brewing Company,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,235,18,,0%,-217
Fat Tire Family,,14,2,,0%,-12
Kirin Ichiban,,5,,,0%,-5
Voodoo Family,,216,16,,0%,-200
Sapporo,Amplify: Sapporo,452,83,,0%,-368
Sapporo,,452,83,,0%,-368
Mike Ast,,78143,9252,,0%,-68891
Bell's,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,34,2,,0%,-32
Bell's,,34,2,,0%,-32
Boston Beer Company,Amplify: Dogfish Head,1105,120,,0%,-984
Dogfish Head Beer,,848,98,,0%,-749
Dogfish Head Spirits,,257,22,,0%,-235
Boston Beer Company,Qualifier: Truly / Twisted Tea,2754,146,2600,5.6%,-2609
Truly,,667,24,,0%,-643
Twisted Tea,,2088,122,,0%,-1966
Cape May,Amplify: Cape May,1034,125,,0%,-909
Cape May,,1034,125,,0%,-909
Constellation Brands,Amplify: Chelada / Victoria / Pacifico,1665,268,,0%,-1397
Modelo Chelada,,783,119,,0%,-664
Pacifico,,590,115,,0%,-475
Victoria,,292,34,,0%,-257
Constellation Brands,Qualifier: Modelo/Corona,24590,2530,24427,10.4%,-22060
Corona Extra,,13633,1207,,0%,-12426
Modelo Especial,,10957,1323,,0%,-9633
DG Yuengling Inc,Amplify: Yuengling Light / Yuengling Flight,303,26,,0%,-277
Yuengling Flight,,160,12,,0%,-148
Yuengling Light Lager,,143,14,,0%,-129
DG Yuengling Inc,Qualifier: Yuengling Lager,3177,427,3114,13.7%,-2751
Yuengling Lager,,3177,427,,0%,-2751
Heineken USA,Amplify: Heineken Light / Heineken 0.0,1512,160,,0%,-1352
Heineken 0.0,,662,81,,0%,-581
Heineken Light,,850,79,,0%,-771
Heineken USA,Qualifier: Heineken USA,4994,663,4695,14.1%,-4331
Heineken USA,,4994,663,,0%,-4331
Mark Anthony,Amplify: Cayman Jack / Mike's Harder / MXD,731,36,,0%,-696
Cayman Jack,,567,10,,0%,-557
Mike's Harder,,147,26,,0%,-122
Mxd Cocktails,,17,,,0%,-17
Mark Anthony,Qualifier: White Claw,6286,726,5657,12.8%,-5560
White Claw,,6286,726,,0%,-5560
MolsonCoors Beverage Company,Amplify: Coors / Peroni,3369,581,,0%,-2788
Coors,,2060,373,,0%,-1688
Peroni,,1309,208,,0%,-1101
MolsonCoors Beverage Company,Qualifier: Coors Light/Miller Lite/Blue Moon,25328,3222,24961,12.9%,-22106
Blue Moon,,1937,286,,0%,-1651
Coors Light,,12575,1510,,0%,-11066
Lite,,10816,1427,,0%,-9389
New Belgium Brewing Company,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,807,125,,0%,-682
Fat Tire Family,,136,11,,0%,-125
Kirin Ichiban,,2,8,,0%,6
Voodoo Family,,669,106,,0%,-563
Sapporo,Amplify: Sapporo,454,94,,0%,-360
Sapporo,,454,94,,0%,-360
Nick Melissari,,31190,4741,,0%,-26449
Boston Beer Company,Amplify: Dogfish Head,680,85,,0%,-596
Dogfish Head Beer,,640,83,,0%,-558
Dogfish Head Spirits,,40,2,,0%,-38
Boston Beer Company,Qualifier: Truly / Twisted Tea,246,51,240,21.2%,-195
Truly,,45,15,,0%,-30
Twisted Tea,,202,36,,0%,-166
Cape May,Amplify: Cape May,244,43,,0%,-201
Cape May,,244,43,,0%,-201
Constellation Brands,Amplify: Chelada / Victoria / Pacifico,298,75,,0%,-223
Modelo Chelada,,24,4,,0%,-20
Pacifico,,218,57,,0%,-161
Victoria,,56,14,,0%,-42
Constellation Brands,Qualifier: Modelo/Corona,7741,1291,7671,16.8%,-6450
Corona Extra,,4916,744,,0%,-4172
Modelo Especial,,2825,546,,0%,-2278
DG Yuengling Inc,Amplify: Yuengling Light / Yuengling Flight,19,2,,0%,-17
Yuengling Flight,,18,0,,0%,-18
Yuengling Light Lager,,1,2,,0%,1
DG Yuengling Inc,Qualifier: Yuengling Lager,2666,414,2612,15.8%,-2251
Yuengling Lager,,2666,414,,0%,-2251
Heineken USA,Amplify: Heineken Light / Heineken 0.0,396,68,,0%,-328
Heineken 0.0,,293,51,,0%,-242
Heineken Light,,103,17,,0%,-86
Heineken USA,Qualifier: Heineken USA,2493,347,2344,14.8%,-2146
Heineken USA,,2493,347,,0%,-2146
Mark Anthony,Amplify: Cayman Jack / Mike's Harder / MXD,14,,,0%,-14
Cayman Jack,,3,,,0%,-3
Mike's Harder,,7,,,0%,-7
Mxd Cocktails,,4,,,0%,-4
Mark Anthony,Qualifier: White Claw,665,80,598,13.4%,-584
White Claw,,665,80,,0%,-584
MolsonCoors Beverage Company,Amplify: Coors / Peroni,926,205,,0%,-721
Coors,,157,34,,0%,-123
Peroni,,769,171,,0%,-598
MolsonCoors Beverage Company,Qualifier: Coors Light/Miller Lite/Blue Moon,14129,1969,13830,14.2%,-12160
Blue Moon,,3378,474,,0%,-2903
Coors Light,,4829,601,,0%,-4228
Lite,,5922,894,,0%,-5028
New Belgium Brewing Company,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,529,80,,0%,-449
Fat Tire Family,,160,21,,0%,-138
Kirin Ichiban,,54,4,,0%,-50
Voodoo Family,,316,55,,0%,-261
Sapporo,Amplify: Sapporo,142,30,,0%,-111
Sapporo,,142,30,,0%,-111
Office Tell Sell,,639,79,,0%,-561
Boston Beer Company,Amplify: Dogfish Head,13,3,,0%,-10
Dogfish Head Beer,,13,3,,0%,-10
Constellation Brands,Amplify: Chelada / Victoria / Pacifico,,-1,,0%,-1
Pacifico,,,-1,,0%,-1
Constellation Brands,Qualifier: Modelo/Corona,238,24,234,10.3%,-214
Corona Extra,,216,21,,0%,-195
Modelo Especial,,22,3,,0%,-19
DG Yuengling Inc,Qualifier: Yuengling Lager,40,5,,0%,-35
Yuengling Lager,,40,5,,0%,-35
Heineken USA,Amplify: Heineken Light / Heineken 0.0,7,1,,0%,-7
Heineken 0.0,,7,1,,0%,-7
Heineken USA,Qualifier: Heineken USA,76,5,,0%,-71
Heineken USA,,76,5,,0%,-71
Mark Anthony,Qualifier: White Claw,6,,5,0%,-6
White Claw,,6,,,0%,-6
MolsonCoors Beverage Company,Amplify: Coors / Peroni,51,14,,0%,-37
Peroni,,51,14,,0%,-37
MolsonCoors Beverage Company,Qualifier: Coors Light/Miller Lite/Blue Moon,186,23,,0%,-162
Blue Moon,,13,4,,0%,-9
Coors Light,,130,14,,0%,-116
Lite,,43,5,,0%,-38
New Belgium Brewing Company,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,9,,,0%,-9
Fat Tire Family,,2,,,0%,-2
Voodoo Family,,7,,,0%,-7
Sapporo,Amplify: Sapporo,12,5,,0%,-7
Sapporo,,12,5,,0%,-7
Pablo Lopez,,83331,9999,,0%,-73332
Boston Beer Company,Amplify: Dogfish Head,17,,,0%,-17
Dogfish Head Beer,,17,,,0%,-17
Boston Beer Company,Qualifier: Truly / Twisted Tea,349,31,325,9.5%,-318
Truly,,33,-1,,0%,-34
Twisted Tea,,316,32,,0%,-284
Cape May,Amplify: Cape May,7,,,0%,-7
Cape May,,7,,,0%,-7
Constellation Brands,Amplify: Chelada / Victoria / Pacifico,5666,840,,0%,-4825
Modelo Chelada,,2440,347,,0%,-2093
Pacifico,,735,99,,0%,-636
Victoria,,2491,394,,0%,-2097
Constellation Brands,Qualifier: Modelo/Corona,50702,5695,50360,11.3%,-45007
Corona Extra,,28310,3231,,0%,-25079
Modelo Especial,,22393,2464,,0%,-19928
DG Yuengling Inc,Amplify: Yuengling Light / Yuengling Flight,7,,,0%,-7
Yuengling Flight,,7,,,0%,-7
DG Yuengling Inc,Qualifier: Yuengling Lager,139,21,136,15.4%,-118
Yuengling Lager,,139,21,,0%,-118
Heineken USA,Amplify: Heineken Light / Heineken 0.0,1416,159,,0%,-1257
Heineken 0.0,,385,74,,0%,-311
Heineken Light,,1031,85,,0%,-946
Heineken USA,Qualifier: Heineken USA,8733,1358,8209,16.5%,-7375
Heineken USA,,8733,1358,,0%,-7375
Mark Anthony,Amplify: Cayman Jack / Mike's Harder / MXD,750,114,,0%,-636
Cayman Jack,,414,67,,0%,-347
Mike's Harder,,52,3,,0%,-49
Mxd Cocktails,,284,44,,0%,-240
Mark Anthony,Qualifier: White Claw,896,91,806,11.3%,-805
White Claw,,896,91,,0%,-805
MolsonCoors Beverage Company,Amplify: Coors / Peroni,1200,219,,0%,-982
Coors,,1139,216,,0%,-923
Peroni,,61,3,,0%,-58
