Supplier,Brand Family,Segment,Sub-Segments,Package,Cases   1/1/2025 - 7/31/2025,Cases   1/1/2026 - 7/31/2026,Cases Unit Difference,Cases Percentage Difference,$Vol   1/1/2025 - 7/31/2025,$Vol   1/1/2026 - 7/31/2026,$Vol Unit Difference,$Vol Percentage Difference
Caravella Inc,Caravella,Wine,Wine - Sparkling,1/12/12oz Can,244.00,137.00,-107.00,-43.9%,"$8,168.90","$4,614.70","($3,554.20)",-43.5%
"Cavalier Ventures, LLC",Coastal Cocktails,RTD,RTD,6/4/12oz Can,43.00,303.00,260.00,604.7%,"$2,715.65","$19,353.65","$16,638.00",612.7%
"Cavalier Ventures, LLC",Coastal Cocktails,RTD,RTD,4/6/12oz Can,,2.00,2.00,0.0%,,$129.10,$129.10,0.0%
"Cavalier Ventures, LLC",Coastal Cocktails,RTD,RTD,3/8/12oz Can,203.00,720.00,517.00,254.7%,"$10,628.00","$37,744.00","$27,116.00",255.1%
Cerveceria La Tropical,La Tropical,Beer,Beer - Craft,4/6/12oz Can,126.00,0.00,-126.00,-100.0%,"$3,274.00",$0.00,"($3,274.00)",-100.0%
Chateau Diana Winery,Chateau Diana,Wine,Wine - White,1/12/750ml Btl,,6.00,6.00,0.0%,,$480.00,$480.00,0.0%
Chateau Diana Winery,Chateau Diana,Wine,Wine - Other,1/12/750ml Btl,,76.00,76.00,0.0%,,"$6,240.00","$6,240.00",0.0%
Chateau Diana Winery,Chateau Diana,Wine,Wine - Red,1/12/750ml Btl,,5.00,5.00,0.0%,,$410.00,$410.00,0.0%
Chateau Diana Winery,Chateau Diana,Wine,Wine - Desert,1/12/750ml Btl,,4.00,4.00,0.0%,,$464.00,$464.00,0.0%
Citizen Cider,Citizen Cider,Cider,Cider,6/4/12oz Can,1.00,,-1.00,-100.0%,$65.00,,($65.00),-100.0%
Citizen Cider,Citizen Cider,Cider,Cider,6/4/16oz Can,354.00,11.00,-343.00,-96.9%,"$21,844.00",$694.00,"($21,150.00)",-96.8%
Citizen Cider,Citizen Cider,Cider,Cider,2/12/16oz Can,49.00,,-49.00,-100.0%,$490.00,,($490.00),-100.0%
Constellation Brands,Modelo Negra,Beer,Beer - Import,1/4 BBL Keg (7.75 Gal),84.00,94.00,10.00,11.9%,"$9,778.00","$10,942.00","$1,164.00",11.9%
Constellation Brands,Modelo Negra,Beer,Beer - Import,4/6/12oz NR,8871.00,8823.00,-48.00,-0.5%,"$280,784.76","$278,648.70","($2,136.06)",-0.8%
Constellation Brands,Corona Premier,Beer,Beer - Import,18/12oz NR,436.00,521.00,85.00,19.5%,"$9,722.95","$10,290.95",$568.00,5.8%
Constellation Brands,Victoria,Beer,Beer - Import,2/12/12oz Can,6505.00,7489.00,984.00,15.1%,"$191,602.00","$220,291.50","$28,689.50",15.0%
Constellation Brands,Corona Extra,Beer,Beer - Import,12/24oz NR,9302.00,8668.00,-634.00,-6.8%,"$291,745.30","$271,730.75","($20,014.55)",-6.9%
Constellation Brands,Corona Light,Beer,Beer - Import,2/12/12oz NR,11883.00,10841.00,-1042.00,-8.8%,"$372,339.61","$339,499.67","($32,839.94)",-8.8%
Constellation Brands,Modelo Especial,Beer,Beer - Import,24/12oz NR,112185.00,107823.00,-4362.00,-3.9%,"$3,472,554.87","$3,339,559.12","($132,995.75)",-3.8%
Constellation Brands,Modelo Especial,Beer,Beer - Import,24/7oz NR,50236.00,53645.00,3409.00,6.8%,"$1,057,154.85","$1,130,586.95","$73,432.10",6.9%
Constellation Brands,Modelo Especial,Beer,Beer - Import,1/4 BBL Keg (7.75 Gal),1124.00,1088.00,-36.00,-3.2%,"$130,856.05","$126,586.00","($4,270.05)",-3.3%
Constellation Brands,Victoria,Beer,Beer - Import,4/6/12oz NR,9174.00,9661.00,487.00,5.3%,"$286,687.15","$301,719.60","$15,032.45",5.2%
Constellation Brands,Modelo Especial,Beer,Beer - Import,1/12/24oz Can,27534.00,29257.00,1723.00,6.3%,"$863,289.55","$917,036.85","$53,747.30",6.2%
Constellation Brands,Modelo Especial,Beer,Beer - Import,18/12oz Can,12090.00,15122.00,3032.00,25.1%,"$260,928.05","$323,696.05","$62,768.00",24.1%
Constellation Brands,Corona Premier,Beer,Beer - Import,15.5 Gal Keg,155.00,63.00,-92.00,-59.4%,"$28,128.00","$11,382.00","($16,746.00)",-59.5%
Constellation Brands,Corona Sunbrew,Beer,Beer - Import,1/12/24oz Can,486.00,343.00,-143.00,-29.4%,"$15,190.85","$10,330.80","($4,860.05)",-32.0%
Constellation Brands,The Drop,FMB,FMB,6/4/12oz Can,46.00,33.00,-13.00,-28.3%,"$1,929.00",$660.00,"($1,269.00)",-65.8%
Constellation Brands,Corona Light,Beer,Beer - Import,4/6/12oz NR,9029.00,8727.00,-302.00,-3.3%,"$290,145.69","$280,635.84","($9,509.85)",-3.3%
Constellation Brands,Corona Premier,Beer,Beer - Import,2/12/12oz NR,7343.00,7410.00,67.00,0.9%,"$229,626.36","$199,777.68","($29,848.68)",-13.0%
Constellation Brands,Corona Premier,Beer,Beer - Import,2/12/12oz Can,3666.00,3396.00,-270.00,-7.4%,"$114,194.10","$91,709.08","($22,485.02)",-19.7%
Constellation Brands,Corona Premier,Beer,Beer - Import,4/6/12oz NR,5942.00,5327.00,-615.00,-10.4%,"$188,684.46","$154,130.76","($34,553.70)",-18.3%
Constellation Brands,Corona Familiar,Beer,Beer - Import,2/12/12oz NR,3177.00,2960.00,-217.00,-6.8%,"$99,350.88","$92,607.46","($6,743.42)",-6.8%
Constellation Brands,Pacifico,Beer,Beer - Import,2/12/12oz NR,4772.00,5927.00,1155.00,24.2%,"$149,575.25","$185,855.35","$36,280.10",24.3%
Constellation Brands,Modelo Oro,Beer,Beer - Import,2/12/12oz Can,2044.00,1401.00,-643.00,-31.5%,"$57,725.83","$37,809.73","($19,916.10)",-34.5%
Constellation Brands,Corona Extra,Beer,Beer - Import,18/12oz NR,8102.00,10541.00,2439.00,30.1%,"$189,477.75","$246,369.30","$56,891.55",30.0%
Constellation Brands,Victoria,Beer,Beer - Import,2/12/12oz NR,9808.00,11906.00,2098.00,21.4%,"$304,089.00","$369,126.00","$65,037.00",21.4%
Constellation Brands,Modelo Oro,Beer,Beer - Import,24/12OZ,205.00,301.00,96.00,46.8%,"$5,246.10","$7,244.70","$1,998.60",38.1%
Constellation Brands,Corona Premier,Beer,Beer - Import,1/24/12oz Can,883.00,1213.00,330.00,37.4%,"$25,310.75","$28,974.70","$3,663.95",14.5%
Constellation Brands,Victoria,Beer,Beer - Import,1/12/24oz Can,1800.00,3280.00,1480.00,82.2%,"$56,405.50","$102,703.35","$46,297.85",82.1%
Constellation Brands,Corona Light,Beer,Beer - Import,2/12/12oz Can,4720.00,4675.00,-45.00,-1.0%,"$147,449.79","$146,116.85","($1,332.94)",-0.9%
Constellation Brands,Corona Sunbrew,Beer,Beer - Import,2/12/12oz NR,1946.00,1816.00,-130.00,-6.7%,"$60,275.00","$56,236.00","($4,039.00)",-6.7%
Constellation Brands,Modelo Especial,Beer,Beer - Import,15.5 Gal Keg,1741.00,1830.00,89.00,5.1%,"$315,862.14","$331,572.00","$15,709.86",5.0%
Constellation Brands,Modelo Especial,Beer,Beer - Import,6/4/16oz Can,4358.00,4575.00,217.00,5.0%,"$125,919.50","$126,210.00",$290.50,0.2%
Constellation Brands,Modelo Oro,Beer,Beer - Import,2/12/12oz NR,742.00,568.00,-174.00,-23.5%,"$21,033.45","$15,366.85","($5,666.60)",-26.9%
Constellation Brands,Corona Light,Beer,Beer - Import,1/4 BBL Keg (7.75 Gal),,93.00,93.00,0.0%,,"$10,893.00","$10,893.00",0.0%
Constellation Brands,Corona NA,Beer,Beer - Non-Alc,2/12/12oz Can,625.00,811.00,186.00,29.8%,"$19,507.00","$25,346.00","$5,839.00",29.9%
Constellation Brands,Corona Extra,Beer,Beer - Import,24/12oz NR,233804.00,224334.00,-9470.00,-4.1%,"$7,304,328.29","$7,026,848.50","($277,479.79)",-3.8%
Constellation Brands,Victoria,Beer,Beer - Import,12/32oz NR,4943.00,5903.00,960.00,19.4%,"$183,038.60","$218,245.50","$35,206.90",19.2%
Constellation Brands,Corona Extra,Beer,Beer - Import,1/12/24oz Can,17654.00,19307.00,1653.00,9.4%,"$553,686.75","$605,206.90","$51,520.15",9.3%
Constellation Brands,Pacifico,Beer,Beer - Import,1/24/7.00 oz,,1001.00,1001.00,0.0%,,"$21,242.45","$21,242.45",0.0%
Constellation Brands,Corona Premier,Beer,Beer - Import,1/4 BBL Keg (7.75 Gal),101.00,70.00,-31.00,-30.7%,"$11,764.00","$8,110.00","($3,654.00)",-31.1%
Constellation Brands,Modelo Chelada,Beer,Beer - Import,6/4/16oz Can,,753.00,753.00,0.0%,,"$20,926.00","$20,926.00",0.0%
Constellation Brands,Corona NA,Beer,Beer - Non-Alc,4/6/12oz NR,4362.00,4429.00,67.00,1.5%,"$136,997.65","$138,760.92","$1,763.27",1.3%
Constellation Brands,Corona Familiar,Beer,Beer - Import,4/6/12oz NR,2878.00,3394.00,516.00,17.9%,"$90,422.71","$106,664.00","$16,241.29",18.0%
Constellation Brands,Modelo Chelada,Beer,Beer - Import,1/12/24oz Can,31573.00,38021.00,6448.00,20.4%,"$989,499.80","$1,191,174.95","$201,675.15",20.4%
Constellation Brands,Corona Extra,Beer,Beer - Import,2/12/12oz NR,120127.00,114666.00,-5461.00,-4.5%,"$3,788,818.93","$3,625,848.11","($162,970.82)",-4.3%
Constellation Brands,Corona Sunbrew,Beer,Beer - Import,2/12/12oz Can,,346.00,346.00,0.0%,,"$10,773.50","$10,773.50",0.0%
Constellation Brands,Modelo Aquas Frescas,FMB,FMB,2/12/12oz Can,1185.00,400.00,-785.00,-66.2%,"$36,255.50","$12,440.00","($23,815.50)",-65.7%
Constellation Brands,Corona NA,Beer,Beer - Non-Alc,2/12/12oz NR,,512.00,512.00,0.0%,,"$15,984.23","$15,984.23",0.0%
Constellation Brands,Modelo Especial,Beer,Beer - Import,2/12/12oz NR,89530.00,81495.00,-8035.00,-9.0%,"$2,803,256.72","$2,552,309.46","($250,947.26)",-9.0%
Constellation Brands,Pacifico,Beer,Beer - Import,4/6/12oz NR,5434.00,6595.00,1161.00,21.4%,"$172,715.50","$209,284.50","$36,569.00",21.2%
Constellation Brands,Modelo Especial,Beer,Beer - Import,2/12/12oz Can,108857.00,119360.00,10503.00,9.6%,"$3,256,968.75","$3,567,476.21","$310,507.46",9.5%
Constellation Brands,Modelo Negra,Beer,Beer - Import,2/12/12oz NR,4034.00,4008.00,-26.00,-0.6%,"$126,431.70","$125,746.25",($685.45),-0.5%
Constellation Brands,Modelo Oro,Beer,Beer - Import,1/12/24oz Can,367.00,142.00,-225.00,-61.3%,"$10,673.45","$2,948.86","($7,724.59)",-72.4%
Constellation Brands,Modelo Negra,Beer,Beer - Import,2/12/12oz Can,,645.00,645.00,0.0%,,"$19,050.50","$19,050.50",0.0%
Constellation Brands,Modelo Negra,Beer,Beer - Import,1/12/24oz Can,977.00,1057.00,80.00,8.2%,"$30,637.90","$33,133.30","$2,495.40",8.1%
Constellation Brands,Corona Extra,Beer,Beer - Import,4/6/12oz NR,106448.00,101140.00,-5308.00,-5.0%,"$3,475,997.08","$3,311,556.83","($164,440.25)",-4.7%
Constellation Brands,Corona Extra,Beer,Beer - Import,24/7oz NR,186923.00,188003.00,1080.00,0.6%,"$3,930,073.85","$3,960,796.06","$30,722.21",0.8%
Constellation Brands,Corona Familiar,Beer,Beer - Import,12/32oz NR,9980.00,10995.00,1015.00,10.2%,"$368,922.50","$406,304.00","$37,381.50",10.1%
Constellation Brands,Corona Extra,Beer,Beer - Import,6/4/16oz Can,3553.00,2963.00,-590.00,-16.6%,"$103,084.50","$82,077.00","($21,007.50)",-20.4%
Constellation Brands,Pacifico,Beer,Beer - Import,1/4 BBL Keg (7.75 Gal),207.00,248.00,41.00,19.8%,"$24,086.00","$28,865.00","$4,779.00",19.8%
Constellation Brands,Corona Refresca,FMB,FMB,2/12/12oz Can,1097.00,,-1097.00,-100.0%,"$33,577.69",,"($33,577.69)",-100.0%
Constellation Brands,Pacifico,Beer,Beer - Import,15.5 Gal Keg,93.00,107.00,14.00,15.1%,"$16,818.00","$19,506.00","$2,688.00",16.0%
Constellation Brands,Pacifico,Beer,Beer - Import,1/24/12oz Can,923.00,1828.00,905.00,98.0%,"$26,366.50","$52,251.75","$25,885.25",98.2%
Constellation Brands,Corona Light,Beer,Beer - Import,15.5 Gal Keg,,64.00,64.00,0.0%,,"$11,976.00","$11,976.00",0.0%
Constellation Brands,Modelo Especial,Beer,Beer - Import,1/24/12oz Can,128808.00,134993.00,6185.00,4.8%,"$3,694,080.02","$3,899,016.18","$204,936.16",5.5%
Constellation Brands,Pacifico,Beer,Beer - Import,2/12/12oz Can,4883.00,5849.00,966.00,19.8%,"$144,110.55","$172,713.00","$28,602.45",19.8%
Constellation Brands,Pacifico,Beer,Beer - Import,1/12/24oz Can,725.00,1335.00,610.00,84.1%,"$22,766.50","$41,846.50","$19,080.00",83.8%
Constellation Brands,Corona Familiar,Beer,Beer - Import,1/12/24oz Can,440.00,630.00,190.00,43.2%,"$13,800.25","$19,726.25","$5,926.00",42.9%
Constellation Brands,Modelo Especial,Beer,Beer - Import,4/6/12oz NR,56919.00,57313.00,394.00,0.7%,"$1,808,713.86","$1,817,986.98","$9,273.12",0.5%
Constellation Brands,Corona Extra,Beer,Beer - Import,1/24/12oz Can,32858.00,31203.00,-1655.00,-5.0%,"$944,265.17","$898,218.71","($46,046.46)",-4.9%
Constellation Brands,Corona Extra,Beer,Beer - Import,15.5 Gal Keg,207.00,102.00,-105.00,-50.7%,"$37,788.00","$18,726.00","($19,062.00)",-50.4%
Constellation Brands,Corona Extra,Beer,Beer - Import,4/6/12oz Can,920.00,1154.00,234.00,25.4%,"$28,989.00","$36,413.00","$7,424.00",25.6%
Constellation Brands,Corona Light,Beer,Beer - Import,1/24/12oz Can,1045.00,1239.00,194.00,18.6%,"$30,170.25","$36,050.50","$5,880.25",19.5%
Constellation Brands,Corona Extra,Beer,Beer - Import,2/12/7oz BTL,,20548.00,20548.00,0.0%,,"$440,461.60","$440,461.60",0.0%
Constellation Brands,Modelo Aquas Frescas,FMB,FMB,1/24/12oz Can,110.00,-5.00,-115.00,-104.5%,"$3,508.30",($158.65),"($3,666.95)",-104.5%
Constellation Brands,Corona Extra,Beer,Beer - Import,4/6/7oz NR,44208.00,36258.00,-7950.00,-18.0%,"$950,247.00","$799,943.25","($150,303.75)",-15.8%
Constellation Brands,Modelo Negra,Beer,Beer - Import,15.5 Gal Keg,32.00,29.00,-3.00,-9.4%,"$5,808.00","$5,274.00",($534.00),-9.2%
Constellation Brands,Corona Premier,Beer,Beer - Import,1/12/24oz Can,253.00,333.00,80.00,31.6%,"$7,949.00","$6,843.42","($1,105.58)",-13.9%
Constellation Brands,Corona Sunbrew,Beer,Beer - Import,4/6/12oz NR,3733.00,3457.00,-276.00,-7.4%,"$115,950.31","$107,424.42","($8,525.89)",-7.4%
Constellation Brands,Corona Extra,Beer,Beer - Import,2/12/12oz Can,32166.00,31877.00,-289.00,-0.9%,"$1,001,476.67","$994,687.62","($6,789.05)",-0.7%
Constellation Brands,The Drop,FMB,FMB,3/8/12oz Can,222.00,-8.00,-230.00,-103.6%,"$8,890.00",($325.00),"($9,215.00)",-103.7%
Constellation Brands,Corona Light,Beer,Beer - Import,24/12oz NR,3491.00,3891.00,400.00,11.5%,"$109,203.75","$122,435.10","$13,231.35",12.1%
Constellation Brands,Modelo Chelada,Beer,Beer - Import,2/12/12oz Can,14635.00,20187.00,5552.00,37.9%,"$440,434.50","$606,269.50","$165,835.00",37.7%
Constellation Brands,Modelo Especial,Beer,Beer - Import,12/32oz NR,8481.00,9105.00,624.00,7.4%,"$314,087.70","$337,130.50","$23,042.80",7.3%
Crescent Canna,Crescent 9,THC,THC,2/12/12oz Can,58.00,84.00,26.00,44.8%,"$2,776.00","$4,981.00","$2,205.00",79.4%
Crescent Canna,Crescent 9,THC,THC,6/4/12oz Can,390.00,408.00,18.00,4.6%,"$22,613.00","$31,109.00","$8,496.00",37.6%
Cricket Hill,Cricket Hill,Beer,Beer - Craft,50 Liter Keg (13.2 Gal),26.00,,-26.00,-100.0%,"$4,935.00",,"($4,935.00)",-100.0%
Cricket Hill,Cricket Hill,Beer,Beer - Craft,6/4/16oz Can,78.00,,-78.00,-100.0%,"$4,200.00",,"($4,200.00)",-100.0%
Cricket Hill,Cricket Hill,Beer,Beer - Craft,1/6 BBL Keg (5.2 Gal),54.00,3.00,-51.00,-94.4%,"$5,565.00",$320.00,"($5,245.00)",-94.2%
Crook & Marker,Crook&Marker,FMB,FMB,6/4/11.5oz Can,3.00,,-3.00,-100.0%,$175.50,,($175.50),-100.0%
Crook & Marker,Crook&Marker,FMB,FMB,3/8/11.5oz Can,64.00,-5.00,-69.00,-107.8%,"$2,411.20",($187.10),"($2,598.30)",-107.8%
Crook & Marker,Crooked Tea,FMB,FMB,3/8/11.5oz Can,1029.00,23.00,-1006.00,-97.8%,"$38,042.30",$838.70,"($37,203.60)",-97.8%
Cruz Beverage,YaVe Tequila,Spirits,Spirits - Tequila,1/6/750 mL (BO),,24.17,24.17,0.0%,,"$4,182.66","$4,182.66",0.0%
Dad Grass,Dad Grass,THC,THC,6/4/12oz Can,71.00,30.00,-41.00,-57.7%,"$5,279.00","$2,442.00","($2,837.00)",-53.7%
Defiant Brewing Co.,Defiant,Beer,Beer - Craft,1/6 BBL Keg (5.2 Gal),41.00,,-41.00,-100.0%,"$3,829.00",,"($3,829.00)",-100.0%
Defiant Brewing Co.,Defiant,Beer,Beer - Craft,50 Liter Keg (13.2 Gal),6.00,,-6.00,-100.0%,"$1,090.00",,"($1,090.00)",-100.0%
Delta Beverage LLC,Delta,THC,THC,1/6/750 mL,,10.00,10.00,0.0%,,"$2,140.00","$2,140.00",0.0%
Delta Beverage LLC,Delta,THC,THC,6/4/12oz Can,769.00,2753.00,1984.00,258.0%,"$58,050.00","$194,995.00","$136,945.00",235.9%
DG Yuengling Inc,Yuengling Light Lager,Beer,Beer - Premium,2/12/12oz NR,656.00,612.00,-44.00,-6.7%,"$16,172.60","$15,108.70","($1,063.90)",-6.6%
DG Yuengling Inc,Yuengling Light Lager,Beer,Beer - Premium,2/12/12oz Can,907.00,704.00,-203.00,-22.4%,"$22,341.95","$17,385.60","($4,956.35)",-22.2%
DG Yuengling Inc,Yuengling Lager,Beer,Beer - Economy,1/4 BBL Keg (7.75 Gal),928.00,844.00,-84.00,-9.1%,"$82,936.28","$75,378.07","($7,558.21)",-9.1%
DG Yuengling Inc,Yuengling Premium Light,Beer,Beer - Premium,1/24/12oz Can,943.00,979.00,36.00,3.8%,"$14,097.85","$14,636.05",$538.20,3.8%
DG Yuengling Inc,Yuengling Light Lager,Beer,Beer - Premium,1/24/12oz Can,1470.00,1740.00,270.00,18.4%,"$30,794.80","$36,201.40","$5,406.60",17.6%
DG Yuengling Inc,Yuengling Lager,Beer,Beer - Premium,28/12oz NR,2745.00,2675.00,-70.00,-2.6%,"$67,258.00","$65,537.50","($1,720.50)",-2.6%
DG Yuengling Inc,Yuengling Black & Tan,Beer,Beer - Premium,4/6/12oz NR,1299.00,1206.00,-93.00,-7.2%,"$35,178.00","$32,665.00","($2,513.00)",-7.1%
DG Yuengling Inc,Dg Yuengling Inc,Beer,Beer - Premium,2/12/12oz Can,363.00,174.00,-189.00,-52.1%,"$9,274.65","$4,447.70","($4,826.95)",-52.0%
DG Yuengling Inc,Yuengling Lager,Beer,Beer - Premium,4/6/16oz Can,1907.00,1925.00,18.00,0.9%,"$48,705.50","$49,159.25",$453.75,0.9%
DG Yuengling Inc,Yuengling Oktoberfest,Beer,Beer - Economy,4/6/12oz NR,-2.00,,2.00,-100.0%,($56.50),,$56.50,-100.0%
DG Yuengling Inc,Yuengling Lager,Beer,Beer - Premium,15.5 Gal Keg,4265.00,4199.00,-66.00,-1.5%,"$529,746.70","$521,680.70","($8,066.00)",-1.5%
DG Yuengling Inc,Yuengling Lager,Beer,Beer - Economy,1/24/12oz Can,12584.00,12382.00,-202.00,-1.6%,"$267,504.05","$261,076.49","($6,427.56)",-2.4%
DG Yuengling Inc,Yuengling Black & Tan,Beer,Beer - Premium,1/4 BBL Keg (7.75 Gal),43.00,36.00,-7.00,-16.3%,"$3,831.14","$3,202.56",($628.58),-16.4%
DG Yuengling Inc,Yuengling Lager,Beer,Beer - Economy,4/6/12oz NR,11117.00,10222.00,-895.00,-8.1%,"$303,744.98","$279,315.71","($24,429.27)",-8.0%
DG Yuengling Inc,Yuengling Premium,Beer,Beer - Premium,1/24/12oz Can,2317.00,2388.00,71.00,3.1%,"$34,653.80","$35,720.60","$1,066.80",3.1%
DG Yuengling Inc,Yuengling Flight,Beer,Beer - Economy,1/4 BBL Keg (7.75 Gal),20.00,22.00,2.00,10.0%,"$1,786.00","$1,967.00",$181.00,10.1%
DG Yuengling Inc,Yuengling Lager,Beer,Beer - Economy,24/12oz NR,16854.00,15811.00,-1043.00,-6.2%,"$361,330.50","$339,296.18","($22,034.32)",-6.1%
DG Yuengling Inc,Yuengling Flight,Beer,Beer - Premium,4/6/12oz NR,1093.00,937.00,-156.00,-14.3%,"$30,744.00","$26,366.00","($4,378.00)",-14.2%
DG Yuengling Inc,Yuengling Flight,Beer,Beer - Premium,1/24/12oz Can,1138.00,936.00,-202.00,-17.8%,"$24,318.40","$20,001.80","($4,316.60)",-17.8%
DG Yuengling Inc,Yuengling Golden Pilsner,Beer,Beer - Premium,4/6/12oz NR,680.00,583.00,-97.00,-14.3%,"$18,388.50","$15,761.46","($2,627.04)",-14.3%
DG Yuengling Inc,Yuengling Flight,Beer,Beer - Premium,15.5 Gal Keg,15.00,21.00,6.00,40.0%,"$1,867.00","$2,595.00",$728.00,39.0%
DG Yuengling Inc,Yuengling Flight,Beer,Beer - Premium,2/12/12oz Can,1500.00,1522.00,22.00,1.5%,"$36,894.88","$37,415.85",$520.97,1.4%
DG Yuengling Inc,Yuengling Light Lager,Beer,Beer - Premium,4/6/12oz NR,707.00,723.00,16.00,2.3%,"$19,145.46","$19,582.73",$437.27,2.3%
DG Yuengling Inc,Yuengling Golden Pilsner,Beer,Beer - Premium,2/12/12oz NR,288.00,179.00,-109.00,-37.8%,"$7,119.90","$4,417.80","($2,702.10)",-38.0%
DG Yuengling Inc,Yuengling Light Lager,Beer,Beer - Premium,24/12oz NR,555.00,454.00,-101.00,-18.2%,"$11,736.80","$9,614.30","($2,122.50)",-18.1%
DG Yuengling Inc,Yuengling Lager,Beer,Beer - Economy,2/12/12oz NR,11414.00,10748.00,-666.00,-5.8%,"$283,310.76","$265,753.16","($17,557.60)",-6.2%
DG Yuengling Inc,Yuengling Black & Tan,Beer,Beer - Premium,2/12/12oz NR,1007.00,805.00,-202.00,-20.1%,"$24,801.80","$19,836.10","($4,965.70)",-20.0%
DG Yuengling Inc,Yuengling Black & Tan,Beer,Beer - Premium,2/12/12oz Can,895.00,981.00,86.00,9.6%,"$22,078.10","$24,180.40","$2,102.30",9.5%
DG Yuengling Inc,Yuengling Golden Pilsner,Beer,Beer - Premium,2/12/12oz Can,508.00,361.00,-147.00,-28.9%,"$12,506.60","$8,894.60","($3,612.00)",-28.9%
DG Yuengling Inc,Yuengling Flight,Beer,Beer - Premium,2/12/12oz NR,568.00,637.00,69.00,12.1%,"$13,968.35","$15,653.84","$1,685.49",12.1%
DG Yuengling Inc,Yuengling Oktoberfest,Beer,Beer - Premium,2/12/12oz Can,30.00,14.00,-16.00,-53.3%,$765.00,$425.00,($340.00),-44.4%
DG Yuengling Inc,Yuengling Lager,Beer,Beer - Economy,2/12/12oz Can,9212.00,8865.00,-347.00,-3.8%,"$227,571.11","$218,933.84","($8,637.27)",-3.8%
DG Yuengling Inc,Yuengling Flight,Beer,Beer - Premium,15/24oz Can,594.00,636.00,42.00,7.1%,"$11,942.70","$12,797.40",$854.70,7.2%
DG Yuengling Inc,Yuengling Lager,Beer,Beer - Economy,15/24oz Can,7155.00,7532.00,377.00,5.3%,"$143,591.70","$151,144.90","$7,553.20",5.3%
DG Yuengling Inc,Yuengling Lager,Beer,Beer - Premium,2/12/16oz Can,375.00,517.00,142.00,37.9%,"$9,564.25","$13,201.00","$3,636.75",38.0%
DG Yuengling Inc,Yuengling Oktoberfest,Beer,Beer - Economy,2/12/12oz NR,0.00,,0.00,0.0%,$0.00,,$0.00,0.0%
Dreamz Invenstments LLC,Brio,THC,THC,6/4/12oz Can,,111.00,111.00,0.0%,,"$8,178.00","$8,178.00",0.0%
Duclaw Brewing,Duclaw,Beer,Beer - Craft,6/4/16oz Can,108.00,-1.00,-109.00,-100.9%,"$6,260.00",($56.00),"($6,316.00)",-100.9%
Duclaw Brewing,Duclaw,Beer,Beer - Craft,1/6 BBL Keg (5.2 Gal),2.00,,-2.00,-100.0%,$226.00,,($226.00),-100.0%
Duclaw Brewing,Duclaw,Beer,Beer - Craft,4/6/12oz Can,464.00,-1.00,-465.00,-100.2%,"$16,738.50",($35.00),"($16,773.50)",-100.2%
Efes,Efes,Beer,Beer - Import,4/6/11.2oz NR,95.00,82.00,-13.00,-13.7%,"$3,397.00","$3,028.55",($368.45),-10.8%
Eleven20,Eleven20 Tequila,Spirits,Spirits - Tequila,6/750ml Btl,6.00,,-6.00,-100.0%,"$1,030.00",,"($1,030.00)",-100.0%
Emergent Beverage Partners,Beckett's D9,Non-Alc,Non-Alc - Soda,6/4/12oz Can,2.00,3.00,1.00,50.0%,$118.00,$177.00,$59.00,50.0%
Emergent Beverage Partners,Crooked Beverage,THC,THC,6/4/12oz Can,129.00,2.00,-127.00,-98.4%,"$10,763.00",$248.00,"($10,515.00)",-97.7%
Emergent Beverage Partners,Hectare's,THC,THC,4/6/2.5oz,,8.00,8.00,0.0%,,$596.00,$596.00,0.0%
Emergent Beverage Partners,Boldt Infused D9,THC,THC,4/6/12oz Can,74.00,33.00,-41.00,-55.4%,"$5,397.00","$2,295.00","($3,102.00)",-57.5%
Emergent Beverage Partners,Lark Infused D9,THC,THC,6/4/12oz Can,83.00,4.00,-79.00,-95.2%,"$6,730.00",$286.00,"($6,444.00)",-95.8%
Emergent Beverage Partners,Beckett's D9,Non-Alc,Non-Alc - Soda,6/4/12oz NR,2.00,2.00,0.00,0.0%,$118.00,$118.00,$0.00,0.0%
Emergent Beverage Partners,Boldt Infused D9,THC,THC,6/4/12oz Can,249.00,38.00,-211.00,-84.7%,"$19,863.00","$2,677.00","($17,186.00)",-86.5%
Emergent Beverage Partners,Beckett's D9,THC,THC,6/4/12oz Can,81.00,-2.00,-83.00,-102.5%,"$6,694.00",($168.00),"($6,862.00)",-102.5%
Emergent Beverage Partners,Hectare's,THC,THC,6/4/12oz Can,350.00,179.00,-171.00,-48.9%,"$27,842.00","$13,321.00","($14,521.00)",-52.2%
Ever Grand Group LLC,Snow Beer,Beer,Beer - Import,4/6/11.2oz Can,13.00,,-13.00,-100.0%,$448.48,,($448.48),-100.0%
Ever Grand Group LLC,Snow Beer,Beer,Beer - Import,4/6/11.2oz NR,159.00,82.00,-77.00,-48.4%,"$5,474.38","$2,825.08","($2,649.30)",-48.4%
Evil Genius,Evil Genius,Beer,Beer - Craft,15.5 Gal Keg,236.00,189.00,-47.00,-19.9%,"$49,940.00","$39,865.00","($10,075.00)",-20.2%
Evil Genius,Evil Genius,Beer,Beer - Craft,12/19.2oz Can,84.00,56.00,-28.00,-33.3%,"$2,663.50","$1,740.00",($923.50),-34.7%
Evil Genius,Evil Genius,Beer,Beer - Import,5.2 Gal Keg,,4.00,4.00,0.0%,,$420.00,$420.00,0.0%
