Supplier,Brand Family,Segment,Sub-Segments,Package,Cases   1/1/2025 - 7/31/2025,Cases   1/1/2026 - 7/31/2026,Cases Unit Difference,Cases Percentage Difference,$Vol   1/1/2025 - 7/31/2025,$Vol   1/1/2026 - 7/31/2026,$Vol Unit Difference,$Vol Percentage Difference
Beak & Skiff,1911 Hard Cider,Cider,Cider,1/6 BBL Keg (5.2 Gal),5.00,8.00,3.00,60.0%,$518.00,$816.00,$298.00,57.5%
Beak & Skiff,1911 Hard Cider,Cider,Cider,5.2 Gal Keg,,52.00,52.00,0.0%,,"$5,352.00","$5,352.00",0.0%
Beak & Skiff,1911 Hard Cider,Cider,Cider,12/19.2oz Can,95.00,26.00,-69.00,-72.6%,"$2,767.00",$760.00,"($2,007.00)",-72.5%
Beak & Skiff,1911 Hard Cider,Cider,Cider,3/8/12oz Can,108.00,109.00,1.00,0.9%,"$4,344.00","$4,402.00",$58.00,1.3%
Beak & Skiff,1911 Hard Cider,Cider,Beer - Non-Alc,6/4/12oz Can,87.00,20.00,-67.00,-77.0%,"$3,765.00",$862.50,"($2,902.50)",-77.1%
Beak & Skiff,1911 Hard Cider,Cider,Cider,6/4/16oz Can,2183.00,2794.00,611.00,28.0%,"$116,708.00","$149,377.00","$32,669.00",28.0%
Bell's,Bell's Hearted Family,Beer,Beer - Craft,1/15/19.2oz Can,152.00,86.00,-66.00,-43.4%,"$5,486.00","$3,119.00","($2,367.00)",-43.1%
Bell's,Bell's Hearted Family,Beer,Beer - Craft,4/6/12oz Can,295.00,234.00,-61.00,-20.7%,"$10,679.00","$8,343.60","($2,335.40)",-21.9%
Bell's,Bell's,Beer,Beer - Craft,1/4 BBL Keg (7.75 Gal),3.00,,-3.00,-100.0%,$396.00,,($396.00),-100.0%
Bell's,Bell's,Beer,Beer - Craft,15.5 Gal Keg,0.00,,0.00,0.0%,$0.00,,$0.00,0.0%
Bell's,Bell's,Beer,Beer - Craft,4/6/12oz Can,4.00,-5.00,-9.00,-225.0%,$272.30,($190.50),($462.80),-170.0%
Bell's,Bell's Hearted Family,Beer,Beer - Craft,1/4 BBL Keg (7.75 Gal),22.00,6.00,-16.00,-72.7%,"$3,124.00",$852.00,"($2,272.00)",-72.7%
Bell's,Bell's,Beer,Beer - Craft,4/6/12oz NR,207.00,103.00,-104.00,-50.2%,"$7,397.20","$3,693.80","($3,703.40)",-50.1%
Bell's,Bell's Hearted Family,Beer,Beer - Craft,4/6/12oz NR,493.00,447.00,-46.00,-9.3%,"$18,879.30","$17,147.70","($1,731.60)",-9.2%
Bell's,Bell's Hearted Family,Beer,Beer - Craft,6/4/16oz Can,0.00,,0.00,0.0%,$0.00,,$0.00,0.0%
Bell's,Bell's Hearted Family,Beer,Beer - Craft,15.5 Gal Keg,86.00,51.00,-35.00,-40.7%,"$19,446.00","$11,531.00","($7,915.00)",-40.7%
Bell's,Bell's,Beer,Beer - Craft,1/24/12oz Can,,400.00,400.00,0.0%,,"$11,200.00","$11,200.00",0.0%
Bell's,Bell's Hearted Family,Beer,Beer - Craft,2/12/12oz Can,570.00,1137.00,567.00,99.5%,"$18,772.00","$37,053.80","$18,281.80",97.4%
Bell's,Bell's,Beer,Beer - Craft,2/12/12oz Can,314.00,264.00,-50.00,-15.9%,"$10,317.30","$8,993.90","($1,323.40)",-12.8%
Bella Ray Beverage,Bella Ray,THC,THC,6/4/12oz Can,,131.00,131.00,0.0%,,"$7,456.00","$7,456.00",0.0%
Berczy LLC,Berczy,RTD,RTD,3/8/12oz Can,5.00,,-5.00,-100.0%,$265.00,,($265.00),-100.0%
BJ'S Private Label Brew,BJ'S Private Label Brewa,Beer,Beer - Craft,4/6/12oz Can,80.00,82.00,2.00,2.5%,"$2,348.50","$2,477.00",$128.50,5.5%
BJ'S Private Label Brew,BJ'S Private Label Brewa,Non-Alc,Non-Alc - Soda,6/4/12oz NR,1.00,7.00,6.00,600.0%,$29.95,$209.65,$179.70,600.0%
