Brand Family,Supplier,Package,City,County,Sales Rep Assigned,Case Equiv 1/1/2025 - 7/31/2025,Case Equiv 1/1/2026 - 7/31/2026,Case Equiv ±,Case Equiv % ±
Weihenstephaner,Total Beverage Solutions,50 Liter Keg (13.2 Gal),East Rutherford,Bergen,Nick Melissari,88.06,105.67,17.61,20.00%
Schofferhofer,Radeberger USA,50 Liter Keg (13.2 Gal),Hoboken,Hudson,Jaime Colonna,46.96,105.67,58.70,125.00%
Dab,Radeberger USA,2/12/11.2oz NR,Boonton,Morris,Klejdi Lamo,100.88,105.55,4.67,4.63%
Sapporo,Sapporo,12/22oz Can,Montclair,Essex,Michael Harboy,102.67,105.42,2.75,2.68%
Modelo Especial,Constellation Brands,6/4/16oz Can,Hackensack,Bergen,Phil Ernst,0.00,105.33,105.33,100.00%
Modelo Chelada,Constellation Brands,6/4/16oz Can,Passaic,Passaic,Pablo Lopez,0.00,105.33,105.33,100.00%
Lite,MolsonCoors Beverage Company,24/16oz Btl,West Milford,Passaic,Robin Feldman,73.33,105.33,32.00,43.64%
Corona Familiar,Constellation Brands,12/32oz NR,Newton,Sussex,Jayson Romine,116.00,105.33, (10.67),(9.20%)
Corona Familiar,Constellation Brands,12/32oz NR,Lodi,Bergen,Chris Payton,152.00,105.33, (46.67),(30.70%)
Coors Light,MolsonCoors Beverage Company,4/6/16oz Can,Rochelle Park,Bergen,Phil Ernst,86.67,105.33,18.67,21.54%
Coors Light,MolsonCoors Beverage Company,4/6/16oz Can,Ridgefield,Bergen,Dan Lagala,118.67,105.33, (13.33),(11.24%)
1911 Hard Cider,Beak & Skiff,6/4/16oz Can,Totowa,Passaic,Dave Ehlers,85.33,105.33,20.00,23.44%
Saratoga,Saratoga,12/28oz Btl,Fairview,Bergen,Phil Ernst,0.00,105.00,105.00,100.00%
Yuengling Premium,DG Yuengling Inc,1/24/12oz Can,Hewitt,Passaic,Anthony Palmisano,64.00,105.00,41.00,64.06%
Yuengling Light Lager,DG Yuengling Inc,1/24/12oz Can,Vernon,Sussex,Jayson Romine,151.00,105.00, (46.00),(30.46%)
Yuengling Lager,DG Yuengling Inc,4/6/12oz NR,Mahwah,Bergen,Mike Ast,101.00,105.00,4.00,3.96%
Yuengling Lager,DG Yuengling Inc,2/12/12oz NR,Hewitt,Passaic,Anthony Palmisano,166.00,105.00, (61.00),(36.75%)
Yuengling Lager,DG Yuengling Inc,15/24oz Can,Bloomingdale,Passaic,Anthony Palmisano,171.25,105.00, (66.25),(38.69%)
White Claw,Mark Anthony,4/6/12oz Can,Sandyston,Sussex,Brian Sengebush,89.00,105.00,16.00,17.98%
Voodoo Family,New Belgium Brewing Company,4/6/12oz Can,Stanhope,Sussex,Klejdi Lamo,109.00,105.00, (4.00),(3.67%)
Voodoo Family,New Belgium Brewing Company,1/15/19.2oz Can,Wallington,Bergen,Matt Powierski,94.00,105.00,11.00,11.70%
Victory,Victory Brewing Company,4/6/12oz Can,Hoboken,Hudson,Jaime Colonna,91.00,105.00,14.00,15.38%
Victoria,Constellation Brands,2/12/12oz NR,Passaic,Passaic,Jim Heaney,40.00,105.00,65.00,162.50%
Twisted Tea,Boston Beer Company,2/12/12oz NR,Newton,Sussex,Jayson Romine,95.00,105.00,10.00,10.53%
Twisted Tea,Boston Beer Company,2/12/12oz Can,Clifton,Passaic,Javier Melo,70.00,105.00,35.00,50.00%
Twisted Tea,Boston Beer Company,1/12/24oz Can,Paterson,Passaic,Phil Ernst,61.00,105.00,44.00,72.13%
Truly,Boston Beer Company,2/12/12oz Can,Palisades Park,Bergen,Phil Ernst,133.00,105.00, (28.00),(21.05%)
Sapporo,Sapporo,2/12/12oz Can,Guttenberg,Hudson,Dylan Rubino,77.00,105.00,28.00,36.36%
Sapporo,Sapporo,1/24/12oz Can,Linden,Union,Andrew Lundy,105.00,105.00,0.00,0.00%
Pacifico,Constellation Brands,2/12/12oz Can,Westwood,Bergen,Shane Barreca,31.00,105.00,74.00,238.71%
Pabst Blue Ribbon,Pabst Brewing Company,18/12oz Can,Budd Lake,Morris,Klejdi Lamo,69.00,105.00,36.00,52.17%
Modelo Negra,Constellation Brands,2/12/12oz NR,Lodi,Bergen,Chris Payton,102.00,105.00,3.00,2.94%
Modelo Especial,Constellation Brands,4/6/12oz NR,Elmwood Park,Bergen,Nick Melissari,107.00,105.00, (2.00),(1.87%)
Modelo Especial,Constellation Brands,2/12/12oz Can,Glen Rock,Bergen,Mike Ast,87.00,105.00,18.00,20.69%
Modelo Especial,Constellation Brands,18/12oz Can,Elmwood Park,Bergen,Matt Powierski,40.50,105.00,64.50,159.26%
Miller High Life,MolsonCoors Beverage Company,30/12oz Can,Vernon,Sussex,Jayson Romine,225.00,105.00, (120.00),(53.33%)
Miller High Life,MolsonCoors Beverage Company,30/12oz Can,Bloomingdale,Passaic,Anthony Palmisano,133.75,105.00, (28.75),(21.50%)
Miller High Life,MolsonCoors Beverage Company,24/12oz NR,Paterson,Passaic,Phil Ernst,82.00,105.00,23.00,28.05%
Lite,MolsonCoors Beverage Company,36/12oz Can,Maywood,Bergen,Chris Payton,66.00,105.00,39.00,59.09%
Lite,MolsonCoors Beverage Company,18/16oz Btl,Rutherford,Bergen,Jim Heaney,68.00,105.00,37.00,54.41%
Heineken USA,Heineken USA,4/6/12oz NR,Hillsdale,Bergen,Paul Mclaughlin,130.00,105.00, (25.00),(19.23%)
Heineken USA,Heineken USA,4/6/12oz NR,Glen Rock,Bergen,Phil Ernst,160.00,105.00, (55.00),(34.38%)
Heineken USA,Heineken USA,2/12/12oz Can,Wanaque,Passaic,Anthony Palmisano,143.00,105.00, (38.00),(26.57%)
Heineken USA,Heineken USA,2/12/12oz Can,East Rutherford,Bergen,Matt Powierski,208.00,105.00, (103.00),(49.52%)
Heineken USA,Heineken USA,1/12/24oz Can,South Hackensac,Bergen,Dave Ehlers,95.00,105.00,10.00,10.53%
Heineken Light,Heineken USA,2/12/12oz NR,Clifton,Passaic,Javier Melo,83.00,105.00,22.00,26.51%
Famosa,Famosa,2/12/12oz Can,Clifton,Passaic,Chris Payton,75.00,105.00,30.00,40.00%
Corona Extra,Constellation Brands,4/6/12oz NR,Ridgefield Park,Bergen,Phil Ernst,96.00,105.00,9.00,9.38%
Corona Extra,Constellation Brands,24/12oz NR,Woodcliff Lake,Bergen,Shane Barreca,115.00,105.00, (10.00),(8.70%)
Corona Extra,Constellation Brands,2/12/12oz NR,Montague,Sussex,Anthony Palmisano,87.00,105.00,18.00,20.69%
Corona Extra,Constellation Brands,1/24/12oz Can,Carlstadt,Bergen,Matt Powierski,141.00,105.00, (36.00),(25.53%)
Coors Light,MolsonCoors Beverage Company,4/6/12oz NR,Ramsey,Bergen,Nick Melissari,150.00,105.00, (45.00),(30.00%)
Coors Light,MolsonCoors Beverage Company,36/12oz Can,Clifton,Passaic,Derrick Laws,37.50,105.00,67.50,180.00%
Coors Light,MolsonCoors Beverage Company,30/12oz Can,Ridgewood,Bergen,Mike Ast,153.75,105.00, (48.75),(31.71%)
Coors Light,MolsonCoors Beverage Company,24/12oz NR,Hewitt,Passaic,Anthony Palmisano,94.00,105.00,11.00,11.70%
Coors Light,MolsonCoors Beverage Company,2/12/12oz NR,Cliffside Park,Bergen,Dan Lagala,74.00,105.00,31.00,41.89%
Coors Light,MolsonCoors Beverage Company,1/12/24oz Can,Washington Twsp,Bergen,Shane Barreca,60.00,105.00,45.00,75.00%
Coors Edge,MolsonCoors Beverage Company,4/6/12oz NR,Rochelle Park,Bergen,Phil Ernst,125.00,105.00, (20.00),(16.00%)
Coors,MolsonCoors Beverage Company,4/6/12oz NR,Hillsdale,Bergen,Shane Barreca,112.00,105.00, (7.00),(6.25%)
Athletic,Athletic Brewing Company,4/6/12oz Can,Hillsdale,Bergen,Shane Barreca,93.00,105.00,12.00,12.90%
Corona Extra,Constellation Brands,2/12/7oz BTL,Fairview,Bergen,Dan Lagala,0.00,105.00,105.00,100.00%
Schofferhofer,Radeberger USA,4/6/11.2oz NR,Jersey City,Hudson,Dylan Rubino,65.38,104.61,39.23,60.00%
Cayman Jack,Mark Anthony,4/6/11.2oz NR,Saddle Brook,Bergen,Chris Payton,49.50,104.61,55.11,111.32%
Corona Extra,Constellation Brands,4/6/7oz NR,Fair Lawn,Bergen,Chris Payton,93.33,104.42,11.08,11.88%
Lite,MolsonCoors Beverage Company,18/12oz Can,Hamburg,Morris,Jayson Romine,119.25,104.25, (15.00),(12.58%)
Pabst Blue Ribbon,Pabst Brewing Company,15/25oz Can,Harrison,Hudson,Alisa Acciardi,26.04,104.17,78.12,300.00%
Colt 45,Pabst Brewing Company,15/25oz Can,West Orange,Essex,Michael Harboy,0.00,104.17,104.17,100.00%
Yuengling Lager,DG Yuengling Inc,2/12/12oz Can,Netcong,Morris,Klejdi Lamo,93.00,104.00,11.00,11.83%
White Claw,Mark Anthony,4/6/12oz Can,North Arlington,Bergen,Robin Feldman,98.00,104.00,6.00,6.12%
Voodoo Family,New Belgium Brewing Company,4/6/12oz Can,Wantage,Sussex,Jayson Romine,51.00,104.00,53.00,103.92%
Voodoo Family,New Belgium Brewing Company,1/15/19.2oz Can,Little Falls,Passaic,Jim Heaney,6.00,104.00,98.00,"1,633.33%"
Twisted Tea,Boston Beer Company,1/12/24oz Can,Bogota,Bergen,Chris Payton,94.00,104.00,10.00,10.64%
Truly,Boston Beer Company,2/12/12oz Can,Landing,Morris,Jayson Romine,53.00,104.00,51.00,96.23%
Sixpoint,Sixpoint Brewing,1/15/19.2oz Can,Mahwah,Bergen,Mike Ast,88.00,104.00,16.00,18.18%
Sierra Nevada,Sierra Nevada Brewing Company,4/6/12oz NR,Fort Lee,Bergen,Dan Lagala,92.00,104.00,12.00,13.04%
Samuel Adams,Boston Beer Company,2/12/12oz NR,Elmwood Park,Bergen,Matt Powierski,78.00,104.00,26.00,33.33%
Samuel Adams,Boston Beer Company,2/12/12oz Can,Oak Ridge,Morris,Klejdi Lamo,181.00,104.00, (77.00),(42.54%)
Quilmes,Pampa Beverages,4/6/12oz NR,Jersey City,Hudson,Jaime Colonna,53.00,104.00,51.00,96.23%
Pacifico,Constellation Brands,2/12/12oz NR,Paterson,Passaic,Javier Melo,56.00,104.00,48.00,85.71%
Pabst Blue Ribbon,Pabst Brewing Company,2/12/12oz Can,Montclair,Essex,Michael Harboy,147.00,104.00, (43.00),(29.25%)
Montauk,Montauk Brewing Co,4/6/12oz Can,Boonton,Morris,Klejdi Lamo,77.00,104.00,27.00,35.06%
Modelo Especial,Constellation Brands,1/24/12oz Can,Saddle Brook,Bergen,Phil Ernst,41.00,104.00,63.00,153.66%
Miller High Life,MolsonCoors Beverage Company,2/12/12oz NR,Wyckoff,Bergen,Mike Ast,91.00,104.00,13.00,14.29%
Lite,MolsonCoors Beverage Company,2/12/12oz Can,Fort Lee,Bergen,Dan Lagala,145.00,104.00, (41.00),(28.28%)
Lite,MolsonCoors Beverage Company,1/12/24oz Can,Haledon,Passaic,Mike Ast,105.00,104.00, (1.00),(0.95%)
Heineken USA,Heineken USA,4/6/12oz NR,Englewood,Bergen,Paul Mclaughlin,71.00,104.00,33.00,46.48%
Heineken USA,Heineken USA,1/12/24oz Can,Ridgefield,Bergen,Dan Lagala,67.00,104.00,37.00,55.22%
Famosa,Famosa,4/6/12oz NR,Passaic,Passaic,Pablo Lopez,161.00,104.00, (57.00),(35.40%)
Corona Sunbrew,Constellation Brands,4/6/12oz NR,Hackensack,Bergen,Dave Ehlers,85.00,104.00,19.00,22.35%
Corona Light,Constellation Brands,2/12/12oz Can,River Edge,Bergen,Dave Ehlers,127.00,104.00, (23.00),(18.11%)
Corona Extra,Constellation Brands,4/6/12oz NR,Sparta,Sussex,Brian Sengebush,107.00,104.00, (3.00),(2.80%)
Corona Extra,Constellation Brands,4/6/12oz NR,Fair Lawn,Bergen,Mike Ast,77.00,104.00,27.00,35.06%
Corona Extra,Constellation Brands,2/12/12oz NR,Midland Park,Bergen,Phil Ernst,117.00,104.00, (13.00),(11.11%)
Corona Extra,Constellation Brands,2/12/12oz Can,Kinnelon,Morris,Anthony Palmisano,118.00,104.00, (14.00),(11.86%)
Coors Light,MolsonCoors Beverage Company,24/12oz NR,Passaic,Passaic,Matt Powierski,84.00,104.00,20.00,23.81%
Coors Light,MolsonCoors Beverage Company,2/12/12oz Can,Fairview,Bergen,Phil Ernst,85.00,104.00,19.00,22.35%
Coors Light,MolsonCoors Beverage Company,18/16oz Btl,Netcong,Morris,Klejdi Lamo,34.00,104.00,70.00,205.88%
Coors Light,MolsonCoors Beverage Company,18/16oz Btl,Montvale,Bergen,Shane Barreca,112.00,104.00, (8.00),(7.14%)
Coors Light,MolsonCoors Beverage Company,1/12/24oz Can,Franklin Lakes,Bergen,Mike Ast,65.00,104.00,39.00,60.00%
Coors,MolsonCoors Beverage Company,1/12/24oz Can,Woodridge,Bergen,Chris Payton,130.00,104.00, (26.00),(20.00%)
Coors,MolsonCoors Beverage Company,1/12/24oz Can,Newton,Sussex,Jayson Romine,61.00,104.00,43.00,70.49%
Cape May,Cape May,4/6/12oz Can,Westwood,Bergen,Shane Barreca,97.00,104.00,7.00,7.22%
Cape May,Cape May,2/12/12oz Can,Waldwick,Bergen,Mike Ast,45.00,104.00,59.00,131.11%
Blue Moon,MolsonCoors Beverage Company,4/6/12oz Can,Montvale,Bergen,Shane Barreca,90.00,104.00,14.00,15.56%
Athletic,Athletic Brewing Company,4/6/12oz Can,Stanhope,Sussex,Klejdi Lamo,123.00,104.00, (19.00),(15.45%)
Arizona Hard,Hornell Brewing Company,3/8/12oz Can,Fair Lawn,Bergen,Phil Ernst,5.00,104.00,99.00,"1,980.00%"
Angry Orchard,Boston Beer Company,4/6/12oz NR,Oak Ridge,Morris,Klejdi Lamo,68.00,104.00,36.00,52.94%
Peroni,MolsonCoors Beverage Company,6/4/16oz Can,East Rutherford,Bergen,Nick Melissari,0.00,104.00,104.00,100.00%
Pabst Light,Pabst Brewing Company,4/6/16oz Can,Boonton,Morris,Klejdi Lamo,28.00,104.00,76.00,271.43%
Pabst Blue Ribbon,Pabst Brewing Company,4/6/16oz Can,North Haledon,Passaic,Mike Ast,93.33,104.00,10.67,11.43%
Lite,MolsonCoors Beverage Company,24/16oz Btl,Augusta,Sussex,Default,158.67,104.00, (54.67),(34.45%)
Heineken USA,Heineken USA,6/4/16oz Can,Elmwood Park,Bergen,Matt Powierski,97.33,104.00,6.67,6.85%
Coors Light,MolsonCoors Beverage Company,4/6/16oz Can,Westwood,Bergen,Shane Barreca,141.33,104.00, (37.33),(26.42%)
Coors Light,MolsonCoors Beverage Company,4/6/16oz Can,Lake Hopatcong,Morris,Brian Sengebush,92.00,104.00,12.00,13.04%
Coors Light,MolsonCoors Beverage Company,24/16oz Btl,Clifton,Passaic,Derrick Laws,73.33,104.00,30.67,41.82%
Red Bull,Red Bull,24/8.4oz Can,Passaic,Passaic,Pablo Lopez,157.81,103.81, (54.01),(34.22%)
Fosters,MolsonCoors Beverage Company,12/25.4oz Can,Ridgewood,Bergen,Mike Ast,117.55,103.78, (13.77),(11.71%)
Schaefer,Pabst Brewing Company,30/12oz Can,Glen Ridge,Essex,Alisa Acciardi,38.75,103.75,65.00,167.74%
Pabst Light,Pabst Brewing Company,30/12oz Can,River Edge,Bergen,Dave Ehlers,50.00,103.75,53.75,107.50%
Mike's Hard Lemonade,Mark Anthony,4/6/11.2oz NR,Hewitt,Passaic,Anthony Palmisano,187.74,103.68, (84.06),(44.78%)
Hofbrau Usa,Hofbrauhaus USA,4/6/11.2oz NR,Union,Union,Andrew Lundy,59.78,103.68,43.90,73.44%
Heineken USA,Heineken USA,12/22oz NR,Englewood,Bergen,Dave Ehlers,143.92,103.58, (40.33),(28.03%)
Modelo Especial,Constellation Brands,18/12oz Can,Wanaque,Passaic,Anthony Palmisano,89.25,103.50,14.25,15.97%
Lite,MolsonCoors Beverage Company,18/12oz NR,Oak Ridge,Morris,Klejdi Lamo,144.75,103.50, (41.25),(28.50%)
Corona Extra,Constellation Brands,18/12oz NR,Little Falls,Passaic,Jim Heaney,17.25,103.50,86.25,500.00%
Coors Light,MolsonCoors Beverage Company,36/12oz Can,Rutherford,Bergen,Matt Powierski,0.00,103.50,103.50,100.00%
Coors Light,MolsonCoors Beverage Company,18/12oz Can,Totowa,Passaic,Dave Ehlers,162.75,103.50, (59.25),(36.41%)
Yuengling Lager,DG Yuengling Inc,15.5 Gal Keg,Hasbrouck Heights,Bergen,Nick Melissari,96.44,103.33,6.89,7.14%
Yuengling Lager,DG Yuengling Inc,15.5 Gal Keg,Glenwood,Sussex,Anthony Palmisano,117.11,103.33, (13.78),(11.76%)
Yuengling Lager,DG Yuengling Inc,15.5 Gal Keg,Emerson,Bergen,Shane Barreca,117.11,103.33, (13.78),(11.76%)
Voodoo Family,New Belgium Brewing Company,15.5 Gal Keg,Edgewater,Bergen,Nick Melissari,68.89,103.33,34.44,50.00%
Sierra Nevada,Sierra Nevada Brewing Company,15.5 Gal Keg,Edgewater,Bergen,Nick Melissari,6.89,103.33,96.44,"1,400.00%"
Samuel Adams,Boston Beer Company,15.5 Gal Keg,Rochelle Park,Bergen,Nick Melissari,165.33,103.33, (62.00),(37.50%)
Samuel Adams,Boston Beer Company,15.5 Gal Keg,Park Ridge,Bergen,Paul Mclaughlin,110.22,103.33, (6.89),(6.25%)
Samuel Adams,Boston Beer Company,15.5 Gal Keg,Elmwood Park,Bergen,Nick Melissari,117.11,103.33, (13.78),(11.76%)
Samuel Adams,Boston Beer Company,15.5 Gal Keg,Denville,Morris,Brian Sengebush,96.44,103.33,6.89,7.14%
Samuel Adams,Boston Beer Company,15.5 Gal Keg,Boonton,Morris,Brian Sengebush,117.11,103.33, (13.78),(11.76%)
Peroni,MolsonCoors Beverage Company,15.5 Gal Keg,Edgewater,Bergen,Nick Melissari,75.78,103.33,27.56,36.36%
Pabst Blue Ribbon,Pabst Brewing Company,15.5 Gal Keg,Ringwood,Passaic,Anthony Palmisano,165.33,103.33, (62.00),(37.50%)
Montauk,Montauk Brewing Co,15.5 Gal Keg,Hillsdale,Bergen,Paul Mclaughlin,68.89,103.33,34.44,50.00%
Modelo Especial,Constellation Brands,15.5 Gal Keg,Teaneck,Bergen,Paul Mclaughlin,41.33,103.33,62.00,150.00%
Lite,MolsonCoors Beverage Company,15.5 Gal Keg,Wyckoff,Bergen,Nick Melissari,0.00,103.33,103.33,100.00%
Lite,MolsonCoors Beverage Company,15.5 Gal Keg,Sparta,Sussex,Jayson Romine,110.22,103.33, (6.89),(6.25%)
Lite,MolsonCoors Beverage Company,15.5 Gal Keg,Sandyston,Sussex,Brian Sengebush,124.00,103.33, (20.67),(16.67%)
Lite,MolsonCoors Beverage Company,15.5 Gal Keg,Garfield,Bergen,Matt Powierski,0.00,103.33,103.33,100.00%
Lite,MolsonCoors Beverage Company,15.5 Gal Keg,Fair Lawn,Bergen,Paul Mclaughlin,124.00,103.33, (20.67),(16.67%)
Lite,MolsonCoors Beverage Company,15.5 Gal Keg,Augusta,Sussex,Default,0.00,103.33,103.33,100.00%
Leinenkugel,MolsonCoors Beverage Company,15.5 Gal Keg,Sparta,Sussex,Jayson Romine,103.33,103.33,0.00,0.00%
Evil Genius,Evil Genius,15.5 Gal Keg,Branchville,Sussex,Brian Sengebush,117.11,103.33, (13.78),(11.76%)
Dos Equis,Heineken USA,15.5 Gal Keg,New Milford,Bergen,Paul Mclaughlin,130.89,103.33, (27.56),(21.05%)
Doc's,Warwick Valley,15.5 Gal Keg,Jersey City,Hudson,Dylan Rubino,103.33,103.33,0.00,0.00%
Corona Extra,Constellation Brands,15.5 Gal Keg,River Edge,Bergen,Dave Ehlers,27.56,103.33,75.78,275.00%
Coors Light,MolsonCoors Beverage Company,15.5 Gal Keg,Wallington,Bergen,Matt Powierski,241.11,103.33, (137.78),(57.14%)
Coors Light,MolsonCoors Beverage Company,15.5 Gal Keg,Hawthorne,Passaic,Default,158.44,103.33, (55.11),(34.78%)
Coors Light,MolsonCoors Beverage Company,15.5 Gal Keg,Augusta,Sussex,Default,0.00,103.33,103.33,100.00%
Coors,MolsonCoors Beverage Company,15.5 Gal Keg,Augusta,Sussex,Default,0.00,103.33,103.33,100.00%
Pacifico,Constellation Brands,1/4 BBL Keg (7.75 Gal),Clifton,Passaic,Allison Scott,31.00,103.33,72.33,233.33%
Corona Extra,Constellation Brands,4/6/7oz NR,Lake Hiawatha,Morris,Klejdi Lamo,89.83,103.25,13.42,14.94%
Corona Extra,Constellation Brands,4/6/7oz NR,Clifton,Passaic,Derrick Laws,88.67,103.25,14.58,16.45%
Corona Extra,Constellation Brands,24/7oz NR,Northvale,Bergen,Shane Barreca,119.58,103.25, (16.33),(13.66%)
Yuengling Lager,DG Yuengling Inc,4/6/12oz NR,Paramus,Bergen,Phil Ernst,125.00,103.00, (22.00),(17.60%)
Yuengling Lager,DG Yuengling Inc,2/12/12oz Can,Rockaway,Morris,Klejdi Lamo,171.00,103.00, (68.00),(39.77%)
White Claw,Mark Anthony,4/6/12oz Can,Hackettstown,Morris,Klejdi Lamo,80.00,103.00,23.00,28.75%
Twisted Tea,Boston Beer Company,4/6/12oz NR,Oakland,Bergen,Mike Ast,117.00,103.00, (14.00),(11.97%)
Twisted Tea,Boston Beer Company,4/6/12oz NR,Boonton,Morris,Klejdi Lamo,168.00,103.00, (65.00),(38.69%)
Stone Brewing,Stone Brewing,4/6/12oz Can,Jersey City,Hudson,Jaime Colonna,95.00,103.00,8.00,8.42%
Sierra Nevada,Sierra Nevada Brewing Company,2/12/12oz NR,Teaneck,Bergen,Chris Payton,102.00,103.00,1.00,0.98%
Sapporo,Sapporo,2/12/12oz Can,Sparta,Sussex,Jayson Romine,60.00,103.00,43.00,71.67%
Pilsner Urquell,MolsonCoors Beverage Company,2/12/12oz NR,Elmwood Park,Bergen,Matt Powierski,70.00,103.00,33.00,47.14%
Narragansett,Narragansett,2/12/12oz Can,River Edge,Bergen,Dave Ehlers,117.00,103.00, (14.00),(11.97%)
Montauk,Montauk Brewing Co,4/6/12oz Can,South Orange,Essex,Hakan Sadik,137.00,103.00, (34.00),(24.82%)
Monkey Family,Victory Brewing Company,4/6/12oz Can,Glen Rock,Bergen,Phil Ernst,129.00,103.00, (26.00),(20.16%)
Molson,MolsonCoors Beverage Company,2/12/12oz NR,Wharton,Morris,Klejdi Lamo,90.00,103.00,13.00,14.44%
Modelo Negra,Constellation Brands,1/12/24oz Can,Passaic,Passaic,Pablo Lopez,157.00,103.00, (54.00),(34.39%)
Modelo Chelada,Constellation Brands,1/12/24oz Can,Lincoln Park,Morris,Michael Harboy,120.00,103.00, (17.00),(14.17%)
Miller High Life,MolsonCoors Beverage Company,2/12/12oz Can,Elmwood Park,Bergen,Matt Powierski,88.00,103.00,15.00,17.05%
Lite,MolsonCoors Beverage Company,18/16oz Btl,Rockaway,Morris,Klejdi Lamo,37.00,103.00,66.00,178.38%
Leinenkugel,MolsonCoors Beverage Company,4/6/12oz NR,Newton,Sussex,Jayson Romine,89.00,103.00,14.00,15.73%
Heineken USA,Heineken USA,4/6/12oz NR,Wanaque,Passaic,Anthony Palmisano,144.00,103.00, (41.00),(28.47%)
Heineken USA,Heineken USA,24/12oz NR,Ridgefield,Bergen,Chris Payton,104.00,103.00, (1.00),(0.96%)
Genesee,FIFCO,1/12/24oz Can,Paramus,Bergen,Phil Ernst,80.00,103.00,23.00,28.75%
Flying Dog Brewing Co,FX Matt,4/6/12oz NR,West Orange,Essex,Michael Harboy,118.00,103.00, (15.00),(12.71%)
Flying Dog Brewing Co,FX Matt,4/6/12oz NR,River Edge,Bergen,Dave Ehlers,120.00,103.00, (17.00),(14.17%)
Flying Dog Brewing Co,FX Matt,4/6/12oz NR,Ramsey,Bergen,Shane Barreca,146.00,103.00, (43.00),(29.45%)
Delta,Delta Beverage LLC,6/4/12oz Can,Wharton,Morris,Klejdi Lamo,29.00,103.00,74.00,255.17%
Corona NA,Constellation Brands,4/6/12oz NR,Paterson,Passaic,Pablo Lopez,43.00,103.00,60.00,139.53%
Corona Extra,Constellation Brands,4/6/12oz NR,Rockaway,Morris,Brian Sengebush,94.00,103.00,9.00,9.57%
Corona Extra,Constellation Brands,1/24/12oz Can,Saddle Brook,Bergen,Chris Payton,217.00,103.00, (114.00),(52.53%)
Coors Light,MolsonCoors Beverage Company,4/6/12oz NR,Hawthorne,Passaic,Mike Ast,122.00,103.00, (19.00),(15.57%)
Coors Light,MolsonCoors Beverage Company,24/12oz NR,Old Tappan,Bergen,Paul Mclaughlin,100.00,103.00,3.00,3.00%
Coors Light,MolsonCoors Beverage Company,2/12/12oz NR,Woodridge,Bergen,Chris Payton,93.00,103.00,10.00,10.75%
Coors Light,MolsonCoors Beverage Company,2/12/12oz NR,Paterson,Passaic,Javier Melo,107.00,103.00, (4.00),(3.74%)
Coors Light,MolsonCoors Beverage Company,2/12/12oz Can,Oradell,Bergen,Shane Barreca,119.00,103.00, (16.00),(13.45%)
Coors Light,MolsonCoors Beverage Company,2/12/12oz Can,North Haledon,Passaic,Mike Ast,85.00,103.00,18.00,21.18%
Coors Light,MolsonCoors Beverage Company,1/12/24oz Can,Byram,Sussex,Jayson Romine,35.00,103.00,68.00,194.29%
Angry Orchard,Boston Beer Company,4/6/12oz NR,Wayne,Passaic,Mike Ast,93.00,103.00,10.00,10.75%
Dab,Radeberger USA,6/4/16.9oz Can,Hillsdale,Bergen,Shane Barreca,114.19,102.91, (11.28),(9.88%)
Peroni,MolsonCoors Beverage Company,4/6/11.2oz NR,Emerson,Bergen,Shane Barreca,78.46,102.74,24.28,30.95%
Mike's Hard Lemonade,Mark Anthony,4/6/11.2oz NR,North Arlington,Bergen,Jim Heaney,129.83,102.74, (27.09),(20.86%)
Heineken 0.0,Heineken USA,4/6/11.2oz NR,Paterson,Passaic,Phil Ernst,85.93,102.74,16.81,19.57%
Heineken 0.0,Heineken USA,4/6/11.2oz NR,Fairview,Bergen,Dan Lagala,78.46,102.74,24.28,30.95%
Fosters,MolsonCoors Beverage Company,12/25.4oz Can,Little Falls,Passaic,Derrick Laws,86.84,102.73,15.89,18.29%
Saratoga,Saratoga,12/28oz Btl,Hoboken,Hudson,Jaime Colonna,80.50,102.67,22.17,27.54%
St Ides,Pabst Brewing Company,4/6/16oz Can,Orange,Essex,Hakan Sadik,166.67,102.67, (64.00),(38.40%)
Lite,MolsonCoors Beverage Company,2/12/16oz Can,Wayne,Passaic,Mike Ast,86.67,102.67,16.00,18.46%
Corona Familiar,Constellation Brands,12/32oz NR,Elmwood Park,Bergen,Matt Powierski,52.00,102.67,50.67,97.44%
Pabst Blue Ribbon,Pabst Brewing Company,30/12oz Can,Mahwah,Bergen,Mike Ast,100.00,102.50,2.50,2.50%
Pabst Blue Ribbon,Pabst Brewing Company,30/12oz Can,Florham Park,Morris,John O'Donoghue,140.00,102.50, (37.50),(26.79%)
Miller Genuine Draft,MolsonCoors Beverage Company,30/12oz Can,Newton,Sussex,Jayson Romine,97.50,102.50,5.00,5.13%
Sun Cruiser,Boston Beer Company,1/12/19.2 oz Can,Vernon,Sussex,Jayson Romine,0.00,102.40,102.40,100.00%
Tyskie Gronie,MolsonCoors Beverage Company,20/16.9oz NR,Clifton,Passaic,Jim Heaney,103.28,102.10, (1.17),(1.14%)
Heineken USA,Heineken USA,24/7oz NR,Clifton,Passaic,Derrick Laws,116.67,102.08, (14.58),(12.50%)
Yuengling Lager,DG Yuengling Inc,4/6/12oz NR,Glen Rock,Bergen,Phil Ernst,97.00,102.00,5.00,5.15%
Yuengling Lager,DG Yuengling Inc,24/12oz NR,Palisades Park,Bergen,Phil Ernst,113.00,102.00, (11.00),(9.73%)
