Brand Family,Supplier,Package,City,County,Sales Rep Assigned,Case Equiv 1/1/2025 - 7/31/2025,Case Equiv 1/1/2026 - 7/31/2026,Case Equiv ±,Case Equiv % ±
Lite,MolsonCoors Beverage Company,30/12oz Can,Northvale,Bergen,Shane Barreca,"1,485.00","1,622.50",137.50,9.26%
Victoria,Constellation Brands,2/12/12oz Can,East Rutherford,Bergen,John Neukum,"1,053.00","1,620.00",567.00,53.85%
Corona Extra,Constellation Brands,4/6/12oz NR,Passaic,Passaic,Javier Melo,"2,013.00","1,618.00", (395.00),(19.62%)
Corona Extra,Constellation Brands,24/12oz NR,Elmwood Park,Bergen,Matt Powierski,"1,507.00","1,608.00",101.00,6.70%
Lite,MolsonCoors Beverage Company,30/12oz Can,Clifton,Passaic,Jim Heaney,"2,215.00","1,605.00", (610.00),(27.54%)
Sapporo,Sapporo,1/24/12oz Can,East Rutherford,Bergen,John Neukum,"1,400.00","1,600.00",200.00,14.29%
Corona Extra,Constellation Brands,2/12/12oz NR,Passaic,Passaic,Matt Powierski,"1,711.00","1,589.00", (122.00),(7.13%)
Coors Light,MolsonCoors Beverage Company,30/12oz Can,Sparta,Sussex,Jayson Romine,"2,156.25","1,568.75", (587.50),(27.25%)
Heineken USA,Heineken USA,24/12oz NR,Paterson,Passaic,Javier Melo,"2,325.00","1,563.00", (762.00),(32.77%)
Corona Extra,Constellation Brands,24/12oz NR,Teaneck,Bergen,Chris Payton,"1,429.00","1,561.00",132.00,9.24%
Corona Extra,Constellation Brands,24/12oz NR,Little Falls,Passaic,Derrick Laws,"2,389.00","1,561.00", (828.00),(34.66%)
Lite,MolsonCoors Beverage Company,15.5 Gal Keg,Clifton,Passaic,Allison Scott,"1,563.78","1,556.89", (6.89),(0.44%)
Coors Light,MolsonCoors Beverage Company,1/12/24oz Can,Bergenfield,Bergen,Dave Ehlers,"1,313.00","1,556.00",243.00,18.51%
Corona Extra,Constellation Brands,24/7oz NR,Elmwood Park,Bergen,Matt Powierski,"1,309.58","1,548.17",238.58,18.22%
Corona Extra,Constellation Brands,2/12/12oz Can,Cliffside Park,Bergen,Dan Lagala,"1,623.00","1,547.00", (76.00),(4.68%)
Coors Light,MolsonCoors Beverage Company,24/12oz NR,Passaic,Passaic,Javier Melo,"1,846.00","1,546.00", (300.00),(16.25%)
White Claw,Mark Anthony,2/12/12oz Can,Glen Rock,Bergen,Phil Ernst,"1,688.00","1,543.00", (145.00),(8.59%)
Corona Extra,Constellation Brands,2/12/12oz NR,Englewood,Bergen,Dave Ehlers,"1,495.00","1,543.00",48.00,3.21%
Victoria,Constellation Brands,2/12/12oz NR,Passaic,Passaic,Javier Melo,"1,355.00","1,540.00",185.00,13.65%
