Supplier / Brand Family,Case Equiv 1/1/2025 - 7/31/2025,Case Equiv 1/1/2026 - 7/31/2026,Case Equiv ±,Case Equiv % ±
Dreamz Invenstments LLC,0,111,111,100
Brio,0,111,111,100
Cruz Beverage,0,12.083285,12.083285,100
YaVe Tequila,0,12.083285,12.083285,100
Chateau Diana Winery,0,96.158608,96.158608,100
Chateau Diana,0,96.158608,96.158608,100
Bella Ray Beverage,0,131,131,100
Bella Ray,0,131,131,100
Alte Beverage,0,112,112,100
Alte Beverage,0,112,112,100
1925 Spirits LLC,0,12.083285,12.083285,100
Leyenda 1925,0,12.083285,12.083285,100
Hygrade Beverage,-6.888889,0,6.888889,100
Soda Birch,-6.888889,0,6.888889,100
Jersey Girl,-12.090268,0,12.090268,100
Jersey Girl,-12.090268,0,12.090268,100
Island Brands USA,-16.000001,0,16.000001,100
Island Brands,-16.000001,0,16.000001,100
Point Brewing,-42.777776,-61.888888,-19.111112,-44.6753
Whole Hog,-42.777776,-61.888888,-19.111112,-44.6753
