Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,Distribution Area,Area,County,City,Premise,Buyer Count   2026,Cases   2026
Chris Payton,38016,Lodi Liquor Store(P),25 C WASHINGTON STREET,Bergen,Bergen,Bergen,Lodi,Off Premise,1,5056.00
Chris Payton,76015,Discount Liq & Bar,606 Midland Ave,Bergen,Bergen,Bergen,Saddle Brook,Off Premise,1,3824.00
Chris Payton,76018,Krauszer Liquor,216 Midland Ave,Bergen,Bergen,Bergen,Saddle Brook,Off Premise,1,3693.33
Chris Payton,50007,Welsh Farms,55 Queen Anne Road,Bergen,Bergen,Bergen,Bogota,Off Premise,1,3631.00
Chris Payton,81001,B & B Liquors (Fair Lawn),13-05 River Road,Bergen,Bergen,Bergen,Fair Lawn,Off Premise,1,3619.00
Chris Payton,38017,Quick Stop Food & Liq,93 S. Main St,Bergen,Bergen,Bergen,Lodi,Off Premise,1,3103.00
Chris Payton,79005,Maywood Wine&Liq (A),117 E Passaic St,Bergen,Bergen,Bergen,Maywood,Off Premise,1,2922.00
Chris Payton,34007,Liquor Masters (P),459 Route 17,Bergen,Bergen,Bergen,Hasbrouck Heights,Off Premise,1,2737.00
Chris Payton,79002,Hollywd Liq&Deli (A),40 W Pleasant Ave,Bergen,Bergen,Bergen,Maywood,Off Premise,1,2578.00
Chris Payton,38001,JR Sports Bar & Liquors(Z),452 Passaic Ave,Bergen,Bergen,Bergen,Lodi,Off Premise,1,2390.00
Chris Payton,78013,J R W & Liq (A),332 Rochelle Ave,Bergen,Bergen,Bergen,Rochelle Park,Off Premise,1,2310.25
Chris Payton,81011,Radburn Liquors (A,14-35 Plaza Rd,Bergen,Bergen,Bergen,Fair Lawn,Off Premise,1,2265.00
Chris Payton,34009,The Wine Rack Hasbrouck Hts,69 Route 17 South,Bergen,Bergen,Bergen,Hasbrouck Heights,Off Premise,1,2160.83
Chris Payton,79004,Coronet Variety,138 West Pleasant Ave,Bergen,Bergen,Bergen,Maywood,Off Premise,1,2005.00
Chris Payton,80025,Paramus Food Center,548 Paramus Rd,Bergen,Bergen,Bergen,Paramus,Off Premise,1,1862.00
