Sales Rep Assigned,Customer Num,Customer Name,Product Num,Product Name,Brand Family,Date,Placement Count   2026
Phil Ernst,43001,City Supermarket,200383,YaVe Tequila Reposado 1/6/750 mL Btl,YaVe Tequila,7/14/2026,1.00
Phil Ernst,29004,Shop-Rite Liq Lyndhurst,200384,YaVe Tequila Blanco 1/6/750 mL Btl,YaVe Tequila,7/14/2026,1.00
Phil Ernst,38018,THE BOTTLE SHOP,100961,2XO American Oak 1/750 mL Btl,2XO,7/8/2026,1.00
Phil Ernst,43001,City Supermarket,100962,2XO French Oak 1/750 mL Btl,2XO,7/14/2026,1.00
Phil Ernst,29004,Shop-Rite Liq Lyndhurst,200385,YaVe Tequila Coconut 1/6/750 mL Btl,YaVe Tequila,7/14/2026,1.00
Phil Ernst,83001,Food Universe Marketplace,100962,2XO French Oak 1/750 mL Btl,2XO,7/16/2026,1.00
Phil Ernst,43001,City Supermarket,200381,YaVe Tequila Mango 1/6/750 mL Btl,YaVe Tequila,7/14/2026,1.00
Phil Ernst,43001,City Supermarket,200385,YaVe Tequila Coconut 1/6/750 mL Btl,YaVe Tequila,7/14/2026,1.00
Phil Ernst,29004,Shop-Rite Liq Lyndhurst,200383,YaVe Tequila Reposado 1/6/750 mL Btl,YaVe Tequila,7/14/2026,1.00
Phil Ernst,47004,Wides Deli & Liquor,100961,2XO American Oak 1/750 mL Btl,2XO,7/16/2026,1.00
Phil Ernst,29004,Shop-Rite Liq Lyndhurst,200382,YaVe Tequila Jalapeno 1/6/750 mL Btl,YaVe Tequila,7/14/2026,1.00
Phil Ernst,29004,Shop-Rite Liq Lyndhurst,200381,YaVe Tequila Mango 1/6/750 mL Btl,YaVe Tequila,7/14/2026,1.00
Phil Ernst,76006,Wine Country Of Saddle Brook (A),100961,2XO American Oak 1/750 mL Btl,2XO,7/15/2026,1.00
Phil Ernst,43001,City Supermarket,200384,YaVe Tequila Blanco 1/6/750 mL Btl,YaVe Tequila,7/14/2026,1.00
Phil Ernst,43001,City Supermarket,200382,YaVe Tequila Jalapeno 1/6/750 mL Btl,YaVe Tequila,7/14/2026,1.00
Phil Ernst,83001,Food Universe Marketplace,100961,2XO American Oak 1/750 mL Btl,2XO,7/16/2026,1.00
Phil Ernst,38018,THE BOTTLE SHOP,100962,2XO French Oak 1/750 mL Btl,2XO,7/8/2026,1.00
Shane Barreca,75004,Cork & Keg (A),100122,Le Grand Noir Pinot Noir 1/12/750 mL Btl,Le Grand Noir,7/20/2026,1.00
Shane Barreca,75004,Cork & Keg (A),200382,YaVe Tequila Jalapeno 1/6/750 mL Btl,YaVe Tequila,7/20/2026,1.00
Shane Barreca,71006,Ridgemont Liquors (A),100961,2XO American Oak 1/750 mL Btl,2XO,7/8/2026,1.00
Shane Barreca,71006,Ridgemont Liquors (A),100962,2XO French Oak 1/750 mL Btl,2XO,7/8/2026,1.00
Shane Barreca,75004,Cork & Keg (A),200384,YaVe Tequila Blanco 1/6/750 mL Btl,YaVe Tequila,7/20/2026,1.00
