Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,City,Distribution Area,Product Num,Product Name,Date,Buyer Count   1/1/2025 - 12/31/2026,Units   1/1/2025 - 12/31/2026,Revenue   1/1/2025 - 12/31/2026,Gross Profit   1/1/2025 - 12/31/2026
Chris Payton,78013,J R W & Liq (A),332 Rochelle Ave,Rochelle Park,Bergen,201065,Green River 1/1 L Btl,3/17/2026,1.00,1.00,$18.33,$7.13
Chris Payton,34009,The Wine Rack Hasbrouck Hts,69 Route 17 South,Hasbrouck Heights,Bergen,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,12/18/2025,1.00,6.00,$208.00,$66.91
Chris Payton,38040,Buy Rite Discount Liquor,183 Route 46 West,Lodi,Bergen,201054,Green River Wheated 1/750 mL,9/26/2025,1.00,1.00,$29.33,$11.32
Chris Payton,38021,Buy Rite Of Main St Lodi,449 Main St,Lodi,Bergen,201051,Green River Bourbon 1/750 mL Btl,4/28/2026,1.00,1.00,$26.83,$8.82
Chris Payton,76010,Usa Wine Traders Club (Saddle Brook),66 Market St,Saddle Brook,Bergen,201076,Green River Wheated Full Proof 1/750 ml Btl,4/10/2026,1.00,6.00,$226.00,$68.91
Chris Payton,76010,Usa Wine Traders Club (Saddle Brook),66 Market St,Saddle Brook,Bergen,201077,Green River Honey 1/750 mL Btl,5/8/2026,1.00,18.00,$330.00,$107.73
Chris Payton,34009,The Wine Rack Hasbrouck Hts,69 Route 17 South,Hasbrouck Heights,Bergen,201051,Green River Bourbon 1/750 mL Btl,4/30/2025,1.00,2.00,$54.00,$17.97
Chris Payton,76010,Usa Wine Traders Club (Saddle Brook),66 Market St,Saddle Brook,Bergen,201058,Bardstown Origin Series High Wheat 1/750 mL Btl,2/3/2025,1.00,12.00,$436.00,$121.82
Chris Payton,76010,Usa Wine Traders Club (Saddle Brook),66 Market St,Saddle Brook,Bergen,201054,Green River Wheated 1/750 mL,5/6/2025,1.00,24.00,$616.00,$183.64
Chris Payton,25045,Clifton Disc Liq (A),73 Ackerman Ave Botony Pl,Clifton,Passaic,201058,Bardstown Origin Series High Wheat 1/750 mL Btl,2/14/2025,1.00,3.00,$113.00,$34.46
Chris Payton,76010,Usa Wine Traders Club (Saddle Brook),66 Market St,Saddle Brook,Bergen,201055,Bardstown Origin Series Bottle-In-Bond 1/750 mL Btl,1/21/2025,1.00,6.00,$218.00,$216.91
Chris Payton,34009,The Wine Rack Hasbrouck Hts,69 Route 17 South,Hasbrouck Heights,Bergen,201054,Green River Wheated 1/750 mL,4/30/2025,1.00,2.00,$54.00,$17.97
