Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,City,Distribution Area,Product Num,Product Name,Date,Buyer Count   1/1/2025 - 12/31/2026,Units   1/1/2025 - 12/31/2026,Revenue   1/1/2025 - 12/31/2026,Gross Profit   1/1/2025 - 12/31/2026
Dan Lagala,49027,Linwood Wine-Linwood Plaza,102 Linwood Plaza,Fort Lee,Bergen,201055,Bardstown Origin Series Bottle-In-Bond 1/750 mL Btl,2/4/2025,1.00,6.00,$222.00,$64.91
Dan Lagala,49027,Linwood Wine-Linwood Plaza,102 Linwood Plaza,Fort Lee,Bergen,201059,Bardstown Discovery Series #10 1/750 mL Btl,4/17/2025,1.00,1.00,$104.67,$27.15
Dan Lagala,49027,Linwood Wine-Linwood Plaza,102 Linwood Plaza,Fort Lee,Bergen,201054,Green River Wheated 1/750 mL,1/14/2026,1.00,-12.00,($317.34),($101.15)
Dan Lagala,49027,Linwood Wine-Linwood Plaza,102 Linwood Plaza,Fort Lee,Bergen,201051,Green River Bourbon 1/750 mL Btl,1/13/2026,1.00,-12.00,($276.04),($59.86)
Dan Lagala,49044,Linwood Wine-Hudson Light,675 Park Ave,Fort Lee,Bergen,201059,Bardstown Discovery Series #10 1/750 mL Btl,4/21/2025,1.00,0.00,$0.00,$0.00
Dan Lagala,54007,Wine Ventures,7 Washington St,Tenafly,Bergen,201055,Bardstown Origin Series Bottle-In-Bond 1/750 mL Btl,2/4/2025,1.00,6.00,$226.00,$68.91
Dan Lagala,49044,Linwood Wine-Hudson Light,675 Park Ave,Fort Lee,Bergen,201059,Bardstown Discovery Series #10 1/750 mL Btl,4/17/2025,1.00,1.00,$105.67,$28.15
Dan Lagala,44009,Metro Liquor (Cliffside Park),341 Gorge Rd.,Cliffside Park,Sales,201077,Green River Honey 1/750 mL Btl,5/6/2026,1.00,1.00,$20.00,$7.65
Dan Lagala,49020,Hudson Wine Market,1638 Schlosser St,Fort Lee,Bergen,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,1/24/2025,1.00,1.00,$34.50,$34.32
Dan Lagala,54006,Tenafly Fine Wine & Spirits,14 Riveredge Rd,Tenafly,Bergen,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,3/4/2026,1.00,2.00,$73.33,$26.30
Dan Lagala,43013,Buy Rite Of Fairview,201 Broad Ave,Fairview,Bergen,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,10/14/2025,1.00,3.00,$104.00,$33.46
Dan Lagala,54006,Tenafly Fine Wine & Spirits,14 Riveredge Rd,Tenafly,Bergen,201054,Green River Wheated 1/750 mL,3/4/2026,1.00,2.00,$53.67,$17.64
Dan Lagala,43013,Buy Rite Of Fairview,201 Broad Ave,Fairview,Bergen,201057,Bardstown Origin Series Double Barrel Rye 1/750 mL Btl,1/21/2025,1.00,3.00,$113.00,$112.46
Dan Lagala,49027,Linwood Wine-Linwood Plaza,102 Linwood Plaza,Fort Lee,Bergen,201054,Green River Wheated 1/750 mL,1/9/2026,1.00,8.00,$214.67,$70.55
Dan Lagala,54006,Tenafly Fine Wine & Spirits,14 Riveredge Rd,Tenafly,Bergen,201055,Bardstown Origin Series Bottle-In-Bond 1/750 mL Btl,2/26/2025,1.00,2.00,$75.33,($0.36)
Dan Lagala,43013,Buy Rite Of Fairview,201 Broad Ave,Fairview,Bergen,201058,Bardstown Origin Series High Wheat 1/750 mL Btl,1/27/2025,1.00,3.00,$115.00,$36.46
Dan Lagala,49065,Haven Rest/Bar (A),2 Main St,Edgewater,Bergen,201053,Green River Rye 1/750 mL,12/12/2025,1.00,1.00,$26.83,$8.82
Dan Lagala,43013,Buy Rite Of Fairview,201 Broad Ave,Fairview,Bergen,201058,Bardstown Origin Series High Wheat 1/750 mL Btl,5/27/2026,1.00,2.00,$81.33,$28.97
Dan Lagala,49065,Haven Rest/Bar (A),2 Main St,Edgewater,Bergen,201073,Bardstown Collaboration Series Pierre Ferrand 1/750 mL Btl,11/25/2025,1.00,1.00,$108.66,$31.15
Dan Lagala,43013,Buy Rite Of Fairview,201 Broad Ave,Fairview,Bergen,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,6/23/2025,1.00,3.00,$102.00,$31.46
Dan Lagala,44009,Metro Liquor (Cliffside Park),341 Gorge Rd.,Cliffside Park,Sales,201057,Bardstown Origin Series Double Barrel Rye 1/750 mL Btl,2/5/2025,1.00,1.00,$37.67,$11.49
Dan Lagala,49027,Linwood Wine-Linwood Plaza,102 Linwood Plaza,Fort Lee,Bergen,201064,Bardstown Collaboration Series Silver Oak 1/750 mL Btl,4/17/2025,1.00,1.00,$104.67,$27.15
Dan Lagala,45004,Ridgefield Liq (Z),520 Shaler Blvd,Ridgefield,Bergen,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,2/5/2025,1.00,2.00,$68.00,$20.97
Dan Lagala,49027,Linwood Wine-Linwood Plaza,102 Linwood Plaza,Fort Lee,Bergen,201054,Green River Wheated 1/750 mL,1/8/2026,1.00,12.00,$308.00,$91.82
Dan Lagala,49027,Linwood Wine-Linwood Plaza,102 Linwood Plaza,Fort Lee,Bergen,201055,Bardstown Origin Series Bottle-In-Bond 1/750 mL Btl,4/21/2025,1.00,0.00,$0.00,$0.00
Dan Lagala,43013,Buy Rite Of Fairview,201 Broad Ave,Fairview,Bergen,201065,Green River 1/1 L Btl,12/30/2025,1.00,12.00,$198.00,$63.55
Dan Lagala,48002,Manor Wine & Liquor,430 Broad Ave,Leonia,Bergen,201077,Green River Honey 1/750 mL Btl,5/6/2026,1.00,1.00,$20.00,$7.65
Dan Lagala,49065,Haven Rest/Bar (A),2 Main St,Edgewater,Bergen,201053,Green River Rye 1/750 mL,11/6/2025,1.00,1.00,$26.83,$8.82
Dan Lagala,45004,Ridgefield Liq (Z),520 Shaler Blvd,Ridgefield,Bergen,201057,Bardstown Origin Series Double Barrel Rye 1/750 mL Btl,2/5/2025,1.00,1.00,$37.67,$11.49
Dan Lagala,43013,Buy Rite Of Fairview,201 Broad Ave,Fairview,Bergen,201058,Bardstown Origin Series High Wheat 1/750 mL Btl,10/14/2025,1.00,3.00,$113.00,$34.46
Dan Lagala,49027,Linwood Wine-Linwood Plaza,102 Linwood Plaza,Fort Lee,Bergen,201054,Green River Wheated 1/750 mL,4/30/2026,1.00,6.00,$154.00,$45.91
Dan Lagala,49027,Linwood Wine-Linwood Plaza,102 Linwood Plaza,Fort Lee,Bergen,201058,Bardstown Origin Series High Wheat 1/750 mL Btl,1/28/2025,1.00,6.00,$222.00,$64.91
Dan Lagala,44009,Metro Liquor (Cliffside Park),341 Gorge Rd.,Cliffside Park,Sales,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,2/5/2025,1.00,2.00,$68.00,$20.97
Dan Lagala,49027,Linwood Wine-Linwood Plaza,102 Linwood Plaza,Fort Lee,Bergen,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,1/28/2025,1.00,6.00,$200.00,$198.91
Dan Lagala,49027,Linwood Wine-Linwood Plaza,102 Linwood Plaza,Fort Lee,Bergen,201064,Bardstown Collaboration Series Silver Oak 1/750 mL Btl,4/21/2025,1.00,0.00,$0.00,$0.00
Dan Lagala,49027,Linwood Wine-Linwood Plaza,102 Linwood Plaza,Fort Lee,Bergen,201059,Bardstown Discovery Series #10 1/750 mL Btl,4/21/2025,1.00,0.00,$0.00,$0.00
Dan Lagala,43013,Buy Rite Of Fairview,201 Broad Ave,Fairview,Bergen,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,12/30/2025,1.00,2.00,$69.33,$22.30
Dan Lagala,49027,Linwood Wine-Linwood Plaza,102 Linwood Plaza,Fort Lee,Bergen,201057,Bardstown Origin Series Double Barrel Rye 1/750 mL Btl,4/17/2025,1.00,12.00,$436.00,$121.82
Dan Lagala,54006,Tenafly Fine Wine & Spirits,14 Riveredge Rd,Tenafly,Bergen,201058,Bardstown Origin Series High Wheat 1/750 mL Btl,3/4/2026,1.00,2.00,$81.33,$28.97
Dan Lagala,54006,Tenafly Fine Wine & Spirits,14 Riveredge Rd,Tenafly,Bergen,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,2/26/2025,1.00,2.00,$68.00,($0.36)
Dan Lagala,49027,Linwood Wine-Linwood Plaza,102 Linwood Plaza,Fort Lee,Bergen,201051,Green River Bourbon 1/750 mL Btl,4/30/2026,1.00,12.00,$308.00,$91.82
Dan Lagala,49045,Liquor World,1475 Bergen Blvd,Fort Lee,Bergen,201051,Green River Bourbon 1/750 mL Btl,2/4/2025,1.00,6.00,$154.00,$45.91
Dave Ehlers,58001,Total Wine & More (River Edge),1001 Main St,River Edge,Bergen,201055,Bardstown Origin Series Bottle-In-Bond 1/750 mL Btl,6/26/2026,1.00,6.00,$218.00,$60.91
Dave Ehlers,58001,Total Wine & More (River Edge),1001 Main St,River Edge,Bergen,201058,Bardstown Origin Series High Wheat 1/750 mL Btl,12/12/2025,1.00,6.00,$218.00,$60.91
Dave Ehlers,14007,Total Wine & More (Totowa),465 US Highway 46,Totowa,Passaic,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,3/18/2026,1.00,18.00,$588.00,$164.73
Dave Ehlers,14007,Total Wine & More (Totowa),465 US Highway 46,Totowa,Passaic,201055,Bardstown Origin Series Bottle-In-Bond 1/750 mL Btl,6/24/2026,1.00,12.00,$436.00,$121.82
Dave Ehlers,40022,Buy Rite Of Hackensack,410 River St,Hackensack,Bergen,201054,Green River Wheated 1/750 mL,7/15/2026,1.00,2.00,$53.67,$17.64
Dave Ehlers,58001,Total Wine & More (River Edge),1001 Main St,River Edge,Bergen,201054,Green River Wheated 1/750 mL,3/17/2026,1.00,12.00,$308.00,$91.82
Dave Ehlers,14007,Total Wine & More (Totowa),465 US Highway 46,Totowa,Passaic,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,2/25/2026,1.00,12.00,$392.00,$109.82
Dave Ehlers,58001,Total Wine & More (River Edge),1001 Main St,River Edge,Bergen,201052,Green River Full Proof 1/750 mL,5/6/2025,1.00,6.00,$218.00,$60.91
Dave Ehlers,58001,Total Wine & More (River Edge),1001 Main St,River Edge,Bergen,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,4/28/2026,1.00,12.00,$392.00,$109.82
Dave Ehlers,14007,Total Wine & More (Totowa),465 US Highway 46,Totowa,Passaic,201058,Bardstown Origin Series High Wheat 1/750 mL Btl,1/29/2025,1.00,12.00,$436.00,$121.82
Dave Ehlers,56015,VINEYARD,89 New Bridge Rd,Bergenfield,Sales,201058,Bardstown Origin Series High Wheat 1/750 mL Btl,11/20/2025,1.00,3.00,$113.00,$34.46
Dave Ehlers,14007,Total Wine & More (Totowa),465 US Highway 46,Totowa,Passaic,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,6/19/2026,1.00,6.00,$196.00,$54.91
Dave Ehlers,51018,Teaneck Discount Liquor,764 New Bridge Road,Teaneck,Bergen,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,2/20/2025,1.00,3.00,$102.00,$31.46
Dave Ehlers,58001,Total Wine & More (River Edge),1001 Main St,River Edge,Bergen,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,6/23/2026,1.00,6.00,$196.00,$54.91
Dave Ehlers,58001,Total Wine & More (River Edge),1001 Main St,River Edge,Bergen,201052,Green River Full Proof 1/750 mL,1/17/2025,1.00,6.00,$222.00,$220.91
Dave Ehlers,14007,Total Wine & More (Totowa),465 US Highway 46,Totowa,Passaic,201055,Bardstown Origin Series Bottle-In-Bond 1/750 mL Btl,2/4/2026,1.00,6.00,$218.00,$60.91
