Customer Num,Customer Name,Draft Package,Shipping Address,City,County,Distribution Area,Buyer Count   2026,Units   2026
9007,American Lgn Pompton Plains,2) Draft and Package,700 Newark Pompton Turnp,Pompton Plains,Morris,Morris 3,1.00,22.00
9009,Cedar Crest Village(607),2) Draft and Package,1 Cedar Crest Drive,Pompton Plains,Morris,Morris 3,1.00,88.00
10001,cherry's,2) Draft and Package,23 NJ-23,Pequannock,Morris,Morris 3,1.00,248.00
10002,American Lgn Pequannock 450,2) Draft and Package,11 Oak Ave,Pequannock,Morris,Morris 3,1.00,130.00
10007,Bardis (P),2) Draft and Package,149 Newark Pompton Tpke,Pequannock,Morris,Morris 3,1.00,8066.65
10010,Sunset Valley G C (A),3) Package Only,47 W Sunset Road,Pompton Plains,Morris,Morris 3,1.00,323.00
11004,Arca,2) Draft and Package,211 Main St,Lincoln Park,Morris,Morris 3,1.00,153.00
11007,Meadows Golf Club(P),2) Draft and Package,79 2 Bridges Rd,Lincoln Park,Morris,Morris 3,1.00,441.00
11011,Sunset Pub & Grill(Z),2) Draft and Package,425 Beaverbrook Rd,Lincoln Park,Morris,Morris 3,1.00,665.00
11012,American Lg 279 Lincoln Park,3) Package Only,133 Main Street,Lincoln Park,Morris,Morris 3,1.00,105.00
12001,T Bowl Tavern (Z),2) Draft and Package,300 Preakness Shop Ctr,Wayne,Passaic,Passaic,1.00,283.00
12003,Whole Foods Market (Wayne),2) Draft and Package,580 Valley Road,Wayne,Passaic,Passaic,1.00,255.00
12006,Novelli (P),3) Package Only,2410 Hamburg Turnpike,Wayne,Passaic,Passaic,1.00,399.00
12008,North Jersey C C,2) Draft and Package,594 Hamburg Turnpike,Wayne,Passaic,Passaic,1.00,155.00
12010,Fogo de Chao (Wayne),2) Draft and Package,1400 Willowbrook Mall,Wayne,Passaic,Sales,1.00,60.00
12012,Cosmopolitan,2) Draft and Package,1377 NJ-23,Wayne,Passaic,Passaic,1.00,515.00
12013,Jalapenos Mexican Grill,3) Package Only,142 Ryerson Ave.,Wayne,Passaic,Passaic,1.00,2205.20
12014,Olive Garden (A) Wayne,2) Draft and Package,83 Route 23 South,Wayne,Passaic,Passaic,1.00,88.00
12015,Izumi Hibachi Steak House,3) Package Only,517 NJ-23,Wayne,Passaic,Passaic,1.00,163.00
12018,KRIOS Prime,2) Draft and Package,344 French Hill Road,Wayne,Passaic,Passaic,1.00,63.00
12019,In The Crease (P),2) Draft and Package,10 Nevins Road,Wayne,Passaic,Passaic,1.00,143.00
12020,Lakeside Drive Tavern,2) Draft and Package,56 Lake Drive West,Wayne,Passaic,Passaic,1.00,170.00
12022,Grasshopper Too (A),2) Draft and Package,26 Erie Ave,Wayne,Passaic,Passaic,1.00,779.00
12023,The Village Inn,2) Draft and Package,422 Runnymede Drive,Wayne,Passaic,Passaic,1.00,312.00
12024,Park Wayne Diner,3) Package Only,721 Hamburg Turnpike,Wayne,Passaic,Passaic,1.00,24.00
12025,Vila Verde (P) Rest.,3) Package Only,120 Terhune Dr,Wayne,Passaic,Passaic,1.00,70.00
12026,WAYNE ALE HOUSE & PIZZA,2) Draft and Package,611 Ratzer Road,Wayne,Passaic,Passaic,1.00,900.00
12031,Double Ai Asian Bistro,2) Draft and Package,107 Terhune Dr,Wayne,Passaic,Sales,1.00,152.00
12032,Casa Don Manuel,3) Package Only,1292 Alps Rd,Wayne,Passaic,Passaic,1.00,505.00
12034,"Dave & Buster's Nj, Inc",2) Draft and Package,310 Willowbrook Mall,Wayne,Passaic,Passaic,1.00,654.00
12035,Preakness Hills (A) cc,2) Draft and Package,1050 Ratzer Road,Wayne,Passaic,Passaic,1.00,183.00
12036,Brokedown Palace,2) Draft and Package,95 Mountainview Blvd,Wayne,Passaic,Passaic,1.00,354.00
12037,Maggies Town Tavern Ii,2) Draft and Package,1082 Hamburg Turnpike,Wayne,Passaic,Passaic,1.00,360.00
12038,Tommy's Tavern + Tap (Wayne),2) Draft and Package,71 NJ-23,Wayne,Passaic,Passaic,1.00,427.00
12040,NYX,2) Draft and Package,24 Galesi Drive,Wayne,Passaic,Passaic,1.00,0.00
12041,Cheesecake Fact (A)Wayne,2) Draft and Package,1700 Willowbrook Mall,Wayne,Passaic,Passaic,1.00,300.00
12042,Exotic Indian Cuisine,3) Package Only,24 Rt 46 East,Wayne,Passaic,Passaic,1.00,10.00
12043,Outback Stkhse(P)Wayne,2) Draft and Package,189 Berdan Avenue,Wayne,Passaic,Passaic,1.00,169.00
12046,Packanack Lake Comm Asso,3) Package Only,52 Lake Drive West,Wayne,Passaic,Passaic,1.00,23.00
12047,American Lgn 174 Wayne,2) Draft and Package,55 Mountain View Blvd,Wayne,Passaic,Passaic,1.00,254.00
12048,Anthonys CF Pizza (Wayne),2) Draft and Package,1600 NJ-23,Wayne,Passaic,Passaic,1.00,138.00
12049,Aramark Educational Services@WPU,2) Draft and Package,300 Pompton Road,Wayne,Passaic,Passaic,1.00,14.00
12051,Packanack Golf (P),2) Draft and Package,7 Osborne Terrace,Wayne,Passaic,Passaic,1.00,238.00
12054,Red Lobster 225 Wayne,2) Draft and Package,520 Us-46,Wayne,Passaic,Passaic,1.00,82.00
12056,PF Changs China Bistro (Wayne),2) Draft and Package,1900 Willowbrook Blvd,Wayne,Passaic,Passaic,1.00,110.00
12057,YARD HOUSE 8384,2) Draft and Package,320 WILLOWBROOK MALL,Wayne,Passaic,Sales,1.00,691.00
12058,Sports Friends Soccer (A),3) Package Only,1 Ryerson Ave,Wayne,Passaic,Passaic,1.00,184.00
12061,Raeya's,2) Draft and Package,37 Berdan Ave,Wayne,Passaic,Passaic,1.00,35.00
12064,In The Drink@Passaic Gc,2) Draft and Package,209 Totowa Rd,Wayne,Passaic,Passaic,1.00,548.00
12065,"Buffalo Wild Wings - Wayne, NJ",2) Draft and Package,1400 Willowbrook Mall,Wayne,Passaic,Passaic,1.00,141.00
