Sales Rep Assigned,Customer Num,Customer Name,On-Off Premise,Product Num,Product Name,Package,Date,Placement Count   1/1/2025 - 12/31/2025,Placement Count   6/1/2026 - 8/31/2026,Placement Count   9/1/2026 - 9/30/2026,Cases   1/1/2025 - 12/31/2025,Cases   6/1/2026 - 8/31/2026,Cases   9/1/2026 - 9/30/2026
Brian Sengebush,230111,Rock Island Lake Club,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,6/26/2025,1.00,,,1.00,,
Andrew Lundy,250087,House of Wine & Liquor Westfield,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/26/2025,1.00,,,2.00,,
Brian Sengebush,190601,Thatcher Mcghee's (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,6/25/2025,1.00,,,1.00,,
Robin Feldman,12023,The Village Inn,On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,6/25/2025,1.00,,,1.00,,
Phil Ernst,12007,Gary's Wine & Marketplace (Wayne),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/25/2025,1.00,,,2.00,,
Jayson Romine,230920,Hamburg Liquor,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/25/2025,1.00,,,1.00,,
Allison Scott,8015,Thatcher Mc Ghees (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,6/25/2025,1.00,,,1.00,,
Jayson Romine,230314,Liquor Factory V Andover,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/23/2025,1.00,,,3.00,,
Jayson Romine,230114,Liquor Factory III Sparta,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/23/2025,1.00,,,3.00,,
John O'Donoghue,192158,Weis Market,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/20/2025,1.00,,,1.00,,
