Sales Rep Assigned,Customer Num,Customer Name,On-Off Premise,Product Num,Product Name,Package,Date,Placement Count   1/1/2025 - 12/31/2025,Placement Count   6/1/2026 - 8/31/2026,Placement Count   9/1/2026 - 9/30/2026,Cases   1/1/2025 - 12/31/2025,Cases   6/1/2026 - 8/31/2026,Cases   9/1/2026 - 9/30/2026
Anthony Palmisano,10003,Buy Rite W &L Pompton(P),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,8/7/2025,1.00,,,3.00,,
John O'Donoghue,190505,Old Mill Tavern,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,8/6/2025,1.00,,,1.00,,
Dave Ehlers,14007,Total Wine & More (Totowa),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,8/6/2025,1.00,,,5.00,,
Nick Melissari,31043,House of Que (East Rutherford),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,8/6/2025,1.00,,,1.00,,
Brian Sengebush,230109,Skyview Golf Course (A),On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,8/6/2025,1.00,,,2.00,,
Brian Sengebush,190601,Thatcher Mcghee's (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,8/5/2025,1.00,,,1.00,,
Brian Sengebush,231715,Gyp's Tavern,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,8/5/2025,1.00,,,1.00,,
Allison Scott,12057,YARD HOUSE 8384,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,8/5/2025,1.00,,,1.00,,
John O'Donoghue,190107,Wine & Whiskey Country Pine Brook,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,8/5/2025,1.00,,,1.00,,
Jayson Romine,230920,Hamburg Liquor,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,8/5/2025,1.00,,,1.00,,
Brian Sengebush,231714,Mountain House Tav & Gril,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,8/5/2025,1.00,,,1.00,,
Michael Harboy,150499,Garden State Tavern,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,8/5/2025,1.00,,,1.00,,
Dave Ehlers,58001,Total Wine & More (River Edge),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,8/5/2025,1.00,,,4.00,,
Michael Harboy,150137,Danahers,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,8/1/2025,1.00,,,0.00,,
Robin Feldman,58003,River Edge Diner & Rest.,On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,8/1/2025,1.00,,,0.00,,
Brian Sengebush,190601,Thatcher Mcghee's (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,8/1/2025,1.00,,,0.00,,
Robin Feldman,12023,The Village Inn,On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,8/1/2025,1.00,,,0.00,,
Jaime Colonna,170132,Cork City Pub,On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,8/1/2025,1.00,,,0.00,,
Allison Scott,12057,YARD HOUSE 8384,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,8/1/2025,1.00,,,0.00,,
Brian Sengebush,231714,Mountain House Tav & Gril,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,8/1/2025,1.00,,,0.00,,
Brian Sengebush,230406,Bearbrook Valley,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,8/1/2025,1.00,,,0.00,,
Anthony Palmisano,230929,Airport Pub & Pkg,On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,8/1/2025,1.00,,,0.00,,
Nick Melissari,19006,Blackjack Mulligans (Hawthorne),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,8/1/2025,1.00,,,0.00,,
John O'Donoghue,192158,Weis Market,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,8/1/2025,1.00,,,1.00,,
Jaime Colonna,170008,Zeppelin Hall (Z),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,8/1/2025,1.00,,,0.00,,
Nick Melissari,31043,House of Que (East Rutherford),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,8/1/2025,1.00,,,0.00,,
Jaime Colonna,171018,Urban Coal House,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,8/1/2025,1.00,,,0.00,,
Allison Scott,8015,Thatcher Mc Ghees (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,8/1/2025,1.00,,,0.00,,
Jaime Colonna,170132,Cork City Pub,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,8/1/2025,1.00,,,0.00,,
Alisa Acciardi,150052,Bottle King Glen Ridge,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,7/31/2025,1.00,,,1.00,,
Jayson Romine,230412,USA Wine Traders Club Of Newton (A),Off Premise,7790,Evil Genius Stacy's Mom Citra IPA 1/12/19.2 oz Can,12/19.2oz Can,7/31/2025,1.00,,,1.00,,
Klejdi Lamo,191803,Kingston Liquors,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,7/31/2025,1.00,,,1.00,,
Jaime Colonna,170021,Jersey City Buy Rite (A),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,7/30/2025,1.00,,,2.00,,
Robin Feldman,12067,Hilton Garden Inn wayne,On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,7/30/2025,1.00,,,2.00,,
Allison Scott,8015,Thatcher Mc Ghees (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,7/30/2025,1.00,,,1.00,,
Brian Sengebush,231714,Mountain House Tav & Gril,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,7/29/2025,1.00,,,1.00,,
Jaime Colonna,170132,Cork City Pub,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,7/29/2025,1.00,,,1.00,,
Phil Ernst,12007,Gary's Wine & Marketplace (Wayne),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,7/28/2025,1.00,,,1.00,,
Brian Sengebush,190205,Sharky's West (P),On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,7/25/2025,1.00,,,2.00,,
Jaime Colonna,170008,Zeppelin Hall (Z),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,7/25/2025,1.00,,,2.00,,
Mike Ast,12011,Bottle King (A) Wayne,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,7/24/2025,1.00,,,1.00,,
Anthony Palmisano,230929,Airport Pub & Pkg,On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,7/24/2025,1.00,,,1.00,,
Dave Ehlers,14007,Total Wine & More (Totowa),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,7/23/2025,1.00,,,4.00,,
Mike Ast,83011,Stone & Rail,On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,7/23/2025,1.00,,,1.00,,
Robin Feldman,12023,The Village Inn,On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,7/23/2025,1.00,,,1.00,,
Brian Sengebush,230109,Skyview Golf Course (A),On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,7/23/2025,1.00,,,2.00,,
Klejdi Lamo,191814,Sandy's Wine & Spirit (P) (Budd Lake),Off Premise,7790,Evil Genius Stacy's Mom Citra IPA 1/12/19.2 oz Can,12/19.2oz Can,7/22/2025,1.00,,,1.00,,
Klejdi Lamo,191814,Sandy's Wine & Spirit (P) (Budd Lake),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,7/22/2025,1.00,,,1.00,,
John O'Donoghue,190300,Gillette Liquor,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,7/22/2025,1.00,,,3.00,,
Brian Sengebush,190205,Sharky's West (P),On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,7/21/2025,1.00,,,2.00,,
Nick Melissari,19006,Blackjack Mulligans (Hawthorne),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,7/18/2025,1.00,,,1.00,,
Anthony Palmisano,231805,Meloi Liquors,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,7/17/2025,1.00,,,3.00,,
Michael Harboy,150137,Danahers,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,7/17/2025,1.00,,,2.00,,
Allison Scott,8015,Thatcher Mc Ghees (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,7/17/2025,1.00,,,1.00,,
Jaime Colonna,170008,Zeppelin Hall (Z),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,7/17/2025,1.00,,,3.00,,
John O'Donoghue,190309,Shop Rite Liq Parsippany,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,7/17/2025,1.00,,,4.00,,
Jayson Romine,230412,USA Wine Traders Club Of Newton (A),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,7/17/2025,1.00,,,3.00,,
Brian Sengebush,190601,Thatcher Mcghee's (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,7/15/2025,1.00,,,1.00,,
Allison Scott,12057,YARD HOUSE 8384,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,7/15/2025,1.00,,,1.00,,
Jayson Romine,230920,Hamburg Liquor,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,7/15/2025,1.00,,,1.00,,
Jayson Romine,230924,Sussex Co.Discount Liq(P),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,7/15/2025,1.00,,,2.00,,
Jaime Colonna,170132,Cork City Pub,On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,7/15/2025,1.00,,,1.00,,
Brian Sengebush,231714,Mountain House Tav & Gril,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,7/15/2025,1.00,,,1.00,,
Brian Sengebush,230406,Bearbrook Valley,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,7/15/2025,1.00,,,1.00,,
John O'Donoghue,190505,Old Mill Tavern,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,7/11/2025,1.00,,,1.00,,
Mike Ast,87001,Uncorked Wine & Spirits (Hohokus),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,7/11/2025,1.00,,,1.00,,
Dave Ehlers,14007,Total Wine & More (Totowa),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,7/11/2025,1.00,,,5.00,,
Allison Scott,8015,Thatcher Mc Ghees (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,7/10/2025,1.00,,,1.00,,
Robin Feldman,58003,River Edge Diner & Rest.,On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,7/10/2025,1.00,,,1.00,,
