Sales Rep Assigned,Customer Num,Customer Name,Product Num,Product Name,Product Type,Package,Brand Family,Date,Buyer Count   7/1/2026 - 8/31/2026,Placement Count   7/1/2026 - 8/31/2026,Cases   7/1/2026 - 8/31/2026,Units   7/1/2026 - 8/31/2026
Phil Ernst,43001,City Supermarket,200381,YaVe Tequila Mango 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/14/2026,1.00,1.00,1,7.00
Phil Ernst,29004,Shop-Rite Liq Lyndhurst,200384,YaVe Tequila Blanco 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/28/2026,1.00,1.00,1,5.00
Phil Ernst,29004,Shop-Rite Liq Lyndhurst,200384,YaVe Tequila Blanco 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/14/2026,1.00,1.00,0,1.00
Phil Ernst,43001,City Supermarket,200382,YaVe Tequila Jalapeno 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/14/2026,1.00,1.00,0,1.00
Phil Ernst,43001,City Supermarket,200383,YaVe Tequila Reposado 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/14/2026,1.00,1.00,0,1.00
Phil Ernst,43001,City Supermarket,200384,YaVe Tequila Blanco 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/14/2026,1.00,1.00,0,2.00
Phil Ernst,29004,Shop-Rite Liq Lyndhurst,200381,YaVe Tequila Mango 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/28/2026,1.00,1.00,1,5.00
Phil Ernst,29004,Shop-Rite Liq Lyndhurst,200383,YaVe Tequila Reposado 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/28/2026,1.00,1.00,1,5.00
Phil Ernst,29004,Shop-Rite Liq Lyndhurst,200383,YaVe Tequila Reposado 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/14/2026,1.00,1.00,0,1.00
Phil Ernst,43001,City Supermarket,200385,YaVe Tequila Coconut 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/14/2026,1.00,1.00,0,1.00
Phil Ernst,29004,Shop-Rite Liq Lyndhurst,200385,YaVe Tequila Coconut 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/14/2026,1.00,1.00,0,1.00
Phil Ernst,29004,Shop-Rite Liq Lyndhurst,200382,YaVe Tequila Jalapeno 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/28/2026,1.00,1.00,0,-1.00
Phil Ernst,29004,Shop-Rite Liq Lyndhurst,200381,YaVe Tequila Mango 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/14/2026,1.00,1.00,0,1.00
Phil Ernst,29004,Shop-Rite Liq Lyndhurst,200385,YaVe Tequila Coconut 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/28/2026,1.00,1.00,1,6.00
Robin Feldman,34016,Vfw Hasbrouck (A),200384,YaVe Tequila Blanco 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,8/6/2026,1.00,1.00,0,1.00
Shane Barreca,75004,Cork & Keg (A),200382,YaVe Tequila Jalapeno 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/20/2026,1.00,1.00,0,1.00
Shane Barreca,75004,Cork & Keg (A),200384,YaVe Tequila Blanco 1/6/750 mL Btl,Liquor,1/6/750 mL (BO),YaVe Tequila,7/20/2026,1.00,1.00,0,1.00
