Sales Rep Assigned,Customer Num,Customer Name,Product Num,Product Name,Product Type,Package,Brand Family,Date,Buyer Count   8/1/2026 - 8/31/2026,Placement Count   8/1/2026 - 8/31/2026,Case Equivalents   8/1/2026 - 8/31/2026,Units   8/1/2026 - 8/31/2026
Alisa Acciardi,171001,Bridgeview Liquors,5830,Point Whole Hog Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Whole Hog,8/12/2026,1.00,1.00,3.00,3.00
Alisa Acciardi,170205,Buy-Rite Liquors,10522,Weihenstephan Festbier 4/6/11.2 oz Btl,Case Beer,4/6/11.2oz NR,Weihenstephaner,8/13/2026,1.00,1.00,1.87,2.00
Alisa Acciardi,170101,High Spirits Of Bayonne,11640,Victory FestBier 4/6/12 oz Can,Case Beer,4/6/12oz Can,Victory,8/7/2026,1.00,1.00,2.00,2.00
Alisa Acciardi,171318,Kearny Plaza Discount Liq,5830,Point Whole Hog Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Whole Hog,8/12/2026,1.00,1.00,3.00,3.00
Alisa Acciardi,150052,Bottle King Glen Ridge,674,Montauk Pumpkin Ale 4/6/12 oz Can,Case Beer,4/6/12oz Can,Montauk,8/12/2026,1.00,1.00,7.00,7.00
Alisa Acciardi,150023,Brookdale W & S (A),10417,Paulaner Oktoberfest Marzen 4/6/11.2 oz Btl,Case Beer,4/6/11.2oz NR,Paulaner,8/20/2026,1.00,1.00,3.74,4.00
Alisa Acciardi,170205,Buy-Rite Liquors,4376,Southern Tier Pumking Imperial Pumpkin Ale 6/4/12 oz Btl,Case Beer,6/4/12oz NR,Southern Tier,8/13/2026,1.00,1.00,3.00,3.00
Alisa Acciardi,150052,Bottle King Glen Ridge,10407,Paulaner Oktoberfest Bier 2/12/11.2 oz Btl,Case Beer,2/12/11.2oz NR,Paulaner,8/12/2026,1.00,1.00,6.54,7.00
Alisa Acciardi,150023,Brookdale W & S (A),674,Montauk Pumpkin Ale 4/6/12 oz Can,Case Beer,4/6/12oz Can,Montauk,8/20/2026,1.00,1.00,2.00,2.00
Alisa Acciardi,150023,Brookdale W & S (A),4376,Southern Tier Pumking Imperial Pumpkin Ale 6/4/12 oz Btl,Case Beer,6/4/12oz NR,Southern Tier,8/20/2026,1.00,1.00,5.00,5.00
Alisa Acciardi,170101,High Spirits Of Bayonne,5830,Point Whole Hog Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Whole Hog,8/7/2026,1.00,1.00,3.00,3.00
Alisa Acciardi,170205,Buy-Rite Liquors,8235,Doc's Pumpkin Cider (Fall) 6/4/16 oz Can,Case Cider,6/4/16oz Can,Doc's,8/19/2026,1.00,1.00,2.67,2.00
Alisa Acciardi,150109,Kelly's Liquors,10417,Paulaner Oktoberfest Marzen 4/6/11.2 oz Btl,Case Beer,4/6/11.2oz NR,Paulaner,8/14/2026,1.00,1.00,3.74,4.00
Alisa Acciardi,171318,Kearny Plaza Discount Liq,4376,Southern Tier Pumking Imperial Pumpkin Ale 6/4/12 oz Btl,Case Beer,6/4/12oz NR,Southern Tier,8/12/2026,1.00,1.00,3.00,3.00
