cust,name,rep,premise,city,brand,package,prog_cases,post_cases,rebuys
11011,Sunset Pub & Grill(Z),Allison Scott,On Premise,Lincoln Park,Peroni,15.5 Gal Keg,6,7,7
12001,T Bowl Tavern (Z),Allison Scott,On Premise,Wayne,Coors Light,24/12oz NR,28,5,2
12001,T Bowl Tavern (Z),Allison Scott,On Premise,Wayne,Lite,15.5 Gal Keg,12,2,1
12008,North Jersey C C,Allison Scott,On Premise,Wayne,Coors Light,30/12oz Can,9,17,5
12008,North Jersey C C,Allison Scott,On Premise,Wayne,Peroni,1/4 BBL Keg (7.75 Gal),13,14,6
12008,North Jersey C C,Allison Scott,On Premise,Wayne,Peroni,6/4/16oz Can,2,6,3
12008,North Jersey C C,Allison Scott,On Premise,Wayne,Peroni,4/6/11.2oz NR,1,0,0
12013,Jalapenos Mexican Grill,Allison Scott,On Premise,Wayne,Coors Light,24/12oz NR,10,5,1
12014,Olive Garden (A) Wayne,Allison Scott,On Premise,Wayne,Coors Light,24/12oz NR,4,2,2
12014,Olive Garden (A) Wayne,Allison Scott,On Premise,Wayne,Lite,24/12oz NR,1,1,1
12014,Olive Garden (A) Wayne,Allison Scott,On Premise,Wayne,Peroni,4/6/11.2oz NR,6,2,2
12015,Izumi Hibachi Steak House,Allison Scott,On Premise,Wayne,Coors Light,24/12oz NR,28,13,2
12018,KRIOS Prime,Allison Scott,On Premise,Wayne,Coors Light,24/12oz NR,5,3,2
12018,KRIOS Prime,Allison Scott,On Premise,Wayne,Lite,24/12oz NR,2,4,2
12018,KRIOS Prime,Allison Scott,On Premise,Wayne,Peroni,4/6/11.2oz NR,8,2,1
12020,Lakeside drive tavern,Allison Scott,On Premise,Wayne,Coors Light,15.5 Gal Keg,3,0,0
12020,Lakeside drive tavern,Allison Scott,On Premise,Wayne,Coors Light,24/12oz NR,20,5,1
12020,Lakeside drive tavern,Allison Scott,On Premise,Wayne,Lite,15.5 Gal Keg,3,1,1
12020,Lakeside drive tavern,Allison Scott,On Premise,Wayne,Lite,24/12oz NR,20,5,1
12020,Lakeside drive tavern,Allison Scott,On Premise,Wayne,Peroni,4/6/11.2oz NR,4,3,2
12022,Grasshopper Too (A),Allison Scott,On Premise,Wayne,Coors Light,15.5 Gal Keg,17,10,5
12022,Grasshopper Too (A),Allison Scott,On Premise,Wayne,Coors Light,24/12oz NR,35,20,4
12022,Grasshopper Too (A),Allison Scott,On Premise,Wayne,Lite,15.5 Gal Keg,25,12,6
12022,Grasshopper Too (A),Allison Scott,On Premise,Wayne,Lite,24/12oz NR,75,25,3
12022,Grasshopper Too (A),Allison Scott,On Premise,Wayne,Peroni,1/4 BBL Keg (7.75 Gal),2,0,0
12026,WAYNE ALE HOUSE & PIZZA,Allison Scott,On Premise,Wayne,Coors,24/12oz NR,7,7,7
12026,WAYNE ALE HOUSE & PIZZA,Allison Scott,On Premise,Wayne,Coors,4/6/12oz NR,5,0,0
12026,WAYNE ALE HOUSE & PIZZA,Allison Scott,On Premise,Wayne,Coors,2/12/12oz NR,11,0,0
12026,WAYNE ALE HOUSE & PIZZA,Allison Scott,On Premise,Wayne,Coors Light,15.5 Gal Keg,16,10,6
12026,WAYNE ALE HOUSE & PIZZA,Allison Scott,On Premise,Wayne,Coors Light,24/12oz NR,101,53,14
12026,WAYNE ALE HOUSE & PIZZA,Allison Scott,On Premise,Wayne,Lite,15.5 Gal Keg,10,8,8
12026,WAYNE ALE HOUSE & PIZZA,Allison Scott,On Premise,Wayne,Lite,24/12oz NR,88,30,10
12026,WAYNE ALE HOUSE & PIZZA,Allison Scott,On Premise,Wayne,Peroni,4/6/11.2oz NR,11,4,2
12026,WAYNE ALE HOUSE & PIZZA,Allison Scott,On Premise,Wayne,Peroni,4/6/11.2oz NR,6,1,1
12031,Double Ai Asian Bistro,Allison Scott,On Premise,Wayne,Lite,24/12oz NR,5,5,3
12032,Casa Don Manuel,Allison Scott,On Premise,Wayne,Coors Light,24/12oz NR,2,2,2
12032,Casa Don Manuel,Allison Scott,On Premise,Wayne,Lite,24/12oz NR,3,3,3
12034,"Dave & Buster's Nj, Inc",Allison Scott,On Premise,Wayne,Coors Light,15.5 Gal Keg,5,5,5
12034,"Dave & Buster's Nj, Inc",Allison Scott,On Premise,Wayne,Lite,15.5 Gal Keg,14,5,5
12034,"Dave & Buster's Nj, Inc",Allison Scott,On Premise,Wayne,Lite,24/12oz NR,18,4,3
12035,Preakness Hills (A) cc,Allison Scott,On Premise,Wayne,Coors Light,24/12oz NR,1,2,1
12035,Preakness Hills (A) cc,Allison Scott,On Premise,Wayne,Coors Light,2/12/12oz Can,6,7,3
