product_num,name,supplier,family,brand,package
5323,Great Lakes Strawberry Pineapple Wheat 4/6/12 oz Can,Great Lakes,Great Lakes,Great Lakes Strawberry Pineapple Wheat,4/6/12oz Can
5324,Great Lakes Oktoberfest 4/6/12 oz Can,Great Lakes,Great Lakes,Great Lakes Oktoberfest,4/6/12oz Can
5325,Great Lakes Christmas Ale 4/6/12 oz Can,Great Lakes,Great Lakes,Great Lakes Christmas Ale,4/6/12oz Can
5326,Great Lakes Conway's Irish Ale 4/6/12 oz Can,Great Lakes,Great Lakes,Great Lakes Conway's Irish Ale,4/6/12oz Can
5327,Great Lakes Mix 2/12/12 oz Can,Great Lakes,Great Lakes,Great Lakes Mix Pack,2/12/12oz Can
5328,Great Lakes Mexican Lager with Lime 2/12/12 oz Can,Great Lakes,Great Lakes,Great Lakes Mexican Lager w/Lime,2/12/12oz Can
5329,Great Lakes Rally Drum Shandy 4/6/12 oz Can,Great Lakes,Great Lakes,Great Lakes Rally Drum Shandy,4/6/12oz Can
5330,Great Lakes Rally Drum Shandy 2/12/12 oz Can,Great Lakes,Great Lakes,Great Lakes Rally Drum Shandy,2/12/12oz Can
5331,Great Lakes Rally Drum Shandy Keg 15.5 Gal Keg,Great Lakes,Great Lakes,Great Lakes Rally Drum Shandy,15.5 Gal Keg
5333,Great Lakes Rally Drum Shandy 5.2 Gal Keg,Great Lakes,Great Lakes,Great Lakes Rally Drum Shandy,5.2 Gal Keg
5334,Great Lakes Fruit Madness 2/12/12 oz Can,Great Lakes,Great Lakes,Great Lakes Fruit Madness,2/12/12oz Can
5336,Great Lakes Conway's Irish Stout 4/6/12 oz Can,Great Lakes,Great Lakes,Great Lakes Conway's Irish Stout,4/6/12oz Can
5337,Great Lakes Conway's Irish Party Pack 2/12/12 oz Can,Great Lakes,Great Lakes,Great Lakes Conway's Irish Party Pack,2/12/12oz Can
5338,Great Lakes Conway's Irish Stout 5.2 Gal Keg,Great Lakes,Great Lakes,Great Lakes Conway's Irish Stout,5.2 Gal Keg
5339,Great Lakes Sunshine Party Pack 2/12/12 oz Can,Great Lakes,Great Lakes,Great Lakes Mix Pack,2/12/12oz Can
5341,Great Lakes Rocket Pop 4/6/12 oz Can,Great Lakes,Great Lakes,Great Lakes Rocket Pop,4/6/12oz Can
5342,Great Lakes Independence IPA 4/6/12 oz Can,Great Lakes,Great Lakes,Great Lakes Independence IPA,4/6/12oz Can
5343,Great Lakes Variety Pack 2/12/12 oz Can,Great Lakes,Great Lakes,Great Lakes Variety Pack,2/12/12oz Can
5344,Great Lakes Biergarten Party Pack 2/12/12 oz Can,Great Lakes,Great Lakes,Great Lakes Biergarten Party Pack,2/12/12oz Can
5360,Narragansett Lager Keg 15.5 Gal Keg,Narragansett,Narragansett,Narrangansett Lager,15.5 Gal Keg
5368,Narragansett White Christmas Winter Warmer Ale 4/6/12 oz Can,Narragansett,Narragansett,Narragansett White Christmas Winter Warmer Ale,4/6/12oz Can
5369,Narragansett Lager 1/30/12 oz,Narragansett,Narragansett,Narrangansett Lager,1/30/12.00 oz
5370,Narragansett Lager 4/6/16 oz Can,Narragansett,Narragansett,Narrangansett Lager,4/6/16oz Can
5371,Narragansett Lager 2/12/12 oz Can,Narragansett,Narragansett,Narrangansett Lager,2/12/12oz Can
5377,Narragansett Del's Shandy 4/6/16 oz Can,Narragansett,Del's Shandy,Narragansett Del's Shandy,4/6/16oz Can
5379,Narragansett Del's Shandy 2/12/12 oz Can,Narragansett,Del's Shandy,Narragansett Del's Shandy,2/12/12oz Can
5389,Narragansett Fresh Catch 4/6/16 oz Can,Narragansett,Narragansett,Narragansett Fresh Catch,4/6/16oz Can
5390,Narragansett Summer Variety 2/12/12 oz Can,Narragansett,Narragansett,Narragansett Del's Shandy Variety,2/12/12oz Can
5401,Defiant Muddy Creek Lager 13.2 Gal Keg,Defiant Brewing Co.,Defiant,Defiant Muddy Creek Amber Lager,50 Liter Keg (13.2 Gal)
5402,Defiant Muddy Creek Lager 5.2 Gal Keg,Defiant Brewing Co.,Defiant,Defiant Muddy Creek Amber Lager,1/6 BBL Keg (5.2 Gal)
5403,Defiant Fake News IPA 13.2 Gal Keg,Defiant Brewing Co.,Defiant,Defiant Fake News New England IPA,50 Liter Keg (13.2 Gal)
5408,Defiant Medusa IPA 13.2 Gal Keg,Defiant Brewing Co.,Defiant,Defiant Medusa IPA,50 Liter Keg (13.2 Gal)
5409,Defiant Medusa IPA 5.2 Gal Keg,Defiant Brewing Co.,Defiant,Defiant Medusa IPA,1/6 BBL Keg (5.2 Gal)
5441,Defiant Fake News IPA 5.2 Gal Keg,Defiant Brewing Co.,Defiant,Defiant Fake News New England IPA,1/6 BBL Keg (5.2 Gal)
5500,Big Man Brew Hazy Grove Keg 15.5 Gal Keg,Flying Fish,Big Mans Brew,Big Man's Brew Hazy Grove IPA,15.5 Gal Keg
5501,Big Man Brew Hazy Grove IPA 5.2 Gal Keg,Flying Fish,Big Mans Brew,Big Man's Brew Hazy Grove IPA,1/6 BBL Keg (5.2 Gal)
5503,Flying Fish Abbey Dubbel Keg 15.5 Gal Keg,Flying Fish,Flying Fish,Flying Fish Abbey Dubbel,15.5 Gal Keg
5520,Flying Fish Jersey Juice IPA 6/4/16 oz Can,Flying Fish,Flying Fish,Flying Fish Jersey Juice,6/4/16oz Can
5522,Flying Fish Hopfish American IPA Keg 15.5 Gal Keg,Flying Fish,Flying Fish,Flying Fish Hopfish,15.5 Gal Keg
5524,Flying Fish Jersey Juice IPA 5.2 Gal Keg,Flying Fish,Flying Fish,Flying Fish Jersey Juice,1/6 BBL Keg (5.2 Gal)
5525,Flying Fish Keg Redfish Red Ale 5.2,Flying Fish,Flying Fish,Flying Fish Redfish,1/6 BBL Keg (5.2 Gal)
5537,Flying Fish Hazy Bones Hazy IPA 5.2 Gal Keg,Flying Fish,Flying Fish,Flying Fish Hazy Bones,5.2 Gal Keg
5541,Flying Fish Abbey Dubbel 5.2 Gal Keg,Flying Fish,Flying Fish,Flying Fish Abbey Dubbel,1/6 BBL Keg (5.2 Gal)
5561,Flying Fish Hopfish American IPA 4/6/12 oz Can,Flying Fish,Flying Fish,Flying Fish Hopfish,4/6/12oz Can
5567,Flying Fish Salt & Sea Session Sour Ale 4/6/12 oz Can,Flying Fish,Flying Fish,Flying Fish Salt & Sea,4/6/12oz Can
5570,Flying Fish Hazy Bones Hazy IPA Keg 15.5 Gal Keg,Flying Fish,Flying Fish,Flying Fish Hazy Bones,15.5 Gal Keg
5574,Flying Fish Hazy Bones Hazy IPA 4/6/12 oz Can,Flying Fish,Flying Fish,Flying Fish Hazy Bones,4/6/12oz Can
5600,Flying Fish Headless Horseman Pumpkin Ale 6/4/16 oz Can,Flying Fish,Flying Fish,Flying Fish Headless Horseman,6/4/16oz Can
5601,Flying Fish Dirt Cake Imperial Stout 6/4/16 oz Can,Flying Fish,Flying Fish,Flying Fish Dirt Cake,6/4/16oz Can
5607,Flying Fish Oktoberfish 4/6/12 oz Can,Flying Fish,Flying Fish,Flying Fish Oktoberfish,4/6/12oz Can
5653,Barn Brew Farmers Lager 4/6/12 oz Can,Barn Brew Co,Barn Brew,Barn Brew Farmers Lager,4/6/12oz Can
5654,Barn Brew Farmers Lager 5.2 Gal Keg,Barn Brew Co,Barn Brew,Barn Brew Farmers Lager,5.2 Gal Keg
5656,Barn Brew Haze For Horses IPA 6/4/16 oz Can,Barn Brew Co,Barn Brew,Barn Brew Haze For Horses IPA,6/4/16oz Can
5657,Barn Brew Haze For Horses IPA 5.2 Gal Keg,Barn Brew Co,Barn Brew,Barn Brew Haze For Horses IPA,5.2 Gal Keg
5659,Barn Brew Pa's Pilsner 6/4/16 oz Can,Barn Brew Co,Barn Brew,Barn Brew Pa's Pilsner,6/4/16oz Can
5740,Duclaw Sweet Baby Jesus 5.2 Gal Keg,Duclaw Brewing,Duclaw,Duclaw Sweet Baby Jesus,1/6 BBL Keg (5.2 Gal)
5750,Duclaw Sour Me Oh Yeah! 6/4/16 oz Can,Duclaw Brewing,Duclaw,Duclaw Sour Me Oh Yeah,6/4/16oz Can
5756,Duclaw Lil Sour Me America 4/6/12 oz Can,Duclaw Brewing,Duclaw,Duclaw Lil Sour Me America,4/6/12oz Can
5758,Duclaw Sour Me Unicorn Farts 6/4/16 oz Can,Duclaw Brewing,Duclaw,Duclaw Sour Me Unicorn Farts,6/4/16oz Can
5762,Duclaw Sweet Baby Jesus 4/6/12 oz Can,Duclaw Brewing,Duclaw,Duclaw Sweet Baby Jesus,4/6/12oz Can
5805,Point Whole Hog Pumpkin Ale 7.75 Gal Keg,Point Brewing,Whole Hog,POINT,1/4 BBL Keg (7.75 Gal)
5830,Point Whole Hog Pumpkin Ale 4/6/12 oz Btl,Point Brewing,Whole Hog,POINT,4/6/12oz NR
5870,Duclaw Sweet Baby Banana 4/6/12 oz Can,Duclaw Brewing,Duclaw,Duclaw Sweet Baby Banana,4/6/12oz Can
5947,Shipyard Pumpkin Head Keg 15.5 Gal Keg,Total Beverage Solutions,Shipyard,Shipyard Pumkinhead,15.5 Gal Keg
5948,Shipyard Pumpkin Head 5.2 Gal Keg,Total Beverage Solutions,Shipyard,Shipyard Pumkinhead,1/6 BBL Keg (5.2 Gal)
5949,Shipyard Pumpkin Head 4/6/12 oz Btl,Total Beverage Solutions,Shipyard,Shipyard Pumkinhead,4/6/12oz NR
5960,Shipyard Smashed Pumpkin 6/4/16 oz Can,Total Beverage Solutions,Shipyard,Shipyard Smashed Pumpkin,6/4/16oz Can
5976,Shipyard Pumpkinhead 4/6/12 oz Can,Total Beverage Solutions,Shipyard,Shipyard Pumkinhead,4/6/12oz Can
5978,Shed Mountain Pumpkin Ale Keg 15.5 Gal Keg,Harpoon Brewery,Shed,SHED,15.5 Gal Keg
5997,Shipyard Summer Ale 4/6/12 oz Btl,Total Beverage Solutions,Shipyard,Shipyard Summer Ale,4/6/12oz NR
5998,Shipyard Summer Ale 2/12/12 oz Can,Total Beverage Solutions,Shipyard,Shipyard Summer Ale,2/12/12oz Can
5999,Shipyard Smashed Watermelon 6/4/16 oz Can,Total Beverage Solutions,Shipyard,Shipyard Smashed Watermelon,6/4/16oz Can
6033,Noca Too Turnt Tea Ice Tea 2/12/12 oz Can,Noca Beverages,Noca,Noca Too Turnt Tea Ice Tea,2/12/12oz Can
6034,Noca Too Turnt Tea Ice Tea 1/12/24 oz Can,Noca Beverages,Noca,Noca Too Turnt Tea Ice Tea,1/12/24oz Can
6035,Noca Too Turnt Tea Bayou Berrry Blast 2/12/12 oz Can,Noca Beverages,Noca,Noca Too Turnt Tea Bayou Berrry Blast,2/12/12oz Can
6036,Noca Too Turnt Tea Bayou Berrry Blast 1/12/24 oz Can,Noca Beverages,Noca,Noca Too Turnt Tea Bayou Berrry Blast,1/12/24oz Can
6037,Noca Too Turnt Lemonade Pink Lemonade 2/12/12 oz Can,Noca Beverages,Noca,Noca Too Turnt Lemonade Pink Lemonade,2/12/12oz Can
6038,Noca Livin Lemonade Pink Lemonade 1/12/24 oz Can,Noca Beverages,Noca,Noca Livin Lemonade Pink Lemonade,1/12/24oz Can
6039,Noca Weekend Water 2/12/12 oz Can,Noca Beverages,Noca,Noca Weekend Water,2/12/12oz Can
6040,Noca Too Turnt Daddy 1/12/24 oz Can,Noca Beverages,Noca,Noca Too Turnt Daddy,1/12/24oz Can
6222,Coney Island Mermaid Pilsner Keg 15.5 Gal Keg,Boston Beer Company,Coney Island,Coney Island Mermaid Pilsner,15.5 Gal Keg
6430,Newburgh Teraboss IPA 5.2 Gal Keg,Newburgh Brewing,Newburgh,Newburgh Teraboss IPA,5.2 Gal Keg
