customer_num,name,premise,address,county,area,rep,dm
12048,Anthonys CF Pizza (Wayne),On,1600 NJ-23,Passaic,Passaic,Allison Scott,Chris McCrohan
12049,Aramark Educational Services@WPU,On,300 Pompton Road,Passaic,Passaic,Allison Scott,Chris McCrohan
12051,Packanack Golf (P),On,7 Osborne Terrace,Passaic,Passaic,Allison Scott,Chris McCrohan
12053,Bahama Breeze (Wayne),On,101 NJ-23 South,Passaic,Passaic,Allison Scott,Chris McCrohan
12054,Red Lobster 225 Wayne,On,520 Us-46,Passaic,Passaic,Allison Scott,Chris McCrohan
12056,PF Changs China Bistro (Wayne),On,1900 Willowbrook Blvd,Passaic,Passaic,Allison Scott,Chris McCrohan
12057,YARD HOUSE 8384,On,320 WILLOWBROOK MALL,Passaic,Sales,Allison Scott,Chris McCrohan
12058,Sports Friends Soccer (A),On,1 Ryerson Ave,Passaic,Passaic,Robin Feldman,Chris McCrohan
12060,Costco Whlse V#32366-Wayn,Off,149 Rt. 23,Passaic,Passaic,John Neukum,Mike Engel
12061,Raeya's,On,37 Berdan Ave,Passaic,Passaic,Allison Scott,Chris McCrohan
12064,In The Drink@Passaic Gc,On,209 Totowa Rd,Passaic,Passaic,Allison Scott,Chris McCrohan
12065,"Buffalo Wild Wings - Wayne, NJ",On,1400 Willowbrook Mall,Passaic,Passaic,Allison Scott,Chris McCrohan
12066,Residence Inn,On,30 Nevins Rd,Passaic,Passaic,Robin Feldman,Chris McCrohan
12067,Hilton Garden Inn wayne,On,15 Nevins Rd,Passaic,Passaic,Robin Feldman,Chris McCrohan
12068,Courtyard by Marriott Wayne Fairfield,On,263 US-46,Passaic,Passaic,Robin Feldman,Chris McCrohan
12069,AH PIZZ,On,334 RT 46 East,Passaic,Sales,Allison Scott,Chris McCrohan
12089,FRANKFORD FD / NJ STATE FAIR,Off,34 PLAINS ROAD,Sussex,Passaic,Default,None
13001,Shop Rite Liq (A)Littlefl,Off,171 Browertown Rd,Passaic,Passaic,Derrick Laws,Denise Montes
