Sales Rep Assigned,Customer Num,Customer Name,Buyer Count   2026
Allison Scott,3002,The Celtic Knot,1.00
Allison Scott,24026,Rock Bar,1.00
Allison Scott,19021,The Front Porch (Z),1.00
Allison Scott,12037,Maggies Town Tavern Ii,1.00
Allison Scott,24022,Applebee's Clifton,1.00
Allison Scott,12043,Outback Stkhse(P)Wayne,1.00
Allison Scott,12061,Raeya's,1.00
Allison Scott,8015,Thatcher Mc Ghees (A),1.00
Allison Scott,12051,Packanack Golf (P),1.00
Allison Scott,8006,pompton crafthouse,1.00
Allison Scott,14003,Murph's Bar & Liquor,1.00
Allison Scott,58005,Feathers (A),1.00
Allison Scott,12065,"Buffalo Wild Wings - Wayne, NJ",1.00
Allison Scott,25004,Matthews Italian Rest,1.00
Allison Scott,15067,Naxos Estiatorio,1.00
Allison Scott,24019,Sharky's Wings(P),1.00
Allison Scott,14006,46 Lounge (P),1.00
Allison Scott,15006,Great Notch Inn(Z),1.00
Allison Scott,19016,Jiggle's,1.00
Allison Scott,14008,The Barnyard and Carriage House,1.00
Allison Scott,24025,The Clif (P),1.00
Allison Scott,9002,Tavern 5_2,1.00
Allison Scott,12018,KRIOS Prime,1.00
Allison Scott,23001,Bogey's Sport Bar,1.00
Allison Scott,22004,Neighbors,1.00
Allison Scott,11007,Meadows Golf Club(P),1.00
Allison Scott,12049,Aramark Educational Services@WPU,1.00
Allison Scott,13013,Amer Lgn L Falls (Z),1.00
Allison Scott,24031,Tommy's Tavern & Tap (Clifton),1.00
Allison Scott,24061,Breaker Billiards,1.00
Allison Scott,5003,Applebee's (A)Butler,1.00
Allison Scott,25052,Uno Chicago Grl (A)Clifto,1.00
Allison Scott,5002,100 Proof Bar & Bites,1.00
Allison Scott,7005,Chili's (Riverdale),1.00
Allison Scott,19004,Shortways' Barn (A),1.00
Allison Scott,12015,Izumi Hibachi Steak House,1.00
Allison Scott,25011,Kashan Indian Kitchen & Ber,1.00
Allison Scott,12026,WAYNE ALE HOUSE & PIZZA,1.00
Allison Scott,25056,Emerald Corner (Z),1.00
Allison Scott,25036,Dingbatz (P),1.00
Allison Scott,22016,Johnny A's (P) Hitchn Pos,1.00
Allison Scott,19002,Puzo's Pizza,1.00
Allison Scott,10007,Bardis (P),1.00
Allison Scott,5008,Celtic Crossings,1.00
Allison Scott,12001,T Bowl Tavern (Z),1.00
Allison Scott,11011,Sunset Pub & Grill(Z),1.00
Allison Scott,17003,D'CARBON BAR AND GRILL haledon,1.00
Allison Scott,25078,The Shannon Rose (A),1.00
Anthony Palmisano,1010,Jimmy Geez(North)Bar/Gril,1.00
Anthony Palmisano,231207,Great Gorge Golf (A) Club,1.00
Anthony Palmisano,231304,The Lamp Post Inn,1.00
Anthony Palmisano,191209,Valley Tavern,1.00
Anthony Palmisano,231305,Early American Tavern,1.00
Anthony Palmisano,230906,BBQ Chicken Franklin,1.00
Anthony Palmisano,230930,Brick & Brew,1.00
Anthony Palmisano,231213,The Kites (P),1.00
Anthony Palmisano,1004,The Vreeland Store,1.00
Anthony Palmisano,1014,Chido Mexican Kitchen,1.00
Anthony Palmisano,2004,Sam's Bar and Grill,1.00
Anthony Palmisano,230119,Smokey's Brick Oven Tav.,1.00
Anthony Palmisano,191208,The Grill Room,1.00
Anthony Palmisano,1023,The New Jessies Kettle(P),1.00
Anthony Palmisano,230917,Doc's Place (P),1.00
Anthony Palmisano,231211,Tony's Pizza (P),1.00
Anthony Palmisano,4004,The River Of Beer,1.00
Anthony Palmisano,230925,Springs Bistro Biosphere,1.00
Anthony Palmisano,231214,Mt Creek Kink (So)A,1.00
Anthony Palmisano,4003,Cinco De Mayo (Z),1.00
Anthony Palmisano,190902,Betsy Ross Diner,1.00
Anthony Palmisano,231803,High Point Gc/Rest (P),1.00
Anthony Palmisano,231002,Stew N Dolly's Place,1.00
Anthony Palmisano,1214,Whiskey Wolf Tavern (P),1.00
Anthony Palmisano,231302,Thirsty Farmer,1.00
Anthony Palmisano,4007,Karls Stumble Inn,1.00
Anthony Palmisano,3011,Flip's Bar (P),1.00
Anthony Palmisano,191207,Daily Planet (A),1.00
Anthony Palmisano,1033,D'Boathaus Restaurant,1.00
Anthony Palmisano,231206,Vfw 8441 Vernon,1.00
