Supplier,Product Num & Name,Min Purchase Qty,Case Unit Price,Deal Start Date,Deal End Date,Cases,FOB,Tax,Participation,Laid-in Cost,Gross,Margin %
MolsonCoors Beverage Company,111 Coors Banquet 1/24/12 oz Loose Btl,25,$22.10,8/7/2026,8/28/2026,40,$16.25,$0.27,$1.25,$15.27,$273.16,30.90%
Prestige,200353 Chateau Julia Assyrtiko 12/750 mL,5,$200.00,8/18/2026,8/18/2026,6,$152.50,$2.08,$0.00,$154.58,$272.52,22.71%
MolsonCoors Beverage Company,20325 Monaco Moscow Mule 6/4/12 oz Can,5,$44.00,8/6/2026,8/26/2026,16,$27.00,$0.00,$0.00,$27.00,$272.00,38.64%
MolsonCoors Beverage Company,591 Olde English 1/12/24 oz Can,10,$15.70,8/3/2026,8/31/2026,71,$12.13,$0.27,$0.53,$11.88,$271.58,24.36%
Southern Tier Brewing Company,11639 Southern Tier Harvest Autumn IPA 4/6/12 oz Can,15,$32.50,8/5/2026,8/28/2026,26,$21.79,$0.27,$0.00,$22.06,$271.44,32.12%
Boston Beer Company,200678 Sun Cruiser Lemonade & Ice Tea 1/24/12 oz Can,20,$37.50,8/7/2026,8/14/2026,13,$21.37,$0.00,$4.75,$16.62,$271.44,55.68%
New Belgium Brewing Company,6647 New Belgium Voodoo Juicy Haze 15.5 Gal Keg,5,$196.00,8/3/2026,8/3/2026,4,$126.31,$1.86,$0.00,$128.17,$271.32,34.61%
Total Beverage Solutions,10602 Carib Lager 4/6/12 oz Btl,10,$40.00,8/3/2026,8/31/2026,22,$27.40,$0.27,$0.00,$27.67,$271.26,30.83%
MolsonCoors Beverage Company,1643 Molson XXX 1/12/24 oz Can,2,$22.10,8/3/2026,8/28/2026,43,$17.60,$0.27,$2.08,$15.79,$271.16,28.53%
Food & Bev Enterprise LLC,11188 Club Columbia Roja 4/6/11.15 oz,10,$43.50,8/4/2026,8/26/2026,23,$31.50,$0.25,$0.00,$31.75,$270.23,27.01%
Boston Beer Company,8101 Angry Orchard Crisp Apple 15.5 Gal Keg,0,$182.00,8/3/2026,8/28/2026,4,$112.28,$2.33,$0.00,$114.61,$269.58,37.03%
MolsonCoors Beverage Company,526 Miller Lite 4/6/16 oz Can,10,$27.80,8/3/2026,8/28/2026,39,$21.51,$0.36,$0.98,$20.90,$269.26,24.83%
Stone Brewing,13219 Stone Delicious Mixed 2/12/12 oz Can,7,$29.40,8/6/2026,8/28/2026,31,$21.95,$0.27,$1.50,$20.72,$269.08,29.52%
Montauk Brewing Co,698 Montauk Surf Beer Golden Ale 4/6/12 oz Can,10,$36.40,8/3/2026,8/28/2026,25,$26.62,$0.27,$1.25,$25.64,$269.00,29.56%
Cape May,13114 Cape May IPA 15.5 Gal Keg,5,$190.00,8/3/2026,8/3/2026,4,$121.00,$1.86,$0.00,$122.86,$268.56,35.34%
Cape May,13114 Cape May IPA 15.5 Gal Keg,2,$190.00,8/5/2026,8/6/2026,4,$121.00,$1.86,$0.00,$122.86,$268.56,35.34%
Famosa,3720 Famosa 4/6/12 oz Btl,0,$0.00,8/14/2026,8/14/2026,-12,$22.10,$0.27,$0.00,$22.37,$268.44,0.00%
MolsonCoors Beverage Company,218 Coors Light 4/6/12 oz Can,25,$27.80,8/3/2026,8/31/2026,31,$19.50,$0.27,$0.63,$19.14,$268.34,31.14%
Paulaner,3410 Tsingtao Premium Lager 4/6/12 oz Btl,0,$40.00,8/3/2026,8/28/2026,24,$28.55,$0.27,$0.00,$28.82,$268.32,27.95%
Constellation Brands,2427 Corona Sunbrew 2/12/12 oz Btl,54,$31.00,8/4/2026,8/28/2026,31,$23.86,$0.27,$1.75,$22.38,$267.22,27.81%
Constellation Brands,2652 Victoria 2/12/12 oz Can,5,$30.00,8/10/2026,8/28/2026,39,$22.88,$0.27,$0.00,$23.15,$267.15,22.83%
Radeberger USA,7170 Dab 13.2 Gal Keg,0,$160.00,8/3/2026,8/28/2026,5,$105.00,$1.59,$0.00,$106.59,$267.07,33.38%
Sixpoint Brewing,10904 Sixpoint The Crisp Pilsner 4/6/12 oz Can,20,$32.85,8/4/2026,8/27/2026,28,$23.36,$0.27,$0.30,$23.33,$266.56,28.98%
Harpoon Brewery,7635 Long Trail Survival 2/12/12 oz Btl,5,$31.50,8/4/2026,8/27/2026,29,$22.04,$0.27,$0.00,$22.31,$266.51,29.17%
MolsonCoors Beverage Company,20309 Monaco Pornstar Crush 2/12/12 oz Loose Can,5,$46.80,8/7/2026,8/17/2026,12,$27.00,$0.00,$2.38,$24.62,$266.20,47.40%
Mark Anthony,200286 Ole Tequila Cocktail Chili Mango 6/4/12 oz Can,5,$47.00,8/3/2026,8/31/2026,11,$29.85,$0.00,$7.00,$22.85,$265.65,51.38%
Mark Anthony,200288 Ole Tequila Cocktail Paloma 6/4/12 oz Can,5,$47.00,8/3/2026,8/27/2026,11,$29.85,$0.00,$7.00,$22.85,$265.65,51.38%
New Belgium Brewing Company,6608 New Belgium Voodoo Ranger IPA 5.2 Gal Keg,10,$71.00,8/3/2026,8/3/2026,14,$51.41,$0.62,$0.00,$52.03,$265.52,26.71%
