Supplier,Product Num & Name,Min Purchase Qty,Case Unit Price,Deal Start Date,Deal End Date,Cases,FOB,Tax,Participation,Laid-in Cost,Gross,Margin %
Constellation Brands,2815 Modelo Especial 2/12/12 oz Btl,25,$31.25,8/3/2026,8/31/2026,12047,$23.86,$0.27,$1.75,$22.38,"$106,856.89",28.38%
Constellation Brands,2405 Coronita Extra 1/24/7 oz Btl,84,$21.10,8/3/2026,8/31/2026,17966,$15.53,$0.16,$0.50,$15.19,"$106,223.98",28.02%
Constellation Brands,2811 Modelo Especial 2/12/12 oz Can,81,$29.50,8/3/2026,8/31/2026,11468,$22.88,$0.27,$1.75,$21.40,"$92,890.80",27.46%
Constellation Brands,2409 Corona Extra 1/24/12 oz Loose Btl,320,$30.75,8/3/2026,8/31/2026,10666,$23.86,$0.27,$1.88,$22.26,"$90,607.67",27.63%
Constellation Brands,2409 Corona Extra 1/24/12 oz Loose Btl,162,$31.00,8/3/2026,8/31/2026,9604,$23.86,$0.27,$1.75,$22.38,"$82,786.48",27.81%
Constellation Brands,2808 Modelo Especial 1/24/12 oz Loose Btl,25,$31.00,8/3/2026,8/31/2026,9589,$23.86,$0.27,$1.75,$22.38,"$82,657.18",27.81%
Constellation Brands,2809 Modelo Especial 1/24/12 oz Loose Can,320,$28.50,8/3/2026,8/31/2026,10829,$22.53,$0.27,$1.88,$20.92,"$82,083.82",26.60%
Constellation Brands,2809 Modelo Especial 1/24/12 oz Loose Can,81,$29.00,8/3/2026,8/31/2026,8766,$22.53,$0.27,$1.88,$20.93,"$70,785.45",27.84%
MolsonCoors Beverage Company,234 Coors Light 1/12/24 oz Can,50,$17.50,8/3/2026,8/31/2026,10959,$14.04,$0.27,$1.75,$12.56,"$54,137.46",28.23%
Constellation Brands,2814 Modelo Especial 4/6/12 oz Btl,25,$31.50,8/3/2026,8/31/2026,5613,$23.86,$0.27,$1.58,$22.56,"$50,208.29",28.40%
Constellation Brands,2409 Corona Extra 1/24/12 oz Loose Btl,108,$31.25,8/3/2026,8/31/2026,5648,$23.86,$0.27,$1.68,$22.46,"$49,674.16",28.14%
Constellation Brands,2412 Corona Extra 2/12/12 oz Btl,54,$31.75,8/3/2026,8/31/2026,5317,$23.86,$0.27,$1.63,$22.51,"$49,155.67",29.12%
Constellation Brands,2412 Corona Extra 2/12/12 oz Btl,108,$31.50,8/3/2026,8/31/2026,5158,$23.86,$0.27,$1.63,$22.51,"$46,396.21",28.56%
MolsonCoors Beverage Company,221 Coors Light 1/30/12 oz Can,150,$26.00,8/6/2026,8/28/2026,6349,$19.29,$0.34,$0.50,$19.12,"$43,686.40",26.46%
MolsonCoors Beverage Company,521 Miller Lite 1/30/12 oz Can,150,$26.00,8/10/2026,8/31/2026,6511,$20.00,$0.34,$1.00,$19.34,"$43,379.54",25.63%
Constellation Brands,2808 Modelo Especial 1/24/12 oz Loose Btl,320,$30.65,8/3/2026,8/31/2026,5196,$23.86,$0.27,$1.75,$22.38,"$42,970.92",26.98%
Constellation Brands,2412 Corona Extra 2/12/12 oz Btl,162,$31.25,8/3/2026,8/31/2026,6035,$23.86,$0.27,$0.00,$24.13,"$42,969.20",22.78%
Constellation Brands,2405 Coronita Extra 1/24/7 oz Btl,320,$20.75,8/3/2026,8/31/2026,7780,$15.53,$0.16,$0.38,$15.31,"$42,342.65",26.23%
Constellation Brands,2410 Corona Extra 4/6/12 oz Btl,54,$32.00,8/3/2026,8/31/2026,3856,$23.86,$0.27,$1.50,$22.63,"$36,130.72",29.28%
Constellation Brands,2409 Corona Extra 1/24/12 oz Loose Btl,54,$31.50,8/3/2026,8/31/2026,3846,$23.86,$0.27,$1.68,$22.46,"$34,787.07",28.71%
Constellation Brands,2807 Modelito Especial 1/24/7 oz Loose Btl,84,$21.10,8/3/2026,8/31/2026,5399,$15.53,$0.16,$0.50,$15.19,"$31,921.59",28.02%
Heineken USA,1808 Heineken 1/24/12 oz Loose Btl,100,$31.00,8/3/2026,8/31/2026,4042,$23.48,$0.27,$0.60,$23.15,"$31,729.70",25.32%
MolsonCoors Beverage Company,221 Coors Light 1/30/12 oz Can,50,$27.00,8/3/2026,8/31/2026,3640,$19.29,$0.34,$0.40,$19.22,"$28,306.46",28.80%
Constellation Brands,2407 Corona Extra 2/12/12 oz Can,25,$31.00,8/3/2026,8/31/2026,3155,$23.86,$0.27,$1.75,$22.38,"$27,196.10",27.81%
Heineken USA,1812 Heineken 2/12/12 oz Btl,100,$31.25,8/3/2026,8/31/2026,3396,$23.48,$0.27,$0.38,$23.37,"$26,760.48",25.22%
Constellation Brands,2410 Corona Extra 4/6/12 oz Btl,162,$31.50,8/3/2026,8/31/2026,3455,$23.86,$0.27,$0.00,$24.13,"$25,463.35",23.40%
Constellation Brands,2811 Modelo Especial 2/12/12 oz Can,25,$30.50,8/3/2026,8/31/2026,3453,$22.88,$0.27,$0.00,$23.15,"$25,379.55",24.10%
Constellation Brands,2410 Corona Extra 4/6/12 oz Btl,108,$31.75,8/3/2026,8/31/2026,2508,$23.86,$0.27,$1.50,$22.63,"$22,872.96",28.72%
MolsonCoors Beverage Company,521 Miller Lite 1/30/12 oz Can,50,$27.00,8/3/2026,8/31/2026,3168,$20.00,$0.34,$0.50,$19.84,"$22,690.80",26.53%
Constellation Brands,2811 Modelo Especial 2/12/12 oz Can,50,$30.00,8/3/2026,8/31/2026,3139,$22.88,$0.27,$0.00,$23.15,"$21,502.15",22.83%
Constellation Brands,2816 Modelo Especial 1/12/24 oz Can,10,$31.30,8/3/2026,8/31/2026,2490,$22.41,$0.27,$0.00,$22.68,"$21,466.29",27.54%
Heineken USA,1808 Heineken 1/24/12 oz Loose Btl,320,$30.75,8/3/2026,8/28/2026,2554,$23.48,$0.27,$0.85,$22.90,"$20,048.90",25.53%
Constellation Brands,2410 Corona Extra 4/6/12 oz Btl,10,$34.00,8/3/2026,8/31/2026,1973,$23.86,$0.27,$0.25,$23.88,"$19,966.76",29.76%
Constellation Brands,2814 Modelo Especial 4/6/12 oz Btl,10,$31.50,8/3/2026,8/31/2026,2186,$23.86,$0.27,$1.58,$22.56,"$19,553.77",28.40%
Constellation Brands,2425 Corona Extra 1/24/12 oz Loose Can,25,$28.75,8/3/2026,8/31/2026,2322,$22.28,$0.27,$1.88,$20.67,"$18,761.76",28.10%
Constellation Brands,2816 Modelo Especial 1/12/24 oz Can,25,$31.30,8/3/2026,8/31/2026,2070,$22.41,$0.27,$0.00,$22.68,"$17,845.47",27.54%
MolsonCoors Beverage Company,214 Coors Light 1/24/12 oz Loose Btl,25,$22.10,8/3/2026,8/31/2026,2577,$16.25,$0.27,$1.25,$15.27,"$17,605.08",30.91%
Heineken USA,1806 Heineken 4/6/12 oz Btl,30,$31.35,8/3/2026,8/31/2026,2192,$23.53,$0.27,$0.43,$23.37,"$17,492.16",25.45%
Constellation Brands,2407 Corona Extra 2/12/12 oz Can,10,$31.25,8/3/2026,8/31/2026,2434,$23.86,$0.27,$0.00,$24.13,"$17,330.08",22.78%
Heineken USA,1816 Heineken 2/12/12 oz Can,15,$31.25,8/3/2026,8/31/2026,1905,$23.52,$0.27,$1.32,$22.47,"$16,728.72",28.10%
Constellation Brands,2405 Coronita Extra 1/24/7 oz Btl,50,$21.25,8/4/2026,8/31/2026,2866,$15.53,$0.16,$0.00,$15.69,"$15,942.13",26.18%
Constellation Brands,2403 Coronita Extra 2/12/7 oz Btl,84,$21.35,8/3/2026,8/31/2026,2618,$15.71,$0.16,$0.50,$15.37,"$15,662.19",28.02%
Pabst Brewing Company,7313 Pabst 1/30/12 oz Can,26,$19.50,8/3/2026,8/31/2026,3216,$16.17,$0.34,$1.75,$14.82,"$15,055.74",24.01%
MolsonCoors Beverage Company,501 Miller Lite 15.5 Gal Keg,2,$92.00,8/3/2026,8/31/2026,421,$67.45,$1.86,$12.50,$56.81,"$14,815.41",38.25%
Constellation Brands,2404 Coronita Extra 4/6/7 oz Btl,84,$21.85,8/3/2026,8/31/2026,2392,$15.88,$0.16,$0.38,$15.66,"$14,812.46",28.34%
Constellation Brands,2409 Corona Extra 1/24/12 oz Loose Btl,25,$33.00,8/3/2026,8/31/2026,1582,$23.86,$0.27,$0.25,$23.88,"$14,427.84",27.64%
MolsonCoors Beverage Company,234 Coors Light 1/12/24 oz Can,35,$17.90,8/3/2026,8/31/2026,2772,$14.04,$0.27,$1.53,$12.79,"$14,178.78",28.58%
Constellation Brands,2651 Victoria 2/12/12 oz Btl,25,$31.00,8/3/2026,8/31/2026,1588,$23.86,$0.27,$1.75,$22.38,"$13,688.56",27.81%
Constellation Brands,2405 Coronita Extra 1/24/7 oz Btl,25,$21.40,8/3/2026,8/31/2026,2373,$15.53,$0.16,$0.00,$15.69,"$13,555.76",26.69%
Constellation Brands,2415 Corona Extra 1/12/24 oz Can,10,$31.30,8/3/2026,8/31/2026,1541,$22.41,$0.27,$0.00,$22.68,"$13,284.96",27.54%
Constellation Brands,2415 Corona Extra 1/12/24 oz Can,25,$31.20,8/3/2026,8/31/2026,1546,$22.41,$0.27,$0.00,$22.68,"$13,173.47",27.31%
Constellation Brands,2425 Corona Extra 1/24/12 oz Loose Can,320,$28.50,8/4/2026,8/31/2026,1678,$22.28,$0.27,$1.88,$20.68,"$13,130.35",27.46%
Boston Beer Company,3919 Sam Adams Octoberfest 4/6/12 oz Btl,10,$34.80,8/7/2026,8/31/2026,1370,$25.16,$0.27,$0.00,$25.43,"$12,836.90",26.93%
Heineken USA,1806 Heineken 4/6/12 oz Btl,100,$31.35,8/3/2026,8/31/2026,1600,$23.53,$0.27,$0.43,$23.37,"$12,768.00",25.45%
MolsonCoors Beverage Company,1201 Blue Moon Belgian White Ale 15.5 Gal Keg,10,$172.00,8/3/2026,8/3/2026,175,$99.96,$1.86,$0.00,$101.82,"$12,281.15",40.80%
Constellation Brands,2410 Corona Extra 4/6/12 oz Btl,25,$33.50,8/3/2026,8/31/2026,1212,$23.86,$0.27,$0.75,$23.38,"$12,265.44",30.21%
Boston Beer Company,3813 Sam Adams Octoberfest 15.5 Gal Keg,0,$185.00,8/3/2026,8/31/2026,170,$112.75,$1.86,$0.00,$114.61,"$11,966.30",38.05%
Constellation Brands,2809 Modelo Especial 1/24/12 oz Loose Can,50,$29.50,8/3/2026,8/31/2026,1385,$22.53,$0.27,$1.75,$21.05,"$11,703.25",28.64%
MolsonCoors Beverage Company,234 Coors Light 1/12/24 oz Can,320,$17.40,8/4/2026,8/27/2026,2402,$14.04,$0.27,$1.78,$12.54,"$11,685.73",27.96%
MolsonCoors Beverage Company,206 Coors Light 4/6/7 oz Btl,5,$13.70,8/3/2026,8/31/2026,3055,$10.72,$0.16,$1.00,$9.88,"$11,668.57",27.88%
Sapporo,10334 Sapporo Premium 1/12/22 oz Can,10,$29.75,8/3/2026,8/31/2026,1385,$22.35,$0.25,$1.25,$21.35,"$11,637.46",28.24%
MolsonCoors Beverage Company,7142 Peroni 2/12/11.2 oz Btl,20,$30.00,8/3/2026,8/31/2026,1505,$24.51,$0.25,$2.48,$22.29,"$11,601.77",25.70%
Constellation Brands,2821 Modelo Chelada Limon y Sal 1/12/24 oz Can,10,$31.30,8/3/2026,8/31/2026,1310,$22.41,$0.27,$0.00,$22.68,"$11,293.51",27.54%
DG Yuengling Inc,4701 Yuengling Lager 15.5 Gal Keg,2,$93.00,8/3/2026,8/31/2026,294,$52.50,$1.86,$0.00,$56.75,"$10,657.45",38.98%
Heineken USA,1820 Heineken 1/12/24 oz Can,20,$28.80,8/3/2026,8/31/2026,1330,$22.47,$0.27,$1.88,$20.86,"$10,560.20",27.57%
Boston Beer Company,200665 Sun Cruiser Iced Tea Variety 2/12/12 oz Can,52,$39.00,8/3/2026,8/31/2026,477,$19.87,$0.00,$2.50,$17.37,"$10,317.51",55.46%
MolsonCoors Beverage Company,1210 Blue Moon Belgian White Ale 2/12/12 oz Btl,10,$32.50,8/3/2026,8/31/2026,1130,$24.67,$0.27,$1.50,$23.44,"$10,240.06",27.88%
MolsonCoors Beverage Company,123 Coors Banquet 1/12/24 oz Can,50,$17.50,8/3/2026,8/31/2026,2049,$14.04,$0.27,$1.73,$12.59,"$10,070.84",28.09%
Boston Beer Company,3921 Sam Adams Octoberfest 2/12/12 oz Can,10,$32.80,8/3/2026,8/31/2026,1093,$23.36,$0.27,$0.00,$23.63,"$10,022.81",27.96%
Constellation Brands,2410 Corona Extra 4/6/12 oz Btl,0,$35.00,8/3/2026,8/31/2026,915,$23.86,$0.27,$0.00,$24.13,"$9,947.13",31.06%
Constellation Brands,2807 Modelito Especial 1/24/7 oz Loose Btl,320,$20.75,8/3/2026,8/31/2026,1797,$15.53,$0.16,$0.38,$15.31,"$9,780.17",26.23%
MolsonCoors Beverage Company,249 Coors Light 1/36/12 oz Can,15,$29.40,8/3/2026,8/31/2026,1181,$20.72,$0.41,$0.00,$21.12,"$9,778.68",28.16%
Constellation Brands,2409 Corona Extra 1/24/12 oz Loose Btl,10,$34.00,8/3/2026,8/28/2026,986,$23.86,$0.27,$0.00,$24.13,"$9,734.52",29.04%
Heineken USA,1806 Heineken 4/6/12 oz Btl,0,$36.00,8/3/2026,8/31/2026,795,$23.53,$0.27,$0.00,$23.80,"$9,699.27",33.89%
Boston Beer Company,200665 Sun Cruiser Iced Tea Variety 2/12/12 oz Can,10,$39.00,8/3/2026,8/31/2026,448,$19.87,$0.00,$2.50,$17.37,"$9,690.24",55.46%
Constellation Brands,2416 Corona Familiar 1/12/32 oz Btl,25,$37.00,8/3/2026,8/31/2026,901,$25.93,$0.36,$0.00,$26.29,"$9,647.01",28.94%
Constellation Brands,2811 Modelo Especial 2/12/12 oz Can,5,$31.50,8/3/2026,8/31/2026,1057,$22.88,$0.27,$0.75,$22.40,"$9,618.70",28.89%
Boston Beer Company,3918 Sam Adams Octoberfest 2/12/12 oz Btl,10,$32.80,8/7/2026,8/31/2026,1048,$23.36,$0.27,$0.00,$23.63,"$9,610.16",27.96%
MolsonCoors Beverage Company,511 Miller Lite 1/24/12 oz Loose Btl,20,$22.10,8/3/2026,8/31/2026,1803,$16.99,$0.27,$0.45,$16.81,"$9,541.47",23.95%
MolsonCoors Beverage Company,214 Coors Light 1/24/12 oz Loose Btl,10,$23.50,8/3/2026,8/31/2026,1264,$16.25,$0.27,$0.55,$15.96,"$9,527.19",32.07%
MolsonCoors Beverage Company,123 Coors Banquet 1/12/24 oz Can,320,$17.40,8/12/2026,8/27/2026,2156,$14.04,$0.27,$1.28,$13.04,"$9,410.94",25.09%
MolsonCoors Beverage Company,1202 Blue Moon Belgian White Ale 4/6/12 oz Btl,10,$34.00,8/3/2026,8/31/2026,986,$25.76,$0.27,$1.50,$24.53,"$9,342.35",27.87%
Heineken USA,1870 Heineken 0.0 4/6/11.2 oz Btl,3,$31.35,8/3/2026,8/31/2026,1060,$23.03,$0.00,$0.43,$22.60,"$9,275.00",27.91%
Constellation Brands,2404 Coronita Extra 4/6/7 oz Btl,25,$22.15,8/3/2026,8/31/2026,1508,$15.88,$0.16,$0.00,$16.04,"$9,217.65",27.60%
MolsonCoors Beverage Company,201 Coors Light 15.5 Gal Keg,2,$92.00,8/3/2026,8/31/2026,236,$65.27,$1.86,$12.50,$54.61,"$8,823.04",40.64%
Constellation Brands,2817 Modelo Especial 1/12/32 oz Btl,25,$37.00,8/3/2026,8/31/2026,804,$25.93,$0.36,$0.00,$26.29,"$8,608.43",28.94%
Constellation Brands,2821 Modelo Chelada Limon y Sal 1/12/24 oz Can,25,$31.20,8/3/2026,8/31/2026,1010,$22.41,$0.27,$0.00,$22.68,"$8,606.21",27.31%
Constellation Brands,2611 Pacifico 2/12/12 oz Btl,25,$31.25,8/3/2026,8/31/2026,964,$23.86,$0.27,$1.75,$22.38,"$8,550.68",28.38%
DG Yuengling Inc,4712 Yuengling Lager 2/12/12 oz Can,10,$24.60,8/3/2026,8/31/2026,1139,$16.45,$0.27,$0.00,$17.10,"$8,542.18",30.49%
Hofbrauhaus USA,3320 Hofbrau Oktoberfest 4/6/11.2 oz Btl,5,$40.00,8/3/2026,8/31/2026,694,$27.50,$0.25,$0.00,$27.75,"$8,499.98",30.62%
MolsonCoors Beverage Company,1201 Blue Moon Belgian White Ale 15.5 Gal Keg,2,$172.00,8/3/2026,8/31/2026,120,$99.96,$1.86,$0.00,$101.82,"$8,421.36",40.80%
Point Brewing,5830 Point Whole Hog Pumpkin Ale 4/6/12 oz Btl,3,$34.50,8/3/2026,8/31/2026,982,$25.75,$0.27,$0.00,$26.02,"$8,327.36",24.58%
Heineken USA,1812 Heineken 2/12/12 oz Btl,60,$32.00,8/3/2026,8/31/2026,992,$23.48,$0.27,$0.00,$23.75,"$8,184.00",25.78%
DG Yuengling Inc,4711 Yuengling Lager 1/24/12 oz Loose Btl,25,$21.10,8/3/2026,8/31/2026,1506,$15.41,$0.27,$0.50,$15.76,"$8,039.88",25.30%
Constellation Brands,2425 Corona Extra 1/24/12 oz Loose Can,10,$29.00,8/3/2026,8/31/2026,955,$22.28,$0.27,$1.88,$20.67,"$7,955.15",28.72%
MolsonCoors Beverage Company,619 Keystone Light Apple 2/15/12 oz Can,10,$23.00,8/7/2026,8/27/2026,1136,$15.77,$0.34,$0.00,$16.11,"$7,831.02",29.97%
Hofbrauhaus USA,3330 Hofbrau Oktoberfest 2/5 L Keg Can,5,$48.00,8/11/2026,8/28/2026,469,$31.00,$0.32,$0.00,$31.32,"$7,823.51",34.75%
MolsonCoors Beverage Company,220 Coors Light 2/12/12 oz Can,15,$24.60,8/3/2026,8/31/2026,1111,$17.34,$0.27,$0.00,$17.61,"$7,765.89",28.41%
Constellation Brands,2828 Modelo Chelada Limon y Sal 2/12/12 oz Can,25,$30.00,8/3/2026,8/31/2026,1313,$23.86,$0.27,$0.00,$24.13,"$7,707.31",19.57%
MolsonCoors Beverage Company,7115 Fosters Lager 1/12/25.4 oz Can,6,$23.50,8/3/2026,8/31/2026,1197,$18.66,$0.29,$1.78,$17.17,"$7,572.30",26.92%
MolsonCoors Beverage Company,220 Coors Light 2/12/12 oz Can,10,$24.60,8/3/2026,8/31/2026,1077,$17.34,$0.27,$0.00,$17.61,"$7,528.23",28.41%
Boston Beer Company,3854 Sam Adams Fall Legends Variety 2/12/12 oz Can,10,$32.80,8/3/2026,8/31/2026,803,$23.23,$0.27,$0.00,$23.51,"$7,460.33",28.32%
Mark Anthony,8585 White Claw Hard Seltzer Black Cherry 1/12/19.2 oz Can,5,$29.00,8/3/2026,8/31/2026,931,$22.68,$0.22,$1.89,$21.01,"$7,442.41",27.57%
Mark Anthony,8583 White Claw Hard Seltzer Variety #1 2/12/12 oz Can,25,$31.40,8/3/2026,8/31/2026,868,$24.32,$0.27,$1.64,$22.95,"$7,334.60",26.91%
Total Beverage Solutions,5949 Shipyard Pumpkin Head 4/6/12 oz Btl,10,$37.50,8/18/2026,8/28/2026,659,$26.50,$0.27,$0.00,$26.56,"$7,211.39",29.18%
MolsonCoors Beverage Company,1265 Blue Moon Belgian White Ale 2/12/12 oz Can,10,$30.50,8/3/2026,8/31/2026,886,$24.67,$0.27,$2.50,$22.44,"$7,142.93",26.43%
Constellation Brands,2812 Modelo Negra 4/6/12 oz Btl,25,$31.50,8/3/2026,8/31/2026,794,$23.86,$0.27,$1.58,$22.56,"$7,102.33",28.40%
MolsonCoors Beverage Company,249 Coors Light 1/36/12 oz Can,320,$28.00,8/3/2026,8/28/2026,870,$20.72,$0.41,$1.20,$19.92,"$7,029.60",28.86%
MolsonCoors Beverage Company,213 Coors Light 2/12/12 oz Btl,10,$24.60,8/3/2026,8/31/2026,1060,$17.76,$0.27,$0.00,$18.03,"$6,968.44",26.72%
Constellation Brands,2802 Modelo Especial 15.5 Gal Keg,2,$156.00,8/3/2026,8/31/2026,131,$101.06,$1.86,$0.00,$102.92,"$6,953.74",34.03%
MolsonCoors Beverage Company,511 Miller Lite 1/24/12 oz Loose Btl,10,$23.50,8/3/2026,8/31/2026,1105,$16.99,$0.27,$0.00,$17.25,"$6,903.89",26.59%
Heineken USA,1828 Heineken 1/24/7 oz Loose Btl,20,$20.50,8/3/2026,8/31/2026,1234,$16.42,$0.16,$1.65,$14.93,"$6,876.47",27.18%
Boston Beer Company,3953 Sam Adams Jack-O Pumpkin Ale 4/6/12 oz Btl,10,$34.80,8/7/2026,8/31/2026,719,$25.16,$0.27,$0.00,$25.43,"$6,737.03",26.93%
Boston Beer Company,200641 Sun Cruiser Vodka Pink Lemonade 3/8/12 oz Can,52,$41.00,8/3/2026,8/31/2026,311,$21.37,$0.00,$2.00,$19.37,"$6,726.93",52.76%
Boston Beer Company,200634 Sun Cruiser Classic Iced Tea 1/24/12 oz Loose Can,52,$37.50,8/10/2026,8/28/2026,320,$21.37,$0.00,$4.75,$16.62,"$6,681.60",55.68%
Constellation Brands,2830 Modelo Especial 6/4/16 oz Can,10,$29.00,8/3/2026,8/31/2026,899,$23.32,$0.36,$2.00,$21.68,"$6,580.68",25.24%
Boston Beer Company,200631 Sun Cruiser Iced Tea Variety 3/8/12 oz Can,52,$41.00,8/3/2026,8/31/2026,304,$21.37,$0.00,$2.00,$19.37,"$6,575.52",52.76%
MolsonCoors Beverage Company,212 Coors Light 4/6/12 oz Btl,10,$27.80,8/3/2026,8/31/2026,723,$19.15,$0.27,$0.63,$18.79,"$6,512.78",32.40%
Constellation Brands,2410 Corona Extra 4/6/12 oz Btl,5,$35.00,8/3/2026,8/31/2026,599,$23.86,$0.27,$0.00,$24.13,"$6,511.13",31.06%
Boston Beer Company,200636 Sun Cruiser Classic Iced Tea 3/8/12oz Can,52,$41.00,8/3/2026,8/31/2026,301,$21.37,$0.00,$2.00,$19.37,"$6,510.63",52.76%
Boston Beer Company,200664 Sun Cruiser Lemonade Variety 3/8/12 oz Can,52,$41.00,8/3/2026,8/31/2026,301,$21.37,$0.00,$2.00,$19.37,"$6,510.63",52.76%
Constellation Brands,2610 Pacifico 4/6/12 oz Btl,25,$31.50,8/3/2026,8/31/2026,727,$23.86,$0.27,$1.58,$22.56,"$6,503.02",28.40%
Constellation Brands,2423 Corona Extra 6/4/16 oz Can,10,$29.00,8/3/2026,8/31/2026,884,$23.32,$0.36,$2.00,$21.68,"$6,470.88",25.24%
Constellation Brands,2817 Modelo Especial 1/12/32 oz Btl,10,$37.00,8/3/2026,8/31/2026,603,$25.93,$0.36,$0.00,$26.29,"$6,456.32",28.94%
Constellation Brands,2818 Modelo Chelada 1/12/24 oz Can,10,$31.30,8/3/2026,8/31/2026,745,$22.41,$0.27,$0.00,$22.68,"$6,422.65",27.54%
Heineken USA,1806 Heineken 4/6/12 oz Btl,10,$34.00,8/3/2026,8/31/2026,626,$23.53,$0.27,$0.00,$23.80,"$6,385.20",30.00%
Constellation Brands,2416 Corona Familiar 1/12/32 oz Btl,10,$37.00,8/3/2026,8/31/2026,595,$25.93,$0.36,$0.00,$26.29,"$6,370.67",28.94%
Mark Anthony,8596 White Claw Hard Seltzer Variety 1/24/12 oz Loose Can,208,$25.40,8/14/2026,8/28/2026,962,$22.41,$0.27,$3.84,$18.84,"$6,310.72",25.83%
Mark Anthony,8588 White Claw Hard Seltzer Black Cherry 2/12/12 oz Can,208,$29.40,8/17/2026,8/28/2026,843,$24.32,$0.27,$2.60,$21.99,"$6,246.63",25.20%
MolsonCoors Beverage Company,220 Coors Light 2/12/12 oz Can,50,$24.60,8/3/2026,8/31/2026,889,$17.34,$0.27,$0.00,$17.61,"$6,214.11",28.41%
Heineken USA,1822 Heineken 1/24/12 oz Loose Can,30,$31.00,8/3/2026,8/31/2026,795,$23.52,$0.27,$0.60,$23.19,"$6,208.95",25.19%
DG Yuengling Inc,4701 Yuengling Lager 15.5 Gal Keg,10,$93.00,8/3/2026,8/3/2026,175,$52.50,$1.86,$0.00,$57.57,"$6,200.14",38.10%
Constellation Brands,2650 Victoria 4/6/12 oz Btl,25,$31.35,8/3/2026,8/31/2026,702,$23.86,$0.27,$1.58,$22.55,"$6,177.60",28.07%
MolsonCoors Beverage Company,411 High Life 2/12/12 oz Btl,10,$19.65,8/3/2026,8/31/2026,1249,$15.05,$0.27,$0.60,$14.72,"$6,157.57",25.09%
Heineken USA,1817 Heineken 6/4/16 oz Can,20,$29.00,8/3/2026,8/31/2026,827,$25.42,$0.36,$4.20,$21.58,"$6,136.34",25.59%
Constellation Brands,2414 Corona Extra 1/12/24 oz Btl,10,$31.30,8/3/2026,8/31/2026,711,$22.41,$0.27,$0.00,$22.68,"$6,129.53",27.54%
Constellation Brands,2414 Corona Extra 1/12/24 oz Btl,25,$31.20,8/3/2026,8/31/2026,717,$22.41,$0.27,$0.00,$22.68,"$6,109.56",27.31%
MolsonCoors Beverage Company,520 Miller Lite 2/12/12 oz Can,15,$24.60,8/3/2026,8/31/2026,914,$17.65,$0.27,$0.00,$17.92,"$6,106.43",27.16%
Boston Beer Company,3923 Sam Adams Octoberfest 1/28/12oz Btl,320,$29.50,8/3/2026,8/28/2026,750,$22.65,$0.32,$1.50,$21.47,"$6,026.25",27.24%
Constellation Brands,2818 Modelo Chelada 1/12/24 oz Can,25,$31.20,8/3/2026,8/31/2026,707,$22.41,$0.27,$0.00,$22.68,"$6,024.35",27.31%
Boston Beer Company,8143 Angry Orchard Thriller Variety 2/12/12 oz Can,10,$31.50,8/3/2026,8/28/2026,823,$23.85,$0.34,$0.00,$24.19,"$6,018.19",23.21%
MolsonCoors Beverage Company,520 Miller Lite 2/12/12 oz Can,10,$24.60,8/3/2026,8/31/2026,893,$17.65,$0.27,$0.00,$17.92,"$5,966.13",27.16%
Heineken USA,1818 Heineken 1/12/22 oz Btl,20,$28.80,8/3/2026,8/31/2026,750,$22.51,$0.25,$1.88,$20.88,"$5,941.88",27.51%
Constellation Brands,2826 Modelo Chelada Mango y Chile 1/12/24 oz Can,25,$31.20,8/3/2026,8/31/2026,680,$22.41,$0.27,$0.00,$22.68,"$5,794.28",27.31%
Sapporo,10332 Sapporo Premium 2/12/12 oz Can,10,$24.50,8/3/2026,8/31/2026,834,$17.31,$0.27,$0.00,$17.58,"$5,771.28",28.24%
Constellation Brands,2809 Modelo Especial 1/24/12 oz Loose Can,25,$30.50,8/3/2026,8/31/2026,749,$22.53,$0.27,$0.00,$22.80,"$5,767.30",25.25%
Constellation Brands,2826 Modelo Chelada Mango y Chile 1/12/24 oz Can,10,$31.30,8/3/2026,8/31/2026,665,$22.41,$0.27,$0.00,$22.68,"$5,732.96",27.54%
Boston Beer Company,200668 Sun Cruiser Lemonade Variety Pack 2/12/12 oz Can,52,$39.00,8/3/2026,8/31/2026,263,$19.87,$0.00,$2.50,$17.37,"$5,688.69",55.46%
Constellation Brands,2409 Corona Extra 1/24/12 oz Loose Btl,300,$30.75,8/6/2026,8/21/2026,665,$23.86,$0.27,$1.88,$22.26,"$5,649.18",27.63%
Boston Beer Company,200671 Sun Cruiser Sampler Variety Pack 2/12/12 oz Can,52,$39.00,8/3/2026,8/31/2026,260,$19.87,$0.00,$2.50,$17.37,"$5,623.80",55.46%
DG Yuengling Inc,4748 Yuengling Oktoberfest 4/6/12 oz Btl,10,$28.00,8/3/2026,8/31/2026,668,$18.85,$0.27,$0.00,$19.67,"$5,567.19",29.76%
MolsonCoors Beverage Company,535 Miller Lite 1/36/12 oz Can,320,$28.00,8/3/2026,8/27/2026,735,$21.10,$0.41,$1.05,$20.45,"$5,547.78",26.96%
Paulaner,10404 Hacker-Pschorr Oktoberfest 4/6/11.2 oz Btl,10,$35.00,8/3/2026,8/28/2026,425,$23.71,$0.25,$2.00,$21.96,"$5,541.07",37.25%
MolsonCoors Beverage Company,512 Miller Lite 2/12/12 oz Btl,10,$24.60,8/3/2026,8/31/2026,824,$17.70,$0.27,$0.00,$17.97,"$5,464.77",26.96%
