account,product_num,cases
5,111,-1
5,112,1
5,201,2
5,212,6
5,221,2
5,501,-2
5,524,-5
5,663,2
5,980,1
5,1021,-5
5,1022,5
5,1155,-10
5,1157,-2
5,1160,-2
5,1168,-2
5,1172,-2
5,1201,-1
5,1410,1
5,1531,-2
5,1537,2
5,1680,-1
5,1812,2
5,1833,-3
5,1906,-5
5,1908,-1
5,2010,2
5,2409,5
5,2410,4
5,2412,19
5,2414,-5
5,2441,-1
5,2610,4
5,2802,1
5,2808,11
5,2809,41
5,2811,-24
5,2814,5
5,2816,-1
5,2818,1
5,2830,-56
5,2831,3
5,2833,-1
5,3410,3
5,3413,-3
5,3818,4
5,3821,1
5,3844,4
5,3860,1
5,3907,6
5,4475,1
5,4476,-1
5,4533,-1
5,4703,-1
5,4765,-1
5,5396,108
5,5402,1
5,6653,1
5,6660,2
5,6749,-8
5,6762,3
5,7181,3
5,7417,286
5,7418,-321
5,7423,1
5,8110,2
5,8329,1
5,8431,2
5,8536,-105
5,8588,-1
5,8664,-64
5,8705,69
5,9023,-5
5,9025,5
5,9496,92
5,10332,1
5,10404,3
5,10602,-2
5,10701,1
5,11187,-2
5,11221,1
5,11812,1
5,14102,2
5,14103,2
5,14108,1
5,14112,1
5,14113,1
5,14114,1
5,14119,1
5,14121,2
5,14127,1
5,20205,28
5,94012,-2
5,200203,-105
5,200282,1
5,200500,-2
5,200635,1
5,200637,2
5,200638,1
5,200641,9
5,200658,-1
5,200664,-4
5,200762,-1
5,200901,104
5,201060,-0.33
5,201063,0.33
6,7180,3
6,7182,3
7,101,1
7,112,5
7,113,9
7,118,7
7,119,10
7,121,10
7,123,40
7,124,5
7,201,5
7,202,5
7,206,8
7,209,5
7,212,16
7,213,8
7,214,50
7,215,6
7,218,2
7,220,46
7,221,61
7,222,8
7,223,32
7,226,12
7,227,1
7,228,9
7,231,5
7,234,99
7,235,1
7,249,15
7,326,2
7,401,1
7,410,6
7,411,5
7,413,5
7,420,7
7,421,10
7,422,4
7,425,5
7,501,7
7,502,4
7,508,4
7,510,9
7,511,43
7,512,9
7,513,4
7,514,11
7,515,9
7,516,1
7,520,83
7,521,45
7,522,24
7,523,47
7,524,5
7,526,3
7,527,18
7,529,6
7,534,7
7,535,8
7,562,1
7,563,1
7,572,1
7,590,5
7,591,1
7,616,1
7,618,4
7,650,6
7,663,3
7,677,13
7,679,1
7,693,2
7,694,56
7,695,16
7,697,1
7,698,6
7,710,3
7,711,2
7,720,1
7,721,5
7,727,2
7,761,4
7,762,1
7,763,4
7,811,1
7,814,2
7,815,1
7,913,2
7,945,2
7,946,1
7,948,4
7,969,1
7,972,4
7,979,2
7,980,1
7,1007,1
7,1022,1
7,1051,6
7,1152,2
7,1153,1
7,1154,1
7,1157,1
7,1160,1
7,1161,4
7,1163,1
7,1164,1
7,1172,1
7,1201,3
7,1202,4
7,1205,1
7,1209,9
7,1210,13
7,1222,19
7,1223,2
7,1224,5
7,1232,4
7,1259,1
7,1263,6
7,1265,9
7,1266,4
7,1320,2
7,1410,2
7,1510,1
7,1531,1
7,1551,4
7,1552,1
7,1612,1
7,1620,1
7,1622,2
7,1632,3
7,1640,1
7,1680,4
7,1770,1
7,1771,2
7,1772,7
7,1776,2
7,1790,1
7,1792,9
7,1793,1
7,1796,2
7,1804,9
7,1805,1
7,1806,21
7,1808,20
7,1812,30
7,1813,2
7,1814,5
7,1816,26
7,1817,15
7,1818,6
7,1820,16
7,1822,10
7,1828,18
7,1831,2
7,1833,4
7,1834,1
7,1870,6
7,1871,6
7,1872,5
7,1873,1
7,1906,15
7,1908,3
7,1910,13
7,1916,6
7,1922,7
7,2006,9
7,2010,2
7,2012,1
7,2110,2
7,2111,7
7,2115,3
7,2131,14
7,2132,5
7,2265,3
7,2330,8
7,2331,2
7,2350,3
7,2351,2
7,2370,3
7,2404,25
7,2405,44
7,2407,62
7,2408,6
7,2409,102
7,2410,72
7,2412,74
7,2414,12
7,2415,32
7,2416,13
7,2417,3
7,2418,7
7,2423,3
7,2425,37
7,2426,4
7,2427,1
7,2440,7
7,2441,2
7,2442,3
7,2482,1
7,2507,3
7,2509,7
7,2510,4
7,2512,2
7,2610,1
7,2611,7
7,2612,3
7,2613,3
7,2650,8
7,2651,3
7,2652,12
7,2653,1
7,2654,5
7,2655,2
7,2804,1
7,2807,41
7,2808,49
7,2809,137
7,2811,140
7,2812,7
7,2813,1
7,2814,47
7,2815,52
7,2816,42
7,2817,9
7,2818,10
7,2821,31
7,2824,4
7,2825,40
7,2826,7
7,2827,12
7,2828,11
7,2829,5
7,2830,9
7,2831,11
