account,product_num,cases
5,101,-1
5,111,-3
5,113,-2
5,118,11
5,119,-4
5,120,-1
5,121,-29
5,123,-8
5,127,2
5,202,-1
5,206,15
5,212,9
5,213,4
5,214,46
5,215,1
5,218,3
5,220,-19
5,221,-56
5,222,7
5,223,7
5,226,7
5,227,2
5,228,-4
5,231,1
5,232,2
5,234,-82
5,249,4
5,324,3
5,410,-1
5,412,-11
5,413,18
5,420,1.5
5,421,-2
5,425,1
5,508,1
5,510,-3
5,511,-11
5,512,-219
5,513,1
5,514,2
5,515,-1
5,520,-2.5
5,521,-43
5,522,-21
5,523,16
5,524,6
5,527,-2
5,529,1
5,533,1
5,552,2
5,562,1
5,563,3
5,564,-1
5,572,-1
5,590,-1
5,591,-14
5,616,-1
5,618,6
5,650,-2.5
5,652,-2
5,654,2
5,658,-2
5,663,7
5,664,-1
5,677,1
5,679,1
5,692,-12
5,710,-1
5,711,-4
5,712,1
5,727,-1
5,761,1
5,805,-9
5,809,-1
5,811,-10
5,937,1
5,974,1
5,1001,1
5,1005,2
5,1011,-5
5,1013,2
5,1021,-4
5,1051,3
5,1201,2
5,1202,-5
5,1209,-7
5,1210,-4
5,1222,-9
5,1224,1
5,1227,-2.5
5,1232,1
5,1263,3
5,1264,-2
5,1410,-1
5,1511,2
5,1531,-9
5,1537,-5
5,1548,5
5,1549,1
5,1550,-1
5,1551,-10
5,1552,-10
5,1612,-4
5,1622,-1
5,1632,-9
5,1680,0.5
5,1683,0.5
5,1694,1
5,1770,3
5,1771,1
5,1772,12
5,1775,1
5,1776,11
5,1777,-2
5,1778,-1
5,1790,1
5,1792,-15
5,1793,1
5,1794,42
5,1796,-4.5
5,1797,3
5,1804,-9
5,1805,-1
5,1806,-8
5,1808,-36
5,1812,57
5,1813,-1
5,1814,1
5,1816,52
5,1817,8
5,1818,1
5,1820,27
5,1822,-19
5,1824,6
5,1828,-15
5,1831,-2
5,1833,1
5,1834,-8
5,1870,7
5,1871,2
5,1872,1
5,1873,2
5,1906,14
5,1908,-19
5,1910,2
5,1916,-1
5,1922,-2
5,2006,1
5,2010,1
5,2012,1
5,2110,3
5,2111,-1
5,2131,4
5,2132,-1
5,2138,-1
5,2150,1
5,2151,-12
5,2156,-2
5,2157,-12
5,2183,-1
5,2265,-1
5,2311,3
5,2320,-1
5,2330,-6
5,2331,2
5,2340,-4
5,2351,3
5,2352,1
5,2370,-1
5,2404,-5
5,2405,23
5,2407,134
5,2408,-2
5,2409,-208
5,2410,22
5,2412,123
5,2413,-4
5,2414,-44
5,2415,-396
5,2416,-4
5,2418,-10
5,2419,-6
5,2420,-9
5,2423,-5
5,2425,118
5,2440,6
5,2441,2
5,2443,-6
5,2449,-5
5,2482,1
5,2507,-10
5,2509,2
5,2511,-1
5,2512,-12
5,2602,-2
5,2612,11
5,2650,-4
5,2651,-2
5,2652,1
5,2653,-5
5,2655,10
5,2807,350
5,2808,174
5,2809,65
5,2811,91
5,2812,-4
5,2813,50
5,2814,-471
5,2815,43
5,2816,31
5,2817,-9
5,2818,14
5,2821,21
5,2825,10
5,2826,10
5,2827,16
5,2829,8
5,2830,1
5,2831,1
5,2832,7
5,2833,28
5,2834,-3
5,2835,1
5,2836,-15
5,2837,12
5,2838,2
5,2839,-5
5,2912,-3
5,2974,-12
5,2975,-3
5,2982,2
5,2983,2
5,2985,1
5,2987,-1
5,3062,2
5,3076,12
5,3173,1
5,3310,-1
5,3320,1
5,3410,6
5,3411,-12
5,3413,-8
5,3460,-4
5,3461,13
5,3538,16
5,3539,-1
5,3540,1
5,3632,3
5,3634,8
5,3720,1
5,3722,12
5,3723,5
5,3724,14
5,3730,7
5,3802,-1
5,3817,-1
5,3818,4
5,3821,-2
5,3826,-10
5,3829,0.5
5,3841,2
5,3842,5
5,3843,-1
5,3844,5
5,3853,8
5,3854,107
5,3872,-5
5,3908,5
5,3919,-4
5,3921,-0.5
5,3953,-4
5,3954,1
5,4012,5
5,4016,900
5,4021,9
5,4026,1
5,4036,-2
5,4038,0.5
5,4319,1
5,4325,15
5,4475,-1
5,4499,1
5,4504,-1
5,4533,1
5,4620,-2
5,4656,5
5,4699,1
5,4710,11
5,4711,58
5,4712,-2
5,4713,-58
5,4716,5
5,4717,2
5,4718,-2
5,4719,-2
5,4720,-1
5,4734,2
5,4735,1
5,4736,-1
5,4739,-5
5,4740,9
5,4742,2
5,4744,1
5,4754,-4
5,4755,6
5,4765,1
5,4770,-16
5,4780,-8
5,4781,1
5,4784,-1
5,4810,1
5,4812,-4
5,4824,2
5,4826,1
5,4909,19
5,4910,27
5,4914,13
5,4919,-16
5,4965,14
5,4981,-6
5,5076,-1
5,5094,-7
5,5098,27
5,5180,-2
5,5182,-2
5,5184,-6
5,5315,0.5
5,5316,-1
5,5317,-1
5,5318,-1
5,5324,-2
5,5325,1
5,5370,1
5,5371,4
5,5389,1
5,5520,1
5,5561,-5
5,5567,3
5,5574,-10
5,5597,-3
5,5600,2
5,5607,6
5,5653,-10
5,5656,2
5,5976,1
5,6361,8
5,6481,2
5,6488,-2
5,6653,-1
5,6660,4
5,6727,-2
5,6729,1
5,6731,-16
5,6749,-1
5,6755,2
5,6762,-18
5,6764,1
5,6777,6
5,6778,-1
5,6788,2
5,6791,14
5,6792,1
5,6834,2
5,6981,5
5,6982,-2
5,6984,-1
5,6989,-16
5,6992,-4
5,7101,7
5,7107,1
5,7110,-1
5,7111,1
5,7115,8
5,7118,1
5,7126,1
5,7127,-1
5,7142,225
5,7143,28
5,7146,-225
5,7152,5
5,7153,1
5,7154,-4
5,7160,1
5,7162,1
5,7171,-5
5,7174,-1
5,7180,-3
5,7182,1
5,7210,1
5,7230,2
5,7241,-2
5,7295,-2
5,7310,-8
5,7312,1
5,7313,23
5,7315,2
5,7317,-5
5,7318,-4
5,7326,4
5,7332,18
5,7333,14
5,7341,1
5,7361,15
5,7362,-3
5,7363,-1
5,7364,1
5,7368,6
5,7380,5
5,7381,-5
5,7391,1
5,7392,4
5,7394,10
5,7401,-1
5,7402,1
5,7403,5
5,7416,-10
5,7418,4
5,7420,-4
5,7421,3
5,7422,-5
5,7423,-1
5,7431,1
