account,product_num,cases
5,112,38
5,113,2
5,118,2
5,121,2
5,206,2
5,212,6
5,213,10
5,214,2
5,222,4
5,226,5
5,227,1
5,228,10
5,231,7
5,234,43
5,235,2
5,410,43
5,411,2
5,420,2
5,421,2
5,425,5
5,511,2
5,514,2
5,516,2
5,520,10
5,522,4
5,562,10
5,564,5
5,760,2
5,763,2
5,806,-1
5,807,-1
5,1202,46
5,1210,3
5,1232,1
5,1263,5
5,1265,8
5,1694,-1
5,1770,1
5,1779,-1
5,1808,-3
5,1814,3
5,1816,12
5,1817,3
5,1822,15
5,1916,3
5,2110,3
5,2111,5
5,2115,1
5,2116,1
5,2330,-3
5,2404,10
5,2405,54
5,2407,14
5,2409,73
5,2410,23
5,2412,56
5,2413,10
5,2414,4
5,2415,5
5,2416,3
5,2417,-4
5,2425,10
5,2440,3
5,2441,4
5,2509,-4
5,2510,1
5,2512,9
5,2610,4
5,2611,5
5,2612,2
5,2613,5
5,2651,10
5,2654,9
5,2802,-1
5,2807,8
5,2808,30
5,2812,2
5,2814,-8
5,2815,10
5,2816,26
5,2817,3
5,2826,3
5,2833,1
5,2982,-3
5,3818,4
5,3821,2
5,3823,-1
5,3832,2
5,3840,-2
5,3842,2
5,3872,-1
5,3907,3
5,3952,8
5,4006,2
5,4016,1
5,4034,1
5,4037,7
5,4716,4
5,4734,5
5,4736,-2
5,4765,2
5,4781,2
5,4909,1
5,4914,3
5,6651,2
5,6660,1
5,6727,1
5,6731,1
5,6749,-3
5,6762,6
5,6777,2
5,6778,1
5,6788,1
5,6792,1
5,7310,-10
5,7380,13
5,7418,1
5,7908,2
5,7910,1
5,7931,3
5,7978,2
5,8330,244
5,8333,8
5,8336,1
5,8339,1
5,8340,14
5,8341,-13
5,8342,-1
5,8349,2
5,8351,1
5,8354,-2
5,8360,1
5,8373,2
5,8375,20
5,8379,-1
5,8383,-3
5,8384,-1
5,8410,1
5,8420,1
5,8427,-2
5,8431,1
5,8450,1
5,8451,1
5,8454,4
5,8456,5
5,8476,1
5,8511,1
5,8534,1
5,8583,2
5,8585,4
5,8586,1
5,8589,3
5,8596,5
5,8624,1
5,8626,1
5,8628,2
5,8850,1
5,8851,3
5,8854,3
5,9053,3
5,9091,80
5,9445,-1
5,9446,-1
5,9473,2
5,9493,1
5,9496,85
5,9500,-85
5,10334,10
5,10335,2
5,10904,2
5,10906,1
5,10922,-3
5,11160,-1
5,11227,5
5,11588,1
5,11810,2
5,12044,1
5,12045,-1
5,12123,3
5,12139,-1
5,12912,1
5,12938,1
5,13113,1
5,14112,2
5,14123,1
5,16701,1
5,16709,-1
5,16712,6
5,60009,30
5,105550,3
5,200631,8
5,200665,-2
5,200751,-2
5,201054,0.33
5,201056,0.33
6,1834,1
6,3173,3
6,4780,10
6,7182,2
6,9420,2
6,9421,2
6,9426,1
6,13204,1
6,13269,1
6,81001,1
6,200583,1
6,201055,1
6,201056,1
6,201057,1
6,201058,1
7,112,6
7,113,4
7,118,15
7,119,1
7,121,10
7,123,17
7,124,1
7,127,1
7,201,4
7,202,2
7,206,9
7,209,1
7,212,15
7,213,7
7,214,64
7,215,4
7,218,4
7,220,50
7,221,21
7,222,14
7,223,30
7,226,15
7,227,2
7,228,6
7,231,2
7,232,1
7,234,71
7,235,2
7,249,5
7,324,1
7,410,5
7,411,6
7,413,1
7,420,4
7,421,18
7,424,2
7,425,8
7,501,2
7,508,13
7,510,6
7,511,98
7,512,6
7,513,2
7,514,7
7,515,5
7,516,1
7,520,31
7,521,105
7,522,5
7,523,15
7,524,6
7,526,3
7,527,25
7,529,13
7,534,3
7,535,1
7,562,5
7,563,2
7,572,1
7,590,1
7,591,2
7,593,11
7,616,2
7,618,6
7,650,2
7,659,1
7,663,4
7,664,4
7,673,1
7,677,2
7,679,1
7,684,3
7,693,6
7,694,1
7,698,3
7,710,2
7,712,1
7,720,1
7,727,4
7,761,1
7,762,4
7,763,6
7,811,18
7,812,2
7,937,1
7,945,1
7,946,5
7,948,8
7,972,3
7,980,1
7,1021,1
7,1022,1
7,1051,1
7,1159,5
7,1201,2
7,1202,4
7,1205,1
7,1209,6
7,1210,9
7,1222,1
7,1223,2
7,1224,4
7,1232,2
7,1259,1
7,1263,4
7,1264,3
7,1265,10
7,1266,1
7,1531,1
7,1548,1
7,1549,1
7,1551,1
7,1552,1
7,1622,1
7,1643,2
7,1683,4
7,1770,1
7,1771,1
7,1772,9
7,1778,1
7,1792,2
7,1793,2
7,1796,2
7,1801,1
7,1804,4
7,1805,8
7,1806,32
7,1808,38
7,1812,52
7,1813,2
7,1814,7
7,1816,37
7,1817,10
7,1818,3
7,1820,30
7,1822,29
7,1824,1
7,1828,3
7,1831,2
7,1833,1
7,1834,7
7,1870,14
7,1871,5
7,1872,3
7,1906,1
7,1908,2
7,1910,2
7,1916,3
7,1922,4
7,2006,2
7,2010,7
7,2012,2
7,2110,2
7,2111,3
7,2116,1
7,2131,7
7,2132,2
7,2180,3
7,2183,1
7,2320,4
7,2330,3
7,2331,4
7,2351,1
7,2352,1
7,2370,7
7,2404,15
7,2405,30
7,2407,27
7,2409,93
7,2410,59
7,2412,63
7,2413,3
7,2414,4
7,2415,26
7,2416,16
