Customer Num,Customer Name,Area,Shipping Address,City,Date,Sales Rep Name,District Manager Name,Brand,Brand Family,Supplier,Units   2026
73001,Lou's,Bergen,74 Broadway,Hillsdale,8/25/2026,Paul Mclaughlin,Chris McCrohan,Yuengling Lager,Yuengling Lager,DG Yuengling Inc,1.00
92005,Kinchley's,Bergen,586 Franklin Tpk,Ramsey,8/25/2026,Nick Melissari,Chris McCrohan,Coors Banquet,Coors,MolsonCoors Beverage Company,2.00
231714,Mountain House Tav & Gril,Sussex,19 Us-206,Branchville,8/25/2026,Brian Sengebush,Chris McCrohan,Miller Lite,Lite,MolsonCoors Beverage Company,1.00
230122,Krogh's Restaurant & Brew Pub,Sussex,23 White Deer Plaza,Sparta,8/25/2026,Brian Sengebush,Chris McCrohan,Coors Light,Coors Light,MolsonCoors Beverage Company,2.00
230103,St.Moritz Grill & Bar,Sussex,9 White Deer Plaza,Sparta,8/25/2026,Brian Sengebush,Chris McCrohan,Miller Lite,Lite,MolsonCoors Beverage Company,2.00
92005,Kinchley's,Bergen,586 Franklin Tpk,Ramsey,8/25/2026,Nick Melissari,Chris McCrohan,Dogfish Head 60 Minute IPA,Dogfish Head Beer,Boston Beer Company,1.00
170282,The Hoboken Biergarten,Hudson,1422 Grand Street,Hoboken,8/25/2026,Jaime Colonna,Mike Kennedy,Weihenstephen Hefe-Weiss,Weihenstephaner,Total Beverage Solutions,3.00
231714,Mountain House Tav & Gril,Sussex,19 Us-206,Branchville,8/25/2026,Brian Sengebush,Chris McCrohan,Samuel Adams Octoberfest Seasonal Beer,Samuel Adams,Boston Beer Company,1.00
12047,American Lgn 174 Wayne,Passaic,55 Mountain View Blvd,Wayne,8/25/2026,Robin Feldman,Chris McCrohan,Yuengling Lager,Yuengling Lager,DG Yuengling Inc,1.00
191007,Charley's Tavern,Morris 1,57 NJ-181,Lake Hopatcong,8/25/2026,Brian Sengebush,Chris McCrohan,New Belgium Voodoo Ranger Juicy Haze IPA,Voodoo Family,New Belgium Brewing Company,1.00
31039,Yard House 8390,Bergen,1 American Dream Way,East Rutherford,8/25/2026,Nick Melissari,Chris McCrohan,Samuel Adams Octoberfest Seasonal Beer,Samuel Adams,Boston Beer Company,1.00
190905,Rockaway River Barn,Morris 1,11 Greenpond Rd,Rockaway,8/25/2026,Brian Sengebush,Chris McCrohan,Evil Genius Trick or Treat,Evil Genius,Evil Genius,2.00
190106,Rails Steakhouse (A),Morris 1,10 Whitehall Road,Towaco,8/25/2026,Brian Sengebush,Chris McCrohan,New Belgium Voodoo Ranger Juicy Haze IPA,Voodoo Family,New Belgium Brewing Company,1.00
25049,Yesterdays (P),Passaic,70 Main Ave,Clifton,8/25/2026,Allison Scott,Chris McCrohan,Yuengling Lager,Yuengling Lager,DG Yuengling Inc,1.00
