Asset ID,Purchase,Asset Type,Asset Description,Asset Num,Serial Num,Status,Location,Bin,Cost,Remaining Value,Placed in Service Date,Customer,Time Confirmed,Purchased Date,Sold Date,Asset Owner
18156,,(SH)Modelo Gold Cooler - DEALER LOADER,(SH)Modelo Gold Cooler - DEALER LOADER,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18155,,(SH)Modelo Gold Cooler - DEALER LOADER,(SH)Modelo Gold Cooler - DEALER LOADER,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18154,,(SH)Modelo Gold Cooler - DEALER LOADER,(SH)Modelo Gold Cooler - DEALER LOADER,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18153,,(SH)Modelo Gold Cooler - DEALER LOADER,(SH)Modelo Gold Cooler - DEALER LOADER,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18152,,(SH)Modelo Gold Cooler - DEALER LOADER,(SH)Modelo Gold Cooler - DEALER LOADER,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18151,,(SH)Modelo Gold Cooler - DEALER LOADER,(SH)Modelo Gold Cooler - DEALER LOADER,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18150,,(SH)Modelo Gold Cooler - DEALER LOADER,(SH)Modelo Gold Cooler - DEALER LOADER,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18149,,(SH)Modelo Gold Cooler - DEALER LOADER,(SH)Modelo Gold Cooler - DEALER LOADER,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18148,,(SH)Modelo Gold Cooler - DEALER LOADER,(SH)Modelo Gold Cooler - DEALER LOADER,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18147,,*SH* Pacifico Yappy Hour Bobbehead,*SH* Pacifico Yappy Hour Bobbehead,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18146,,*SH* Pacifico Yappy Hour Bobbehead,*SH* Pacifico Yappy Hour Bobbehead,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18145,,*SD* Garage Beer Football Rubber mat 3x5,*SD* Garage Beer Football Rubber mat 3x5,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18144,,*SD* Garage Beer Football Rubber mat 3x5,*SD* Garage Beer Football Rubber mat 3x5,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18143,,*SD* Garage Beer Football Rubber mat 3x5,*SD* Garage Beer Football Rubber mat 3x5,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18142,,*SD* Garage Beer Football Rubber mat 3x5,*SD* Garage Beer Football Rubber mat 3x5,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
