Asset Type,Purchased Date,Sold Date,Customer Name,Num Of Placed Assets
*CP* Twisted Tea Inflatable Chair,,,Mahwah Liqrs (P),1
*CP* Twisted Tea Inflatable Chair,,,Lincoln Park Fine Wines & Spirits,1
*CP* Twisted Tea Inflatable Chair,,,Frank's Fine Wine & Foods,1
*CP* Twisted Tea Inflatable Chair,,,Patricks Wine Barn,1
*CP* Twisted Tea Inflatable Chair,,,Kohler Samples Taken 50%,1
*CP* Twisted Tea Inflatable Chair,,,Kohler Samples Taken 100%,6
*CP* Twisted Tea Tailgate Chair,,,The Celtic Knot,1
*CP* Twisted Tea Tailgate Chair,,,Johnnie's Tavern,1
*CP* Twisted Tea Tailgate Chair,,,The Greek's,1
*CP* Twisted Tea Tailgate Cooler,,,B & B Liquors (Fair Lawn),1
*CP* Twisted Tea Tailgate Cooler,,,Bottle King (A) Ramsey,2
*CP* Twisted Tea Tailgate Firepit,,,Kohler Samples Taken 100%,1
*CP* Twisted Tea Tailgateb Speaker,,,Shop Rite Of Wallington,1
*CP* Twisted Tea Tailgateb Speaker,,,Shop Rite Wines/Spirits,1
*CP*SunCruiser Golf Bag,,,Grand Opening Liq (A)_2,1
*CP*SunCruiser Golf Bag,,,The Right Bottle,2
*CP*SunCruiser Golf Bag,,,ShopRite Wines & Spirits of Franklin,1
*CP*SunCruiser Golf Bag,,,Bottle King (A) Dumont,1
*CP*SunCruiser Golf Bag,,,Brick & Brew,1
*CP*SunCruiser Golf Bag,,,Best Cellars (Wanaque),1
*CP*SunCruiser Golf Bag,,,pompton crafthouse,1
*CP*SunCruiser Golf Bag,,,Hearth & Tap Co.,1
*CP*SunCruiser Golf Bag,,,Usa Wine Traders Club (Saddle Brook),1
*CP*SunCruiser Golf Bag,,,Johnnie's Tavern,1
*CP*SunCruiser Golf Bag,,,Westwood Wine and Liquors,3
*CP*SunCruiser Golf Bag,,,Lincoln Park Fine Wines & Spirits,1
*CP*SunCruiser Golf Bag,,,Mac & Lindy's W & S (A),1
*CP*SunCruiser Golf Bag,,,Thatcher Mc Ghees (A),1
*CP*SunCruiser Golf Bag,,,Shoprite Liq (A)Northvle,1
*CP*SunCruiser Golf Bag,,,Shay's Liquors,1
*CP*SunCruiser Golf Bag,,,Black Bear Golf(A),1
*CP*SunCruiser Golf Bag,,,Beverage Barn (A),2
*CP*SunCruiser Golf Bag,,,Super Wine Warehse(P)Pate,1
*CP*SunCruiser Golf Bag,,,Shortways' Barn (A),1
*CP*SunCruiser Golf Bag,,,USA Wine Traders Club Of Newton (A),1
*CP*SunCruiser Golf Bag,,,The Cornerstone (P),1
*CP*SunCruiser Golf Bag,,,Exquisite W & L (A),1
*CP*SunCruiser Golf Bag,,,Patricks Wine Barn,1
*CP*SunCruiser Golf Bag,,,Ringwood W&L,1
*CP*SunCruiser Golf Bag,,,Sandy's Wine & Spirit (P) (Budd Lake),1
*CP*SunCruiser Golf Bag,,,Lou's,1
*CP*SunCruiser Golf Bag,,,Bottle Republic (Rutherford),3
*CP*SunCruiser Golf Bag,,,Kohler Samples Taken 100%,4
*CP*SunCruiser Golf Bag,,,Shop Rite Wine & Spirits Stanhope,2
*CP*Twisted Tea Water Jug,,,ShopRite Wines & Spirits of Franklin,1
*DD* Blue Moon Golf Bag,,,Hearth & Tap Co.,1
*DD* Blue Moon Golf Bag,,,Johnnie's Tavern,1
*DD* Blue Moon Golf Bag,,,Elks Post 2234,1
*DD* Blue Moon Golf Bag,,,American Lgn Park Ridge,1
*DD* Blue Moon Golf Bag,,,Kohler Samples Taken 100%,1
*DD* Coors Light Electric Beach Wagon,,,Thatcher Mc Ghees (A),1
*DD* Coors Light Electric Beach Wagon,,,Evolution Restaurant & Bar,1
*DD* Coors Light Electric Beach Wagon,,,Super Wine Warehse(P)Pate,1
*DD* Coors Light Electric Beach Wagon,,,Bj's Warehouse E Rutherfo,1
*DD* Coors Light Electric Beach Wagon,,,ShopRite Wines & Spirits of Sparta,1
*DD* Coors Light Electric Beach Wagon,,,Danahers,1
*DD* Coors Light Electric Beach Wagon,,,Sheridan Lodge (P),1
*DD* Coors Light Electric Beach Wagon,,,The Greek's,1
*DD* Coors Light Electric Beach Wagon,,,Mac & Lindy's W & S (A),1
*DD* Coors Light Electric Beach Wagon,,,Johnnie's Tavern,1
*DD* Coors Light Electric Beach Wagon,,,K Of C Ramsey,1
*DD* Coors Light Electric Beach Wagon,,,Kohler Samples Taken 100%,4
*DD* Coors Light Electric Beach Wagon,,,Linwood Wine-Linwood Plaza,2
*DD* Coors Light Golf Bag,,,Allendale Bar & Grill,1
*DD* Coors Light Golf Bag,,,Uncorked Wines & Spirits (West Milford),1
*DD* Coors Light Golf Bag,,,American Lgn Branchville,1
*DD* Coors Light Golf Bag,,,Wallkill Golf Club,1
*DD* Coors Light Golf Bag,,,Satin Dolls (A),1
*DD* Coors Light Golf Bag,,,Shoppers Disc Liquor,1
*DD* Coors Light Golf Bag,,,Usa Wine Traders (Wanaque),1
*DD* Coors Light Golf Bag,,,Mahwah Wine & Liquor (A),1
*DD* Coors Light Golf Bag,,,American Lgn Pequannock 450,1
*DD* Coors Light Golf Bag,,,Kohler Samples Taken 100%,3
*DD* Coors Light Golf Bag,,,Lake Hopatcong Yacht Club,2
*DD* Coors Light Portable Grill,,,ShopRite Wines & Spirits of Franklin,1
*DD* Coors Light Speaker Cooler,,,Lincoln Park Fine Wines & Spirits,1
*DD* Coors Light Speaker Cooler,,,Bottle King (A) Dumont,2
*DD* Coors Light Speaker Cooler,,,Parker Liquors (Z),1
*DD* Coors Light Speaker Cooler,,,The Liquor Shop,1
*DD* Coors Light Speaker Cooler,,,Crystal Sprs/Wild Turkey,1
*DD* Coors Light Speaker Cooler,,,Kohler Samples Taken 100%,1
*DD* Coors Light Speaker Cooler,,,Usa Wine Traders (Wanaque),1
*DD* Coors Light Speaker Cooler,,,Shoppers Disc(A)Pompton,2
*DD* Coors Light Tailgate Chair,,,Uncorked Wines & Spirits (West Milford),1
*DD* Coors Light Tailgate Chair,,,Liquor Factory II Jefferson,1
*DD* Coors Light Tailgate Chair,,,Black Bear Golf(A),1
*DD* Coors Light Tailgate Chair,,,Bottle King (A) Hillsdale,1
*DD* Coors Light Tailgate Chair,,,Whistle Stop (P),1
*DD* Coors Light Tailgate Chair,,,ShopRite Wines & Spirits of Franklin,1
*DD* Coors Light Tailgate Chair,,,Shoppers Disc(A)Pompton,1
*DD* Fever Tree LED,,,Usa Wine Traders Club (Bloomingdale),1
*DD* Miller Lite Giant Backpack Cooler,,,Black Bear Golf(A),1
*DD* Miller Lite Giant Backpack Cooler,,,ShopRite Wines & Spirits of Franklin,1
*DD* Miller Lite Golf Bag,,,Allendale Bar & Grill,1
*DD* Miller Lite Golf Bag,,,Kohler Samples Taken 100%,4
*DD* Miller Lite Golf Bag,,,Kohler Samples Taken 50%,1
*DD* Miller lite Jets Backpackb Cooler,,,ShopRite Wines & Spirits of Franklin,1
*DD* Miller lite Jets Backpackb Cooler,,,Basket Of Cheer Ii (Lake Hiawatha),1
*DD* Peroni Bike,,,Usa Wine Traders (Wanaque),1
*DD* Peroni Bike,,,Kohler Samples Taken 100%,1
*DD* Peroni Bike,,,Usa Wine Traders Club (Bloomingdale),1
*DD* Peroni Bike,,,Davey's Locker (A),1
*DD* Peroni Bike,,,Lincoln Park Fine Wines & Spirits,1
*DD* Peroni Foosball Cooler,,,Hearth & Tap Co.,1
*DD* Peroni Foosball Cooler,,,Hapgoods Restaurant,1
*DD* Peroni Foosball Cooler,,,White Deer Inn,1
*DD* Peroni Foosball Cooler,,,Ridgewood Super Cellar,1
*DD* Peroni Foosball Cooler,,,Blackjack Mulligans (Hawthorne),1
*DD* Peroni Foosball Cooler,,,Total Wine & More (River Edge),1
*DD* Peroni Foosball Cooler,,,Chabons Ii Liq/Bar (A),1
*DD* Peroni Foosball Cooler,,,Satin Dolls (A),1
*DD* Peroni Foosball Cooler,,,Nico's Wine & Spirits,1
*DD* Peroni Foosball Cooler,,,Legacy Bar & Liquor,4
*DD* Peroni Foosball Cooler,,,Kohler Samples Taken 100%,19
*DD* Peroni Foosball Cooler,,,Millers Paramus Ale House,2
*DD* Peroni SnowJoe,,,Lincoln Park Fine Wines & Spirits,1
*DD* Peroni SnowJoe,,,Sandy's Wine & Spirit (P) (Budd Lake),1
*DD* Peroni SnowJoe,,,Bottle King (A) Ramsey,1
*DD* Peroni SnowJoe,,,Wine & Spirit World(W),1
*DD* Peroni SnowJoe,,,Shoprite Liq (A)Northvle,1
*DD* Peroni SnowJoe,,,Shop Rite Liq (A)Wharton,2
*DD* Peroni SnowJoe,,,Bottle King (A) Glen Rock,1
*DD* Peroni SnowJoe,,,Shop Rite Wine & Spirits Stanhope,1
*DD* Peroni SnowJoe,,,Bottle King (A) Dumont,1
*DD* Peroni SnowJoe,,,Shop Rite Of Wallington,1
*DD* Peroni SnowJoe,,,Shay's Liquors,1
*DD*Coors Light Golf Cooler Bag,,,Kohler Samples Taken 100%,2
*DD*Coors Light Golf Cooler Bag,,,Doc's Place (P),1
*DD*Coors Light Golf Cooler Bag,,,Bottle King (A) Hillsdale,1
*DD*Coors Light Golf Cooler Bag,,,Picatinney Golf(NAFIB4-22-A-0036),1
*DD*Coors Light Golf Cooler Bag,,,Black Bear Golf(A),2
*DD*Coors Light Golf Cooler Bag,,,Skyview Golf Course (A),1
*DD*Coors Light Olympus Cooler Backpack,,,Jimmy Geez (P),1
*DD*Coors Light Olympus Cooler Backpack,,,Shoppers Disc(A)Pompton,1
*DD*Coors Light Olympus Cooler Backpack,,,K Of C (Z) Washing. Twsp,1
*DD*Coors Light Olympus Cooler Backpack,,,Liquor Factory II Jefferson,1
*DD*Coors Light Olympus Cooler Backpack,,,Johnnie's Tavern,2
*DD*Coors Light Olympus Cooler Backpack,,,Kohler Samples Taken 100%,1
*DD*Coors Light Olympus Cooler Backpack,,,Little Falls Liq(P),1
*DD*Coors Light Olympus Cooler Backpack,,,Allendale Bar & Grill,1
*DD*Coors Light Olympus Cooler Backpack,,,Emerald Corner (Z),1
*DD*Coors Light Olympus Cooler Backpack,,,Charley's Tavern,1
*DD*Coors Light Olympus Cooler Backpack,,,Biagio's,1
*DD*Coors Light Soccer 16oz Shaker,,,Cubby's (P),1
*DD*Coors Light Soccer 16oz Shaker,,,White Beeches Golf Club,2
*DD*Coors Light Soccer 16oz Shaker,,,Steel Wheel Tavern,1
*DD*Coors Light Soccer 16oz Shaker,,,Millers Ale House Rockawa,1
*DD*Coors Light Soccer 16oz Shaker,,,New Park Tav (A),2
*DD*Coors Light Soccer 16oz Shaker,,,Tavern 5_2,1
*DD*Coors Light Soccer 16oz Shaker,,,The Celtic Knot,2
*DD*Coors Light Soccer 16oz Shaker,,,Dingo's Den (P),1
*DD*Coors Light Soccer 16oz Shaker,,,Bask 46,2
*DD*Coors Light Soccer 16oz Shaker,,,River & Henley,1
*DD*Coors Light Soccer 16oz Shaker,,,Bardis (P),1
*DD*Coors Light Soccer 16oz Shaker,,,Blackjack Mulligan's Public House,2
*DD*Coors Light Soccer 16oz Shaker,,,Jojo's Bar & Grill,2
*DD*Coors Light Soccer 16oz Shaker,,,Clifton Disc Liq (A),2
*DD*Coors Light Soccer 16oz Shaker,,,Peppercorn's,1
*DD*Coors Light Soccer 16oz Shaker,,,Celtic Corner,2
*DD*Coors Light Soccer 16oz Shaker,,,Bogey's Sport Bar,4
*DD*Coors Light Soccer 16oz Shaker,,,Great Notch Inn(Z),2
*DD*Coors Light Soccer 16oz Shaker,,,Murph's Bar & Liquor,2
*DD*Coors Light Soccer 16oz Shaker,,,Hilltop Tav.(Z),2
*DD*Coors Light Soccer 16oz Shaker,,,Celtic Crossings,2
*DD*Coors Light Soccer 16oz Shaker,,,Sunset Pub & Grill(Z),4
*DD*Fever Tree Patio Umbrella,,,101 Pub (A),1
*DD*Fever Tree Patio Umbrella,,,Kohler Samples Taken 100%,2
*DD*Fever Tree Patio Umbrella,,,The Beacon,8
*DM* Coor Light World Cup LED,,,Arepa Express,1
*DM* Coors Light Golf Bag,,,Little Falls Liq(P),1
*DM* Coors Light Golf Bag,,,Clifton Commons S & W,1
*DM* Coors Light Golf Bag,,,Lucky 7 (A),1
*DM* Corona Premier Golf Bag,,,Clifton Commons S & W,1
*FP* Blue Moon Golf Bag,,,Kohler Samples Taken 100%,2
*FP* Coors Light Golf Bag,,,Kohler Samples Taken 100%,3
*FP* Corona Premier Golf Bag,,,Kohler Samples Taken 100%,1
*FP* Miller Lite Golf Bag,,,Kohler Samples Taken 100%,4
*JK* Delta THC LED,,,Wine Warehouse (P) (Bayonne),1
*JK* Delta THC LED,,,Shoppers Vineyard (A),1
*JK* Delta THC Solo Stove Ranger,,,Shoppers Vineyard (A),1
*JK* Delta THC Solo Stove Ranger,,,Total Wine & More (River Edge),1
*ME* Blue Moon Golf Bag,,,Shop Rite Liq (A)Hillsdal,1
*ME* Coors Light Golf Bag,,,Super Wine Warehse(P)Pate,1
*ME* Corona Premier Golf Bag,,,46 Discount Liquor Store,1
*ME* Dos Equis 3.5ft Bobblehed,,,Bask 46,1
*ME* Dos Equis 3.5ft Bobblehed,,,Buy Rite Discount Liquor,1
*PC* Heineken 30L Metal Cooler,,,The Wine Rack Hasbrouck Hts,1
*PC* Heineken 30L Metal Cooler,,,Buy Rite Discount Liquor,1
*PC* Heineken 30L Metal Cooler,,,Shoppers Disc(A)Pompton,1
*PC* Heineken 30L Metal Cooler,,,Whoopee Liq (A),1
*PC* Heineken 30L Metal Cooler,,,Shortways' Barn (A),1
*PC* Heineken 30L Metal Cooler,,,Shop Rite Liq.(A)Lodi,1
*PC* Heineken 30L Metal Cooler,,,Jimmy Geez (P),1
*PC* Heineken 30L Metal Cooler,,,Blackjack Mulligans (Hawthorne),1
*PC* Heineken 30L Metal Cooler,,,Shop Rite Liq (A)Hillsdal,1
*PC* Heineken 30L Metal Cooler,,,Andy's Corner (Z),1
*PC* Heineken 30L Metal Cooler,,,Biagio's,1
*PC* Heineken 30L Metal Cooler,,,Kohler Samples Taken 100%,2
*PC* Heineken 30L Metal Cooler,,,River Drive Bar (P),1
*PC* Yuengling Flight Beach Chair,,,Gray Cliff (A),1
*PC* Yuengling Flight Beach Chair,,,Bottle King (A) Hillsdale,1
*PC* Yuengling Flight Beach Chair,,,Black Bear Golf(A),1
*PC* Yuengling Flight Beach Chair,,,Liquor Factory III Sparta,1
*PC* Yuengling Flight Beach Chair,,,Johnnie's Tavern,1
*PC* Yuengling Flight Beach Chair,,,Super Saver Liq,1
*PC* Yuengling Flight Beach Chair,,,Denville W & L,1
*PC* Yuengling Flight Beach Chair,,,Lou's,1
*PC* Yuengling Flight Beach Chair,,,Jimmy Geez(North)Bar/Gril,1
*PC* Yuengling Flight Beach Chair,,,Crystal Sprs/Wild Turkey,1
*PC* Yuengling Flight Beach Chair,,,ShopRite Wines & Spirits of Franklin,2
*PC* Yuengling Flight Tote Cooler,,,Kohler Samples Taken 100%,2
*PC* Yuengling Flight Tote Cooler,,,White Deer Inn,1
*PC* Yuengling Flight Tote Cooler,,,Bottle King (A) Ramsey,1
*PC* Yuengling Flight Tote Cooler,,,Uncorked Wines & Spirits (West Milford),1
*PC* Yuengling Flight Tote Cooler,,,Grasshopper Too (A),1
*PC* Yuengling Flight Tote Cooler,,,Bottle King (A) Hillsdale,1
*PC* Yuengling Flight Tote Cooler,,,Denville W & L,1
*PC* Yuengling Flight Tote Cooler,,,Blackjack Mulligans (Hawthorne),1
*PC* Yuengling Flight Tote Cooler,,,Ringwood W&L,1
*PC* Yuengling Stars and Stripes Rolling Cooler,,,Shortways' Barn (A),1
*PC* Yuengling Stars and Stripes Rolling Cooler,,,Exquisite W & L (A),1
*PC* Yuengling Stars and Stripes Rolling Cooler,,,Picatinney Golf(NAFIB4-22-A-0036),1
*PC* Yuengling Stars and Stripes Rolling Cooler,,,Gerry's Place,1
*PC* Yuengling Stars and Stripes Rolling Cooler,,,River Place Food Store,1
*PC* Yuengling Stars and Stripes Rolling Cooler,,,Buy Rite W &L Pompton(P),1
*PC* Yuengling Stars and Stripes Rolling Cooler,,,Biagio's,1
*PC* Yuengling Stars and Stripes Rolling Cooler,,,Kohler Samples Taken 100%,2
*PD* Blue Moon Golf Bag,,,Mac & Lindy's W & S (A),1
*PD* Blue Moon Golf Bag,,,Grand Opening Liq (A)_2,1
*PD* Blue Moon Golf Bag,,,Bottle King (A) Hillsdale,1
*PD* Coors Light Golf Bag,,,Bottle King (A) Hillsdale,2
*PD* Coors Light Golf Bag,,,Lincoln Park Fine Wines & Spirits,1
*PD* Coors Light Golf Bag,,,Mac & Lindy's W & S (A),1
*PD* Coors Light Golf Bag,,,ShopRite Wines & Spirits of Franklin,1
*PD* Coors Light Golf Bag,,,Johnnie's Tavern,1
*PD* Coors Light Golf Bag,,,White Deer Inn,1
*PD* Coors Light Golf Bag,,,Shop Rite Liq (A)Hillsdal,1
*PD* Coors Light Golf Bag,,,Glen Rock Ac Clb(P),1
*PD* Corona Premier Golf Bag,,,Shop Rite Liq (A)Hillsdal,1
*PD* Corona Premier Golf Bag,,,Mac & Lindy's W & S (A),1
*PD* Corona Premier Golf Bag,,,ShopRite Wines & Spirits of Franklin,1
*PD* Corona Premier Golf Bag,,,Grand Opening Liq (A)_2,1
*PD* Corona Premier Golf Bag,,,Bottle King (A) Wayne,1
*PD* Corona Premier Golf Bag,,,Super Saver Liq,1
*PD* Corona Premier Golf Bag,,,Johnnie's Tavern,1
*PD* Corona Premier Golf Bag,,,Bottle King (A) Hillsdale,1
*PD* Miller Lite Golf Bag,,,Mahwah Liqrs (P),1
*PD* Miller Lite Golf Bag,,,Johnnie's Tavern,1
*PD* Miller Lite Golf Bag,,,Liquor Factory II Jefferson,1
*PD* Miller Lite Golf Bag,,,Shoppers Disc Liquor,1
*PD* Miller Lite Golf Bag,,,Lincoln Park Fine Wines & Spirits,1
*PD* Miller Lite Golf Bag,,,ShopRite Wine & Spirits of Newton#830,1
*SD* Cape May Backpack Cooler,,,Shop Rite Of Wallington,1
*SD* Cape May Backpack Cooler,,,Lincoln Park Fine Wines & Spirits,1
*SD* Cape May Backpack Cooler,,,Bottle King (A) Ramsey,1
*SD* Cape May Bogg Bag,,,ShopRite Wines & Spirits of Sparta,1
*SD* Cape May Bogg Bag,,,Mahwah Wine & Liquor (A),1
*SD* Cape May Bogg Bag,,,Bottle King (A) Hillsdale,1
*SD* Cape May Bogg Bag,,,Bottle King (A) Ramsey,1
*SD* Flying Fish 30th Anniv. 16oz Shaker,,,Pancho Burrito's (A),3
*SD* Flying Fish 30th Anniv. 16oz Shaker,,,Dutch House,3
*SD* Garage Beer Eagle LED,,,Montvale Wine/Liq & Beer,1
*SD* Garage Beer Eagle LED,,,The Greenwood Tavern,1
*SD* Garage Beer Eagle LED,,,Tierney's Tavern(A),1
*SD* Garage Beer Eagle LED,,,Heights Bar (P),1
*SD* Garage Beer Eagle LED,,,Hawthorne Liq (A),1
*SD* Garage Beer Eagle LED,,,Blackjack Mulligans (Hawthorne),1
*SD* Garage Beer Eagle LED,,,Nico's Wine & Spirits,1
*SD* Garage Beer Football Rubber mat 3x5,,,Tierney's Tavern(A),1
*SD* Montauk cooler bag,,,The Highwood,1
*SD* Montauk cooler bag,,,Kohler Samples Taken 100%,2
*SD* Montauk cooler bag,,,Mason Street Grille,1
*SD* Montauk cooler bag,,,Bottle King (A) Hillsdale,1
*SD* Montauk Grizzly Cooler,,,Allendale Bar & Grill,1
*SD* Other Half 16oz Shaker,,,101 Pub (A),1
*SD*Garage Beer 16oz Plastic Cups,,,Snack Bar,1
*SD*Garage Beer 16oz Plastic Cups,,,Mcgovern's Tavern(A),1
*SD*Garage Beer 16oz Plastic Cups,,,The Greenwood Tavern,1
*SH* Corona 16oz Plastic cups,,,Mexico Bar & Grill,1
*SH* Corona 16oz Plastic cups,,,Mac Murphy,1
*SH* Corona 16oz Plastic cups,,,Shoppers Disc(A)Pompton,1
*SH* Corona Amp Speaker Cooler,,,Nico's Wine & Spirits,1
*SH* Corona Amp Speaker Cooler,,,Uncorked Wines & Spirits (West Milford),1
*SH* Corona Amp Speaker Cooler,,,Usa Wine Traders (Wanaque),1
*SH* Corona Amp Speaker Cooler,,,Frank's Fine Wine & Foods,1
*SH* Corona Amp Speaker Cooler,,,Shoppers Disc(A)Pompton,1
*SH* Corona Amp Speaker Cooler,,,Whoopee Liq (A),1
*SH* Corona Amp Speaker Cooler,,,Kohler Samples Taken 100%,1
*SH* Corona Bogg Bag,,,ShopRite Wines & Spirits of Franklin,1
*SH* Corona Bogg Bag,,,Buy Rite W &L Pompton(P),1
*SH* Corona Bogg Bag,,,Hamburg Liquor,1
*SH* Corona Bogg Bag,,,Bask 46,1
*SH* Corona Bogg Bag,,,Liquor Factory II Jefferson,1
*SH* Corona Bogg Bag,,,White Deer Inn,1
*SH* Corona Bogg Bag,,,Upper Montclair Cc (A),1
*SH* Corona Bogg Bag,,,Shop Rite Liq (A)Hillsdal,1
*SH* Corona Bogg Bag,,,Kohler Samples Taken 100%,6
*SH* Corona Golf Bag,,,Iron Horse,1
*SH* Corona Golf Bag,,,Bottle King (A) Hillsdale,1
*SH* Corona Golf Bag,,,Lincoln Park Fine Wines & Spirits,1
*SH* Corona Golf Bag,,,Crystal Sprs/Wild Turkey,1
*SH* Corona Golf Bag,,,Grasshopper Irish Pub (A),1
*SH* Corona Golf Bag,,,Grasshopper Too (A),1
*SH* Corona Golf Bag,,,W E Beverage (A),1
*SH* Corona Golf Bag,,,Johnnie's Tavern,1
*SH* Corona Golf Bag,,,Allendale Bar & Grill,1
*SH* Corona Golf Bag,,,Knotty Pine Pub (P),1
*SH* Corona Golf Bag,,,46 Discount Liquor Store,1
*SH* Corona Golf Bag,,,Jimmy Geez (P),1
*SH* Corona Golf Bag,,,Black Bear Golf(A),1
*SH* Corona Golf Bag,,,Satin Dolls (A),1
*SH* Corona Golf Bag,,,Gerry's Place,2
*SH* Corona Golf Bag,,,Usa Wine Traders (Wanaque),3
*SH* Corona Holiday TV 43in.,,,M & M Wine & Spirits,1
*SH* Corona Jets Cornhole,,,Usa Wine Traders Club (Bloomingdale),1
*SH* Corona Jets Cornhole,,,Liquor Factory V Andover,1
*SH* Corona Jets Cornhole,,,Park West Tavern,1
*SH* Corona Jets Cornhole,,,Liquor Factory II Jefferson,1
*SH* Corona Jets Cornhole,,,Kohler Samples Taken 100%,2
*SH* Corona Large Tire Bike,,,Farm Boy,1
*SH* Corona Large Tire Bike,,,Wine Land,1
*SH* Corona Large Tire Bike,,,American Lgn 174 Wayne,1
*SH* Corona Large Tire Bike,,,Usa Wine Traders (Wanaque),1
*SH* Corona Large Tire Bike,,,Lincoln Park Fine Wines & Spirits,1
*SH* Corona Premier Golf Bag,,,Gray Cliff (A),1
*SH* Corona Premier Golf Bag,,,Mahwah Wine & Liquor (A),1
*SH* Corona Premier Golf Bag,,,Brick & Brew,1
*SH* Corona Premier Golf Bag,,,Bottle King (A) Hillsdale,1
*SH* Corona Premier Golf Bag,,,Bj's Warehouse E Rutherfo,1
*SH* Corona Premier Golf Bag,,,Kohler Samples Taken 50%,1
*SH* Corona Premier Golf Bag,,,Kohler Samples Taken 100%,5
*SH* Corona Small Mlb Metal Cooler,,,Kohler Samples Taken 100%,3
*SH* Corona Small Mlb Metal Cooler,,,Garden Liquors (P),1
*SH* Corona Small Mlb Metal Cooler,,,Bombolon Liquor & Grocery,1
*SH* Mikes Rolling Speaker Cooler,,,Jimmy Geez(North)Bar/Gril,1
*SH* Mikes Rolling Speaker Cooler,,,Grasshopper Too (A),1
*SH* Mikes Rolling Speaker Cooler,,,George's Market (A),1
*SH* Mikes Rolling Speaker Cooler,,,Blackjack Mulligans (Hawthorne),1
*SH* Mikes Rolling Speaker Cooler,,,Country Convenience Store,1
*SH* Modelo Fooseball Table,,,Buy Rite Of Hackensack,1
*SH* Modelo Fooseball Table,,,Shop Rite Liq.(A)Lodi,1
*SH* Modelo Fooseball Table,,,Mitsuwa Market (A),1
*SH* Modelo Fooseball Table,,,Passaic Discount Liquors,1
*SH* Modelo Fooseball Table,,,Bottle King (A) Dumont,1
*SH* Modelo Fooseball Table,,,Farm Boy,1
*SH* Modelo Fooseball Table,,,Shop Rite Of Wallington,1
*SH* Modelo Fooseball Table,,,Super Wine Warehse(P)Pate,1
*SH* Modelo Fooseball Table,,,Shoppers Vineyard (A),1
*SH* Modelo Fooseball Table,,,Nico's Wine & Spirits,1
*SH* Modelo Fooseball Table,,,Lincoln Park Fine Wines & Spirits,1
*SH* Modelo Fooseball Table,,,Jimmy Geez(North)Bar/Gril,1
*SH* Modelo Fooseball Table,,,Bottle Republic (Rutherford),1
*SH* Modelo Fooseball Table,,,Clifton Commons S & W,1
*SH* Modelo Fooseball Table,,,Kohler Samples Taken 100%,2
*SH* Modelo Fooseball Table,,,Bottle King (A) Wayne,2
*SH* Modelo Fooseball Table,,,USA Wine Traders Club Of Newton (A),2
*SH* Modelo Futbol Team Color Changing LED,,,Shop Rite Wines/Spirits,1
*SH* Modelo Futbol Team Color Changing LED,,,International Bar/Rest,1
*SH* Modelo Futbol Team Color Changing LED,,,Empire Wine & Liquor,1
*SH* Modelo Futbol Team Color Changing LED,,,Nico's Wine & Spirits,1
*SH* Modelo Futbol Team Color Changing LED,,,El Cantaro Liquors,1
*SH* Modelo Giants Cornhole,,,Kohler Samples Taken 100%,2
*SH* Modelo Giants Cornhole,,,Super Saver Liq,1
*SH* Modelo Giants Cornhole,,,Exquisite W & L (A),1
*SH* Modelo Giants Cornhole,,,ShopRite Wines & Spirits of Franklin,1
*SH* Modelo Giants Cornhole,,,Hollywd Liq&Deli (A),1
*SH* Modelo Giants Cornhole,,,Usa Wine Traders (Wanaque),1
*SH* Modelo Giants Tailgate Chair,,,Star Liquor Store,1
*SH* Modelo Giants Tailgate Chair,,,Buy Rite W &L Pompton(P),1
*SH* Modelo Stanley Cooler Bag,,,Lincoln Park Fine Wines & Spirits,1
*SH* Modelo Stanley Cooler Bag,,,Ridgewood Super Cellar,1
*SH* Modelo Stanley Cooler Bag,,,Cosmo Club (Z),1
*SH* Modelo Stanley Cooler Bag,,,Gray Cliff (A),1
*SH* Modelo Stanley Cooler Bag,,,Biagio's,1
*SH* Modelo Stanley Cooler Bag,,,Shoppers Disc(A)Pompton,1
*SH* Modelo Stanley Cooler Bag,,,Kohler Samples Taken 50%,1
*SH* Modelo Stanley Cooler Bag,,,George's Market (A),1
*SH* Modelo Stanley Cooler Bag,,,Thatcher Mcghee's (A),1
*SH* Modelo Stanley Cooler Bag,,,Kohler Samples Taken 100%,8
*SH* Pacifico SurfBoard,,,Players Club (Z),1
*SH* Pacifico SurfBoard,,,Buy Rite Discount Liquor,1
*SH* Pacifico SurfBoard,,,cherry's,1
*SH* Pacifico SurfBoard,,,Rudy's Inflight Caterers,1
*SH* Pacifico SurfBoard,,,Brokedown Palace,1
*SH* Pacifico SurfBoard,,,Iron Horse,1
*SH* Pacifico SurfBoard,,,Jimmy Geez(North)Bar/Gril,1
*SH* Pacifico Yappy Hour Bobbehead,,,Rock Bar,1
*SH* Pacifico Yappy Hour Bobbehead,,,QB's Bar and Grill,1
*SH* Pacifico Yappy Hour Bobbehead,,,Bask 46,1
*SH* Pacifico Yappy Hour Bobbehead,,,Total Wine & More (Totowa),1
*SH* Pacifico Yappy Hour Bobbehead,,,Flip's Bar (P),1
*SH* Pacifico Yappy Hour Bobbehead,,,Lou's,1
*SH* White Claw 50in TV,,,Shop Rite Liq (A)Littlefl,1
*SH* White Claw 50in TV,,,Montvale Wine/Liq & Beer,1
*SH* White Claw 50in TV,,,Lincoln Park Fine Wines & Spirits,1
