Asset Request ID,Asset Type,Asset,Brand,Program,Location,Task ID,Delivery Date,BrandFamily,Supplier,Time Updated,Updated By,Time Created,Created By
12214,Yuengling Flight Kanga Cooler,17237,Yuengling Flight,,Hawthorne,7862467,7/15/2026,Yuengling Flight,DG Yuengling Inc,7/15/2026 9:05 AM,chrishope,7/15/2026 9:03 AM,chrishope
12213,*SH* Corona Premier Golf Bag,15193,Corona Premier,,Hawthorne,7862466,7/15/2026,Corona Premier,Constellation Brands,7/15/2026 9:04 AM,chrishope,7/15/2026 9:03 AM,chrishope
12212,*CP* Carbliss Cornhole,17657,Carbliss Black Cherry,,Hawthorne,7862463,7/15/2026,Carbliss,SN Food & Beverage LLC,7/15/2026 9:04 AM,chrishope,7/15/2026 8:53 AM,paulmclaughl
12211,Modelo Futbol 16oz Shaker,17306,Modelo Especial,,Hawthorne,7862460,7/15/2026,Modelo Especial,Constellation Brands,7/15/2026 9:07 AM,chrishope,7/15/2026 8:34 AM,nmicco
12210,*CP* Suncruiser Beach Wagon,15750,Sun Cruiser Classic Iced Tea,,Hawthorne,7855433,7/15/2026,Sun Cruiser,Boston Beer Company,7/15/2026 7:49 AM,chrishope,7/14/2026 3:30 PM,mikeast
12209,1911 rack - MISCELLANEOUS,2056,1911,,Hawthorne,7855432,7/15/2026,1911 Hard Cider,Beak & Skiff,7/15/2026 7:49 AM,chrishope,7/14/2026 3:28 PM,klejdilamo
12208,*CP* Carbliss Cornhole,,Carbliss Black Cherry,,Hawthorne,7855431,,Carbliss,SN Food & Beverage LLC,7/14/2026 3:27 PM,allisonscott,7/14/2026 3:27 PM,allisonscott
12207,*CP* Carbliss Cornhole,17658,Carbliss Black Cherry,,Hawthorne,7855430,7/15/2026,Carbliss,SN Food & Beverage LLC,7/15/2026 9:04 AM,chrishope,7/14/2026 3:27 PM,allisonscott
12206,*CP* Carbliss Patio Umbrella,17598,Carbliss Black Cherry,,Hawthorne,7855429,7/15/2026,Carbliss,SN Food & Beverage LLC,7/15/2026 7:49 AM,chrishope,7/14/2026 3:27 PM,allisonscott
12205,*CP* Carbliss Patio Umbrella,17597,Carbliss Black Cherry,,Hawthorne,7855428,7/15/2026,Carbliss,SN Food & Beverage LLC,7/15/2026 7:49 AM,chrishope,7/14/2026 3:27 PM,allisonscott
12204,*CP* Carbliss Patio Umbrella,17596,Carbliss Black Cherry,,Hawthorne,7855427,7/15/2026,Carbliss,SN Food & Beverage LLC,7/15/2026 7:49 AM,chrishope,7/14/2026 3:27 PM,allisonscott
12203,*CP* Carbliss Patio Umbrella,17595,Carbliss Black Cherry,,Hawthorne,7855426,7/15/2026,Carbliss,SN Food & Beverage LLC,7/15/2026 7:49 AM,chrishope,7/14/2026 3:27 PM,allisonscott
12202,*DD* Coors Light Speaker Cooler,17554,Coors Light,,Hawthorne,7855395,7/15/2026,Coors Light,MolsonCoors Beverage Company,7/15/2026 7:49 AM,chrishope,7/14/2026 2:37 PM,anthonypalmi
12201,Coors Light Fishing LED,14777,Coors Light,,Hawthorne,7855360,7/15/2026,Coors Light,MolsonCoors Beverage Company,7/15/2026 7:49 AM,chrishope,7/14/2026 1:09 PM,mattpowiersk
12200,Corona DDLM LED - LED,15276,Corona Extra,,Hawthorne,7855359,7/15/2026,Corona Extra,Constellation Brands,7/15/2026 7:49 AM,chrishope,7/14/2026 1:09 PM,mattpowiersk
12199,Pacifico Surf LED,16519,Pacifico,,Hawthorne,7855358,7/15/2026,Pacifico,Constellation Brands,7/15/2026 7:50 AM,chrishope,7/14/2026 1:09 PM,mattpowiersk
12198,Sapporo Round LED - LED,17346,Sapporo Premium,,Hawthorne,7855357,7/15/2026,Sapporo,Sapporo,7/15/2026 7:50 AM,chrishope,7/14/2026 1:09 PM,mattpowiersk
12197,*CP* Carbliss Cornhole,17656,Carbliss Black Cherry,,Hawthorne,7855350,7/15/2026,Carbliss,SN Food & Beverage LLC,7/15/2026 9:04 AM,chrishope,7/14/2026 12:31 PM,nickmelissar
12196,24 oz Glide racks,14030,Coors Light,,Hawthorne,7855347,7/14/2026,Coors Light,MolsonCoors Beverage Company,7/15/2026 7:52 AM,chrishope,7/14/2026 12:20 PM,pryan
12195,24 oz Glide racks,14029,Coors Light,,Hawthorne,7855346,7/14/2026,Coors Light,MolsonCoors Beverage Company,7/15/2026 7:52 AM,chrishope,7/14/2026 12:20 PM,pryan
12194,24 oz Glide racks,14028,Coors Light,,Hawthorne,7855345,7/14/2026,Coors Light,MolsonCoors Beverage Company,7/15/2026 7:52 AM,chrishope,7/14/2026 12:20 PM,pryan
12193,Corona Metal Cooler - DEALER LOADER,17229,Corona Extra,,Hawthorne,7855292,7/15/2026,Corona Extra,Constellation Brands,7/15/2026 10:55 AM,chrishope,7/14/2026 12:05 PM,jaysonromine
12192,(SH)Modelo Gold Cooler - DEALER LOADER,17612,Modelo Especial,,Hawthorne,7855274,7/14/2026,Modelo Especial,Constellation Brands,7/14/2026 11:52 AM,chrishope,7/14/2026 11:10 AM,mattpowiersk
12191,*CP* Carbliss Patio Umbrella,17594,Carbliss Black Cherry,,Hawthorne,7855256,7/15/2026,Carbliss,SN Food & Beverage LLC,7/15/2026 7:49 AM,chrishope,7/14/2026 10:42 AM,paulmclaughl
12190,*CP* Carbliss Patio Umbrella,17593,Carbliss Black Cherry,,Hawthorne,7855255,7/15/2026,Carbliss,SN Food & Beverage LLC,7/15/2026 7:49 AM,chrishope,7/14/2026 10:42 AM,paulmclaughl
12189,*CP* Carbliss Patio Umbrella,17592,Carbliss Black Cherry,,Hawthorne,7855254,7/15/2026,Carbliss,SN Food & Beverage LLC,7/15/2026 7:49 AM,chrishope,7/14/2026 10:42 AM,paulmclaughl
12188,*CP* Carbliss Patio Umbrella,17591,Carbliss Black Cherry,,Hawthorne,7855253,7/15/2026,Carbliss,SN Food & Beverage LLC,7/15/2026 7:49 AM,chrishope,7/14/2026 10:42 AM,paulmclaughl
12187,*CP* Carbliss Patio Umbrella,17590,Carbliss Black Cherry,,Hawthorne,7855252,7/15/2026,Carbliss,SN Food & Beverage LLC,7/15/2026 7:49 AM,chrishope,7/14/2026 10:42 AM,paulmclaughl
12186,*CP* Carbliss Patio Umbrella,17589,Carbliss Black Cherry,,Hawthorne,7855251,7/15/2026,Carbliss,SN Food & Beverage LLC,7/15/2026 7:49 AM,chrishope,7/14/2026 10:42 AM,paulmclaughl
12185,*CP* Carbliss Patio Umbrella,17588,Carbliss Black Cherry,,Hawthorne,7855250,7/15/2026,Carbliss,SN Food & Beverage LLC,7/15/2026 7:49 AM,chrishope,7/14/2026 10:42 AM,paulmclaughl
12184,*CP* Carbliss Patio Umbrella,17587,Carbliss Black Cherry,,Hawthorne,7855249,7/15/2026,Carbliss,SN Food & Beverage LLC,7/15/2026 7:49 AM,chrishope,7/14/2026 10:42 AM,paulmclaughl
12183,*CP* Carbliss Patio Umbrella,17586,Carbliss Black Cherry,,Hawthorne,7855248,7/15/2026,Carbliss,SN Food & Beverage LLC,7/15/2026 7:49 AM,chrishope,7/14/2026 10:42 AM,paulmclaughl
12182,*CP* Carbliss Patio Umbrella,17585,Carbliss Black Cherry,,Hawthorne,7855247,7/15/2026,Carbliss,SN Food & Beverage LLC,7/15/2026 7:49 AM,chrishope,7/14/2026 10:42 AM,paulmclaughl
12181,*CP* Carbliss Patio Umbrella,17584,Carbliss Black Cherry,,Hawthorne,7855246,7/15/2026,Carbliss,SN Food & Beverage LLC,7/15/2026 7:49 AM,chrishope,7/14/2026 10:42 AM,paulmclaughl
12180,*CP* Carbliss Patio Umbrella,17583,Carbliss Black Cherry,,Hawthorne,7855245,7/15/2026,Carbliss,SN Food & Beverage LLC,7/15/2026 7:49 AM,chrishope,7/14/2026 10:42 AM,paulmclaughl
12179,*CP* Carbliss Patio Umbrella,17582,Carbliss Black Cherry,,Hawthorne,7855244,7/15/2026,Carbliss,SN Food & Beverage LLC,7/15/2026 7:49 AM,chrishope,7/14/2026 10:42 AM,paulmclaughl
12178,*CP* Carbliss Patio Umbrella,17581,Carbliss Black Cherry,,Hawthorne,7855243,7/15/2026,Carbliss,SN Food & Beverage LLC,7/15/2026 7:49 AM,chrishope,7/14/2026 10:42 AM,paulmclaughl
12177,*CP* Carbliss Patio Umbrella,17580,Carbliss Black Cherry,,Hawthorne,7855242,7/15/2026,Carbliss,SN Food & Beverage LLC,7/15/2026 7:49 AM,chrishope,7/14/2026 10:42 AM,paulmclaughl
