Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,City,County,Distribution Area,Buyer Count   2026,Cases   2026
Hakan Sadik,150602,Extra Wine & Liquor,278 Orange St,Newark,Essex,Essex,1.00,424.00
Dylan Rubino,170364,Red Feast W & L (A),129 christopher columbus Dr,Jersey City,Hudson,Hudson,1.00,423.00
Dylan Rubino,170185,Pastore's Wine & Liquor,665 Montgomery Street,Jersey City,Hudson,Hudson,1.00,421.00
Hakan Sadik,152015,954 Liquors,954 18th Ave,Newark,Essex,Essex,1.00,420.00
Hakan Sadik,150211,Harmony Bar & Liquors,117 Central Ave,Orange,Essex,Essex,1.00,420.00
Hakan Sadik,150225,Park Ave Wine & Liquors,412 Park Ave,East Orange,Essex,Essex,1.00,415.00
Hakan Sadik,150182,Liquor Cave,309 Irvington Ave,South Orange,Essex,Essex,1.00,413.00
Andrew Lundy,250136,M & M Liquors,22 South Street,New Providence,Union,Union,1.00,408.00
Hakan Sadik,150156,Ivy Plaza Liquors,521 Irvington Ave,Newark,Essex,Essex,1.00,399.00
Hakan Sadik,150065,Vailsburg Wine/Liq (A),986 So.Orange Ave,Newark,Essex,Essex,1.00,399.00
Hakan Sadik,152013,C & D Liquors,152 Bloomfield Ave,Newark,Essex,Essex,1.00,394.00
Hakan Sadik,150616,JRC Liquor,728 Springfield Ave,Irvington,Essex,Essex,1.00,391.00
Hakan Sadik,150654,Joe Canals,1830-1840 Springfield Ave,Maplewood,Essex,Essex,1.00,387.00
Andrew Lundy,251004,Payless Liquor_2,1774-C Burnett Ave,Union,Union,Union,1.00,378.00
Hakan Sadik,152001,Manny's Liquors,203 16th Ave,Newark,Essex,Essex,1.00,376.00
Dylan Rubino,170023,Corks & Bottles (P),6910 John F. Kennedy Blvd,Guttenberg,Hudson,Hudson,1.00,375.00
Alex Rodriguez,250093,San Homa Liquors,1003 E. 2nd St.,Plainfield,Union,Union,1.00,374.00
Jaime Colonna,171117,Delite Market,420 Washington St,Hoboken,Hudson,Hudson,1.00,373.00
Dylan Rubino,171323,Union Liquors,710 Summit Ave,Union City,Hudson,Hudson,1.00,366.00
Andrew Lundy,250143,Jersey Fine Wines,1260 Springfield Ave,New Providence,Union,Union,1.00,365.00
Hakan Sadik,152035,City Line Super Liquor,955 Frelinghuysen Ave,Newark,Essex,Essex,1.00,365.00
Hakan Sadik,150612,All Brothers Ii (Irvington),859 18th Ave,Irvington,Essex,Essex,1.00,364.00
Hakan Sadik,150214,Three Corners Liquor/Bar,321-322 North Day St,Orange,Essex,Essex,1.00,363.00
Hakan Sadik,152006,Skyline Liquors #2,778 Bergen St,Newark,Essex,Essex,1.00,359.00
Andrew Lundy,250064,America Liquors,503 Elizabeth Ave,Elizabeth,Union,Union,1.00,358.00
Alisa Acciardi,150157,Plaza Wine & Liquor,123 Bloomfield Ave,Bloomfield,Essex,Essex,1.00,358.00
Andrew Lundy,250060,La Bamba,446 Elizabeth Ave,Elizabeth,Union,Union,1.00,356.00
Alex Rodriguez,250141,Ben Franklin Liquor,332 East Front St,Plainfield,Union,Union,1.00,356.00
Dylan Rubino,170012,Wine Outlet,10 Meadowlands Parkway,Secaucus,Hudson,Hudson,1.00,355.00
Dylan Rubino,170191,Wine Warehouse (P) (Union City),2013 Bergenline Ave,Union City,Hudson,Hudson,1.00,352.00
Andrew Lundy,250016,Buy Rite Liq (A),1448 Morris Ave,Union,Union,Union,1.00,352.00
