Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,City,County,Distribution Area,Buyer Count   2026,Cases   2026
Jaime Colonna,173079,Snack Bar,520 Adams ST,Hoboken,Hudson,Hudson,1.00,33.00
Alisa Acciardi,150050,Fitzgerald 1928,13 Herman St,Glen Ridge,Essex,Essex,1.00,33.00
Jaime Colonna,170231,Hyatt Regency,2 Exchange Place,Jersey City,Hudson,Hudson,1.00,32.00
John O'Donoghue,150250,Par 440 Restaurant,440 Parsonage Hill Rd,Short Hills,Essex,Essex,1.00,32.00
Jaime Colonna,173069,Curry On,765 Newark Ave,Jersey City,Hudson,Hudson,1.00,32.00
Alisa Acciardi,150139,Mompou Restaurant,77 Ferry St,Newark,Essex,Essex,1.00,32.00
Jaime Colonna,173068,The Hutten Tavern,225 Hutten St,Jersey City,Hudson,Hudson,1.00,32.00
Dylan Rubino,170263,Aramark at Liberty Science Center,222 Jersey City Blvd.,Jersey City,Hudson,Hudson,1.00,30.00
Hakan Sadik,152034,Qxt's Nightclub,248 Mulberry St,Newark,Essex,Essex,1.00,30.00
Jaime Colonna,178107,Empyrean Bistro & Bar,800 Jackson Street,Hoboken,Hudson,Hudson,1.00,30.00
Jaime Colonna,170126,Carpe Diem,1405 Grand St.,Hoboken,Hudson,Hudson,1.00,30.00
Dylan Rubino,170113,Lira Ii Liquor,514 62nd Street,West New York,Hudson,Hudson,1.00,30.00
Dylan Rubino,178104,Asian Grill & Sushi,7827 Bergenline Ave,North Bergen,Hudson,Hudson,1.00,29.00
Jaime Colonna,170128,Dear Maud,205 1st Street,Hoboken,Hudson,Hudson,1.00,28.00
Dylan Rubino,170276,Mamak House,Rt 1 So. Danforth Ave,Jersey City,Hudson,Hudson,1.00,28.00
Andrew Lundy,250013,Deutscher Club Of Clark,787 Featherbed Lane,Clark,Union,Union,1.00,28.00
Michael Harboy,150235,460 BISTRO,460 Pleasant Valley Way,West Orange,Essex,Essex,1.00,27.00
Jaime Colonna,170147,White Star Bar,230 Brunswick St,Jersey City,Hudson,Hudson,1.00,27.00
Jaime Colonna,170042,O'nieal's (A),343 Park Ave,Hoboken,Hudson,Hudson,1.00,27.00
Jaime Colonna,170221,Hudson Hall(A),364 Marin Blvd,Jersey City,Hudson,Hudson,1.00,25.00
Dylan Rubino,170266,San Patricios Jersey City,8 Erie St A,Jersey City,Hudson,Hudson,1.00,25.00
Jaime Colonna,173037,Hudson Golf,16 Hudson Place,Hoboken,Hudson,Hudson,1.00,25.00
