Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,Distribution Area,County,City,Area,Premise,Buyer Count   2026,Cases   2026
John O'Donoghue,190018,Big Ed's (Circle Bowl),1107 Route 46 W,Morris 2,Morris,Ledgewood,Morris 2,On Premise,1,155.00
John O'Donoghue,190324,Powder Mill Plaza Liquors,28 Gibralter Dr,Morris 2,Morris,Morris Plains,Morris 2,Off Premise,1,20.00
John O'Donoghue,192008,At The Hop,14 N Morris St,Morris 2,Morris,Dover,Morris 2,On Premise,1,25.00
John O'Donoghue,190323,Morris Wine & Liquor,636 Speedwell Ave,Morris 2,Morris,Morris Plains,Morris 2,Off Premise,1,51.00
John O'Donoghue,190671,Country Farms,87 Division Ave,Morris 2,Morris,Millington,Morris 2,Off Premise,1,21.00
John O'Donoghue,190657,Shay's Liquors_2,286 Us-206,Morris 2,Morris,Flanders,Morris 2,Off Premise,1,105.00
John O'Donoghue,192158,Weis Market,146 Center Grove Rd,Morris 2,Morris,Randolph,Morris 2,Off Premise,1,533.00
John O'Donoghue,190012,Joe Canal's Disc Liq,799 Us-46,Morris 2,Morris,Parsippany,Morris 2,Off Premise,1,586.00
John O'Donoghue,192073,Randolph Liquors,301 S Salem St,Morris 2,Morris,Dover,Morris 2,Off Premise,1,229.00
John O'Donoghue,192160,Bernays Appgar Post 342 American Legion,333 Rt 24 East,Morris 2,Morris,Chester,Morris 2,On Premise,1,3.00
John O'Donoghue,190500,Wine & Whisky Country,"350 Rte 24, Chester, NJ 07930",Morris 2,Morris,Chester,Morris 2,Off Premise,1,141.00
John O'Donoghue,190618,Sogo,248 Rt 46 West,Morris 2,Morris,Denville,Morris 2,On Premise,1,135.00
John O'Donoghue,190299,Vintage Tavern,342 Valley Rd,Morris 2,Morris,Gillette,Morris 2,On Premise,1,15.00
John O'Donoghue,191824,Grasshopper Off The Green,41-43 Morris St,Morris 2,Morris,Morristown,Morris 2,On Premise,1,26.00
John O'Donoghue,190004,54 Main Cafe,54 Main St,Morris 2,Morris,Madison,Morris 2,On Premise,1,4.00
John O'Donoghue,192157,Rosie''''s Trattoria,1181 Sussex Turnpike,Morris 2,Morris,Randolph,Morris 2,On Premise,1,140.00
John O'Donoghue,191835,The Village Liquor Store_2,178 East Hanover Ave,Morris 2,Morris,Cedar Knolls,Morris 2,Off Premise,1,1484.00
John O'Donoghue,190030,Florham Park Liquors,184 Columbia Turnpike,Morris 2,Morris,Florham Park,Morris 2,Off Premise,1,437.00
John O'Donoghue,190027,Wegmans,34-A Sylvan Way,Morris 2,Morris,Parsippany,Morris 2,Off Premise,1,1305.00
John O'Donoghue,190431,SOCIAL HUB BY DHABA,1735 RT 46,Morris 2,Morris,Parsippany,Morris 2,On Premise,1,30.00
John O'Donoghue,190224,Stirling Fine Wines,1168 Valley Rd,Morris 2,Morris,Stirling,Morris 2,Off Premise,1,1005.00
John O'Donoghue,191848,Columbus Club of Morristown NJ,13 South St,Morris 2,Morris,Morristown,Morris 2,On Premise,1,12.00
John O'Donoghue,190107,Wine & Whiskey Country Pine Brook,36 Rt 46 West,Morris 2,Morris,Pine Brook,Morris 2,Off Premise,1,126.00
