Sales Rep Assigned,Brand Family,Customer Num,Customer Name,Date,Units   5/1/2026 - 7/31/2026,Units   8/1/2026 - 8/31/2026
Brian Sengebush,Angry Orchard,1024,Buffalo Wild Wings (Rockaway),7/8/2026,1,
Nick Melissari,Angry Orchard,39017,Bj's Rest & Brewhouse(A),7/8/2026,1,
Mike Ast,Angry Orchard,83011,Stone & Rail,7/8/2026,1,
Nick Melissari,Angry Orchard,28008,Tavern On Ridge,7/8/2026,1,
Default,Angry Orchard,120002,PICNIC,7/7/2026,-3,
Allison Scott,Angry Orchard,12057,YARD HOUSE 8384,7/7/2026,1,
Brian Sengebush,Angry Orchard,190601,Thatcher Mcghee's (A),7/7/2026,1,
Nick Melissari,Angry Orchard,31039,Yard House 8390,7/7/2026,2,
Klejdi Lamo,Angry Orchard,191210,Milton Inn,7/7/2026,1,
Brian Sengebush,Angry Orchard,1017,Millers Ale House Rockawa,7/7/2026,1,
Nick Melissari,Angry Orchard,80018,Millers Paramus Ale House,7/7/2026,1,
Shane Barreca,Angry Orchard,75004,Cork & Keg (A),7/6/2026,1,
Default,Angry Orchard,120002,PICNIC,7/3/2026,4,
Shane Barreca,Angry Orchard,75004,Cork & Keg (A),7/3/2026,2,
Shane Barreca,Angry Orchard,92011,Bottle King (A) Ramsey,7/2/2026,1,
Anthony Palmisano,Angry Orchard,191207,Daily Planet (A),7/2/2026,1,
Nick Melissari,Angry Orchard,31026,Rockafella's,7/1/2026,0,
Klejdi Lamo,Angry Orchard,191710,Shop Rite Wine & Spirits Stanhope,7/1/2026,0,
Brian Sengebush,Angry Orchard,1024,Buffalo Wild Wings (Rockaway),7/1/2026,0,
Phil Ernst,Angry Orchard,83010,Bottle King (A) Glen Rock,7/1/2026,0,
Allison Scott,Angry Orchard,12022,Grasshopper Too (A),7/1/2026,0,
Brian Sengebush,Angry Orchard,190601,Thatcher Mcghee's (A),7/1/2026,0,
Allison Scott,Angry Orchard,17009,Jimmy Geez (P),7/1/2026,1,
Allison Scott,Angry Orchard,24026,Rock Bar,7/1/2026,1,
Paul Mclaughlin,Angry Orchard,73002,The Cornerstone (P),7/1/2026,2,
Nick Melissari,Angry Orchard,31039,Yard House 8390,7/1/2026,0,
Jayson Romine,Angry Orchard,230114,Liquor Factory III Sparta,7/1/2026,0,
Chris Payton,Angry Orchard,76010,Usa Wine Traders Club (Saddle Brook),7/1/2026,0,
Shane Barreca,Angry Orchard,92011,Bottle King (A) Ramsey,7/1/2026,0,
Nick Melissari,Angry Orchard,39017,Bj's Rest & Brewhouse(A),7/1/2026,0,
Paul Mclaughlin,Angry Orchard,57004,River & Henley,7/1/2026,0,
Allison Scott,Angry Orchard,24029,Dingo's Den (P),7/1/2026,0,
Allison Scott,Angry Orchard,24019,Sharky's Wings(P),7/1/2026,1,
Nick Melissari,Angry Orchard,34002,Heights Bar (P),7/1/2026,0,
Nick Melissari,Angry Orchard,31043,House of Que (East Rutherford),7/1/2026,0,
Robin Feldman,Angry Orchard,12023,The Village Inn,7/1/2026,0,
Anthony Palmisano,Angry Orchard,4007,Karls Stumble Inn,7/1/2026,0,
Mike Ast,Angry Orchard,19009,Diamond Liquor,7/1/2026,0,
Dave Ehlers,Angry Orchard,58001,Total Wine & More (River Edge),7/1/2026,0,
Brian Sengebush,Angry Orchard,1017,Millers Ale House Rockawa,7/1/2026,0,
Nick Melissari,Angry Orchard,38020,Lodi Lanes (A),7/1/2026,0,
Allison Scott,Angry Orchard,10001,cherry's,7/1/2026,0,
Nick Melissari,Angry Orchard,80018,Millers Paramus Ale House,7/1/2026,0,
