Sales Rep Assigned,Brand Family,Customer Num,Customer Name,Date,Placement Count   5/1/2026 - 7/31/2026,Placement Count   8/1/2026 - 8/31/2026,Cases   5/1/2026 - 7/31/2026,Cases   8/1/2026 - 8/31/2026
Nick Melissari,Peroni,31048,Song'E Napule,8/26/2026,,1.00,,10.00
Anthony Palmisano,Coors,230925,Springs Bistro Biosphere,8/26/2026,,1.00,,1.00
Anthony Palmisano,Coors,231803,High Point Gc/Rest (P),8/26/2026,,1.00,,1.00
Allison Scott,Peroni,19012,Bottagra Rest (P),8/26/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,71001,Peppercorn's,8/26/2026,,1.00,,1.00
Nick Melissari,Peroni,89001,Savini Rest (A),8/26/2026,,1.00,,5.00
Dan Lagala,Peroni,44025,Rudys (A),8/26/2026,,1.00,,2.00
Chris Payton,Peroni,45005,Colonial Bar,8/26/2026,,1.00,,1.00
Anthony Palmisano,Coors,230119,Smokey's Brick Oven Tav.,8/26/2026,,1.00,,2.00
Paul Mclaughlin,Peroni,61003,White Beeches Golf Club,8/26/2026,,2.00,,2.00
Brian Sengebush,Coors,230405,Sheridan Lodge (P),8/26/2026,,1.00,,1.00
Anthony Palmisano,Coors,231210,Bally Owen Golf Club,8/26/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,69009,Rivervale Country Club,8/26/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,59005,Hackensack Golf (A),8/26/2026,,2.00,,2.00
Robin Feldman,Peroni,37055,82 OAK BAR & BISTRO,8/26/2026,,1.00,,3.00
Anthony Palmisano,Coors,1214,Whiskey Wolf Tavern (P),8/26/2026,,1.00,,3.00
Paul Mclaughlin,Peroni,67014,The Rockleigh C C (P),8/26/2026,,1.00,,5.00
Paul Mclaughlin,Peroni,81024,Anthony's Coal Fired Pizza (Fair Lawn),8/26/2026,,1.00,,1.00
Nick Melissari,Peroni,77003,Blue 42 Restaurant & Bar,8/26/2026,,1.00,,2.00
Allison Scott,Peroni,11011,Sunset Pub & Grill(Z),8/25/2026,,1.00,,1.00
Anthony Palmisano,Coors,1035,Old School Pub P),8/25/2026,,1.00,,3.00
Allison Scott,Peroni,24031,Tommy's Tavern & Tap (Clifton),8/25/2026,,2.00,,4.00
Paul Mclaughlin,Peroni,39010,Players Club (Z),8/25/2026,,2.00,,2.00
Allison Scott,Peroni,24026,Rock Bar,8/25/2026,,1.00,,1.00
Dave Ehlers,Peroni,52013,Lulu Lounge,8/25/2026,,1.00,,4.00
Robin Feldman,Coors,231708,American Lgn Branchville,8/25/2026,,1.00,,2.00
Derrick Laws,Peroni,20038,Patsy's (A) Tavern,8/25/2026,,1.00,,1.00
Paul Mclaughlin,Coors,40005,Lazy Lanigans (A),8/25/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,74010,Osteria Crescendo,8/25/2026,,1.00,,1.00
Allison Scott,Coors,24019,Sharky's Wings(P),8/25/2026,,1.00,,1.00
Paul Mclaughlin,Coors,60012,Grant Street Cafe (A),8/25/2026,,1.00,,3.00
Paul Mclaughlin,Peroni,39006,Fat Bastard & Sons,8/25/2026,,1.00,,1.00
Javier Melo,Coors,20055,Paruta's (A),8/25/2026,,1.00,,12.00
Brian Sengebush,Peroni,190925,Olive Garden Rockaway,8/25/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,61004,Andiamo,8/25/2026,,2.00,,1.00
Allison Scott,Peroni,14003,Murph's Bar & Liquor,8/25/2026,,1.00,,1.00
Nick Melissari,Coors,80018,Millers Paramus Ale House,8/25/2026,,2.00,,2.00
Brian Sengebush,Coors,230122,Krogh's Restaurant & Brew Pub,8/25/2026,,1.00,,5.00
Nick Melissari,Peroni,31039,Yard House 8390,8/25/2026,,1.00,,1.00
Nick Melissari,Coors,92005,Kinchley's,8/25/2026,,1.00,,2.00
Paul Mclaughlin,Coors,86002,Doghouse Saloon (Z),8/25/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,40026,Brooklyn's (A),8/25/2026,,1.00,,2.00
Robin Feldman,Peroni,31022,Candlewick,8/25/2026,,1.00,,1.00
Dan Lagala,Peroni,49034,In Napoli (A),8/25/2026,,1.00,,3.00
Paul Mclaughlin,Peroni,52030,Sofia,8/25/2026,,1.00,,3.00
Robin Feldman,Peroni,73007,Bensi (P),8/25/2026,,1.00,,1.00
Allison Scott,Peroni,12061,Raeya's,8/25/2026,,1.00,,6.00
Nick Melissari,Coors,92007,Brady's At(A)The Station,8/24/2026,,1.00,,2.00
Brian Sengebush,Coors,190214,Johnnie's Tavern,8/24/2026,,1.00,,1.00
Chris Payton,Peroni,76014,Que Pasta (A),8/21/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,74021,Bar Mutz,8/21/2026,,1.00,,7.00
Paul Mclaughlin,Peroni,57007,New Bridge Inn(A),8/21/2026,,1.00,,3.00
Brian Sengebush,Coors,191508,Elks Post 782 (Z),8/21/2026,,1.00,,1.00
Nick Melissari,Peroni,49022,El asadero Mexican Grill (Fort Lee),8/21/2026,,1.00,,1.00
Dan Lagala,Peroni,49072,JJ Dak,8/21/2026,,1.00,,1.00
Allison Scott,Peroni,12037,Maggies Town Tavern Ii,8/21/2026,,1.00,,1.00
Nick Melissari,Peroni,49063,COV,8/21/2026,,1.00,,3.00
Allison Scott,Peroni,13015,Rare The Steakhouse (Z),8/21/2026,,1.00,,1.00
Nick Melissari,Peroni,28027,Roma Rest. (P),8/21/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,59005,Hackensack Golf (A),8/21/2026,,2.00,,2.00
Mike Ast,Peroni,87006,Hohokus Inn & Tavern,8/21/2026,,1.00,,1.00
Dan Lagala,Peroni,49048,River Palm (A),8/21/2026,,1.00,,2.00
Mike Ast,Peroni,95001,Pazza,8/21/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,68003,Aurora Restaurant,8/21/2026,,2.00,,11.00
Allison Scott,Peroni,24048,Dante's,8/21/2026,,1.00,,2.00
Nick Melissari,Peroni,80011,Casa De Montecristo,8/21/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,63002,Alpine C.C. (Z),8/21/2026,,1.00,,4.00
Paul Mclaughlin,Peroni,62003,Stern And Bow,8/21/2026,,1.00,,1.00
Anthony Palmisano,Coors,231305,Early American Tavern,8/21/2026,,1.00,,2.00
Allison Scott,Peroni,12064,In The Drink@Passaic Gc,8/21/2026,,1.00,,1.00
Allison Scott,Peroni,12014,Olive Garden (A) Wayne,8/20/2026,,1.00,,1.00
Robin Feldman,Peroni,32020,Il Villaggio Rest,8/20/2026,,2.00,,2.00
Matt Powierski,Peroni,42014,Segovia Steak House(A),8/20/2026,,1.00,,1.00
Nick Melissari,Peroni,49085,Tommy's Tavern + Tap (Edgewater),8/20/2026,,1.00,,1.00
Robin Feldman,Peroni,190908,4 Seasons Restaurant,8/20/2026,,1.00,,1.00
Nick Melissari,Peroni,94002,Trovato's Due (Z),8/20/2026,,1.00,,3.00
Anthony Palmisano,Coors,1023,The New Jessies Kettle(P),8/20/2026,,2.00,,6.00
Allison Scott,Peroni,12020,Lakeside Drive Tavern,8/20/2026,,1.00,,1.00
Nick Melissari,Peroni,93008,Nonna's Pizza,8/20/2026,,1.00,,2.00
Brian Sengebush,Coors,1017,Millers Ale House Rockawa,8/20/2026,,1.00,,1.00
Anthony Palmisano,Peroni,1023,The New Jessies Kettle(P),8/20/2026,,1.00,,3.00
Robin Feldman,Peroni,230305,Casa Bellisma (A),8/20/2026,,1.00,,2.00
Robin Feldman,Peroni,9009,Cedar Crest Village(607),8/20/2026,,1.00,,1.00
Brian Sengebush,Coors,230407,Fountain House (Z),8/20/2026,,1.00,,2.00
Allison Scott,Peroni,25009,Spuntino Wine Bar/Italian,8/20/2026,,1.00,,6.00
Allison Scott,Coors,24061,Breaker Billiards,8/20/2026,,1.00,,2.00
Anthony Palmisano,Coors,231207,Great Gorge Golf (A) Club,8/19/2026,,1.00,,4.00
Anthony Palmisano,Coors,4007,Karls Stumble Inn,8/19/2026,,1.00,,1.00
Nick Melissari,Peroni,96010,Aldo's Italian Rest(Z),8/19/2026,,1.00,,1.00
