Customer Num,Customer Name,Sales Rep Assigned,City,Route,On-Off Premise
170243,Hendrick's Corner,Alisa Acciardi,Unknown,Unknown,On Premise
170101,High Spirits Of Bayonne,Alisa Acciardi,Bayonne,Jersey City Wed,Off Premise
150144,Home Liquors(480 Newark) (P),Alisa Acciardi,Unknown,Unknown,Off Premise
171308,Hook And Reel,Alisa Acciardi,Kearny,10080 Thu,On Premise
150106,Iron Bound Wines & Spirit,Alisa Acciardi,Unknown,Unknown,Off Premise
171341,Irv's Wines & Liquors(P),Alisa Acciardi,Bayonne,Jersey City Fri,Off Premise
170108,J & V Liquors,Alisa Acciardi,Bayonne,10050 Fri,Off Premise
150611,Jim Dandy's,Alisa Acciardi,Unknown,Unknown,On Premise
171319,John's Liq & Deli,Alisa Acciardi,Unknown,Unknown,Off Premise
170229,Joia Restaurant,Alisa Acciardi,Unknown,Unknown,On Premise
171309,KPot Korean BBQ & Hot Pot,Alisa Acciardi,Unknown,Unknown,On Premise
171318,Kearny Plaza Discount Liq,Alisa Acciardi,Kearny,Kearny Wed,Off Premise
171328,Kearny Wine & Liquor,Alisa Acciardi,Unknown,Unknown,Off Premise
171360,Keeper's,Alisa Acciardi,Unknown,Unknown,On Premise
150109,Kelly's Liquors,Alisa Acciardi,Belleville,Newark Fri,Off Premise
150152,Krauszer Food & Liquor,Alisa Acciardi,Bloomfield,10064 Mon,Off Premise
150131,Lbv Cellars,Alisa Acciardi,Newark,10067 Tue,Off Premise
150400,Liquor City,Alisa Acciardi,Unknown,Unknown,Off Premise
170004,Liquor Warehouse,Alisa Acciardi,Unknown,Unknown,Off Premise
171305,Liquoram Of Kearny,Alisa Acciardi,Unknown,Unknown,Off Premise
150098,Lisbon Wines & Liquors,Alisa Acciardi,Unknown,Unknown,Off Premise
170206,Lito's Liquor (P),Alisa Acciardi,Unknown,Unknown,Off Premise
150176,Lou's Corner,Alisa Acciardi,Unknown,Unknown,Off Premise
171404,Massarelli's Liquors,Alisa Acciardi,Bayonne,Jersey City Wed,Off Premise
150015,Michael Roscommon Hs(A),Alisa Acciardi,Unknown,Unknown,On Premise
170140,Midland Dairy (A),Alisa Acciardi,Kearny,Kearny Wed,Off Premise
24057,Mighty Quinns Bbq,Alisa Acciardi,Unknown,Unknown,On Premise
171306,Mira Sol,Alisa Acciardi,Unknown,Unknown,Off Premise
150139,Mompou Restaurant,Alisa Acciardi,Unknown,Unknown,On Premise
152026,Mulberry Liquors,Alisa Acciardi,Newark,Newark Tue,Off Premise
171331,New Bergen Liquors (P),Alisa Acciardi,Kearny,Kearny Thu,Off Premise
150016,Nutley Wine Shop,Alisa Acciardi,Nutley,10058 Thu,Off Premise
170061,O'Donnell's (P),Alisa Acciardi,Unknown,Unknown,On Premise
174153,OTS BY LLC (Aqua),Alisa Acciardi,Unknown,Unknown,On Premise
150073,Oasis Liquor & Deli,Alisa Acciardi,Newark,Newark Wed,Off Premise
150300,Obals Inn,Alisa Acciardi,Unknown,Unknown,On Premise
150090,Olshins Pharmacy,Alisa Acciardi,Unknown,Unknown,Off Premise
173900,Otaiko Hibachi & Sushi,Alisa Acciardi,Unknown,Unknown,On Premise
29010,Paradise Liquors,Alisa Acciardi,Unknown,Unknown,Off Premise
150038,Pioneer Wine's & Liquors,Alisa Acciardi,Unknown,Unknown,Off Premise
150157,Plaza Wine & Liquor,Alisa Acciardi,Bloomfield,Montclair Tue,Off Premise
150175,Primavera Liquor,Alisa Acciardi,Unknown,Unknown,Off Premise
171332,Seabra Liquor,Alisa Acciardi,Kearny,10080 Thu,Off Premise
150130,Seabra Liquors,Alisa Acciardi,Newark,10055 Thu,Off Premise
171312,Shop Rite Wine & Spirits Kearny,Alisa Acciardi,Kearny,10080 Wed,Off Premise
171403,ShopRite Wines & Spirits of Bayonne,Alisa Acciardi,Bayonne,Jersey City Thu,Off Premise
174001,Shorty's,Alisa Acciardi,Unknown,Unknown,On Premise
150305,Six Points Pub,Alisa Acciardi,Unknown,Unknown,On Premise
171002,Spirits Of Kearny,Alisa Acciardi,Unknown,Unknown,Off Premise
171411,Stanley's Liq Store (P),Alisa Acciardi,Unknown,Unknown,Off Premise
170035,Steves Liquors (P),Alisa Acciardi,Unknown,Unknown,Off Premise
171304,Sun Liquors & Grocery,Alisa Acciardi,Unknown,Unknown,Off Premise
78002,Super K Food (A) Store,Alisa Acciardi,Unknown,Unknown,Off Premise
250171,Tankys Bar & Grill,Alisa Acciardi,Unknown,Unknown,On Premise
170117,Thai O'brien (P),Alisa Acciardi,Unknown,Unknown,On Premise
150302,The Blue Steel Pizza Co.,Alisa Acciardi,Unknown,Unknown,On Premise
152037,The Deep Inn,Alisa Acciardi,Unknown,Unknown,On Premise
170240,The Greenroom,Alisa Acciardi,Unknown,Unknown,On Premise
150085,The Oakley Kitchen,Alisa Acciardi,Unknown,Unknown,On Premise
150112,The Old Canal Inn,Alisa Acciardi,Unknown,Unknown,On Premise
171410,Times Square Liq,Alisa Acciardi,Unknown,Unknown,Off Premise
152040,Top Shelf Wine & Liquor,Alisa Acciardi,Unknown,Unknown,Off Premise
150199,Town Pub Of Bloomfeild,Alisa Acciardi,Unknown,Unknown,On Premise
171352,Urban Tandoor,Alisa Acciardi,Unknown,Unknown,On Premise
